id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
1EzrEOXmMH3G43AXT1y7pA,https://p.scdn.co/mp3-preview/28154061cbfda9d551fc0864f9e95602cd48c9e2?cid=7596a347c632409f9829d4c3cb9fa3c7,acoustic,0.703,0.444,11,-9.331,1,0.0417,0.559,0.0,0.0973,0.712,150.96,https://api.spotify.com/v1/audio-analysis/1EzrEOXmMH3G43AXT1y7pA,242947
4E6cwWJWZw2zWf7VFbH7wf,https://p.scdn.co/mp3-preview/7ed132f9327678a88df36baeb5f0880f4310783a?cid=7596a347c632409f9829d4c3cb9fa3c7,acoustic,0.583,0.786,2,-3.142,0,0.0301,0.0208,0.0,0.188,0.573,123.055,https://api.spotify.com/v1/audio-analysis/4E6cwWJWZw2zWf7VFbH7wf,258827
53QF56cjZA9RTuuMZDrSA6,https://p.scdn.co/mp3-preview/bf486b927761bf9955f95009823b0ceabd92409f?cid=7596a347c632409f9829d4c3cb9fa3c7,acoustic,0.483,0.303,4,-10.058,1,0.0429,0.694,0.0,0.115,0.139,133.406,https://api.spotify.com/v1/audio-analysis/53QF56cjZA9RTuuMZDrSA6,240166
0IktbUcnAGrvD03AWnz3Q8,https://p.scdn.co/mp3-preview/a89bf59628fb81ad8cf114a960fe7492de38ba31?cid=7596a347c632409f9829d4c3cb9fa3c7,acoustic,0.625,0.414,0,-8.7,1,0.0369,0.294,0.0,0.151,0.669,130.088,https://api.spotify.com/v1/audio-analysis/0IktbUcnAGrvD03AWnz3Q8,189613
6Uy6K3KdmUdAfelUp0SeXn,https://p.scdn.co/mp3-preview/43d2cef16aa11c7d469a2dd6b486331c2041774f?cid=7596a347c632409f9829d4c3cb9fa3c7,acoustic,0.551,0.836,10,-3.838,0,0.0524,0.00502,2.1e-05,0.0425,0.758,185.063,https://api.spotify.com/v1/audio-analysis/6Uy6K3KdmUdAfelUp0SeXn,220573
1jyddn36UN4tVsJGtaJfem,https://p.scdn.co/mp3-preview/347eb53af6951f53635199cac6c043dea0d39cb7?cid=7596a347c632409f9829d4c3cb9fa3c7,acoustic,0.578,0.727,10,-4.872,1,0.0332,0.0304,1.99e-05,0.172,0.885,170.593,https://api.spotify.com/v1/audio-analysis/1jyddn36UN4tVsJGtaJfem,231840
5SuOikwiRyPMVoIQDJUgSV,https://p.scdn.co/mp3-preview/56ee6d51af5c3a28dde9e54403320c72be105b29?cid=7596a347c632409f9829d4c3cb9fa3c7,acoustic,0.676,0.461,1,-6.746,0,0.143,0.0322,1.01e-06,0.358,0.715,87.917,https://api.spotify.com/v1/audio-analysis/5SuOikwiRyPMVoIQDJUgSV,230667
3PG6V5yuFfo4APiovOQoRv,https://p.scdn.co/mp3-preview/46ff8588929ba7bd1666bc593aca5226de2ead32?cid=7596a347c632409f9829d4c3cb9fa3c7,acoustic,0.65,0.271,9,-11.081,1,0.0314,0.794,6.9e-05,0.196,0.21,78.036,https://api.spotify.com/v1/audio-analysis/3PG6V5yuFfo4APiovOQoRv,265843
6dwkFmLUz6hx2CZG2EqLol,https://p.scdn.co/mp3-preview/3b25b8252f1993d1629a323e17d5531e24b0860c?cid=7596a347c632409f9829d4c3cb9fa3c7,acoustic,0.636,0.625,11,-7.895,1,0.0277,0.222,5.35e-05,0.119,0.342,93.931,https://api.spotify.com/v1/audio-analysis/6dwkFmLUz6hx2CZG2EqLol,249120
2lFlveK1y13WWp3vnQtrr3,https://p.scdn.co/mp3-preview/3f88289588e6d019c9b32568718744ae00ec20ef?cid=7596a347c632409f9829d4c3cb9fa3c7,acoustic,0.643,0.569,7,-7.459,1,0.0276,0.544,2.17e-05,0.178,0.275,120.507,https://api.spotify.com/v1/audio-analysis/2lFlveK1y13WWp3vnQtrr3,244600
