id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
1q8NdCAQ9QUjpYiqzdd3mv,https://p.scdn.co/mp3-preview/6632fb09b449bde7cad5a90d052a7b44a164a21b?cid=7596a347c632409f9829d4c3cb9fa3c7,afrobeat,0.829,0.878,9,-5.951,1,0.101,0.0959,0.0,0.776,0.883,87.991,https://api.spotify.com/v1/audio-analysis/1q8NdCAQ9QUjpYiqzdd3mv,239307
2Y3x5VcEAxLNmVHxQOE0jB,https://p.scdn.co/mp3-preview/ff0614b171f2ce8b69b82675694552889d82a4cb?cid=7596a347c632409f9829d4c3cb9fa3c7,afrobeat,0.778,0.399,1,-8.984,1,0.0858,0.0751,0.835,0.103,0.321,137.305,https://api.spotify.com/v1/audio-analysis/2Y3x5VcEAxLNmVHxQOE0jB,67720
6Dq2LzijkY9WNPwBGDah4L,https://p.scdn.co/mp3-preview/70858bcfe6c190b12822e87868494c408ab92147?cid=7596a347c632409f9829d4c3cb9fa3c7,afrobeat,0.463,0.382,5,-11.682,1,0.0278,0.897,0.263,0.108,0.638,74.573,https://api.spotify.com/v1/audio-analysis/6Dq2LzijkY9WNPwBGDah4L,209160
4pR4oQJULf7FDB54TleMyH,https://p.scdn.co/mp3-preview/420a1e6f09ba7216afb02c4da31363f3b07ff169?cid=7596a347c632409f9829d4c3cb9fa3c7,afrobeat,0.443,0.778,0,-7.564,0,0.266,0.241,0.0,0.215,0.628,128.25,https://api.spotify.com/v1/audio-analysis/4pR4oQJULf7FDB54TleMyH,168000
4bJ7tMJqfYmkKgCYzaaG4B,https://p.scdn.co/mp3-preview/9dc0e96d3662e6818c7949cbcf0130848d7d4e49?cid=7596a347c632409f9829d4c3cb9fa3c7,afrobeat,0.571,0.508,11,-8.118,0,0.0254,0.532,0.951,0.161,0.102,96.825,https://api.spotify.com/v1/audio-analysis/4bJ7tMJqfYmkKgCYzaaG4B,174827
5nqd51nD2UACz5JQ83v878,https://p.scdn.co/mp3-preview/f2399d9a8af59a9ca2ca84ca163324f6381542f9?cid=7596a347c632409f9829d4c3cb9fa3c7,afrobeat,0.382,0.507,2,-8.179,1,0.0323,0.787,0.0124,0.235,0.494,135.787,https://api.spotify.com/v1/audio-analysis/5nqd51nD2UACz5JQ83v878,143120
3kNVYo6BJE9AENxzokM9YC,https://p.scdn.co/mp3-preview/32049e878c13be7c3c8021bc436b6d7d423dd42a?cid=7596a347c632409f9829d4c3cb9fa3c7,afrobeat,0.675,0.588,3,-7.168,1,0.177,0.789,0.0,0.95,0.879,79.989,https://api.spotify.com/v1/audio-analysis/3kNVYo6BJE9AENxzokM9YC,189867
1bZH8L8V2m454tdcSPEIl7,https://p.scdn.co/mp3-preview/030e659cf4bf000e230cab68344b8fd093359dd0?cid=7596a347c632409f9829d4c3cb9fa3c7,afrobeat,0.628,0.585,3,-8.036,0,0.0421,0.147,0.927,0.0465,0.618,100.95,https://api.spotify.com/v1/audio-analysis/1bZH8L8V2m454tdcSPEIl7,162267
1QVvGeS1HzBT5UmLsQotCs,https://p.scdn.co/mp3-preview/eea4b48441d98f963aaf4d7f00e7e9e5b4a0d9c7?cid=7596a347c632409f9829d4c3cb9fa3c7,afrobeat,0.67,0.826,2,-6.765,1,0.0459,0.00702,0.815,0.0993,0.552,110.684,https://api.spotify.com/v1/audio-analysis/1QVvGeS1HzBT5UmLsQotCs,206693
1Bx3trnFdCStyiV5PF0vkj,https://p.scdn.co/mp3-preview/32ab6e3eecb4148e35f7cc38b8d007daa61041e2?cid=7596a347c632409f9829d4c3cb9fa3c7,afrobeat,0.674,0.607,1,-7.76,1,0.057,0.0124,0.87,0.147,0.712,77.845,https://api.spotify.com/v1/audio-analysis/1Bx3trnFdCStyiV5PF0vkj,160600
