id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
2QjOHCTQ1Jl3zawyYOpxh6,https://p.scdn.co/mp3-preview/2b81a42be9c3b3c6347156c4978b4c63943fd12e?cid=7596a347c632409f9829d4c3cb9fa3c7,alt-rock,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,https://api.spotify.com/v1/audio-analysis/2QjOHCTQ1Jl3zawyYOpxh6,240400
5UWwZ5lm5PKu6eKsHAGxOk,https://p.scdn.co/mp3-preview/bdd4ac8acbe84ac183961108652b107b7172aedf?cid=7596a347c632409f9829d4c3cb9fa3c7,alt-rock,0.413,0.881,11,-5.541,0,0.0367,5.99e-05,0.000308,0.0805,0.364,158.066,https://api.spotify.com/v1/audio-analysis/5UWwZ5lm5PKu6eKsHAGxOk,250547
5E30LdtzQTGqRvNd7l6kG5,https://p.scdn.co/mp3-preview/45fa3f27038a42c939ce063c25d01d45b0a3db4e?cid=7596a347c632409f9829d4c3cb9fa3c7,alt-rock,0.588,0.521,10,-9.461,1,0.0329,0.0678,0.149,0.123,0.337,85.012,https://api.spotify.com/v1/audio-analysis/5E30LdtzQTGqRvNd7l6kG5,260173
2K7xn816oNHJZ0aVqdQsha,https://p.scdn.co/mp3-preview/eb2b44c76abef94aeb2b7fa3e9a99b71a39ec669?cid=7596a347c632409f9829d4c3cb9fa3c7,alt-rock,0.575,0.568,9,-5.509,0,0.03,0.0484,0.000417,0.286,0.37,93.986,https://api.spotify.com/v1/audio-analysis/2K7xn816oNHJZ0aVqdQsha,206280
1fDFHXcykq4iw8Gg7s5hG9,https://p.scdn.co/mp3-preview/a75347339226c0bb3921b0f04a6adc0904fede6c?cid=7596a347c632409f9829d4c3cb9fa3c7,alt-rock,0.416,0.762,2,-7.385,1,0.0279,0.312,0.804,0.0559,0.461,95.967,https://api.spotify.com/v1/audio-analysis/1fDFHXcykq4iw8Gg7s5hG9,326491
7zwn1eykZtZ5LODrf7c0tS,https://p.scdn.co/mp3-preview/5e2265e2980c25c420dfdb266b6c7e71b72dfc45?cid=7596a347c632409f9829d4c3cb9fa3c7,alt-rock,0.551,0.881,7,-6.099,0,0.0542,0.186,0.0791,0.152,0.387,88.036,https://api.spotify.com/v1/audio-analysis/7zwn1eykZtZ5LODrf7c0tS,153000
3dPQuX8Gs42Y7b454ybpMR,https://p.scdn.co/mp3-preview/0c37edae8416ec1d6859f6df2802c027300394ee?cid=7596a347c632409f9829d4c3cb9fa3c7,alt-rock,0.743,0.446,4,-7.807,0,0.0683,0.0039,0.118,0.337,0.278,123.596,https://api.spotify.com/v1/audio-analysis/3dPQuX8Gs42Y7b454ybpMR,232107
70LcF31zb1H0PyJoS1Sx1r,https://p.scdn.co/mp3-preview/8665eb54a981f3c2e8d575d1c0392ff743d54b97?cid=7596a347c632409f9829d4c3cb9fa3c7,alt-rock,0.515,0.43,7,-9.935,1,0.0372,0.0097,0.000133,0.129,0.104,91.844,https://api.spotify.com/v1/audio-analysis/70LcF31zb1H0PyJoS1Sx1r,238640
4kbj5MwxO1bq9wjT5g9HaA,https://p.scdn.co/mp3-preview/9d0a27d02c41d8131e082366507a6a0650928b73?cid=7596a347c632409f9829d4c3cb9fa3c7,alt-rock,0.578,0.866,1,-3.804,1,0.0619,0.00701,0.0,0.257,0.619,128.038,https://api.spotify.com/v1/audio-analysis/4kbj5MwxO1bq9wjT5g9HaA,199080
2Y0iGXY6m6immVb2ktbseM,https://p.scdn.co/mp3-preview/697ee8697b01c866d9cb9d26f2cf77ca5fbd98ef?cid=7596a347c632409f9829d4c3cb9fa3c7,alt-rock,0.705,0.712,6,-6.156,1,0.0385,0.0102,0.000855,0.1,0.62,97.512,https://api.spotify.com/v1/audio-analysis/2Y0iGXY6m6immVb2ktbseM,299960
3d9DChrdc6BOeFsbrZ3Is0,https://p.scdn.co/mp3-preview/f729cd793f4ba44794ac3ef6c970c1363859711e?cid=7596a347c632409f9829d4c3cb9fa3c7,alt-rock,0.559,0.345,4,-13.496,1,0.0459,0.0576,0.000105,0.141,0.458,84.581,https://api.spotify.com/v1/audio-analysis/3d9DChrdc6BOeFsbrZ3Is0,264307
0GO8y8jQk1PkHzS31d699N,https://p.scdn.co/mp3-preview/bf29e74c562ce75d41fd729121ce7df9812c0d63?cid=7596a347c632409f9829d4c3cb9fa3c7,alt-rock,0.56,0.936,3,-5.835,1,0.0439,0.00847,0.0,0.161,0.371,112.96,https://api.spotify.com/v1/audio-analysis/0GO8y8jQk1PkHzS31d699N,218013
4sNG6zQBmtq7M8aeeKJRMQ,https://p.scdn.co/mp3-preview/d216565c667728ec1d0e2ba0d98ea33ff6d55ba1?cid=7596a347c632409f9829d4c3cb9fa3c7,alt-rock,0.687,0.617,4,-5.213,1,0.0287,0.0941,1.27e-05,0.0898,0.665,121.079,https://api.spotify.com/v1/audio-analysis/4sNG6zQBmtq7M8aeeKJRMQ,252307
2AYEOC02WLhUiOoaig2SEH,https://p.scdn.co/mp3-preview/d54327c5730165445790e1d978dfd7131610360b?cid=7596a347c632409f9829d4c3cb9fa3c7,alt-rock,0.545,0.968,9,-3.553,0,0.0853,0.0387,0.00325,0.331,0.527,169.965,https://api.spotify.com/v1/audio-analysis/2AYEOC02WLhUiOoaig2SEH,209386
51c94ac31swyDQj9B3Lzs3,https://p.scdn.co/mp3-preview/6daafa72ee0d129367e5af511bf7b8c3c5d06e01?cid=7596a347c632409f9829d4c3cb9fa3c7,alt-rock,0.269,0.853,7,-4.647,0,0.0854,0.000249,0.000246,0.118,0.179,141.581,https://api.spotify.com/v1/audio-analysis/51c94ac31swyDQj9B3Lzs3,299533
10nyNJ6zNy2YVYLrcwLccB,https://p.scdn.co/mp3-preview/3bd5d6665b9730c368a2280c8fc89a845529825c?cid=7596a347c632409f9829d4c3cb9fa3c7,alt-rock,0.255,0.393,5,-10.654,1,0.0278,0.0577,0.00361,0.113,0.118,76.426,https://api.spotify.com/v1/audio-analysis/10nyNJ6zNy2YVYLrcwLccB,229120
1G391cbiT3v3Cywg8T7DM1,https://p.scdn.co/mp3-preview/0c88db4226488137dec473c4aa7cfd93d43feed5?cid=7596a347c632409f9829d4c3cb9fa3c7,alt-rock,0.595,0.717,0,-4.803,1,0.0295,0.0779,0.00274,0.108,0.547,88.969,https://api.spotify.com/v1/audio-analysis/1G391cbiT3v3Cywg8T7DM1,215907
3ZOEytgrvLwQaqXreDs2Jx,https://p.scdn.co/mp3-preview/27b41ccdd27a08bc2a38d103ae764796eb263c3f?cid=7596a347c632409f9829d4c3cb9fa3c7,alt-rock,0.618,0.938,9,-3.442,1,0.0456,0.0179,0.0,0.167,0.875,91.455,https://api.spotify.com/v1/audio-analysis/3ZOEytgrvLwQaqXreDs2Jx,269000
