id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
73vIOb4Q7YN6HeJTbscRx5,https://p.scdn.co/mp3-preview/50ca5af50bddbed8fbcca81fa928dd8c91afa38a?cid=7596a347c632409f9829d4c3cb9fa3c7,alternative,0.587,0.742,6,-6.64,0,0.0529,0.0128,0.00107,0.146,0.199,145.007,https://api.spotify.com/v1/audio-analysis/73vIOb4Q7YN6HeJTbscRx5,206000
3RKjTYlQrtLXCq5ncswBPp,https://p.scdn.co/mp3-preview/7f76ff0ed76d438796405bca569e8173f9d773f3?cid=7596a347c632409f9829d4c3cb9fa3c7,alternative,0.912,0.507,2,-11.952,1,0.0587,0.579,0.0,0.167,0.725,134.978,https://api.spotify.com/v1/audio-analysis/3RKjTYlQrtLXCq5ncswBPp,115556
0d28khcov6AiegSCpG5TuT,https://p.scdn.co/mp3-preview/f3371418770988f21180d4509ebfbe9345ec0c09?cid=7596a347c632409f9829d4c3cb9fa3c7,alternative,0.818,0.705,6,-6.679,1,0.177,0.00836,0.00233,0.613,0.772,138.559,https://api.spotify.com/v1/audio-analysis/0d28khcov6AiegSCpG5TuT,222640
2DlHlPMa4M17kufBvI2lEN,https://p.scdn.co/mp3-preview/0ba4fbd8e8a1a7f8948329d4368e0191d1003514?cid=7596a347c632409f9829d4c3cb9fa3c7,alternative,0.417,0.934,7,-3.908,0,0.119,0.000278,0.0015,0.132,0.287,127.066,https://api.spotify.com/v1/audio-analysis/2DlHlPMa4M17kufBvI2lEN,210240
60a0Rd6pjrkxjPbaKzXjfq,https://p.scdn.co/mp3-preview/91f72a7835abc272a11f9e659ef71234bb476000?cid=7596a347c632409f9829d4c3cb9fa3c7,alternative,0.556,0.864,3,-5.87,0,0.0584,0.00958,0.0,0.209,0.4,105.143,https://api.spotify.com/v1/audio-analysis/60a0Rd6pjrkxjPbaKzXjfq,216880
6b37xrsNCWYIUphFBazqD6,https://p.scdn.co/mp3-preview/8c3fe61dd5f74b1ed50a6826d5028a00c3519d5d?cid=7596a347c632409f9829d4c3cb9fa3c7,alternative,0.657,0.741,11,-6.822,0,0.0825,0.663,0.494,0.222,0.908,175.949,https://api.spotify.com/v1/audio-analysis/6b37xrsNCWYIUphFBazqD6,239987
4Uiw0Sl9yskBaC6P4DcdVD,https://p.scdn.co/mp3-preview/7b199a891a695680aabfe217402bc42a1e8ffc0e?cid=7596a347c632409f9829d4c3cb9fa3c7,alternative,0.206,0.965,1,-5.116,1,0.079,9.91e-06,0.827,0.367,0.168,92.615,https://api.spotify.com/v1/audio-analysis/4Uiw0Sl9yskBaC6P4DcdVD,299867
2nLtzopw4rPReszdYBJU6h,https://p.scdn.co/mp3-preview/de3bfecab86ee831098a12e412fa39bd2e9d414b?cid=7596a347c632409f9829d4c3cb9fa3c7,alternative,0.496,0.863,9,-4.153,1,0.0381,0.0046,0.0,0.639,0.243,110.018,https://api.spotify.com/v1/audio-analysis/2nLtzopw4rPReszdYBJU6h,185587
4MbzauKV2ydtZZjLsPcuTF,https://p.scdn.co/mp3-preview/54095cf18abdd62dc41b319bf4dda174f3cb7323?cid=7596a347c632409f9829d4c3cb9fa3c7,alternative,0.621,0.411,6,-8.261,0,0.0333,0.0553,0.0,0.0816,0.357,110.113,https://api.spotify.com/v1/audio-analysis/4MbzauKV2ydtZZjLsPcuTF,202520
3NRql0A1Ef4RCvT473iqgD,https://p.scdn.co/mp3-preview/777c0ef11bc1d475fd3f5f55869b410f2fc7fee5?cid=7596a347c632409f9829d4c3cb9fa3c7,alternative,0.584,0.684,10,-4.314,0,0.567,0.312,9.05e-05,0.112,0.72,210.164,https://api.spotify.com/v1/audio-analysis/3NRql0A1Ef4RCvT473iqgD,213573
61mWefnWQOLf90gepjOCb3,https://p.scdn.co/mp3-preview/f58c1e366476bd6110676e3882c5ad3025dfb96b?cid=7596a347c632409f9829d4c3cb9fa3c7,alternative,0.354,0.982,4,-3.026,0,0.168,0.000237,0.000294,0.204,0.194,143.772,https://api.spotify.com/v1/audio-analysis/61mWefnWQOLf90gepjOCb3,252613
2XILilAwcXHdGwZLNHteue,https://p.scdn.co/mp3-preview/0ec7c261f99db7cc60518d92af526786ff2d17ca?cid=7596a347c632409f9829d4c3cb9fa3c7,alternative,0.371,0.655,0,-9.901,1,0.0771,0.0526,2.14e-06,0.168,0.855,147.794,https://api.spotify.com/v1/audio-analysis/2XILilAwcXHdGwZLNHteue,64766
4fouWK6XVHhzl78KzQ1UjL,https://p.scdn.co/mp3-preview/411a51f6098bcb05632587dac118b38cb5ed8f76?cid=7596a347c632409f9829d4c3cb9fa3c7,alternative,0.695,0.54,4,-5.692,1,0.0493,0.299,0.0,0.367,0.415,121.932,https://api.spotify.com/v1/audio-analysis/4fouWK6XVHhzl78KzQ1UjL,168602
0snQkGI5qnAmohLE7jTsTn,https://p.scdn.co/mp3-preview/6285d5dd783d496b929a3dd5a52e8da7642826f1?cid=7596a347c632409f9829d4c3cb9fa3c7,alternative,0.413,0.873,8,-4.151,1,0.0536,0.000264,0.00249,0.204,0.48,116.68,https://api.spotify.com/v1/audio-analysis/0snQkGI5qnAmohLE7jTsTn,218933
7yMiX7n9SBvadzox8T5jzT,https://p.scdn.co/mp3-preview/359722f869c69f0cca94a4504c6c5632a61b0f72?cid=7596a347c632409f9829d4c3cb9fa3c7,alternative,0.663,0.694,10,-8.627,0,0.171,0.0253,0.0,0.0698,0.525,167.953,https://api.spotify.com/v1/audio-analysis/7yMiX7n9SBvadzox8T5jzT,340920
