id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
3AVrVz5rK8Hrqo9YGiVGN5,https://p.scdn.co/mp3-preview/3db306aa1925cac6f75881c51033f207c04ec75b?cid=7596a347c632409f9829d4c3cb9fa3c7,ambient,0.369,0.467,5,-9.018,1,0.0274,0.0194,0.46,0.109,0.174,94.473,https://api.spotify.com/v1/audio-analysis/3AVrVz5rK8Hrqo9YGiVGN5,290147
69UqtTHfUKAJweQwEStRzC,https://p.scdn.co/mp3-preview/1b8feca6162e31cd2b58dec480b5136b236af7c1?cid=7596a347c632409f9829d4c3cb9fa3c7,ambient,0.412,0.477,9,-9.381,0,0.029,0.0542,0.798,0.0975,0.141,75.302,https://api.spotify.com/v1/audio-analysis/69UqtTHfUKAJweQwEStRzC,214680
0Qr61NXlyAeQaADO5xn3rI,https://p.scdn.co/mp3-preview/b80b8d116181a99c6d1e9775930b4f8590501bfc?cid=7596a347c632409f9829d4c3cb9fa3c7,ambient,0.409,0.399,7,-10.456,1,0.0275,0.763,0.654,0.112,0.161,142.823,https://api.spotify.com/v1/audio-analysis/0Qr61NXlyAeQaADO5xn3rI,256800
7LX4aXtvImhdgUHQBlo8Kp,https://p.scdn.co/mp3-preview/69125f64bf04457da287db3abcaa3e602c0d4255?cid=7596a347c632409f9829d4c3cb9fa3c7,ambient,0.454,0.404,3,-10.26,1,0.027,0.146,0.819,0.141,0.313,94.113,https://api.spotify.com/v1/audio-analysis/7LX4aXtvImhdgUHQBlo8Kp,319560
3VSYkAf6f46i5ZkXOHORq1,https://p.scdn.co/mp3-preview/1f2db100e5c23ffbd76c5cdcc66b92e6c4af3c1c?cid=7596a347c632409f9829d4c3cb9fa3c7,ambient,0.448,0.511,6,-9.084,1,0.0274,0.362,0.823,0.129,0.112,96.321,https://api.spotify.com/v1/audio-analysis/3VSYkAf6f46i5ZkXOHORq1,291640
7qH9Z4dJEN0l9bidizW7fq,https://p.scdn.co/mp3-preview/f321c58e56b39faf0c20643d3a3b71a5c4b28c2d?cid=7596a347c632409f9829d4c3cb9fa3c7,ambient,0.457,0.407,9,-11.475,1,0.0308,0.805,0.884,0.126,0.126,117.053,https://api.spotify.com/v1/audio-analysis/7qH9Z4dJEN0l9bidizW7fq,257533
5g5XvfePSypMK6eiVL6BI7,https://p.scdn.co/mp3-preview/f8c529181eeaea0aa2d1afefbf961baa1c27b313?cid=7596a347c632409f9829d4c3cb9fa3c7,ambient,0.653,0.442,7,-11.727,1,0.0337,0.522,0.699,0.107,0.363,109.971,https://api.spotify.com/v1/audio-analysis/5g5XvfePSypMK6eiVL6BI7,234174
7CoMBpPTwQi2wPT0U0Nr9b,https://p.scdn.co/mp3-preview/98058cdb5396504dd8024ce64ca0ff6f1c0d924f?cid=7596a347c632409f9829d4c3cb9fa3c7,ambient,0.509,0.31,9,-10.623,1,0.0313,0.959,0.229,0.0963,0.151,137.474,https://api.spotify.com/v1/audio-analysis/7CoMBpPTwQi2wPT0U0Nr9b,208653
1Bh0UzthW8pKEnYg7v40Oa,https://p.scdn.co/mp3-preview/5ff9bcc9d994363ff78da2472753971f92656899?cid=7596a347c632409f9829d4c3cb9fa3c7,ambient,0.539,0.431,8,-9.298,1,0.0249,0.628,0.653,0.11,0.122,105.156,https://api.spotify.com/v1/audio-analysis/1Bh0UzthW8pKEnYg7v40Oa,288595
6Q5uDNuuFYa8ToL3CCoHPC,https://p.scdn.co/mp3-preview/d584fa505934381dd27c5aa5d593db739f8e5e7c?cid=7596a347c632409f9829d4c3cb9fa3c7,ambient,0.224,0.139,11,-22.587,1,0.0354,0.961,0.913,0.108,0.213,111.316,https://api.spotify.com/v1/audio-analysis/6Q5uDNuuFYa8ToL3CCoHPC,196893
3GhsBdS9ulPK3KCdwHRPhG,https://p.scdn.co/mp3-preview/ca825717bf4ecc63c9d48e05cd0b4b9e4c965224?cid=7596a347c632409f9829d4c3cb9fa3c7,ambient,0.509,0.331,4,-14.083,1,0.0267,0.272,0.136,0.114,0.0957,96.848,https://api.spotify.com/v1/audio-analysis/3GhsBdS9ulPK3KCdwHRPhG,286293
5IonbH68pmDKBwcKlyswmR,https://p.scdn.co/mp3-preview/75052fd88c88cb0b6b73ab99dde77b6473282dca?cid=7596a347c632409f9829d4c3cb9fa3c7,ambient,0.429,0.457,3,-8.375,1,0.0294,0.35,0.859,0.099,0.183,124.033,https://api.spotify.com/v1/audio-analysis/5IonbH68pmDKBwcKlyswmR,258013
2kfGoV9a5dbSKCNmUWH2ZF,https://p.scdn.co/mp3-preview/067380ba088e89bf27825668b22cf5479856e3b1?cid=7596a347c632409f9829d4c3cb9fa3c7,ambient,0.307,0.371,3,-8.498,1,0.0288,0.923,0.0253,0.11,0.189,115.241,https://api.spotify.com/v1/audio-analysis/2kfGoV9a5dbSKCNmUWH2ZF,255893
0EUw3ZK8Ti14t6R6FOP8Ty,https://p.scdn.co/mp3-preview/e04dfac7248750fd256986107519c784be1922f4?cid=7596a347c632409f9829d4c3cb9fa3c7,ambient,0.438,0.47,5,-10.94,1,0.0243,0.357,0.821,0.113,0.282,92.653,https://api.spotify.com/v1/audio-analysis/0EUw3ZK8Ti14t6R6FOP8Ty,264453
4m1jesCFX1gQtIRFirfwCW,https://p.scdn.co/mp3-preview/6b94b16389792f5931e7de802f0259cbd6435e6c?cid=7596a347c632409f9829d4c3cb9fa3c7,ambient,0.482,0.267,7,-11.638,1,0.0262,0.722,0.02,0.125,0.347,140.617,https://api.spotify.com/v1/audio-analysis/4m1jesCFX1gQtIRFirfwCW,245840
3A1kkAIXl4IPxeJRCCF4Bc,https://p.scdn.co/mp3-preview/f9fdae0034b22bc6b68d20e3c37718320840b67f?cid=7596a347c632409f9829d4c3cb9fa3c7,ambient,0.487,0.501,6,-9.404,1,0.024,0.365,0.911,0.103,0.372,95.924,https://api.spotify.com/v1/audio-analysis/3A1kkAIXl4IPxeJRCCF4Bc,292853
4g2WiijzSKzH8PApKDbadN,https://p.scdn.co/mp3-preview/349ef22f8b26966cfc07bc0686396843eb643595?cid=7596a347c632409f9829d4c3cb9fa3c7,ambient,0.415,0.104,0,-11.83,1,0.0426,0.955,3.79e-06,0.104,0.18,82.006,https://api.spotify.com/v1/audio-analysis/4g2WiijzSKzH8PApKDbadN,256300
1XZPtZVqcOzzxbYIR7MjQw,https://p.scdn.co/mp3-preview/35a1243ffed11d431b31692fd458672b622e0257?cid=7596a347c632409f9829d4c3cb9fa3c7,ambient,0.409,0.223,10,-13.886,1,0.0296,0.947,0.0123,0.0635,0.173,89.877,https://api.spotify.com/v1/audio-analysis/1XZPtZVqcOzzxbYIR7MjQw,192867
5PzWVmfzu7rePAuFkxPQf0,https://p.scdn.co/mp3-preview/d58b432c428c02a66c60d1c85592d573c6915441?cid=7596a347c632409f9829d4c3cb9fa3c7,ambient,0.233,0.15,1,-11.736,1,0.0336,0.982,0.36,0.154,0.0875,143.887,https://api.spotify.com/v1/audio-analysis/5PzWVmfzu7rePAuFkxPQf0,234080
