id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
3khEEPRyBeOUabbmOPJzAG,https://p.scdn.co/mp3-preview/8f651558ac9b3e383a7d024c9344d6e9311ee405?cid=7596a347c632409f9829d4c3cb9fa3c7,anime,0.577,0.941,1,-5.17,1,0.105,0.00207,3.36e-06,0.0891,0.292,101.921,https://api.spotify.com/v1/audio-analysis/3khEEPRyBeOUabbmOPJzAG,193495
6y4GYuZszeXNOXuBFsJlos,https://p.scdn.co/mp3-preview/7784773f9212a8219a758b8c373ea00a36fe4a84?cid=7596a347c632409f9829d4c3cb9fa3c7,anime,0.584,0.911,5,-3.515,0,0.09,0.0119,0.0,0.119,0.606,92.502,https://api.spotify.com/v1/audio-analysis/6y4GYuZszeXNOXuBFsJlos,221426
1wcr8DjnN59Awev8nnKpQ4,https://p.scdn.co/mp3-preview/b2bc323bcee50515537af276373a7fcef7f8934d?cid=7596a347c632409f9829d4c3cb9fa3c7,anime,0.599,0.869,5,-5.174,0,0.0618,0.000707,0.0,0.0911,0.453,132.889,https://api.spotify.com/v1/audio-analysis/1wcr8DjnN59Awev8nnKpQ4,193260
0UzymivvUH5s8z4PeWZJaK,https://p.scdn.co/mp3-preview/01d390a2fa79dd237241ef55400e452b928ba5bc?cid=7596a347c632409f9829d4c3cb9fa3c7,anime,0.6,0.713,6,-5.079,0,0.0592,0.0642,0.0,0.142,0.471,72.999,https://api.spotify.com/v1/audio-analysis/0UzymivvUH5s8z4PeWZJaK,172107
5elW2CKSoqjYoJ32AGDxf1,https://p.scdn.co/mp3-preview/a18ecf5757b7430c3c2e4cf19784d19f03f80085?cid=7596a347c632409f9829d4c3cb9fa3c7,anime,0.738,0.67,7,-3.766,0,0.0439,0.458,0.0,0.361,0.651,138.055,https://api.spotify.com/v1/audio-analysis/5elW2CKSoqjYoJ32AGDxf1,184602
0qMip0B2D4ePEjBJvAtYre,https://p.scdn.co/mp3-preview/2056a6731a42f1abeedaea856b55bf0e4b5cae0f?cid=7596a347c632409f9829d4c3cb9fa3c7,anime,0.541,0.977,4,-2.828,0,0.157,0.00321,5.13e-05,0.0796,0.263,134.938,https://api.spotify.com/v1/audio-analysis/0qMip0B2D4ePEjBJvAtYre,237587
7v8wKvNQQIxkugCFFjrkaO,https://p.scdn.co/mp3-preview/0bd9fa9fdf318fd7cfff55169cb226bd60d97058?cid=7596a347c632409f9829d4c3cb9fa3c7,anime,0.367,0.896,11,-4.002,1,0.091,0.000627,0.0,0.207,0.38,170.863,https://api.spotify.com/v1/audio-analysis/7v8wKvNQQIxkugCFFjrkaO,184893
5Zf25eS8E1znm9mez4cGsm,https://p.scdn.co/mp3-preview/77c1de051ca4136d95c19ab0afbefbf3951c4619?cid=7596a347c632409f9829d4c3cb9fa3c7,anime,0.224,0.146,9,-16.331,0,0.0338,0.961,0.712,0.113,0.142,94.255,https://api.spotify.com/v1/audio-analysis/5Zf25eS8E1znm9mez4cGsm,130693
37vujUbX37xoBmwoddMYck,https://p.scdn.co/mp3-preview/cc732888b03647c216ba9f80a5b37d2322ff3f93?cid=7596a347c632409f9829d4c3cb9fa3c7,anime,0.507,0.966,6,-4.046,1,0.0952,0.000382,1.26e-06,0.349,0.752,125.913,https://api.spotify.com/v1/audio-analysis/37vujUbX37xoBmwoddMYck,208964
6PRy17C5LiiN7VCLS6IA98,https://p.scdn.co/mp3-preview/a6bfc8ca083338912ed7de66044c89144b2b7027?cid=7596a347c632409f9829d4c3cb9fa3c7,anime,0.658,0.9,9,-3.479,0,0.264,0.0364,0.0,0.0771,0.526,156.096,https://api.spotify.com/v1/audio-analysis/6PRy17C5LiiN7VCLS6IA98,180750
