id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
59kan8Xe5IrcYyJrDbo6qU,https://p.scdn.co/mp3-preview/2a58f901f41c590b1cbc93370ecab60a04d5fa59?cid=7596a347c632409f9829d4c3cb9fa3c7,black-metal,0.379,0.502,11,-8.941,0,0.0388,0.0289,0.926,0.222,0.0381,113.238,https://api.spotify.com/v1/audio-analysis/59kan8Xe5IrcYyJrDbo6qU,117558
0snhTvHSZ5ACrvdcVWeCDS,https://p.scdn.co/mp3-preview/e6ac1be3158a3a956772282855dd12918dcf3d37?cid=7596a347c632409f9829d4c3cb9fa3c7,black-metal,0.488,0.903,6,-5.244,1,0.0698,0.000103,0.000219,0.218,0.189,94.037,https://api.spotify.com/v1/audio-analysis/0snhTvHSZ5ACrvdcVWeCDS,224611
6pUUtKVRmODliJWTyY2pet,https://p.scdn.co/mp3-preview/b165cdc8f98e5314109ff56eefff355de253e3b8?cid=7596a347c632409f9829d4c3cb9fa3c7,black-metal,0.249,0.951,9,-4.062,0,0.211,2.49e-05,0.0134,0.0892,0.117,143.018,https://api.spotify.com/v1/audio-analysis/6pUUtKVRmODliJWTyY2pet,275205
5XaueS6W32nmVOFqYsmoCr,https://p.scdn.co/mp3-preview/f82c75e6a33ee467f90358b2e8ded28d281a654f?cid=7596a347c632409f9829d4c3cb9fa3c7,black-metal,0.254,0.98,0,-4.348,1,0.138,0.00014,0.0659,0.306,0.0399,125.023,https://api.spotify.com/v1/audio-analysis/5XaueS6W32nmVOFqYsmoCr,285160
3qSO9glfDKlL7mFzUJbz2V,https://p.scdn.co/mp3-preview/9def5427ea60799047da6512ae1a0753c53a9bde?cid=7596a347c632409f9829d4c3cb9fa3c7,black-metal,0.372,0.985,6,-2.874,1,0.182,5.57e-05,0.00036,0.152,0.369,179.911,https://api.spotify.com/v1/audio-analysis/3qSO9glfDKlL7mFzUJbz2V,231959
6X0s2eXXpSLZCqpd4ffm3t,https://p.scdn.co/mp3-preview/5a882b2f0af3dc408ebbc1fada16df4d8e6944b3?cid=7596a347c632409f9829d4c3cb9fa3c7,black-metal,0.29,0.869,6,-5.155,1,0.0743,6.09e-05,0.0,0.815,0.434,110.006,https://api.spotify.com/v1/audio-analysis/6X0s2eXXpSLZCqpd4ffm3t,181896
4AP3a7eEOlz5sTJiWnv2C6,https://p.scdn.co/mp3-preview/c322552d5122accc785edd1d32ad6b0744a7fe47?cid=7596a347c632409f9829d4c3cb9fa3c7,black-metal,0.168,0.974,4,-9.116,1,0.112,3.05e-05,0.641,0.0752,0.0943,93.424,https://api.spotify.com/v1/audio-analysis/4AP3a7eEOlz5sTJiWnv2C6,383053
3iubkenxO8JUJNp7phyVlb,https://p.scdn.co/mp3-preview/94f0a6b3663304fb2b587e347832fb29f1edadfb?cid=7596a347c632409f9829d4c3cb9fa3c7,black-metal,0.288,0.792,10,-6.818,1,0.0486,0.000435,0.587,0.209,0.16,137.077,https://api.spotify.com/v1/audio-analysis/3iubkenxO8JUJNp7phyVlb,241625
02FMm5i1pZR6TC9IeAmx1B,https://p.scdn.co/mp3-preview/fc19b5b28d0ec7fc2f6636ccb0535bc5412250e7?cid=7596a347c632409f9829d4c3cb9fa3c7,black-metal,0.53,0.833,0,-4.475,1,0.0499,3.24e-05,0.385,0.359,0.357,119.945,https://api.spotify.com/v1/audio-analysis/02FMm5i1pZR6TC9IeAmx1B,210347
0bKs1y9PTFBddM9qj0JGvb,https://p.scdn.co/mp3-preview/37502f320f06b2c75d8a3eccf50565dc27ce2417?cid=7596a347c632409f9829d4c3cb9fa3c7,black-metal,0.303,0.969,8,-2.466,1,0.162,9.03e-05,0.844,0.417,0.163,109.384,https://api.spotify.com/v1/audio-analysis/0bKs1y9PTFBddM9qj0JGvb,186488
6WuqJLVZcyJklg7lIozAO8,https://p.scdn.co/mp3-preview/87af9240193d9281091a8aa96cc2d6aaa3ea2f3f?cid=7596a347c632409f9829d4c3cb9fa3c7,black-metal,0.462,0.905,0,-3.825,0,0.0438,0.00066,0.0402,0.0839,0.253,122.925,https://api.spotify.com/v1/audio-analysis/6WuqJLVZcyJklg7lIozAO8,302360
4NxyQN1Jc59dNeGsqYfmEo,https://p.scdn.co/mp3-preview/30ed5f6740e46ba7a5074d05b3b92af0007fef70?cid=7596a347c632409f9829d4c3cb9fa3c7,black-metal,0.383,0.975,4,-2.148,1,0.134,0.00988,0.0,0.098,0.377,133.148,https://api.spotify.com/v1/audio-analysis/4NxyQN1Jc59dNeGsqYfmEo,117907
08WzAPtFjBJ3P6Eco1JjuO,https://p.scdn.co/mp3-preview/970e69b1167dbe05fd8d46247cfbca5e3ae6f4a9?cid=7596a347c632409f9829d4c3cb9fa3c7,black-metal,0.286,0.988,9,-2.462,1,0.162,0.000227,0.161,0.115,0.0809,140.035,https://api.spotify.com/v1/audio-analysis/08WzAPtFjBJ3P6Eco1JjuO,278356
