id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
11TmWrHkxwtVcCtEdAXjJA,https://p.scdn.co/mp3-preview/cf66a19fe5bee7e1ff5a40884709b81605f8bac1?cid=7596a347c632409f9829d4c3cb9fa3c7,bluegrass,0.582,0.371,2,-9.585,0,0.028,0.912,0.00784,0.108,0.163,128.756,https://api.spotify.com/v1/audio-analysis/11TmWrHkxwtVcCtEdAXjJA,193533
53DVsTZvB16BDP30XmfSef,https://p.scdn.co/mp3-preview/236c25083eb77a8f6be9e7203421696d010e357b?cid=7596a347c632409f9829d4c3cb9fa3c7,bluegrass,0.657,0.368,7,-9.978,1,0.0281,0.884,0.00293,0.109,0.522,116.221,https://api.spotify.com/v1/audio-analysis/53DVsTZvB16BDP30XmfSef,188947
2XgGdD5d2MW4RNx8KnIjVh,https://p.scdn.co/mp3-preview/f2ccbe0a2920f16149cadb7910820eae1319c72d?cid=7596a347c632409f9829d4c3cb9fa3c7,bluegrass,0.621,0.403,9,-8.211,1,0.0359,0.581,0.0,0.114,0.634,145.523,https://api.spotify.com/v1/audio-analysis/2XgGdD5d2MW4RNx8KnIjVh,232133
501GNDSyNQuZcdCQg1Llt7,https://p.scdn.co/mp3-preview/c2f2ae485c934bd91698705a902397f7c5aaf15b?cid=7596a347c632409f9829d4c3cb9fa3c7,bluegrass,0.54,0.4,2,-9.305,1,0.0247,0.902,0.00147,0.115,0.512,102.979,https://api.spotify.com/v1/audio-analysis/501GNDSyNQuZcdCQg1Llt7,210227
73C8vVm2BRLLBQ8FH6N6Qm,https://p.scdn.co/mp3-preview/73e96fe2d0ad2e5bb3b788ca2c808f2c8d15f937?cid=7596a347c632409f9829d4c3cb9fa3c7,bluegrass,0.502,0.372,0,-10.996,1,0.0313,0.677,5.61e-05,0.104,0.257,98.607,https://api.spotify.com/v1/audio-analysis/73C8vVm2BRLLBQ8FH6N6Qm,245107
5uZOpH2gviWVmECmsiovqK,https://p.scdn.co/mp3-preview/d919afa2fa80838672ebb2ea0cce0df28cc98d10?cid=7596a347c632409f9829d4c3cb9fa3c7,bluegrass,0.31,0.498,7,-7.794,1,0.0295,0.302,1.54e-05,0.0671,0.529,152.149,https://api.spotify.com/v1/audio-analysis/5uZOpH2gviWVmECmsiovqK,277000
7rYGZmhNJhsmVLjPidM1q8,https://p.scdn.co/mp3-preview/660f652ae9c0f3996e3b5aa7618b6fc316f43a76?cid=7596a347c632409f9829d4c3cb9fa3c7,bluegrass,0.595,0.797,0,-6.243,1,0.029,0.352,0.000553,0.107,0.9,111.058,https://api.spotify.com/v1/audio-analysis/7rYGZmhNJhsmVLjPidM1q8,194987
0trVnybi3L9TLXvMgSYoYG,https://p.scdn.co/mp3-preview/c2fe8cb41f8d1652a0fe8ad6d2166667a22b2373?cid=7596a347c632409f9829d4c3cb9fa3c7,bluegrass,0.599,0.294,5,-10.222,1,0.0279,0.851,0.0384,0.102,0.308,118.207,https://api.spotify.com/v1/audio-analysis/0trVnybi3L9TLXvMgSYoYG,183733
5WsxLkPL1QRKRfCed6qTTn,https://p.scdn.co/mp3-preview/f5bf0e0d845215e9971d1df03f5d5c03d5000a9e?cid=7596a347c632409f9829d4c3cb9fa3c7,bluegrass,0.599,0.488,0,-8.046,0,0.0297,0.179,0.00523,0.137,0.353,128.534,https://api.spotify.com/v1/audio-analysis/5WsxLkPL1QRKRfCed6qTTn,265773
7FqrsV0vBwNiQNQI6jfzni,https://p.scdn.co/mp3-preview/47a7359f904c9fde607dbaaabcedbc35c4a908ae?cid=7596a347c632409f9829d4c3cb9fa3c7,bluegrass,0.571,0.427,11,-7.574,1,0.0405,0.202,0.0,0.1,0.894,142.454,https://api.spotify.com/v1/audio-analysis/7FqrsV0vBwNiQNQI6jfzni,200720
