id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
0QULNNd9z5s35entfiiXoa,https://p.scdn.co/mp3-preview/04f6236ad7f29a57bff5ebf713a611c177288587?cid=7596a347c632409f9829d4c3cb9fa3c7,blues,0.612,0.884,5,-4.4,1,0.0459,0.00516,0.0,0.0997,0.626,119.991,https://api.spotify.com/v1/audio-analysis/0QULNNd9z5s35entfiiXoa,245626
16Sdmdt7jpibASwEsO0s9j,https://p.scdn.co/mp3-preview/57078aa6250cb6a56348fbcdb13902a7aa797066?cid=7596a347c632409f9829d4c3cb9fa3c7,blues,0.554,0.809,0,-4.893,1,0.039,0.00481,0.00156,0.111,0.462,159.989,https://api.spotify.com/v1/audio-analysis/16Sdmdt7jpibASwEsO0s9j,211933
1QEEqeFIZktqIpPI4jSVSF,https://p.scdn.co/mp3-preview/9aea8085348df08b88a099ee251807eb433aff83?cid=7596a347c632409f9829d4c3cb9fa3c7,blues,0.377,0.681,7,-8.039,1,0.0298,0.00088,0.0023,0.0504,0.285,108.789,https://api.spotify.com/v1/audio-analysis/1QEEqeFIZktqIpPI4jSVSF,285133
1qRA5BS78u3gME0loMl9AA,https://p.scdn.co/mp3-preview/e0f1ba10befeac19505b738a5562f2bc9222a19b?cid=7596a347c632409f9829d4c3cb9fa3c7,blues,0.653,0.519,2,-10.164,1,0.0497,0.406,0.0209,0.101,0.822,98.883,https://api.spotify.com/v1/audio-analysis/1qRA5BS78u3gME0loMl9AA,153693
5QTxFnGygVM4jFQiBovmRo,https://p.scdn.co/mp3-preview/443c4dbb7d0df24cd81d1117e2dfb220085d499d?cid=7596a347c632409f9829d4c3cb9fa3c7,blues,0.333,0.927,9,-8.55,0,0.0733,0.0029,0.000208,0.297,0.385,141.466,https://api.spotify.com/v1/audio-analysis/5QTxFnGygVM4jFQiBovmRo,308120
7BY005dacJkbO6EPiOh2wb,https://p.scdn.co/mp3-preview/bdf57e17090f12c5b5837bf4f6bf0a78ad989b18?cid=7596a347c632409f9829d4c3cb9fa3c7,blues,0.295,0.584,9,-6.696,0,0.0345,0.000385,0.218,0.0996,0.228,117.2,https://api.spotify.com/v1/audio-analysis/7BY005dacJkbO6EPiOh2wb,271280
3zBhihYUHBmGd2bcQIobrF,https://p.scdn.co/mp3-preview/85ff6628265b738adb2d53abdcd5218d09c05555?cid=7596a347c632409f9829d4c3cb9fa3c7,blues,0.769,0.367,2,-11.226,1,0.0312,0.684,1.62e-05,0.081,0.535,103.621,https://api.spotify.com/v1/audio-analysis/3zBhihYUHBmGd2bcQIobrF,163756
7Ar4G7Ci11gpt6sfH9Cgz5,https://p.scdn.co/mp3-preview/18a0df7f49299b209138e5353cc4acc9ddd03227?cid=7596a347c632409f9829d4c3cb9fa3c7,blues,0.645,0.598,1,-13.18,0,0.0335,0.221,3.53e-06,0.0721,0.913,105.929,https://api.spotify.com/v1/audio-analysis/7Ar4G7Ci11gpt6sfH9Cgz5,227267
3hhbDnFUb2bicI2df6VurK,https://p.scdn.co/mp3-preview/822e6588f29b8c25481611e74f81e9341e5c06f2?cid=7596a347c632409f9829d4c3cb9fa3c7,blues,0.635,0.184,8,-10.785,1,0.0456,0.665,0.0,0.146,0.177,128.424,https://api.spotify.com/v1/audio-analysis/3hhbDnFUb2bicI2df6VurK,240200
1Omt5bfz1tZUCqd26HxbS0,https://p.scdn.co/mp3-preview/7c5fe5091080cbc0401ad141674d4c7389cb8c65?cid=7596a347c632409f9829d4c3cb9fa3c7,blues,0.581,0.687,6,-5.4,1,0.105,0.229,0.0,0.109,0.187,76.014,https://api.spotify.com/v1/audio-analysis/1Omt5bfz1tZUCqd26HxbS0,240600
