id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
6GomT970rCOkKAyyrwJeZi,https://p.scdn.co/mp3-preview/a1459dd9a0027e3771e6d869beae45131d22c9a1?cid=7596a347c632409f9829d4c3cb9fa3c7,brazil,0.848,0.821,2,-5.408,0,0.0527,0.0169,0.000403,0.0962,0.249,125.051,https://api.spotify.com/v1/audio-analysis/6GomT970rCOkKAyyrwJeZi,157445
3yZsBXwiQkqLjnWYip17Uu,https://p.scdn.co/mp3-preview/ea54301e9f33482c2face5dbd845bc173c15312f?cid=7596a347c632409f9829d4c3cb9fa3c7,brazil,0.782,0.728,5,-6.568,1,0.146,0.00245,7.9e-05,0.241,0.602,122.035,https://api.spotify.com/v1/audio-analysis/3yZsBXwiQkqLjnWYip17Uu,229586
4bndkI1TTh7itdsyixtDoD,https://p.scdn.co/mp3-preview/d74870a72ff3f263818796dc1e0041e601598dc4?cid=7596a347c632409f9829d4c3cb9fa3c7,brazil,0.777,0.573,10,-12.078,0,0.335,0.47,0.0138,0.177,0.622,95.087,https://api.spotify.com/v1/audio-analysis/4bndkI1TTh7itdsyixtDoD,279680
1YKp8PG1DEQJ0hLc2CJGO8,https://p.scdn.co/mp3-preview/6148e02835602e33a2a52c137234007a4e18e695?cid=7596a347c632409f9829d4c3cb9fa3c7,brazil,0.761,0.867,2,-6.168,1,0.0499,0.259,0.615,0.0689,0.679,126.03,https://api.spotify.com/v1/audio-analysis/1YKp8PG1DEQJ0hLc2CJGO8,185896
35otBCRXC8HdmRqndFStL0,https://p.scdn.co/mp3-preview/62b0c04007264da49155e27ab9b6a1aa84b0ace7?cid=7596a347c632409f9829d4c3cb9fa3c7,brazil,0.429,0.0234,6,-29.753,1,0.0489,0.995,0.957,0.0962,0.0751,116.163,https://api.spotify.com/v1/audio-analysis/35otBCRXC8HdmRqndFStL0,165693
4jq2VvGRwwtTDdvhnsXNAp,https://p.scdn.co/mp3-preview/45a8c1285e556b91f97c11264d94c98f0f208b62?cid=7596a347c632409f9829d4c3cb9fa3c7,brazil,0.717,0.845,0,-7.657,1,0.0875,0.621,6.68e-06,0.0798,0.704,102.978,https://api.spotify.com/v1/audio-analysis/4jq2VvGRwwtTDdvhnsXNAp,127827
2eXBjkt4NlEI9430egVp1W,https://p.scdn.co/mp3-preview/8e8a59eb65de6cc6985d30cc4bea90ab0d0ba0ef?cid=7596a347c632409f9829d4c3cb9fa3c7,brazil,0.768,0.935,6,-3.171,0,0.0391,0.00432,0.0104,0.111,0.355,125.011,https://api.spotify.com/v1/audio-analysis/2eXBjkt4NlEI9430egVp1W,152280
5T4lERmPqhO2ukZoGJ5sSr,https://p.scdn.co/mp3-preview/28ce251d81109270941f680a5f003c7a25b4ca8e?cid=7596a347c632409f9829d4c3cb9fa3c7,brazil,0.843,0.713,0,-5.487,1,0.0851,0.0276,0.76,0.0961,0.298,123.983,https://api.spotify.com/v1/audio-analysis/5T4lERmPqhO2ukZoGJ5sSr,147976
6ursmCnbc9oDRGa2yHKkoZ,https://p.scdn.co/mp3-preview/d906ec03efe4d3c0b8614c08d14619add563d379?cid=7596a347c632409f9829d4c3cb9fa3c7,brazil,0.428,0.874,4,-6.664,0,0.128,0.000337,0.0419,0.311,0.261,119.708,https://api.spotify.com/v1/audio-analysis/6ursmCnbc9oDRGa2yHKkoZ,212253
0rxEsBxxil046ZqipaCXle,https://p.scdn.co/mp3-preview/898ed759880041ede4a293166d1170e1b78ced64?cid=7596a347c632409f9829d4c3cb9fa3c7,brazil,0.654,0.873,4,-6.125,0,0.0338,0.0536,0.000991,0.36,0.415,124.006,https://api.spotify.com/v1/audio-analysis/0rxEsBxxil046ZqipaCXle,154839
06eWYNpTerINx5SzGRzkQh,https://p.scdn.co/mp3-preview/bc5a2d83dfcd5145770f4e3b3361c2e242f167aa?cid=7596a347c632409f9829d4c3cb9fa3c7,brazil,0.355,0.553,0,-5.434,1,0.0334,0.423,2.37e-06,0.662,0.195,99.656,https://api.spotify.com/v1/audio-analysis/06eWYNpTerINx5SzGRzkQh,276965
6hhttA19Y0Da4u2XIXSgVl,https://p.scdn.co/mp3-preview/1645e50ed05e8621560718444c7323acad10b608?cid=7596a347c632409f9829d4c3cb9fa3c7,brazil,0.482,0.475,7,-6.854,1,0.026,0.596,5.01e-06,0.113,0.171,73.987,https://api.spotify.com/v1/audio-analysis/6hhttA19Y0Da4u2XIXSgVl,275307
1fliYVsI2P36gcr4alaIMY,https://p.scdn.co/mp3-preview/e17c0700f3f20c2d1463f15d4619444f17e0153d?cid=7596a347c632409f9829d4c3cb9fa3c7,brazil,0.44,0.259,10,-8.81,1,0.0344,0.927,0.0,0.103,0.453,116.573,https://api.spotify.com/v1/audio-analysis/1fliYVsI2P36gcr4alaIMY,230720
01nMDSZjjFHE5HRebpB6JX,https://p.scdn.co/mp3-preview/e155dd1160fcd68a85f81512e77d5a0c24b4e789?cid=7596a347c632409f9829d4c3cb9fa3c7,brazil,0.35,0.823,3,-4.527,0,0.0715,0.0012,0.00282,0.112,0.144,136.005,https://api.spotify.com/v1/audio-analysis/01nMDSZjjFHE5HRebpB6JX,384871
6fIb3jUa5xwGlptVwh5GmK,https://p.scdn.co/mp3-preview/239096b7b3b95a5e203f0c9e349bfc21bc20c651?cid=7596a347c632409f9829d4c3cb9fa3c7,brazil,0.319,0.703,1,-4.67,0,0.0407,0.167,0.0,0.258,0.196,135.774,https://api.spotify.com/v1/audio-analysis/6fIb3jUa5xwGlptVwh5GmK,297379
4TnZCEZk2hUveruagew9Ij,https://p.scdn.co/mp3-preview/4ddfc73faa6f49dd4be5a1631d1cd2231fc46924?cid=7596a347c632409f9829d4c3cb9fa3c7,brazil,0.382,0.553,3,-8.072,0,0.0331,0.0144,5.73e-05,0.109,0.0703,135.961,https://api.spotify.com/v1/audio-analysis/4TnZCEZk2hUveruagew9Ij,437928
3qCu8oX4HiHwcnKOYmOg5P,https://p.scdn.co/mp3-preview/fd92a84beab4ce0782756c6b1603883ea59473a0?cid=7596a347c632409f9829d4c3cb9fa3c7,brazil,0.323,0.723,8,-5.42,1,0.0397,0.0611,1.89e-06,0.0955,0.206,157.949,https://api.spotify.com/v1/audio-analysis/3qCu8oX4HiHwcnKOYmOg5P,383184
6S8AUk9nVonK6mGktxQEyT,https://p.scdn.co/mp3-preview/5b20a08b8ca42f76338f4fa3022341a54fa579a1?cid=7596a347c632409f9829d4c3cb9fa3c7,brazil,0.228,0.523,6,-13.144,0,0.0374,0.0273,5.37e-06,0.186,0.317,153.416,https://api.spotify.com/v1/audio-analysis/6S8AUk9nVonK6mGktxQEyT,326883
5W3R46f5WOS6TH3J491Qqa,https://p.scdn.co/mp3-preview/7b14d4267aca6513d9128f618d85bf695670294d?cid=7596a347c632409f9829d4c3cb9fa3c7,brazil,0.4,0.292,1,-7.609,1,0.0318,0.634,0.0,0.104,0.305,124.357,https://api.spotify.com/v1/audio-analysis/5W3R46f5WOS6TH3J491Qqa,342668
4Z4YT23rnoCXz0a3hASNii,https://p.scdn.co/mp3-preview/8f24be661f00374e2017cdefffda12bcd603d36a?cid=7596a347c632409f9829d4c3cb9fa3c7,brazil,0.301,0.521,8,-7.312,0,0.0305,0.0293,0.000427,0.156,0.124,139.099,https://api.spotify.com/v1/audio-analysis/4Z4YT23rnoCXz0a3hASNii,469027
0BZ2L6Ty0bEQddeUInGU6b,https://p.scdn.co/mp3-preview/c20ade2353993d9eb19c6cf688aa1d35a7e097a0?cid=7596a347c632409f9829d4c3cb9fa3c7,brazil,0.352,0.388,6,-5.523,1,0.0285,0.751,1.74e-06,0.0996,0.25,64.956,https://api.spotify.com/v1/audio-analysis/0BZ2L6Ty0bEQddeUInGU6b,351708
04UFWLb4QDCtmNzejslmzQ,https://p.scdn.co/mp3-preview/4dc2a9e5e9377d1c10ed7b6bd0d5689dd86c9a9e?cid=7596a347c632409f9829d4c3cb9fa3c7,brazil,0.37,0.402,7,-6.136,1,0.0335,0.75,0.0,0.204,0.259,128.997,https://api.spotify.com/v1/audio-analysis/04UFWLb4QDCtmNzejslmzQ,267078
5u7kntZO1iwqVlBWnidgtA,https://p.scdn.co/mp3-preview/b7583749ddf6b24ec8081ca77b702e858ad0d087?cid=7596a347c632409f9829d4c3cb9fa3c7,brazil,0.301,0.613,9,-8.119,0,0.0373,0.146,0.00134,0.0811,0.148,137.404,https://api.spotify.com/v1/audio-analysis/5u7kntZO1iwqVlBWnidgtA,422333
3hbi5zXAgQt0Z9V5JSOnCe,https://p.scdn.co/mp3-preview/6ef5f23a9506e7849ba399e2c9fedf979670610d?cid=7596a347c632409f9829d4c3cb9fa3c7,brazil,0.72,0.858,0,-5.657,1,0.0314,0.000307,0.692,0.0932,0.565,124.001,https://api.spotify.com/v1/audio-analysis/3hbi5zXAgQt0Z9V5JSOnCe,184839
6fKNqD073GoAQwpY7xyWVK,https://p.scdn.co/mp3-preview/82840ea4aba00bd32607c48375678c8e35a7675c?cid=7596a347c632409f9829d4c3cb9fa3c7,brazil,0.792,0.702,2,-7.362,0,0.0476,0.0655,1.71e-06,0.101,0.272,125.179,https://api.spotify.com/v1/audio-analysis/6fKNqD073GoAQwpY7xyWVK,140160
0XMl0fVTh3PyPlwyJTn33n,https://p.scdn.co/mp3-preview/29c8ba93693c96bab41746d54c72d320118c2602?cid=7596a347c632409f9829d4c3cb9fa3c7,brazil,0.711,0.722,2,-8.438,1,0.202,0.101,1.26e-05,0.628,0.398,120.058,https://api.spotify.com/v1/audio-analysis/0XMl0fVTh3PyPlwyJTn33n,166005
5Fyy3M7hzyp1LVymB5jP2O,https://p.scdn.co/mp3-preview/e51ef07a2c48dfc4ce0c546e53cf4a513f100741?cid=7596a347c632409f9829d4c3cb9fa3c7,brazil,0.736,0.816,10,-5.157,1,0.0732,0.0319,0.0,0.202,0.466,126.02,https://api.spotify.com/v1/audio-analysis/5Fyy3M7hzyp1LVymB5jP2O,142619
6ryPKHgiz6MSGJ1wYqn28b,https://p.scdn.co/mp3-preview/25cebf0355ec574dea47fe8aadcfabb79054e785?cid=7596a347c632409f9829d4c3cb9fa3c7,brazil,0.776,0.798,9,-8.6,0,0.0907,0.01,0.793,0.116,0.428,127.007,https://api.spotify.com/v1/audio-analysis/6ryPKHgiz6MSGJ1wYqn28b,366142
05mKeQVuFbZWOG30zfwvAG,https://p.scdn.co/mp3-preview/d52989c96b2eb3f37aa2402b3ce7e7222c6f67d7?cid=7596a347c632409f9829d4c3cb9fa3c7,brazil,0.863,0.881,7,-8.54,1,0.0497,0.00305,0.107,0.0767,0.357,129.006,https://api.spotify.com/v1/audio-analysis/05mKeQVuFbZWOG30zfwvAG,159976
4fryIGUnJQ1XPg2QyasFQ4,https://p.scdn.co/mp3-preview/fd7852dd4fa25e2a6a7b82704d0982d8a60c73e6?cid=7596a347c632409f9829d4c3cb9fa3c7,brazil,0.532,0.247,2,-15.507,1,0.0339,0.73,0.0,0.18,0.67,87.995,https://api.spotify.com/v1/audio-analysis/4fryIGUnJQ1XPg2QyasFQ4,123387
1XFHbzTikXks9CsMq4v8Q3,https://p.scdn.co/mp3-preview/c051e8bb08b742624e453a960b6d5e28a4118173?cid=7596a347c632409f9829d4c3cb9fa3c7,brazil,0.74,0.674,11,-4.374,1,0.0476,0.00903,0.238,0.154,0.231,126.017,https://api.spotify.com/v1/audio-analysis/1XFHbzTikXks9CsMq4v8Q3,153697
1HwbMf4EI01RVOqa8URjjQ,https://p.scdn.co/mp3-preview/a2b91f942fe7b3ce0371b0a3ae7389898526b4f1?cid=7596a347c632409f9829d4c3cb9fa3c7,brazil,0.869,0.595,2,-7.716,1,0.0436,0.0292,4.04e-06,0.0885,0.615,126.029,https://api.spotify.com/v1/audio-analysis/1HwbMf4EI01RVOqa8URjjQ,147619
5TTnesU4FqO8b377ZENaqM,https://p.scdn.co/mp3-preview/4ad7f1b971367111f739cc12c537bd0ffc8cd641?cid=7596a347c632409f9829d4c3cb9fa3c7,brazil,0.548,0.794,7,-6.333,1,0.031,0.0654,0.939,0.0817,0.809,98.22,https://api.spotify.com/v1/audio-analysis/5TTnesU4FqO8b377ZENaqM,116667
2OoS1aZFAFscH1cUiKlazH,https://p.scdn.co/mp3-preview/574314116a15050f8b1d5d5f0ba4fd89ad06de67?cid=7596a347c632409f9829d4c3cb9fa3c7,brazil,0.475,0.953,2,-6.951,1,0.15,0.000291,0.00338,0.104,0.232,118.033,https://api.spotify.com/v1/audio-analysis/2OoS1aZFAFscH1cUiKlazH,199227
4P3pRa8uFRJo4Vo8DSwDvB,https://p.scdn.co/mp3-preview/1aad1bd6c16d6a5e8f4bedc4f0fad067ae659da8?cid=7596a347c632409f9829d4c3cb9fa3c7,brazil,0.548,0.975,2,-7.065,1,0.0624,2.76e-05,0.336,0.26,0.439,134.009,https://api.spotify.com/v1/audio-analysis/4P3pRa8uFRJo4Vo8DSwDvB,210200
2koS4fD3kzizdnzWzyrxyT,https://p.scdn.co/mp3-preview/fc4d3268d35bcda3b3aab6f13e64658796885ed7?cid=7596a347c632409f9829d4c3cb9fa3c7,brazil,0.879,0.495,7,-10.584,0,0.0765,0.538,0.000333,0.0827,0.802,102.652,https://api.spotify.com/v1/audio-analysis/2koS4fD3kzizdnzWzyrxyT,313493
0kfdvJhyb0QHBG1IM9Vlht,https://p.scdn.co/mp3-preview/9fcdb2613b659515fe0b49601d4bdaa805ce9048?cid=7596a347c632409f9829d4c3cb9fa3c7,brazil,0.722,0.208,9,-23.775,0,0.0466,0.481,0.881,0.119,0.88,116.793,https://api.spotify.com/v1/audio-analysis/0kfdvJhyb0QHBG1IM9Vlht,189307
4ekDggjElGJX9kNSOtnbVf,https://p.scdn.co/mp3-preview/68429c9b539cc601f9f1404d967da2f0364a80b2?cid=7596a347c632409f9829d4c3cb9fa3c7,brazil,0.723,0.57,9,-8.589,0,0.0429,0.00412,0.00183,0.0862,0.575,123.979,https://api.spotify.com/v1/audio-analysis/4ekDggjElGJX9kNSOtnbVf,196000
