id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
4ZtqsOdBbS6GoedzzRGSo9,https://p.scdn.co/mp3-preview/a6e32353eeb343d0397763c864fca136ca4c8102?cid=7596a347c632409f9829d4c3cb9fa3c7,breakbeat,0.673,0.808,9,-6.183,1,0.0491,0.0121,0.878,0.037,0.303,130.041,https://api.spotify.com/v1/audio-analysis/4ZtqsOdBbS6GoedzzRGSo9,336280
1auX4gkGe7hbrOH0BXdpV4,https://p.scdn.co/mp3-preview/d7927846732bd8dd8ffcea9cd4983599bb83e9cd?cid=7596a347c632409f9829d4c3cb9fa3c7,breakbeat,0.545,0.948,11,-5.098,1,0.0779,0.00335,0.364,0.226,0.355,141.507,https://api.spotify.com/v1/audio-analysis/1auX4gkGe7hbrOH0BXdpV4,279800
2iwGE4y7yF8qzKc5WZ2Z8R,https://p.scdn.co/mp3-preview/cc35340f6de71dc2781c29a5da78e3561abfbdb1?cid=7596a347c632409f9829d4c3cb9fa3c7,breakbeat,0.604,0.995,10,-3.641,0,0.164,0.00306,0.626,0.109,0.262,136.216,https://api.spotify.com/v1/audio-analysis/2iwGE4y7yF8qzKc5WZ2Z8R,343387
2grynUHH0A3faPhGjdkjeJ,https://p.scdn.co/mp3-preview/a10a596a3bde155f9dbf9395898eb66d3781ed74?cid=7596a347c632409f9829d4c3cb9fa3c7,breakbeat,0.499,0.826,9,-7.082,0,0.0534,0.00095,0.029,0.122,0.427,140.007,https://api.spotify.com/v1/audio-analysis/2grynUHH0A3faPhGjdkjeJ,281083
5xcunlfaZvD9BDQsLONI7A,https://p.scdn.co/mp3-preview/ca252ff1870ae10a4acf5eaae863c040ce8d2f50?cid=7596a347c632409f9829d4c3cb9fa3c7,breakbeat,0.577,0.729,11,-14.376,0,0.0319,0.0953,0.928,0.184,0.177,126.988,https://api.spotify.com/v1/audio-analysis/5xcunlfaZvD9BDQsLONI7A,567107
4XKEVz0X1BIDhCAfb782tm,https://p.scdn.co/mp3-preview/6d5a2ef35029c76bc697788d4e78a3da51fa17aa?cid=7596a347c632409f9829d4c3cb9fa3c7,breakbeat,0.522,0.933,1,-4.086,1,0.0544,0.000113,0.724,0.112,0.679,181.957,https://api.spotify.com/v1/audio-analysis/4XKEVz0X1BIDhCAfb782tm,255093
4bz7uB4edifWKJXSDxwHcs,https://p.scdn.co/mp3-preview/61c7f4e0bc29dd7572dd3477aa549f17889eeef8?cid=7596a347c632409f9829d4c3cb9fa3c7,breakbeat,0.745,0.714,7,-3.681,1,0.0751,0.0141,0.0222,0.363,0.365,104.003,https://api.spotify.com/v1/audio-analysis/4bz7uB4edifWKJXSDxwHcs,393813
7kXmJwrZGIhDaLT9sNo3ut,https://p.scdn.co/mp3-preview/cf235a634adb7ca2d1283aa11411cf18330adfec?cid=7596a347c632409f9829d4c3cb9fa3c7,breakbeat,0.632,0.92,2,-4.976,1,0.0531,0.119,0.508,0.114,0.363,127.001,https://api.spotify.com/v1/audio-analysis/7kXmJwrZGIhDaLT9sNo3ut,290493
3NPYT4nilQ6YW1uA8I7orI,https://p.scdn.co/mp3-preview/d2646a5740ea804ae17d1d4f8fcf19c04ec8cc24?cid=7596a347c632409f9829d4c3cb9fa3c7,breakbeat,0.507,0.934,8,-2.325,0,0.188,0.00936,0.00175,0.222,0.471,175.954,https://api.spotify.com/v1/audio-analysis/3NPYT4nilQ6YW1uA8I7orI,282273
5oGKB8ILJZB5m5Pkz1x5Rg,https://p.scdn.co/mp3-preview/8ca25c2880220a78a53e415d4fdddbeb979719bd?cid=7596a347c632409f9829d4c3cb9fa3c7,breakbeat,0.68,0.967,1,-2.38,1,0.084,0.00263,0.102,0.444,0.42,87.993,https://api.spotify.com/v1/audio-analysis/5oGKB8ILJZB5m5Pkz1x5Rg,148636
