id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
1zwMYTA5nlNjZxYrvBB2pV,https://p.scdn.co/mp3-preview/baa18018949b760dddd621789470f94462acf255?cid=7596a347c632409f9829d4c3cb9fa3c7,british,0.556,0.319,9,-8.251,1,0.0281,0.893,0.0,0.0996,0.294,135.187,https://api.spotify.com/v1/audio-analysis/1zwMYTA5nlNjZxYrvBB2pV,285240
73CMRj62VK8nUS4ezD2wvi,https://p.scdn.co/mp3-preview/0fb23c0f696f02270dfa8351dc96a7715dfe6fff?cid=7596a347c632409f9829d4c3cb9fa3c7,british,0.603,0.67,2,-3.882,0,0.0249,0.00408,1.68e-06,0.112,0.446,107.993,https://api.spotify.com/v1/audio-analysis/73CMRj62VK8nUS4ezD2wvi,242974
1c8gk2PeTE04A1pIDH9YMk,https://p.scdn.co/mp3-preview/8b786aec0339c94d6effc4a76b9d7b3206ca2f37?cid=7596a347c632409f9829d4c3cb9fa3c7,british,0.73,0.769,8,-5.114,1,0.0298,0.138,0.0,0.0473,0.507,104.948,https://api.spotify.com/v1/audio-analysis/1c8gk2PeTE04A1pIDH9YMk,228093
63T7DJ1AFDD6Bn8VzG6JE8,https://p.scdn.co/mp3-preview/2e1942caab3ee0d54c52268f5445bc3211eff49b?cid=7596a347c632409f9829d4c3cb9fa3c7,british,0.464,0.795,1,-9.267,1,0.0926,0.0493,0.00244,0.399,0.612,158.691,https://api.spotify.com/v1/audio-analysis/63T7DJ1AFDD6Bn8VzG6JE8,202267
6dGnYIeXmHdcikdzNNDMm2,https://p.scdn.co/mp3-preview/88c76f1abdcf3b8daacf95b8789f1db99340a8fb?cid=7596a347c632409f9829d4c3cb9fa3c7,british,0.557,0.54,9,-10.484,1,0.0347,0.0339,0.00248,0.179,0.394,129.171,https://api.spotify.com/v1/audio-analysis/6dGnYIeXmHdcikdzNNDMm2,185733
7B5Npv8NjjTCzk8PLpU66h,https://p.scdn.co/mp3-preview/c1f8b1c1ce7423a14335fd3cac258c68c52ee916?cid=7596a347c632409f9829d4c3cb9fa3c7,british,0.331,0.341,9,-6.057,0,0.0309,0.528,0.0,0.109,0.152,109.821,https://api.spotify.com/v1/audio-analysis/7B5Npv8NjjTCzk8PLpU66h,285935
4PEGwWH4tL6H7dGl4uVSPg,https://p.scdn.co/mp3-preview/63974cdd3dd9487b47dec0da78221d58220076e2?cid=7596a347c632409f9829d4c3cb9fa3c7,british,0.557,0.16,5,-16.302,0,0.0315,0.922,0.000756,0.0996,0.133,136.01,https://api.spotify.com/v1/audio-analysis/4PEGwWH4tL6H7dGl4uVSPg,218000
0gplL1WMoJ6iYaPgMCL0gX,https://p.scdn.co/mp3-preview/d79ed33ad5979d9623f3d876af98172a6b78b17d?cid=7596a347c632409f9829d4c3cb9fa3c7,british,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,https://api.spotify.com/v1/audio-analysis/0gplL1WMoJ6iYaPgMCL0gX,224695
4IhTXiZLKATmwhMZIb1GQN,https://p.scdn.co/mp3-preview/4298424ede98af6c65c3d91634d84a88a89df537?cid=7596a347c632409f9829d4c3cb9fa3c7,british,0.44,0.04,3,-16.887,1,0.0322,0.981,0.465,0.111,0.249,135.965,https://api.spotify.com/v1/audio-analysis/4IhTXiZLKATmwhMZIb1GQN,193749
62ke5zFUJN6RvtXZgVH0F8,https://p.scdn.co/mp3-preview/f885101340ae5a1b935e95c288715a295320b453?cid=7596a347c632409f9829d4c3cb9fa3c7,british,0.566,0.885,8,-4.528,1,0.0818,0.0958,9.97e-05,0.334,0.304,90.99,https://api.spotify.com/v1/audio-analysis/62ke5zFUJN6RvtXZgVH0F8,232893
3jDdpx9PMlfMBS5tOBHFm9,https://p.scdn.co/mp3-preview/e3fe2a221509322449d2bfcfad820e5180d8070b?cid=7596a347c632409f9829d4c3cb9fa3c7,british,0.715,0.833,2,-5.379,1,0.108,0.00631,0.0,0.164,0.612,95.487,https://api.spotify.com/v1/audio-analysis/3jDdpx9PMlfMBS5tOBHFm9,213093
7GgWAITsYJaRM3r50rfh5w,https://p.scdn.co/mp3-preview/6e065c4e10a205b8553f499faf4fff815031415e?cid=7596a347c632409f9829d4c3cb9fa3c7,british,0.376,0.595,3,-5.936,1,0.0496,0.303,0.0,0.095,0.265,144.361,https://api.spotify.com/v1/audio-analysis/7GgWAITsYJaRM3r50rfh5w,290900
46IZ0fSY2mpAiktS3KOqds,https://p.scdn.co/mp3-preview/d79ed33ad5979d9623f3d876af98172a6b78b17d?cid=7596a347c632409f9829d4c3cb9fa3c7,british,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,https://api.spotify.com/v1/audio-analysis/46IZ0fSY2mpAiktS3KOqds,224695
3Kkjo3cT83cw09VJyrLNwX,https://p.scdn.co/mp3-preview/8f8d044c81a9e8223773217e2a74aab63db7b340?cid=7596a347c632409f9829d4c3cb9fa3c7,british,0.534,0.725,1,-3.906,1,0.046,0.091,0.0,0.0264,0.55,88.098,https://api.spotify.com/v1/audio-analysis/3Kkjo3cT83cw09VJyrLNwX,225149
