id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
6akVETVeqqPVvuBS5e0EB1,https://p.scdn.co/mp3-preview/c0bdb338e66fafa0741fcc989909322e36b56e6b?cid=7596a347c632409f9829d4c3cb9fa3c7,cantopop,0.615,0.535,8,-6.847,0,0.032,0.63,0.0,0.0907,0.293,130.025,https://api.spotify.com/v1/audio-analysis/6akVETVeqqPVvuBS5e0EB1,256000
77uktQePd9IdeMPVWlu1cO,https://p.scdn.co/mp3-preview/d3bb7fe3f86e50e0be4d67aa3443af9398d677f6?cid=7596a347c632409f9829d4c3cb9fa3c7,cantopop,0.311,0.311,5,-11.516,1,0.0323,0.69,0.0,0.195,0.369,76.951,https://api.spotify.com/v1/audio-analysis/77uktQePd9IdeMPVWlu1cO,239507
3cthRwQ2X0SNTaauD7tjn5,https://p.scdn.co/mp3-preview/a2a74b1f0d3e246405e20d4b430e06efe2a4519c?cid=7596a347c632409f9829d4c3cb9fa3c7,cantopop,0.475,0.44,5,-10.48,1,0.0354,0.499,0.0,0.25,0.528,103.371,https://api.spotify.com/v1/audio-analysis/3cthRwQ2X0SNTaauD7tjn5,259133
25pWemriUQVrZ3yIiS2IBf,https://p.scdn.co/mp3-preview/00740d356fafd18debc4ede378396a5cbb85e72e?cid=7596a347c632409f9829d4c3cb9fa3c7,cantopop,0.6,0.468,8,-9.126,1,0.0335,0.865,3.13e-06,0.104,0.203,123.987,https://api.spotify.com/v1/audio-analysis/25pWemriUQVrZ3yIiS2IBf,205424
4x9retP0JqKa35zZZhNhNS,https://p.scdn.co/mp3-preview/a12f64d5a1e260eb8169c4d67facb932b1efc582?cid=7596a347c632409f9829d4c3cb9fa3c7,cantopop,0.545,0.316,6,-9.449,0,0.0314,0.614,5.85e-06,0.0896,0.0978,132.882,https://api.spotify.com/v1/audio-analysis/4x9retP0JqKa35zZZhNhNS,265384
3hU9nGBhYJQwvF8BJ4PUcE,https://p.scdn.co/mp3-preview/3954563ccbbc13efc3ce391a72629934dd8e0468?cid=7596a347c632409f9829d4c3cb9fa3c7,cantopop,0.612,0.491,0,-7.803,1,0.0295,0.792,0.0,0.127,0.492,125.912,https://api.spotify.com/v1/audio-analysis/3hU9nGBhYJQwvF8BJ4PUcE,211720
48yFnEAkBdOmqvhZ6NaR4U,https://p.scdn.co/mp3-preview/9d55bb68cd777bfdfc4fe4dfeb326985062e3e09?cid=7596a347c632409f9829d4c3cb9fa3c7,cantopop,0.419,0.811,11,-5.263,1,0.0364,0.101,0.0,0.307,0.563,165.966,https://api.spotify.com/v1/audio-analysis/48yFnEAkBdOmqvhZ6NaR4U,259375
2AllsVsmrJkEwXPXwDBCQu,https://p.scdn.co/mp3-preview/aad7d88824e5dfcedb0e1dd30bd3d605a76665ee?cid=7596a347c632409f9829d4c3cb9fa3c7,cantopop,0.635,0.35,7,-10.591,1,0.0284,0.754,0.0,0.0743,0.307,130.067,https://api.spotify.com/v1/audio-analysis/2AllsVsmrJkEwXPXwDBCQu,211251
6WOwRdX67b4VKujGIal4tK,https://p.scdn.co/mp3-preview/b5951340fe8fd2d88d24f9c19802325f111645e2?cid=7596a347c632409f9829d4c3cb9fa3c7,cantopop,0.412,0.205,5,-11.245,1,0.0316,0.858,0.0,0.104,0.297,175.942,https://api.spotify.com/v1/audio-analysis/6WOwRdX67b4VKujGIal4tK,216893
7uzJKRRrTqxUOeTtwQMd36,https://p.scdn.co/mp3-preview/a5a453c836b475e900a7144633a74a6fd003ddbe?cid=7596a347c632409f9829d4c3cb9fa3c7,cantopop,0.682,0.336,1,-12.049,1,0.0253,0.718,0.0,0.133,0.515,100.027,https://api.spotify.com/v1/audio-analysis/7uzJKRRrTqxUOeTtwQMd36,279440
1sWUT5hSawhEctQEQrVQdn,https://p.scdn.co/mp3-preview/07227c84848765c4323cd2847a0699e8cc7e5946?cid=7596a347c632409f9829d4c3cb9fa3c7,cantopop,0.537,0.385,3,-6.216,1,0.0391,0.841,0.0,0.0948,0.554,169.98,https://api.spotify.com/v1/audio-analysis/1sWUT5hSawhEctQEQrVQdn,215333
1eId3TVzGrwv73YAWAVQMX,https://p.scdn.co/mp3-preview/9dec00771c10cac119ffb07a7bccacdccb52e0d3?cid=7596a347c632409f9829d4c3cb9fa3c7,cantopop,0.65,0.425,9,-7.816,1,0.0266,0.834,0.0,0.12,0.403,75.988,https://api.spotify.com/v1/audio-analysis/1eId3TVzGrwv73YAWAVQMX,237733
