id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
4IlqQhaxrGPxmg35YcXXuS,https://p.scdn.co/mp3-preview/d0e340ec6fdf60e233f507d2bbbc1710b5455926?cid=7596a347c632409f9829d4c3cb9fa3c7,chicago-house,0.751,0.727,10,-9.789,0,0.0304,0.0442,0.0338,0.1,0.28,119.982,https://api.spotify.com/v1/audio-analysis/4IlqQhaxrGPxmg35YcXXuS,256000
6WkJ2OK163XXS2oARUC9JM,https://p.scdn.co/mp3-preview/64b5c694455ce6c421f3744fd161b806e20d8222?cid=7596a347c632409f9829d4c3cb9fa3c7,chicago-house,0.72,0.741,10,-6.529,0,0.0287,0.101,1.41e-05,0.289,0.357,119.896,https://api.spotify.com/v1/audio-analysis/6WkJ2OK163XXS2oARUC9JM,198053
3YXIVMQLRRq2K7kxC7UYx6,https://p.scdn.co/mp3-preview/874bde30ea2bd697fab0896a994e506800aecea9?cid=7596a347c632409f9829d4c3cb9fa3c7,chicago-house,0.791,0.801,4,-6.344,0,0.07,0.00531,0.189,0.509,0.609,124.985,https://api.spotify.com/v1/audio-analysis/3YXIVMQLRRq2K7kxC7UYx6,196110
09IT6ZbPsY5EioVEqeyq4j,https://p.scdn.co/mp3-preview/1c6a1e4d68fa180a2204ec6c2d40cc205c479f13?cid=7596a347c632409f9829d4c3cb9fa3c7,chicago-house,0.878,0.737,2,-7.979,1,0.0817,0.000271,0.445,0.11,0.235,123.993,https://api.spotify.com/v1/audio-analysis/09IT6ZbPsY5EioVEqeyq4j,327138
5R0MkQyiFDPxOek0AmZJt8,https://p.scdn.co/mp3-preview/a1648661e7c928e141c2d42a457bf3d74ae4bd37?cid=7596a347c632409f9829d4c3cb9fa3c7,chicago-house,0.811,0.803,11,-5.528,0,0.0551,0.00589,1.13e-05,0.313,0.824,128.005,https://api.spotify.com/v1/audio-analysis/5R0MkQyiFDPxOek0AmZJt8,181875
1E8hMeQvfgvQPjN3BZ2viF,https://p.scdn.co/mp3-preview/73889414c48ec33f7f12b115c873eebb648f86a2?cid=7596a347c632409f9829d4c3cb9fa3c7,chicago-house,0.767,0.686,7,-10.476,1,0.0461,0.0681,0.91,0.111,0.565,114.07,https://api.spotify.com/v1/audio-analysis/1E8hMeQvfgvQPjN3BZ2viF,430576
22eUyC9vOG2aoP5yHX8VxV,https://p.scdn.co/mp3-preview/d553cc97f5f254f5fcbdaf9e8e31fb763b6e83e6?cid=7596a347c632409f9829d4c3cb9fa3c7,chicago-house,0.785,0.855,11,-7.425,0,0.0678,0.00842,0.00222,0.148,0.805,123.664,https://api.spotify.com/v1/audio-analysis/22eUyC9vOG2aoP5yHX8VxV,390560
5JYbPUFjUn0i8BQy1C5JTs,https://p.scdn.co/mp3-preview/b0f2f7167dd3afcf79060098085f227d6b55b1cd?cid=7596a347c632409f9829d4c3cb9fa3c7,chicago-house,0.897,0.568,0,-8.041,1,0.163,0.058,0.332,0.12,0.165,125.916,https://api.spotify.com/v1/audio-analysis/5JYbPUFjUn0i8BQy1C5JTs,253718
4h4AEqy0iBbjdlbtWvIx5O,https://p.scdn.co/mp3-preview/2e6d19031683ea9d61ea912b763e70a768d498aa?cid=7596a347c632409f9829d4c3cb9fa3c7,chicago-house,0.879,0.95,5,-6.375,0,0.0746,0.000161,0.806,0.0714,0.615,126.903,https://api.spotify.com/v1/audio-analysis/4h4AEqy0iBbjdlbtWvIx5O,367786
796T2ROxTNibXRjVhjSzCa,https://p.scdn.co/mp3-preview/13710429f8e04303d2a6dc89fcf636f04b17c774?cid=7596a347c632409f9829d4c3cb9fa3c7,chicago-house,0.718,0.93,7,-4.532,1,0.038,0.0026,0.0176,0.0363,0.697,128.736,https://api.spotify.com/v1/audio-analysis/796T2ROxTNibXRjVhjSzCa,331706
2Rzr9nzXM1yX3NB8CwHWQg,https://p.scdn.co/mp3-preview/8e8fe99ffc648d40d2ca76644b5ef862de873305?cid=7596a347c632409f9829d4c3cb9fa3c7,chicago-house,0.909,0.808,5,-6.588,0,0.147,0.029,0.000463,0.237,0.638,124.015,https://api.spotify.com/v1/audio-analysis/2Rzr9nzXM1yX3NB8CwHWQg,204198
0vryyKyxCFXT0gg670yNEw,https://p.scdn.co/mp3-preview/2cbe0ec711c8f9bc925a9f1ddde9c73195bb428b?cid=7596a347c632409f9829d4c3cb9fa3c7,chicago-house,0.7,0.725,4,-11.433,0,0.0492,0.0439,0.851,0.125,0.129,116.824,https://api.spotify.com/v1/audio-analysis/0vryyKyxCFXT0gg670yNEw,403706
1EYYoG6P9cQdYXG6Nv5mXu,https://p.scdn.co/mp3-preview/d553cc97f5f254f5fcbdaf9e8e31fb763b6e83e6?cid=7596a347c632409f9829d4c3cb9fa3c7,chicago-house,0.794,0.901,11,-4.652,0,0.0698,0.0251,0.00997,0.139,0.794,123.67,https://api.spotify.com/v1/audio-analysis/1EYYoG6P9cQdYXG6Nv5mXu,392669
0DwAc0Z8Td3jv5frUznqu1,https://p.scdn.co/mp3-preview/89eca75d36decf41ea0e571e1314e1dbe61d225a?cid=7596a347c632409f9829d4c3cb9fa3c7,chicago-house,0.71,0.616,0,-16.306,1,0.116,0.0344,0.225,0.0936,0.398,120.385,https://api.spotify.com/v1/audio-analysis/0DwAc0Z8Td3jv5frUznqu1,417707
