id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
5ygDXis42ncn6kYG14lEVG,https://p.scdn.co/mp3-preview/6621b69a082428bfa5f20faeab5ffb5add382a38?cid=7596a347c632409f9829d4c3cb9fa3c7,children,0.829,0.886,8,-1.746,1,0.112,0.259,0.0,0.0559,0.777,115.056,https://api.spotify.com/v1/audio-analysis/5ygDXis42ncn6kYG14lEVG,80927
6YQ7aPJhk0MGpwoKfFAEbS,https://p.scdn.co/mp3-preview/50b8245ba2279353fd974062cdb2e23382b837fb?cid=7596a347c632409f9829d4c3cb9fa3c7,children,0.941,0.387,9,-11.92,1,0.0427,0.184,2.88e-05,0.157,0.965,125.021,https://api.spotify.com/v1/audio-analysis/6YQ7aPJhk0MGpwoKfFAEbS,207340
3N6kzbnfpTPB5J9NAGc1rU,https://p.scdn.co/mp3-preview/4b9e7e2d9069a5c8397a8239d60e5242803ab91c?cid=7596a347c632409f9829d4c3cb9fa3c7,children,0.696,0.227,1,-11.763,1,0.042,0.866,1.25e-05,0.0794,0.284,87.88,https://api.spotify.com/v1/audio-analysis/3N6kzbnfpTPB5J9NAGc1rU,152692
6tPA07JAS9p9mEOVhLdFJp,https://p.scdn.co/mp3-preview/f3c8a2b432a1b583510a0ea434b0695df0f2bc5d?cid=7596a347c632409f9829d4c3cb9fa3c7,children,0.931,0.413,9,-11.014,1,0.0485,0.212,0.0,0.112,0.961,96.057,https://api.spotify.com/v1/audio-analysis/6tPA07JAS9p9mEOVhLdFJp,87454
7zQFM7bHcyMh4QQFdBkjrE,https://p.scdn.co/mp3-preview/dca51b09bad2b951a39cf23fef3f134f8fef6d0b?cid=7596a347c632409f9829d4c3cb9fa3c7,children,0.663,0.263,3,-13.043,1,0.106,0.847,2.17e-06,0.452,0.571,137.52,https://api.spotify.com/v1/audio-analysis/7zQFM7bHcyMh4QQFdBkjrE,160827
097ftnCPnGHhn93lS0HHlO,https://p.scdn.co/mp3-preview/5d8e124944a0f91244331fe32f5e743ab3fa07dd?cid=7596a347c632409f9829d4c3cb9fa3c7,children,0.459,0.206,0,-9.694,1,0.0282,0.673,0.0,0.294,0.354,160.072,https://api.spotify.com/v1/audio-analysis/097ftnCPnGHhn93lS0HHlO,177477
0e1mUAXE8jSG9ExAS4AWU7,https://p.scdn.co/mp3-preview/3092a6388d52df2c892ca791c15d4e4afd608368?cid=7596a347c632409f9829d4c3cb9fa3c7,children,0.544,0.47,2,-14.901,1,0.236,0.859,0.0,0.346,0.671,185.302,https://api.spotify.com/v1/audio-analysis/0e1mUAXE8jSG9ExAS4AWU7,65053
0dF7HP4wDwxCtID3mXpdYX,https://p.scdn.co/mp3-preview/555c6730b7b55dddc84e9e1aa4628669c6ad03bd?cid=7596a347c632409f9829d4c3cb9fa3c7,children,0.711,0.396,0,-11.266,1,0.0486,0.829,3e-05,0.119,0.969,199.955,https://api.spotify.com/v1/audio-analysis/0dF7HP4wDwxCtID3mXpdYX,147781
6cKlr2BOXBaqiuaHUY5Zwo,https://p.scdn.co/mp3-preview/239908a7d08226098ccb7ae10729065c95b6faf9?cid=7596a347c632409f9829d4c3cb9fa3c7,children,0.919,0.289,2,-12.244,1,0.048,0.586,3.19e-06,0.075,0.866,100.042,https://api.spotify.com/v1/audio-analysis/6cKlr2BOXBaqiuaHUY5Zwo,129763
3NEgsdTwk3tIjt6x4d2VzE,https://p.scdn.co/mp3-preview/dd2bfed697f41e281462dfc28352c10b998e09d5?cid=7596a347c632409f9829d4c3cb9fa3c7,children,0.715,0.217,5,-10.499,1,0.0319,0.822,0.0,0.102,0.509,119.902,https://api.spotify.com/v1/audio-analysis/3NEgsdTwk3tIjt6x4d2VzE,130497
5MEz0gsrxQ772PuDj0phQs,https://p.scdn.co/mp3-preview/3da8afd7d1dc2de2f1f8172d3d14b46666591327?cid=7596a347c632409f9829d4c3cb9fa3c7,children,0.86,0.579,9,-6.573,1,0.243,0.0497,0.431,0.09,0.969,87.446,https://api.spotify.com/v1/audio-analysis/5MEz0gsrxQ772PuDj0phQs,65288
6jTZGXH1cOQM3jhh07ZE1y,https://p.scdn.co/mp3-preview/cedcab3121e3ea7f6303de306261c64e8d985b67?cid=7596a347c632409f9829d4c3cb9fa3c7,children,0.562,0.144,8,-13.751,1,0.0803,0.455,0.0,0.102,0.869,204.418,https://api.spotify.com/v1/audio-analysis/6jTZGXH1cOQM3jhh07ZE1y,128213
5d22scOOfbrK7GHy3ZTT3s,https://p.scdn.co/mp3-preview/d69e59c233814612fffe407b598c31d2c2e1a654?cid=7596a347c632409f9829d4c3cb9fa3c7,children,0.378,0.352,3,-8.745,1,0.0354,0.812,5.17e-06,0.106,0.306,139.491,https://api.spotify.com/v1/audio-analysis/5d22scOOfbrK7GHy3ZTT3s,115693
1rNgLcVhVTTKKmHBH8nQlt,https://p.scdn.co/mp3-preview/63fc458dddcd9e9f285b0d61601091f810f67767?cid=7596a347c632409f9829d4c3cb9fa3c7,children,0.908,0.253,10,-10.474,1,0.0587,0.441,0.0,0.115,0.962,131.799,https://api.spotify.com/v1/audio-analysis/1rNgLcVhVTTKKmHBH8nQlt,87771
65I7LRWEDId3dlW2ReXXR8,https://p.scdn.co/mp3-preview/c14a8ec4bdd9a89f3e1cad95da54faa5ef9e1906?cid=7596a347c632409f9829d4c3cb9fa3c7,children,0.824,0.744,11,-5.879,1,0.0619,0.00995,3.56e-06,0.332,0.698,150.021,https://api.spotify.com/v1/audio-analysis/65I7LRWEDId3dlW2ReXXR8,134148
3ABoIhUlvJZp2ZDlfeThP7,https://p.scdn.co/mp3-preview/8302efcefe9cfc7af2d136f2afb64658b34a87ae?cid=7596a347c632409f9829d4c3cb9fa3c7,children,0.687,0.625,4,-5.816,1,0.1,0.0558,0.0319,0.151,0.965,175.053,https://api.spotify.com/v1/audio-analysis/3ABoIhUlvJZp2ZDlfeThP7,132907
5NZcKD2lKDVZiCFADvAyfh,https://p.scdn.co/mp3-preview/e61637844b35f24c355f236450a61cc3882f0eba?cid=7596a347c632409f9829d4c3cb9fa3c7,children,0.597,0.666,3,-6.042,1,0.0807,0.133,1.23e-05,0.0578,0.698,149.888,https://api.spotify.com/v1/audio-analysis/5NZcKD2lKDVZiCFADvAyfh,170240
0jElcVB3zyu75HmlrbA8XE,https://p.scdn.co/mp3-preview/bf7e4e5bfd8efb5c0c5d143ecdbb5597026c6c53?cid=7596a347c632409f9829d4c3cb9fa3c7,children,0.689,0.773,10,-5.321,0,0.0373,0.00435,0.00575,0.16,0.815,103.019,https://api.spotify.com/v1/audio-analysis/0jElcVB3zyu75HmlrbA8XE,184957
6iCX17mrswsT0QgOclgqy3,https://p.scdn.co/mp3-preview/722ae94300bd0a122fa7e880f1317be908aeea45?cid=7596a347c632409f9829d4c3cb9fa3c7,children,0.794,0.679,6,-5.395,0,0.104,0.166,1.87e-06,0.134,0.547,98.16,https://api.spotify.com/v1/audio-analysis/6iCX17mrswsT0QgOclgqy3,200933
7zD97mcPo9fng0aJqUhFvd,https://p.scdn.co/mp3-preview/3715c1c97a3382e57c908c00f778aa45d890fcfc?cid=7596a347c632409f9829d4c3cb9fa3c7,children,0.779,0.587,7,-8.131,1,0.0721,0.33,3.85e-06,0.0792,0.908,199.956,https://api.spotify.com/v1/audio-analysis/7zD97mcPo9fng0aJqUhFvd,127203
21ryEt5nCkFjsHJHegnLOA,https://p.scdn.co/mp3-preview/bf5ad76d03397a1a4d5299f601680c39911066a1?cid=7596a347c632409f9829d4c3cb9fa3c7,children,0.687,0.242,0,-9.016,1,0.0577,0.638,9.16e-05,0.0686,0.78,119.232,https://api.spotify.com/v1/audio-analysis/21ryEt5nCkFjsHJHegnLOA,137067
5txSLkf7BeYIgTtUnVDDG8,https://p.scdn.co/mp3-preview/4236bd8e61b752a7a504551671be3b588b0b7567?cid=7596a347c632409f9829d4c3cb9fa3c7,children,0.704,0.479,1,-12.362,1,0.0348,0.292,1.14e-06,0.0419,0.936,199.841,https://api.spotify.com/v1/audio-analysis/5txSLkf7BeYIgTtUnVDDG8,147147
2kLN6dEwdgyTbPnFZ1BONy,https://p.scdn.co/mp3-preview/11aca8699c60f12d34c8e4512b2f149bce2d8e89?cid=7596a347c632409f9829d4c3cb9fa3c7,children,0.844,0.136,5,-14.548,1,0.067,0.749,5.24e-06,0.0871,0.926,140.109,https://api.spotify.com/v1/audio-analysis/2kLN6dEwdgyTbPnFZ1BONy,98040
2Qu65QrO1DiWVJIteOD9ri,https://p.scdn.co/mp3-preview/7ffd988abd22d78440156fafbc42e4e40098c1bb?cid=7596a347c632409f9829d4c3cb9fa3c7,children,0.728,0.0392,0,-22.703,1,0.0354,0.964,0.0431,0.167,0.484,97.764,https://api.spotify.com/v1/audio-analysis/2Qu65QrO1DiWVJIteOD9ri,71160
6jNrjFCd9h9jBdGomb7LRN,https://p.scdn.co/mp3-preview/ff446ec9002fc7b8ab8942f1f6b11a5d059116f4?cid=7596a347c632409f9829d4c3cb9fa3c7,children,0.776,0.19,2,-12.174,1,0.0449,0.528,4.38e-05,0.172,0.372,109.807,https://api.spotify.com/v1/audio-analysis/6jNrjFCd9h9jBdGomb7LRN,144512
0QzUsAQRKzzDWXffugmOja,https://p.scdn.co/mp3-preview/079ace4187542a0824a9e299de5d9e39a6e9f228?cid=7596a347c632409f9829d4c3cb9fa3c7,children,0.732,0.612,9,-6.057,1,0.035,0.0566,0.0,0.311,0.444,122.116,https://api.spotify.com/v1/audio-analysis/0QzUsAQRKzzDWXffugmOja,167715
68oEtRynOZG9E3yeTBWu3k,https://p.scdn.co/mp3-preview/4e588822e2f3a2b3ac894539e86eb7d1ca0cf11d?cid=7596a347c632409f9829d4c3cb9fa3c7,children,0.669,0.386,2,-14.641,1,0.0524,0.398,0.000257,0.267,0.604,87.704,https://api.spotify.com/v1/audio-analysis/68oEtRynOZG9E3yeTBWu3k,76693
1Fmv83uTiON5klaC94cJxb,https://p.scdn.co/mp3-preview/515fbde320a25cb6e894151b5c46d95282cd30e6?cid=7596a347c632409f9829d4c3cb9fa3c7,children,0.881,0.0517,7,-17.122,1,0.107,0.846,0.0,0.166,0.702,122.397,https://api.spotify.com/v1/audio-analysis/1Fmv83uTiON5klaC94cJxb,59520
6T15qWkGDGlE9vTkvoT4oZ,https://p.scdn.co/mp3-preview/438c489e92d63661df1276c3a22a4d52955731e9?cid=7596a347c632409f9829d4c3cb9fa3c7,children,0.956,0.34,6,-10.195,0,0.0487,0.0614,0.0,0.0596,0.593,116.006,https://api.spotify.com/v1/audio-analysis/6T15qWkGDGlE9vTkvoT4oZ,152224
1Z7tsmCvV0QboBo37Iykri,https://p.scdn.co/mp3-preview/f2f9d9426e95f0f0a91fbb8f686b29b1971e2c1f?cid=7596a347c632409f9829d4c3cb9fa3c7,children,0.757,0.525,5,-9.651,1,0.0428,0.519,0.0,0.11,0.97,204.09,https://api.spotify.com/v1/audio-analysis/1Z7tsmCvV0QboBo37Iykri,134118
6xfOJl9l0Gc5WxjmBAvQsA,https://p.scdn.co/mp3-preview/edae04bba00425de6a19b1c36bf48d8e4b1e70aa?cid=7596a347c632409f9829d4c3cb9fa3c7,children,0.516,0.351,0,-11.012,1,0.044,0.709,8.61e-05,0.116,0.796,159.757,https://api.spotify.com/v1/audio-analysis/6xfOJl9l0Gc5WxjmBAvQsA,127027
679VCjP1C3DBkVBEeB34yU,https://p.scdn.co/mp3-preview/409e6b4c8f9a991cb65f64e2836212bfa86089a1?cid=7596a347c632409f9829d4c3cb9fa3c7,children,0.816,0.565,9,-11.555,1,0.036,0.352,1.38e-05,0.0768,0.965,119.983,https://api.spotify.com/v1/audio-analysis/679VCjP1C3DBkVBEeB34yU,136003
3bEnBCk2eeDrVQbolK6gt7,https://p.scdn.co/mp3-preview/4106b4345c251f056bca29478b932f0e66115232?cid=7596a347c632409f9829d4c3cb9fa3c7,children,0.77,0.268,10,-14.077,1,0.0465,0.174,0.0,0.196,0.886,92.128,https://api.spotify.com/v1/audio-analysis/3bEnBCk2eeDrVQbolK6gt7,60761
02NKMA9cIkq6VuBNu9q9Wf,https://p.scdn.co/mp3-preview/cb61299ee1f135d7d952781bb2e19fe639d6ed54?cid=7596a347c632409f9829d4c3cb9fa3c7,children,0.612,0.37,3,-11.548,1,0.0344,0.707,2.98e-06,0.23,0.777,152.548,https://api.spotify.com/v1/audio-analysis/02NKMA9cIkq6VuBNu9q9Wf,141467
3vn4dxTOsUb6ps9xPC2L0i,https://p.scdn.co/mp3-preview/3482758d496f5a0abcc89c9ca27e8ac3ede7298d?cid=7596a347c632409f9829d4c3cb9fa3c7,children,0.789,0.581,0,-4.807,1,0.0412,0.469,0.781,0.42,0.916,89.998,https://api.spotify.com/v1/audio-analysis/3vn4dxTOsUb6ps9xPC2L0i,183502
56kocFnAY5vjFJdp2WP7S5,https://p.scdn.co/mp3-preview/e759d35a88b9c0f71cde8b9a5a00d3c1bc6d524d?cid=7596a347c632409f9829d4c3cb9fa3c7,children,0.687,0.642,5,-5.279,1,0.0516,0.647,0.0,0.23,0.91,57.654,https://api.spotify.com/v1/audio-analysis/56kocFnAY5vjFJdp2WP7S5,67187
4jKlouPlVZOkuRwyBpgLPN,https://p.scdn.co/mp3-preview/4b8e8c45d4f6dae5ed599985801cb0d770faa24f?cid=7596a347c632409f9829d4c3cb9fa3c7,children,0.94,0.213,3,-10.181,1,0.0855,0.418,0.0,0.0893,0.832,133.095,https://api.spotify.com/v1/audio-analysis/4jKlouPlVZOkuRwyBpgLPN,133190
1D33HYMtMhZ9KvBdgOHZEU,https://p.scdn.co/mp3-preview/4d466290239036e26787f4540c2342ab2e66bb77?cid=7596a347c632409f9829d4c3cb9fa3c7,children,0.858,0.236,4,-15.577,0,0.0489,0.53,0.0,0.101,0.924,119.983,https://api.spotify.com/v1/audio-analysis/1D33HYMtMhZ9KvBdgOHZEU,33493
1NtMwloRp8OIVwWGipngkw,https://p.scdn.co/mp3-preview/be529e14768ca95479be9a9fee2ac55c875f29b0?cid=7596a347c632409f9829d4c3cb9fa3c7,children,0.832,0.216,4,-24.799,1,0.934,0.511,5.39e-05,0.107,0.49,81.91,https://api.spotify.com/v1/audio-analysis/1NtMwloRp8OIVwWGipngkw,72173
