id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
7D7e6hm2LiNd6nLuJF6K9Q,https://p.scdn.co/mp3-preview/3d6be26f9767149928c4dcbb27439b736f879f37?cid=7596a347c632409f9829d4c3cb9fa3c7,chill,0.845,0.398,5,-15.781,1,0.268,0.872,0.00713,0.159,0.482,109.996,https://api.spotify.com/v1/audio-analysis/7D7e6hm2LiNd6nLuJF6K9Q,122222
3JvKfv6T31zO0ini8iNItO,https://p.scdn.co/mp3-preview/183c607619b64f483abde405a3220d50c16e2e01?cid=7596a347c632409f9829d4c3cb9fa3c7,chill,0.445,0.537,4,-8.532,0,0.04,0.695,1.65e-05,0.0944,0.131,122.769,https://api.spotify.com/v1/audio-analysis/3JvKfv6T31zO0ini8iNItO,244360
7otCGmgp9h4CsR2LhwB6gt,https://p.scdn.co/mp3-preview/d079f2097c2e366898462b2ed0bc798301e94496?cid=7596a347c632409f9829d4c3cb9fa3c7,chill,0.445,0.537,4,-8.532,0,0.04,0.695,1.6e-05,0.0941,0.131,122.764,https://api.spotify.com/v1/audio-analysis/7otCGmgp9h4CsR2LhwB6gt,244360
7eJMfftS33KTjuF7lTsMCx,https://p.scdn.co/mp3-preview/87d40356ca30e331497d716489f86abe9508932d?cid=7596a347c632409f9829d4c3cb9fa3c7,chill,0.726,0.431,8,-8.765,0,0.135,0.731,0.0,0.696,0.348,144.026,https://api.spotify.com/v1/audio-analysis/7eJMfftS33KTjuF7lTsMCx,173333
5o5WaO9pzPhXSGIrTIYVce,https://p.scdn.co/mp3-preview/ff6c26f5760b65ec01ffb25b4e251d8329171c41?cid=7596a347c632409f9829d4c3cb9fa3c7,chill,0.74,0.563,11,-7.016,0,0.04,0.34,0.0,0.0824,0.577,104.958,https://api.spotify.com/v1/audio-analysis/5o5WaO9pzPhXSGIrTIYVce,173286
7es56D0QedGMsK39wl2yFX,https://p.scdn.co/mp3-preview/07fdf9cac2cd5815a23affebc56cbe0e8265d7a1?cid=7596a347c632409f9829d4c3cb9fa3c7,chill,0.667,0.457,6,-6.885,0,0.439,0.341,0.0,0.114,0.266,97.604,https://api.spotify.com/v1/audio-analysis/7es56D0QedGMsK39wl2yFX,109326
0QzuaeCEEOV40Pn7IvKEny,https://p.scdn.co/mp3-preview/cc6df3dffc347a8af863a9d5ac42e3b3214c1502?cid=7596a347c632409f9829d4c3cb9fa3c7,chill,0.656,0.436,8,-11.141,1,0.0744,0.845,0.0,0.221,0.196,109.239,https://api.spotify.com/v1/audio-analysis/0QzuaeCEEOV40Pn7IvKEny,171743
55XrFge2dEZwYzNl128DwN,https://p.scdn.co/mp3-preview/15917e4e60f09a2c8a827ed2f0480c492a11442e?cid=7596a347c632409f9829d4c3cb9fa3c7,chill,0.753,0.355,8,-13.295,0,0.0898,0.48,0.87,0.122,0.506,111.863,https://api.spotify.com/v1/audio-analysis/55XrFge2dEZwYzNl128DwN,120547
0yTGQpPOgcsS8Xqp5bQO58,https://p.scdn.co/mp3-preview/f77f3724d2f20f57122f4d9a7c3ddf39225b6947?cid=7596a347c632409f9829d4c3cb9fa3c7,chill,0.748,0.297,1,-10.613,1,0.132,0.485,0.27,0.138,0.114,123.983,https://api.spotify.com/v1/audio-analysis/0yTGQpPOgcsS8Xqp5bQO58,131587
4LEt6hyaGn4scwUsimBeXt,https://p.scdn.co/mp3-preview/ba6a74ff71421b1cc3d68679a358bff58ffcbe45?cid=7596a347c632409f9829d4c3cb9fa3c7,chill,0.792,0.346,8,-11.424,1,0.25,0.74,0.000776,0.223,0.462,117.932,https://api.spotify.com/v1/audio-analysis/4LEt6hyaGn4scwUsimBeXt,138368
4ja2gzrNh9VNigzoXfmbwD,https://p.scdn.co/mp3-preview/f4b6f8e25d851457bedb329648fc449d29a6dcc8?cid=7596a347c632409f9829d4c3cb9fa3c7,chill,0.676,0.525,9,-5.88,1,0.028,0.617,0.0,0.356,0.421,112.011,https://api.spotify.com/v1/audio-analysis/4ja2gzrNh9VNigzoXfmbwD,210000
1Fhb9iJPufNMZSwupsXiRe,https://p.scdn.co/mp3-preview/8cbd0d46d4651a989c452536818fa3dd8948fdae?cid=7596a347c632409f9829d4c3cb9fa3c7,chill,0.711,0.747,0,-6.335,1,0.0523,0.459,0.0,0.0957,0.852,136.0,https://api.spotify.com/v1/audio-analysis/1Fhb9iJPufNMZSwupsXiRe,166023
4W8sUeokQKfHt1uTXp0Jq0,https://p.scdn.co/mp3-preview/6e3ff37c1b18ff5bb919d46342f3085157ae400b?cid=7596a347c632409f9829d4c3cb9fa3c7,chill,0.83,0.583,0,-2.052,1,0.0412,0.0563,0.0005,0.109,0.146,134.0,https://api.spotify.com/v1/audio-analysis/4W8sUeokQKfHt1uTXp0Jq0,200673
5e2l2ZAMwHmrkdM4Z6NhAR,https://p.scdn.co/mp3-preview/060601a922556c25f89167ea0a1ab6c8e53a35cf?cid=7596a347c632409f9829d4c3cb9fa3c7,chill,0.603,0.204,7,-12.727,0,0.112,0.479,0.0714,0.642,0.71,74.688,https://api.spotify.com/v1/audio-analysis/5e2l2ZAMwHmrkdM4Z6NhAR,157206
6xWIuPEnPIODp4dCRsAd5I,https://p.scdn.co/mp3-preview/88564d9e877cab71c03ca834f895632de3b81000?cid=7596a347c632409f9829d4c3cb9fa3c7,chill,0.542,0.795,4,-3.63,0,0.0368,0.00506,0.019,0.0851,0.431,92.234,https://api.spotify.com/v1/audio-analysis/6xWIuPEnPIODp4dCRsAd5I,227160
19gCnDoMbugHhF7eMpLpe1,https://p.scdn.co/mp3-preview/a84b554a4323f24804225d06ba842b4c27ad67b3?cid=7596a347c632409f9829d4c3cb9fa3c7,chill,0.66,0.139,6,-16.339,0,0.0323,0.964,1.1e-05,0.105,0.312,79.975,https://api.spotify.com/v1/audio-analysis/19gCnDoMbugHhF7eMpLpe1,189000
3kxkjirben9RVm9NqYa6rm,https://p.scdn.co/mp3-preview/d445e78c58a566bb064a873ceba337bae74e505e?cid=7596a347c632409f9829d4c3cb9fa3c7,chill,0.477,0.483,4,-9.413,0,0.0364,0.0027,0.783,0.156,0.123,170.026,https://api.spotify.com/v1/audio-analysis/3kxkjirben9RVm9NqYa6rm,248347
2IWtloZYQDcP8Ashwx8QEF,https://p.scdn.co/mp3-preview/88564d9e877cab71c03ca834f895632de3b81000?cid=7596a347c632409f9829d4c3cb9fa3c7,chill,0.542,0.795,4,-3.63,0,0.0368,0.00506,0.019,0.0851,0.431,92.234,https://api.spotify.com/v1/audio-analysis/2IWtloZYQDcP8Ashwx8QEF,227160
4Nw7kywWurWS6ceinn1cHK,https://p.scdn.co/mp3-preview/3923f257a71c454162d581d6f2fde86f95101ff3?cid=7596a347c632409f9829d4c3cb9fa3c7,chill,0.799,0.452,1,-7.641,0,0.0466,0.238,0.000133,0.0878,0.732,78.461,https://api.spotify.com/v1/audio-analysis/4Nw7kywWurWS6ceinn1cHK,176760
