id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
1BncfTJAWxrsxyT9culBrj,https://p.scdn.co/mp3-preview/ffa40c4bc3ee4ec1f9ac9f7fdbab2e769d35df41?cid=7596a347c632409f9829d4c3cb9fa3c7,classical,0.447,0.449,2,-10.634,1,0.0376,0.934,0.961,0.0697,0.036,92.468,https://api.spotify.com/v1/audio-analysis/1BncfTJAWxrsxyT9culBrj,315427
4tHqQMWSqmL6YjXwsqthDI,https://p.scdn.co/mp3-preview/bdc1e9a42cadf6991b46973b5865374e59e59ab1?cid=7596a347c632409f9829d4c3cb9fa3c7,classical,0.418,0.106,8,-22.507,0,0.0448,0.994,0.0292,0.179,0.8,46.718,https://api.spotify.com/v1/audio-analysis/4tHqQMWSqmL6YjXwsqthDI,85267
61dYvvfIRtIDFuqZypPAta,https://p.scdn.co/mp3-preview/ff29dfba36883ca409b42e956c1b4bbd9fda7a2c?cid=7596a347c632409f9829d4c3cb9fa3c7,classical,0.257,0.109,7,-21.356,1,0.0597,0.9,0.867,0.0762,0.307,75.02,https://api.spotify.com/v1/audio-analysis/61dYvvfIRtIDFuqZypPAta,151480
3DNRdudZ2SstnDCVKFdXxG,https://p.scdn.co/mp3-preview/969598a26ff84a983720cc15f0a76b0498a829d3?cid=7596a347c632409f9829d4c3cb9fa3c7,classical,0.184,0.00527,1,-37.264,0,0.0432,0.995,0.887,0.173,0.151,170.612,https://api.spotify.com/v1/audio-analysis/3DNRdudZ2SstnDCVKFdXxG,315427
0jOnZhF75V68VsBObWx2XO,https://p.scdn.co/mp3-preview/103e1dbe525513cf77e7373e38bd74712fcf22ea?cid=7596a347c632409f9829d4c3cb9fa3c7,classical,0.169,0.0161,9,-31.034,0,0.0442,0.986,0.86,0.0805,0.0573,128.143,https://api.spotify.com/v1/audio-analysis/0jOnZhF75V68VsBObWx2XO,174267
5NGtFXVpXSvwunEIGeviY3,https://p.scdn.co/mp3-preview/7936470ed69da753fc4d02d38c5947b9eb137533?cid=7596a347c632409f9829d4c3cb9fa3c7,classical,0.468,0.0127,7,-36.856,1,0.123,0.994,0.937,0.094,0.356,72.776,https://api.spotify.com/v1/audio-analysis/5NGtFXVpXSvwunEIGeviY3,205867
2m2GJpBjQNNphaCgBeoj7R,https://p.scdn.co/mp3-preview/92c5b67ed473e1bb8820a35b325c3e376c444afa?cid=7596a347c632409f9829d4c3cb9fa3c7,classical,0.324,0.0186,2,-28.248,1,0.0476,0.99,0.934,0.105,0.126,85.297,https://api.spotify.com/v1/audio-analysis/2m2GJpBjQNNphaCgBeoj7R,207640
6eir7TDacjXjFscPxDFHC4,https://p.scdn.co/mp3-preview/d708615f227f93fd77406018b0c7908e43fab99e?cid=7596a347c632409f9829d4c3cb9fa3c7,classical,0.225,0.00332,5,-38.899,1,0.0546,0.994,0.945,0.0936,0.394,67.988,https://api.spotify.com/v1/audio-analysis/6eir7TDacjXjFscPxDFHC4,199167
1cmigB9I6IRpFqjIbzvSQB,https://p.scdn.co/mp3-preview/f9d89a5be6f8e90e07f52c11be7c26893f87b396?cid=7596a347c632409f9829d4c3cb9fa3c7,classical,0.335,0.00501,1,-33.366,1,0.0451,0.993,0.919,0.0618,0.0383,132.085,https://api.spotify.com/v1/audio-analysis/1cmigB9I6IRpFqjIbzvSQB,294960
5u5aVJKjSMJr4zesMPz7bL,https://p.scdn.co/mp3-preview/5a00e2412e35c93d7d66bf7eefcdf58e13ec28cd?cid=7596a347c632409f9829d4c3cb9fa3c7,classical,0.335,0.00532,1,-31.646,1,0.0376,0.994,0.912,0.0621,0.0397,65.832,https://api.spotify.com/v1/audio-analysis/5u5aVJKjSMJr4zesMPz7bL,268000
2agBDIr9MYDUducQPC1sFU,https://p.scdn.co/mp3-preview/384039301a8157cafe44d879b74090da3dbe8e59?cid=7596a347c632409f9829d4c3cb9fa3c7,classical,0.315,0.22,9,-21.343,1,0.0514,0.987,0.943,0.0802,0.116,145.195,https://api.spotify.com/v1/audio-analysis/2agBDIr9MYDUducQPC1sFU,188787
39uLYYZytVUwcjgeYLI409,https://p.scdn.co/mp3-preview/e24e4af18153933c0a42a06c78ff2bdc23e26da7?cid=7596a347c632409f9829d4c3cb9fa3c7,classical,0.239,0.287,7,-12.565,0,0.0388,0.876,0.644,0.122,0.185,71.608,https://api.spotify.com/v1/audio-analysis/39uLYYZytVUwcjgeYLI409,311107
3JdD9wqvohYMjK6BmEHtTP,https://p.scdn.co/mp3-preview/daf6fc83232748997c015ee385f0525f43d323de?cid=7596a347c632409f9829d4c3cb9fa3c7,classical,0.0921,0.0183,7,-31.858,1,0.0513,0.942,0.94,0.195,0.039,166.979,https://api.spotify.com/v1/audio-analysis/3JdD9wqvohYMjK6BmEHtTP,172120
