id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
2vXKRlJBXyOcvZYTdNeckS,https://p.scdn.co/mp3-preview/e97296332d95207489eb7865bd10549a27d52e6f?cid=7596a347c632409f9829d4c3cb9fa3c7,club,0.658,0.671,2,-12.21,1,0.0363,0.0933,0.000927,0.115,0.166,100.966,https://api.spotify.com/v1/audio-analysis/2vXKRlJBXyOcvZYTdNeckS,202093
33czlBnDnXarFUohTnqbNn,https://p.scdn.co/mp3-preview/c342c2f4a88dc1d950b5faa30570663937ed34e2?cid=7596a347c632409f9829d4c3cb9fa3c7,club,0.68,0.479,1,-7.551,0,0.0714,0.367,0.00305,0.264,0.166,142.128,https://api.spotify.com/v1/audio-analysis/33czlBnDnXarFUohTnqbNn,104789
5FO2meBx77vJuGLRw6i1Ry,https://p.scdn.co/mp3-preview/0a657706aa95b15f7595a2f242d275180010c93f?cid=7596a347c632409f9829d4c3cb9fa3c7,club,0.739,0.929,1,-6.918,1,0.0392,0.00149,0.856,0.34,0.73,111.016,https://api.spotify.com/v1/audio-analysis/5FO2meBx77vJuGLRw6i1Ry,64510
7qekEQyGFRim7qNhxzkaLo,https://p.scdn.co/mp3-preview/23cb1ff7580af9d9cf5de6caf8c7daf6dcbf0b43?cid=7596a347c632409f9829d4c3cb9fa3c7,club,0.494,0.556,7,-6.348,1,0.0257,0.433,0.0,0.0969,0.325,85.986,https://api.spotify.com/v1/audio-analysis/7qekEQyGFRim7qNhxzkaLo,184653
1M3Rc9seRrTowsyXhGWf1Z,https://p.scdn.co/mp3-preview/b8c9b09fd56d0699885489bf839509f9ab0d6f0f?cid=7596a347c632409f9829d4c3cb9fa3c7,club,0.911,0.889,8,-3.681,1,0.0872,0.0778,0.0702,0.147,0.4,150.029,https://api.spotify.com/v1/audio-analysis/1M3Rc9seRrTowsyXhGWf1Z,108448
5FrXsyroetNpn4b0MgYbMA,https://p.scdn.co/mp3-preview/519750903167949038ea359de72a22a3d2b6fd61?cid=7596a347c632409f9829d4c3cb9fa3c7,club,0.714,0.412,1,-6.665,1,0.0384,0.00194,0.599,0.182,0.773,92.516,https://api.spotify.com/v1/audio-analysis/5FrXsyroetNpn4b0MgYbMA,77546
0UIYSqVwyz9bhMA9Pa6eI3,https://p.scdn.co/mp3-preview/35fc239c7191ec139ad7837ae2ef6bac4f836bd5?cid=7596a347c632409f9829d4c3cb9fa3c7,club,0.651,0.582,11,-7.105,0,0.236,0.000909,0.0843,0.868,0.351,90.059,https://api.spotify.com/v1/audio-analysis/0UIYSqVwyz9bhMA9Pa6eI3,85394
7irY7Ldcf6BFpycGl62vum,https://p.scdn.co/mp3-preview/7002bd2fe78f8527362a175bfcc25b72c1793b1d?cid=7596a347c632409f9829d4c3cb9fa3c7,club,0.52,0.27,8,-9.806,1,0.0299,0.616,0.0,0.109,0.509,110.789,https://api.spotify.com/v1/audio-analysis/7irY7Ldcf6BFpycGl62vum,166547
5pGz6FrmpHjOuso83azbik,https://p.scdn.co/mp3-preview/32f92552509b5bb7bcf2fbf6d873656795837a47?cid=7596a347c632409f9829d4c3cb9fa3c7,club,0.454,0.951,1,-4.438,1,0.0725,0.0281,0.000335,0.293,0.564,98.91,https://api.spotify.com/v1/audio-analysis/5pGz6FrmpHjOuso83azbik,144848
4hBW3h6FnQNh7NRmyxLLG7,https://p.scdn.co/mp3-preview/4f2cae791cf10456ab4d1a8c6fdd9a52412f1406?cid=7596a347c632409f9829d4c3cb9fa3c7,club,0.651,0.889,5,-5.236,1,0.0694,0.00308,0.0,0.417,0.813,107.009,https://api.spotify.com/v1/audio-analysis/4hBW3h6FnQNh7NRmyxLLG7,213413
2odJRoZ0Bx3aHvNa8hpNrD,https://p.scdn.co/mp3-preview/7ee729cf717bd4c7213dce7bbf99494fcf1c8bb2?cid=7596a347c632409f9829d4c3cb9fa3c7,club,0.497,0.825,8,-4.638,0,0.0821,0.0031,0.00496,0.0905,0.235,88.712,https://api.spotify.com/v1/audio-analysis/2odJRoZ0Bx3aHvNa8hpNrD,194157
2nCL4jSUB2iLfySrjVTWgj,https://p.scdn.co/mp3-preview/89b4d317a3b1cca46bbb424ec2edba92a2c5ee83?cid=7596a347c632409f9829d4c3cb9fa3c7,club,0.725,0.868,2,-2.537,1,0.0364,0.0181,0.359,0.0687,0.0624,117.994,https://api.spotify.com/v1/audio-analysis/2nCL4jSUB2iLfySrjVTWgj,162712
6BzXcsB6HhmO7yQ7qBjK48,https://p.scdn.co/mp3-preview/33acc92758531456356ac010f51ffe09a6d357c7?cid=7596a347c632409f9829d4c3cb9fa3c7,club,0.638,0.731,11,-7.125,1,0.0481,0.0662,0.83,0.11,0.42,108.055,https://api.spotify.com/v1/audio-analysis/6BzXcsB6HhmO7yQ7qBjK48,111111
3BcEpBfEx2mOyCSJWIHSvu,https://p.scdn.co/mp3-preview/8cc82d511a86cd329c4e5c63599e2524d96c0676?cid=7596a347c632409f9829d4c3cb9fa3c7,club,0.424,0.797,5,-2.321,1,0.0577,0.000969,0.841,0.234,0.223,179.893,https://api.spotify.com/v1/audio-analysis/3BcEpBfEx2mOyCSJWIHSvu,272000
77GcYr9JP6uvJM0kPa6Nzk,https://p.scdn.co/mp3-preview/e61e79900200b7fd02aa450e0835bb777c256d98?cid=7596a347c632409f9829d4c3cb9fa3c7,club,0.623,0.738,3,-5.709,1,0.0281,0.179,0.0,0.146,0.874,152.066,https://api.spotify.com/v1/audio-analysis/77GcYr9JP6uvJM0kPa6Nzk,152947
3BBtBgwmSXmcJgbTKiB4ap,https://p.scdn.co/mp3-preview/41fb1f5ae4387562db89177d9963ac5572657d9d?cid=7596a347c632409f9829d4c3cb9fa3c7,club,0.824,0.755,1,-5.272,1,0.0649,0.0141,0.0021,0.0944,0.412,125.963,https://api.spotify.com/v1/audio-analysis/3BBtBgwmSXmcJgbTKiB4ap,184762
6GoLARmR2OZl2EldehFrsA,https://p.scdn.co/mp3-preview/75b07b4f2a208d4130af0ce3ee91c13de0c75285?cid=7596a347c632409f9829d4c3cb9fa3c7,club,0.776,0.717,2,-4.897,1,0.0836,0.115,0.00755,0.327,0.828,139.995,https://api.spotify.com/v1/audio-analysis/6GoLARmR2OZl2EldehFrsA,232807
