id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
1ACZpHI5vZ5Ea4xGlkdGWM,https://p.scdn.co/mp3-preview/37a0f8fab192981f6087cca704e8cdd209a97b01?cid=7596a347c632409f9829d4c3cb9fa3c7,comedy,0.927,0.367,9,-7.797,1,0.382,0.325,0.0,0.132,0.576,99.053,https://api.spotify.com/v1/audio-analysis/1ACZpHI5vZ5Ea4xGlkdGWM,328667
10Igtw8bSDyyFs7KIsKngZ,https://p.scdn.co/mp3-preview/0dcfb40f74f45bc7b5c852048c9141719dcc55e0?cid=7596a347c632409f9829d4c3cb9fa3c7,comedy,0.755,0.599,8,-5.042,1,0.224,0.147,0.0,0.109,0.755,133.123,https://api.spotify.com/v1/audio-analysis/10Igtw8bSDyyFs7KIsKngZ,216632
7MkysLvt3L8UFji2PceoFU,https://p.scdn.co/mp3-preview/db278381ada6190b1e2db643b0616585b8ef9908?cid=7596a347c632409f9829d4c3cb9fa3c7,comedy,0.829,0.514,7,-6.694,1,0.037,0.203,0.000157,0.115,0.397,114.955,https://api.spotify.com/v1/audio-analysis/7MkysLvt3L8UFji2PceoFU,244340
0rRboI6IRuGx56Dq3UdYY4,https://p.scdn.co/mp3-preview/55779fb70366a2cf64a2c76e9acc4745aa090f09?cid=7596a347c632409f9829d4c3cb9fa3c7,comedy,0.802,0.341,7,-8.56,1,0.488,0.169,0.0,0.0783,0.849,166.01,https://api.spotify.com/v1/audio-analysis/0rRboI6IRuGx56Dq3UdYY4,197760
1TkWsnheqK0gBtvh07BtNX,https://p.scdn.co/mp3-preview/9d826ded19aeb43054ac4226e005c3c0302a481b?cid=7596a347c632409f9829d4c3cb9fa3c7,comedy,0.858,0.697,2,-5.361,1,0.23,0.114,0.0,0.224,0.364,98.013,https://api.spotify.com/v1/audio-analysis/1TkWsnheqK0gBtvh07BtNX,290836
0Dfctnkk9xIikDKJ06uwzo,https://p.scdn.co/mp3-preview/77f522c12c584d7497d8e97b694ceb146729fad2?cid=7596a347c632409f9829d4c3cb9fa3c7,comedy,0.828,0.577,6,-7.656,0,0.158,0.599,0.0,0.0814,0.587,86.339,https://api.spotify.com/v1/audio-analysis/0Dfctnkk9xIikDKJ06uwzo,163493
2hhFpD32iXUd4GaCu6T4wn,https://p.scdn.co/mp3-preview/345b8cef9dcd00df6b298f6a7d9d38b70bb7e6cf?cid=7596a347c632409f9829d4c3cb9fa3c7,comedy,0.823,0.731,3,-4.273,1,0.307,0.42,0.0,0.306,0.876,90.302,https://api.spotify.com/v1/audio-analysis/2hhFpD32iXUd4GaCu6T4wn,195693
5TlAXiBCBwiQnIZUAA4Jkg,https://p.scdn.co/mp3-preview/711dd50cb02e2c5b2a0e755c0a509e368a02f120?cid=7596a347c632409f9829d4c3cb9fa3c7,comedy,0.684,0.621,11,-8.442,0,0.362,0.432,0.0,0.607,0.537,128.882,https://api.spotify.com/v1/audio-analysis/5TlAXiBCBwiQnIZUAA4Jkg,353960
2S1LebN6AXXQqJolBxlWgO,https://p.scdn.co/mp3-preview/444f3887c3d45d1e7763f3e765b4a7813d2e8ae2?cid=7596a347c632409f9829d4c3cb9fa3c7,comedy,0.694,0.664,2,-4.649,1,0.05,0.639,0.0,0.0929,0.676,95.941,https://api.spotify.com/v1/audio-analysis/2S1LebN6AXXQqJolBxlWgO,281500
5r96TaQquRrlo3Ym3ZlSL2,https://p.scdn.co/mp3-preview/4534eb25423d1d104a0814ed29b504f641813038?cid=7596a347c632409f9829d4c3cb9fa3c7,comedy,0.728,0.448,8,-10.54,1,0.172,0.103,0.0,0.267,0.483,80.902,https://api.spotify.com/v1/audio-analysis/5r96TaQquRrlo3Ym3ZlSL2,202920
5PEleSkK4p4E1sx3x7cOLt,https://p.scdn.co/mp3-preview/e115c5324f4e7854d612caf4c00aa3c4c74e1b50?cid=7596a347c632409f9829d4c3cb9fa3c7,comedy,0.615,0.811,6,-4.316,1,0.144,0.0188,0.0,0.196,0.808,167.995,https://api.spotify.com/v1/audio-analysis/5PEleSkK4p4E1sx3x7cOLt,166560
3IQSYqnKsCTMLWn2xE3HFT,https://p.scdn.co/mp3-preview/42f46e33b2847892b6a0aff29da65aaf6227e8bc?cid=7596a347c632409f9829d4c3cb9fa3c7,comedy,0.623,0.871,0,-2.403,1,0.239,0.0465,0.0,0.111,0.653,150.079,https://api.spotify.com/v1/audio-analysis/3IQSYqnKsCTMLWn2xE3HFT,156267
46nJ8ZPiUX4TuvCey0Wcz1,https://p.scdn.co/mp3-preview/1f26a11e9e354ecf8a80725c76f5257d7d4c1334?cid=7596a347c632409f9829d4c3cb9fa3c7,comedy,0.8,0.656,5,-5.874,0,0.114,0.0143,0.0,0.354,0.437,119.921,https://api.spotify.com/v1/audio-analysis/46nJ8ZPiUX4TuvCey0Wcz1,285894
6doSV1UQjyKxiNCnBnDTeG,https://p.scdn.co/mp3-preview/3585b7c50fec1b755cbad9f57ff5af5f1cdc7cf6?cid=7596a347c632409f9829d4c3cb9fa3c7,comedy,0.356,0.503,9,-8.937,1,0.0734,0.766,2.51e-06,0.871,0.331,88.816,https://api.spotify.com/v1/audio-analysis/6doSV1UQjyKxiNCnBnDTeG,223947
2ov4LhWJZ2J7zGnHQqoWvZ,https://p.scdn.co/mp3-preview/0603df16ac015553c99657f48c9bfc3b1c83528c?cid=7596a347c632409f9829d4c3cb9fa3c7,comedy,0.62,0.506,2,-12.894,0,0.155,0.641,0.0,0.508,0.632,98.582,https://api.spotify.com/v1/audio-analysis/2ov4LhWJZ2J7zGnHQqoWvZ,146773
7lFgli7y2vo7sjgynHZzBP,https://p.scdn.co/mp3-preview/a2e72291a149103c799172d935b912cc45adbdc4?cid=7596a347c632409f9829d4c3cb9fa3c7,comedy,0.501,0.796,0,-4.599,1,0.104,0.107,0.000974,0.539,0.582,130.719,https://api.spotify.com/v1/audio-analysis/7lFgli7y2vo7sjgynHZzBP,254347
