id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
3WMj8moIAXJhHsyLaqIIHI,https://p.scdn.co/mp3-preview/d47bead4535e1350196174d29b5b7977ce17e60b?cid=7596a347c632409f9829d4c3cb9fa3c7,country,0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,https://api.spotify.com/v1/audio-analysis/3WMj8moIAXJhHsyLaqIIHI,228013
5uU1uuyaUIBOiiUSQG7Wl3,https://p.scdn.co/mp3-preview/06064ed99e1f3d85c09d5335b3544d80f3b5c10c?cid=7596a347c632409f9829d4c3cb9fa3c7,country,0.731,0.85,9,-4.913,1,0.0336,0.252,0.0,0.605,0.644,119.706,https://api.spotify.com/v1/audio-analysis/5uU1uuyaUIBOiiUSQG7Wl3,157478
59uQI0PADDKeE6UZDTJEe8,https://p.scdn.co/mp3-preview/8e9378ebaf88e8123840e7abe02ca3bfbcccaded?cid=7596a347c632409f9829d4c3cb9fa3c7,country,0.517,0.675,6,-5.382,1,0.0357,0.459,0.0,0.151,0.518,203.853,https://api.spotify.com/v1/audio-analysis/59uQI0PADDKeE6UZDTJEe8,163855
4686eQ81DEswHa90bcdlC9,https://p.scdn.co/mp3-preview/9d79da8dca77b002647911cbc843c3675599dcef?cid=7596a347c632409f9829d4c3cb9fa3c7,country,0.582,0.568,1,-7.3,1,0.0275,0.577,0.0,0.105,0.394,121.991,https://api.spotify.com/v1/audio-analysis/4686eQ81DEswHa90bcdlC9,207541
3cBsEDNhFI9E82vPj3kvi3,https://p.scdn.co/mp3-preview/356e7b8dc41bf48faba015af5f17700373b2e437?cid=7596a347c632409f9829d4c3cb9fa3c7,country,0.505,0.657,11,-5.24,0,0.0318,0.373,0.00107,0.126,0.252,196.0,https://api.spotify.com/v1/audio-analysis/3cBsEDNhFI9E82vPj3kvi3,178520
42TtHTxWk782ZBiqyOi2d1,https://p.scdn.co/mp3-preview/a8531dca46139224a8869fad2087c77aa330bf6c?cid=7596a347c632409f9829d4c3cb9fa3c7,country,0.447,0.441,0,-7.658,1,0.0456,0.874,4.36e-05,0.188,0.286,122.811,https://api.spotify.com/v1/audio-analysis/42TtHTxWk782ZBiqyOi2d1,290892
6KGtAlYvgm4W9PoYabFAYE,https://p.scdn.co/mp3-preview/8b0abff63d3b742e711367332adc5c265ba42bf5?cid=7596a347c632409f9829d4c3cb9fa3c7,country,0.614,0.913,7,-5.126,1,0.0296,0.0042,1.72e-06,0.26,0.92,141.982,https://api.spotify.com/v1/audio-analysis/6KGtAlYvgm4W9PoYabFAYE,206865
6NHpyYvJyQsg2nXXzGYc2R,https://p.scdn.co/mp3-preview/a77dfccd43a583195d47cea68aaba28ba502bfad?cid=7596a347c632409f9829d4c3cb9fa3c7,country,0.529,0.695,6,-6.174,1,0.0278,0.488,1.24e-05,0.142,0.514,139.993,https://api.spotify.com/v1/audio-analysis/6NHpyYvJyQsg2nXXzGYc2R,215572
6HBRLaSQ7NB8MNlaqzYen1,https://p.scdn.co/mp3-preview/57384c10a4b4e928effbfbadcfb5cb7bce54e079?cid=7596a347c632409f9829d4c3cb9fa3c7,country,0.675,0.726,2,-6.459,1,0.0461,0.105,0.0,0.153,0.671,124.872,https://api.spotify.com/v1/audio-analysis/6HBRLaSQ7NB8MNlaqzYen1,186791
200x8ONbPfFzByUr3fVz46,https://p.scdn.co/mp3-preview/9bfb4f7a19b9ea12df15010c4d6f8e342b8f5104?cid=7596a347c632409f9829d4c3cb9fa3c7,country,0.607,0.912,8,-3.449,1,0.0611,0.124,0.0,0.332,0.722,134.944,https://api.spotify.com/v1/audio-analysis/200x8ONbPfFzByUr3fVz46,206107
6foY66mWZN0pSRjZ408c00,https://p.scdn.co/mp3-preview/ad0a2f36f3ab6017d7fc932a04d4e6d8e6a349ab?cid=7596a347c632409f9829d4c3cb9fa3c7,country,0.614,0.68,6,-4.58,1,0.0289,0.369,1.84e-06,0.115,0.707,149.959,https://api.spotify.com/v1/audio-analysis/6foY66mWZN0pSRjZ408c00,234347
76FeKAU0A4dpFGrVSg2TX2,https://p.scdn.co/mp3-preview/6d92e19abea11fd8531da6f6ae80162d6c5f9f14?cid=7596a347c632409f9829d4c3cb9fa3c7,country,0.682,0.805,2,-3.739,1,0.0403,0.0888,5.34e-05,0.0776,0.826,143.978,https://api.spotify.com/v1/audio-analysis/76FeKAU0A4dpFGrVSg2TX2,181767
67AdiJcurlf6gocGobfaXs,https://p.scdn.co/mp3-preview/521c5b5cdd238a86d97c1e8a008e0d65d8b58222?cid=7596a347c632409f9829d4c3cb9fa3c7,country,0.565,0.56,6,-6.034,1,0.0275,0.538,0.0,0.0961,0.325,159.931,https://api.spotify.com/v1/audio-analysis/67AdiJcurlf6gocGobfaXs,177267
62L9AbfPmUm8gV578rxC51,https://p.scdn.co/mp3-preview/55058c2d1fa2f0d4204382ac8a94a23757b760ed?cid=7596a347c632409f9829d4c3cb9fa3c7,country,0.563,0.851,8,-3.798,1,0.026,0.00417,0.00113,0.147,0.72,103.996,https://api.spotify.com/v1/audio-analysis/62L9AbfPmUm8gV578rxC51,187047
3fqwjXwUGN6vbzIwvyFMhx,https://p.scdn.co/mp3-preview/5b2b106ff80d84804c9596051bb73e1afd3bb481?cid=7596a347c632409f9829d4c3cb9fa3c7,country,0.392,0.37,9,-10.888,1,0.0298,0.205,0.0096,0.0821,0.512,48.718,https://api.spotify.com/v1/audio-analysis/3fqwjXwUGN6vbzIwvyFMhx,293293
2Dct3GykKZ58hpWRFfe2Qd,https://p.scdn.co/mp3-preview/ec1c54d4a070b82fe28a391fb4a3e7b747f11521?cid=7596a347c632409f9829d4c3cb9fa3c7,country,0.68,0.246,4,-14.112,1,0.058,0.783,0.0,0.106,0.388,110.23,https://api.spotify.com/v1/audio-analysis/2Dct3GykKZ58hpWRFfe2Qd,171693
1brnLTvarI9D1hLP6z2Ar8,https://p.scdn.co/mp3-preview/6a5a9b98d853d678805f7c3cf428b9d55e1c04e6?cid=7596a347c632409f9829d4c3cb9fa3c7,country,0.738,0.455,3,-8.735,1,0.0352,0.695,0.0,0.107,0.441,99.945,https://api.spotify.com/v1/audio-analysis/1brnLTvarI9D1hLP6z2Ar8,174560
5MwynWK9s4hlyKHqhkNn4A,https://p.scdn.co/mp3-preview/613e8f242bb054485bc0ae1a69aaa734662f0bea?cid=7596a347c632409f9829d4c3cb9fa3c7,country,0.631,0.591,7,-5.785,1,0.0277,0.657,0.0,0.11,0.489,97.074,https://api.spotify.com/v1/audio-analysis/5MwynWK9s4hlyKHqhkNn4A,205453
69AIpwGNLxr4qS1X5ynx60,https://p.scdn.co/mp3-preview/d511bb24a03f07ab751d6cb8c9877e803daec063?cid=7596a347c632409f9829d4c3cb9fa3c7,country,0.586,0.559,4,-6.725,1,0.05,0.639,0.0,0.0872,0.437,177.945,https://api.spotify.com/v1/audio-analysis/69AIpwGNLxr4qS1X5ynx60,167480
1SjsVdSXpwm1kTdYEHoPIT,https://p.scdn.co/mp3-preview/43634a10ac67fa82abf531a58e06caae5d72c6bb?cid=7596a347c632409f9829d4c3cb9fa3c7,country,0.505,0.27,9,-9.165,0,0.0333,0.593,0.0,0.133,0.557,98.721,https://api.spotify.com/v1/audio-analysis/1SjsVdSXpwm1kTdYEHoPIT,163032
6Tm4Io4ct4w14nB1EUzsY3,https://p.scdn.co/mp3-preview/acb22f14ffc4e54a3b3bbaf53f0d14c7b028a2a9?cid=7596a347c632409f9829d4c3cb9fa3c7,country,0.479,0.768,8,-5.204,1,0.0312,7.02e-05,0.00549,0.121,0.576,110.024,https://api.spotify.com/v1/audio-analysis/6Tm4Io4ct4w14nB1EUzsY3,183790
