id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
0JXXNGljqupsJaZsgSbMZV,https://p.scdn.co/mp3-preview/309baa4068d12510cdab8a9ea089221638c3ff3e?cid=7596a347c632409f9829d4c3cb9fa3c7,dance,0.684,0.607,11,-8.127,0,0.1,0.0267,0.000307,0.191,0.498,81.001,https://api.spotify.com/v1/audio-analysis/0JXXNGljqupsJaZsgSbMZV,195373
4uUG5RXrOk84mYEfFvj3cK,https://p.scdn.co/mp3-preview/4fd1cf30a4ffa2305cc7fd7001af541b9815d54a?cid=7596a347c632409f9829d4c3cb9fa3c7,dance,0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,https://api.spotify.com/v1/audio-analysis/4uUG5RXrOk84mYEfFvj3cK,175238
5Z2MiIZ5I3jJvvmeWMLbOQ,https://p.scdn.co/mp3-preview/defdb14d890b6c75af29dd967791654afbff45f2?cid=7596a347c632409f9829d4c3cb9fa3c7,dance,0.538,0.742,2,-5.355,1,0.114,0.138,4.67e-05,0.0934,0.25,96.107,https://api.spotify.com/v1/audio-analysis/5Z2MiIZ5I3jJvvmeWMLbOQ,272373
1xzi1Jcr7mEi9K2RfzLOqS,https://p.scdn.co/mp3-preview/43ce8ee7aa447551c42b881d134919f8803b8d10?cid=7596a347c632409f9829d4c3cb9fa3c7,dance,0.78,0.689,7,-5.668,1,0.141,0.0368,9.69e-06,0.0698,0.642,115.042,https://api.spotify.com/v1/audio-analysis/1xzi1Jcr7mEi9K2RfzLOqS,225389
6dgUya35uo964z7GZXM07g,https://p.scdn.co/mp3-preview/8e906c8486124a7696317538faee71cd3a493a9f?cid=7596a347c632409f9829d4c3cb9fa3c7,dance,0.74,0.697,8,-4.912,1,0.034,0.0268,0.0,0.224,0.732,138.992,https://api.spotify.com/v1/audio-analysis/6dgUya35uo964z7GZXM07g,163648
0QHEIqNKsMoOY5urbzN48u,https://p.scdn.co/mp3-preview/02f5715ebd9049d5549383153cbf4633d45ee5d5?cid=7596a347c632409f9829d4c3cb9fa3c7,dance,0.838,0.525,10,-3.562,1,0.0665,0.345,1.92e-06,0.0771,0.884,144.981,https://api.spotify.com/v1/audio-analysis/0QHEIqNKsMoOY5urbzN48u,134256
5IgjP7X4th6nMNDh4akUHb,https://p.scdn.co/mp3-preview/b78a6663862427dea570223a91308a00af3ed9e5?cid=7596a347c632409f9829d4c3cb9fa3c7,dance,0.733,0.69,9,-5.529,0,0.0427,0.0635,1.18e-06,0.105,0.31,116.992,https://api.spotify.com/v1/audio-analysis/5IgjP7X4th6nMNDh4akUHb,184613
0hquQWY3xvYqN4qtiquniF,https://p.scdn.co/mp3-preview/dc6737cf5cd2468967cdc6e69977e8810b464a96?cid=7596a347c632409f9829d4c3cb9fa3c7,dance,0.801,0.601,8,-7.574,0,0.255,0.0777,3.23e-05,0.145,0.74,159.969,https://api.spotify.com/v1/audio-analysis/0hquQWY3xvYqN4qtiquniF,182907
6BePGk3eCan4FqaW2X8Qy3,https://p.scdn.co/mp3-preview/5129d1b80c678716f5f69a13fa9078a8a0939e60?cid=7596a347c632409f9829d4c3cb9fa3c7,dance,0.696,0.793,8,-5.733,1,0.097,0.0683,3.78e-06,0.18,0.698,120.003,https://api.spotify.com/v1/audio-analysis/6BePGk3eCan4FqaW2X8Qy3,172253
11BKm0j4eYoCPPpCONAVwA,https://p.scdn.co/mp3-preview/60094c0fd5da97ded177cf1b61ce83e4086c9cd3?cid=7596a347c632409f9829d4c3cb9fa3c7,dance,0.591,0.637,9,-6.365,0,0.03,0.0107,1.95e-06,0.113,0.432,99.998,https://api.spotify.com/v1/audio-analysis/11BKm0j4eYoCPPpCONAVwA,244760
003vvx7Niy0yvhvHt4a68B,https://p.scdn.co/mp3-preview/ae6de4873b51e32c32063554c0aaee384d328057?cid=7596a347c632409f9829d4c3cb9fa3c7,dance,0.352,0.911,1,-5.23,1,0.0747,0.00121,0.0,0.0995,0.236,148.033,https://api.spotify.com/v1/audio-analysis/003vvx7Niy0yvhvHt4a68B,222973
4rPJSqrov3zqGwXlemLBMw,https://p.scdn.co/mp3-preview/e0ade4954c753b971c918534b1c9cac873a6f7e0?cid=7596a347c632409f9829d4c3cb9fa3c7,dance,0.435,0.768,6,-5.352,0,0.201,0.0857,0.000231,0.0918,0.378,107.588,https://api.spotify.com/v1/audio-analysis/4rPJSqrov3zqGwXlemLBMw,239888
3w3y8KPTfNeOKPiqUTakBh,https://p.scdn.co/mp3-preview/31c6d53ddf9e3746a6c80eba79ab8e3aad03261d?cid=7596a347c632409f9829d4c3cb9fa3c7,dance,0.726,0.698,5,-4.165,1,0.0431,0.049,0.0,0.309,0.867,143.994,https://api.spotify.com/v1/audio-analysis/3w3y8KPTfNeOKPiqUTakBh,233478
7BqBn9nzAq8spo5e7cZ0dJ,https://p.scdn.co/mp3-preview/6747e076ecc54299d9e7641d27a37bb58744c9d2?cid=7596a347c632409f9829d4c3cb9fa3c7,dance,0.635,0.841,5,-5.379,1,0.0422,0.0134,0.0,0.0622,0.424,109.021,https://api.spotify.com/v1/audio-analysis/7BqBn9nzAq8spo5e7cZ0dJ,220734
0bYg9bo50gSsH3LtXe2SQn,https://p.scdn.co/mp3-preview/cd203a4a0063617271b9b21b416a4432cb0fdb53?cid=7596a347c632409f9829d4c3cb9fa3c7,dance,0.336,0.627,7,-7.463,1,0.0384,0.164,0.0,0.0708,0.35,150.273,https://api.spotify.com/v1/audio-analysis/0bYg9bo50gSsH3LtXe2SQn,241107
6Uj1ctrBOjOas8xZXGqKk4,https://p.scdn.co/mp3-preview/37c38b4e7fc17fca0cc5e5d89fcd9be876f55536?cid=7596a347c632409f9829d4c3cb9fa3c7,dance,0.824,0.764,5,-4.175,0,0.0854,0.0888,0.00294,0.117,0.881,107.998,https://api.spotify.com/v1/audio-analysis/6Uj1ctrBOjOas8xZXGqKk4,172627
6G12ZafqofSq7YtrMqUm76,https://p.scdn.co/mp3-preview/47a528daed83fa81ff98df774d801f41c6ac8b12?cid=7596a347c632409f9829d4c3cb9fa3c7,dance,0.873,0.695,0,-4.207,0,0.0459,0.419,1.23e-06,0.211,0.823,131.963,https://api.spotify.com/v1/audio-analysis/6G12ZafqofSq7YtrMqUm76,158805
161DnLWsx1i3u1JT05lzqU,https://p.scdn.co/mp3-preview/2ac184af67799d4565d400b8dae22d1d54aa824c?cid=7596a347c632409f9829d4c3cb9fa3c7,dance,0.498,0.59,1,-4.721,0,0.032,0.511,0.0,0.107,0.0784,145.867,https://api.spotify.com/v1/audio-analysis/161DnLWsx1i3u1JT05lzqU,217867
1PckUlxKqWQs3RlWXVBLw3,https://p.scdn.co/mp3-preview/c440d55a05c9cf67dd9d5c5818a6a6781aa01232?cid=7596a347c632409f9829d4c3cb9fa3c7,dance,0.836,0.743,10,-6.305,0,0.0656,0.0995,0.0,0.335,0.722,108.966,https://api.spotify.com/v1/audio-analysis/1PckUlxKqWQs3RlWXVBLw3,191822
4C6Uex2ILwJi9sZXRdmqXp,https://p.scdn.co/mp3-preview/6c2f5e2226d4d4f650d79ff706654556591f5303?cid=7596a347c632409f9829d4c3cb9fa3c7,dance,0.95,0.891,2,-2.653,1,0.241,0.0645,1.77e-05,0.309,0.912,133.01,https://api.spotify.com/v1/audio-analysis/4C6Uex2ILwJi9sZXRdmqXp,170977
2tJulUYLDKOg9XrtVkMgcJ,https://p.scdn.co/mp3-preview/ccd90337927f4a78817fcc396fe117edfbfa5912?cid=7596a347c632409f9829d4c3cb9fa3c7,dance,0.704,0.558,2,-7.273,0,0.0542,0.148,0.0,0.107,0.245,110.444,https://api.spotify.com/v1/audio-analysis/2tJulUYLDKOg9XrtVkMgcJ,222091
60ynsPSSKe6O3sfwRnIBRf,https://p.scdn.co/mp3-preview/6d5b231ae0cdad1b80aa0b7d765c8e65d61d1680?cid=7596a347c632409f9829d4c3cb9fa3c7,dance,0.749,0.463,11,-8.433,1,0.0842,0.21,0.0382,0.338,0.189,90.035,https://api.spotify.com/v1/audio-analysis/60ynsPSSKe6O3sfwRnIBRf,226987
1yvMUkIOTeUNtNWlWRgANS,https://p.scdn.co/mp3-preview/6a67a3fdb24ef75a06b9b64bf0c046825095279e?cid=7596a347c632409f9829d4c3cb9fa3c7,dance,0.468,0.779,9,-4.839,1,0.0779,0.112,0.000373,0.101,0.26,173.799,https://api.spotify.com/v1/audio-analysis/1yvMUkIOTeUNtNWlWRgANS,217747
0KKkJNfGyhkQ5aFogxQAPU,https://p.scdn.co/mp3-preview/572f09961f32e6afcd03ad323cf956ae93870f7e?cid=7596a347c632409f9829d4c3cb9fa3c7,dance,0.853,0.56,1,-4.961,1,0.0406,0.013,0.0,0.0944,0.86,134.066,https://api.spotify.com/v1/audio-analysis/0KKkJNfGyhkQ5aFogxQAPU,206693
0nrRP2bk19rLc0orkWPQk2,https://p.scdn.co/mp3-preview/020a24c27ac592b9fb976b132092ba674243bed7?cid=7596a347c632409f9829d4c3cb9fa3c7,dance,0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,https://api.spotify.com/v1/audio-analysis/0nrRP2bk19rLc0orkWPQk2,247427
5oO3drDxtziYU2H1X23ZIp,https://p.scdn.co/mp3-preview/d0808c455c635fa37aa2972115ccf955b4273203?cid=7596a347c632409f9829d4c3cb9fa3c7,dance,0.509,0.637,4,-4.83,0,0.0471,0.0717,1.08e-05,0.0789,0.378,172.006,https://api.spotify.com/v1/audio-analysis/5oO3drDxtziYU2H1X23ZIp,224000
4pAl7FkDMNBsjykPXo91B3,https://p.scdn.co/mp3-preview/62f318766c3cf1322bb78e8ca03ca8faf5b75d6a?cid=7596a347c632409f9829d4c3cb9fa3c7,dance,0.671,0.314,5,-8.091,0,0.244,0.11,0.0,0.0825,0.296,110.898,https://api.spotify.com/v1/audio-analysis/4pAl7FkDMNBsjykPXo91B3,191600
2gam98EZKrF9XuOkU13ApN,https://p.scdn.co/mp3-preview/328aa22842c8c8144f9bf9e3c658824ceb5c809f?cid=7596a347c632409f9829d4c3cb9fa3c7,dance,0.808,0.97,10,-6.098,0,0.0506,0.0569,6.13e-05,0.154,0.868,114.328,https://api.spotify.com/v1/audio-analysis/2gam98EZKrF9XuOkU13ApN,242293
