id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
0AoBY2Y3qs6dtGgOD6c91N,https://p.scdn.co/mp3-preview/2ef3dc2360e775aadec7ad6d73a94b289479f34c?cid=7596a347c632409f9829d4c3cb9fa3c7,dancehall,0.6,0.659,4,-7.264,0,0.0542,0.176,0.0,0.111,0.307,89.955,https://api.spotify.com/v1/audio-analysis/0AoBY2Y3qs6dtGgOD6c91N,221747
5YbPxJwPfrj7uswNwoF1pJ,https://p.scdn.co/mp3-preview/030c9982ecc00d11c676111cf0fe2be89f832c28?cid=7596a347c632409f9829d4c3cb9fa3c7,dancehall,0.795,0.565,3,-4.457,0,0.0948,0.131,0.0,0.0802,0.55,87.925,https://api.spotify.com/v1/audio-analysis/5YbPxJwPfrj7uswNwoF1pJ,172342
0HaRLPnr887lcQM2YQzkff,https://p.scdn.co/mp3-preview/a9150e9b4f23a3b60d04683e467305e8f7c36574?cid=7596a347c632409f9829d4c3cb9fa3c7,dancehall,0.87,0.479,9,-7.779,1,0.165,0.161,0.000157,0.209,0.717,104.059,https://api.spotify.com/v1/audio-analysis/0HaRLPnr887lcQM2YQzkff,159124
5FG7Tl93LdH117jEKYl3Cm,https://p.scdn.co/mp3-preview/4a97a5b6c7b68003514306eb929b4d33894efe4f?cid=7596a347c632409f9829d4c3cb9fa3c7,dancehall,0.849,0.707,0,-6.002,1,0.113,0.0266,8.58e-06,0.618,0.602,104.027,https://api.spotify.com/v1/audio-analysis/5FG7Tl93LdH117jEKYl3Cm,248040
48QmG1dfvMuYLxMPt7KSRA,https://p.scdn.co/mp3-preview/b4527e82b4edb3e6b698032d1d4a74916ed9790f?cid=7596a347c632409f9829d4c3cb9fa3c7,dancehall,0.742,0.882,7,-2.862,1,0.117,0.0466,0.0,0.206,0.463,102.04,https://api.spotify.com/v1/audio-analysis/48QmG1dfvMuYLxMPt7KSRA,221176
1DA2ADZs6O28y2rmdmpekw,https://p.scdn.co/mp3-preview/d33cb87af65b6c17ce0997564e5005ede219c1e0?cid=7596a347c632409f9829d4c3cb9fa3c7,dancehall,0.914,0.643,6,-3.862,0,0.134,0.0498,0.0,0.0618,0.764,105.033,https://api.spotify.com/v1/audio-analysis/1DA2ADZs6O28y2rmdmpekw,187907
5hVjoL3sHepZROri63wBxP,https://p.scdn.co/mp3-preview/080be2a7e1c4dfb0bae214075166f292c02bbd29?cid=7596a347c632409f9829d4c3cb9fa3c7,dancehall,0.776,0.565,7,-10.609,1,0.105,0.36,8.81e-05,0.308,0.53,107.035,https://api.spotify.com/v1/audio-analysis/5hVjoL3sHepZROri63wBxP,216992
03bezP81nlzgSitXxL651k,https://p.scdn.co/mp3-preview/a9150e9b4f23a3b60d04683e467305e8f7c36574?cid=7596a347c632409f9829d4c3cb9fa3c7,dancehall,0.87,0.479,9,-7.779,1,0.165,0.161,0.000157,0.209,0.717,104.059,https://api.spotify.com/v1/audio-analysis/03bezP81nlzgSitXxL651k,159124
6HJFrYapniQioDQ9hSxzfS,https://p.scdn.co/mp3-preview/030c9982ecc00d11c676111cf0fe2be89f832c28?cid=7596a347c632409f9829d4c3cb9fa3c7,dancehall,0.795,0.565,3,-4.457,0,0.0948,0.131,0.0,0.0802,0.55,87.925,https://api.spotify.com/v1/audio-analysis/6HJFrYapniQioDQ9hSxzfS,172342
2luJK0oxYHAw5uCe7lT8Tl,https://p.scdn.co/mp3-preview/a9150e9b4f23a3b60d04683e467305e8f7c36574?cid=7596a347c632409f9829d4c3cb9fa3c7,dancehall,0.87,0.479,9,-7.779,1,0.165,0.161,0.000157,0.209,0.717,104.059,https://api.spotify.com/v1/audio-analysis/2luJK0oxYHAw5uCe7lT8Tl,159124
5hOdqwqAIVGuQK3eyBhSEw,https://p.scdn.co/mp3-preview/a9150e9b4f23a3b60d04683e467305e8f7c36574?cid=7596a347c632409f9829d4c3cb9fa3c7,dancehall,0.87,0.479,9,-7.779,1,0.165,0.161,0.000157,0.209,0.717,104.059,https://api.spotify.com/v1/audio-analysis/5hOdqwqAIVGuQK3eyBhSEw,159124
5yynkOfj3AVw68dOBNWuj4,https://p.scdn.co/mp3-preview/a9150e9b4f23a3b60d04683e467305e8f7c36574?cid=7596a347c632409f9829d4c3cb9fa3c7,dancehall,0.87,0.479,9,-7.779,1,0.165,0.161,0.000157,0.209,0.717,104.059,https://api.spotify.com/v1/audio-analysis/5yynkOfj3AVw68dOBNWuj4,159124
2AQ4l5FYJgboTogQPRj0Hh,https://p.scdn.co/mp3-preview/a9150e9b4f23a3b60d04683e467305e8f7c36574?cid=7596a347c632409f9829d4c3cb9fa3c7,dancehall,0.87,0.479,9,-7.779,1,0.165,0.161,0.000157,0.209,0.717,104.059,https://api.spotify.com/v1/audio-analysis/2AQ4l5FYJgboTogQPRj0Hh,159124
1SMg6rif0j99mTt9Dh6Ay2,https://p.scdn.co/mp3-preview/a9150e9b4f23a3b60d04683e467305e8f7c36574?cid=7596a347c632409f9829d4c3cb9fa3c7,dancehall,0.87,0.479,9,-7.779,1,0.165,0.161,0.000157,0.209,0.717,104.059,https://api.spotify.com/v1/audio-analysis/1SMg6rif0j99mTt9Dh6Ay2,159124
0fBDdh7alDYSxDNyAHiw3e,https://p.scdn.co/mp3-preview/a9150e9b4f23a3b60d04683e467305e8f7c36574?cid=7596a347c632409f9829d4c3cb9fa3c7,dancehall,0.87,0.479,9,-7.779,1,0.165,0.161,0.000157,0.209,0.717,104.059,https://api.spotify.com/v1/audio-analysis/0fBDdh7alDYSxDNyAHiw3e,159124
1qEeNd9BcItPQuXXH5hYRy,https://p.scdn.co/mp3-preview/030c9982ecc00d11c676111cf0fe2be89f832c28?cid=7596a347c632409f9829d4c3cb9fa3c7,dancehall,0.795,0.565,3,-4.457,0,0.0948,0.131,0.0,0.0802,0.55,87.925,https://api.spotify.com/v1/audio-analysis/1qEeNd9BcItPQuXXH5hYRy,172342
0C19UCC70O6Jgm9xQB9KQ8,https://p.scdn.co/mp3-preview/e0bbfe16fd65c861b09876b932a687352857f669?cid=7596a347c632409f9829d4c3cb9fa3c7,dancehall,0.488,0.572,9,-7.29,0,0.0901,0.138,0.000235,0.27,0.415,132.45,https://api.spotify.com/v1/audio-analysis/0C19UCC70O6Jgm9xQB9KQ8,197934
7rahILEwhE86mJC91X20fu,https://p.scdn.co/mp3-preview/a9150e9b4f23a3b60d04683e467305e8f7c36574?cid=7596a347c632409f9829d4c3cb9fa3c7,dancehall,0.87,0.479,9,-7.779,1,0.165,0.161,0.000157,0.209,0.717,104.059,https://api.spotify.com/v1/audio-analysis/7rahILEwhE86mJC91X20fu,159124
0EvhvevH8ORi5x27geDrZA,https://p.scdn.co/mp3-preview/a9150e9b4f23a3b60d04683e467305e8f7c36574?cid=7596a347c632409f9829d4c3cb9fa3c7,dancehall,0.87,0.479,9,-7.779,1,0.165,0.161,0.000157,0.209,0.717,104.059,https://api.spotify.com/v1/audio-analysis/0EvhvevH8ORi5x27geDrZA,159124
2PDgArI0p7UkeYgXWuqpmh,https://p.scdn.co/mp3-preview/030c9982ecc00d11c676111cf0fe2be89f832c28?cid=7596a347c632409f9829d4c3cb9fa3c7,dancehall,0.795,0.565,3,-4.457,0,0.0948,0.131,0.0,0.0802,0.55,87.925,https://api.spotify.com/v1/audio-analysis/2PDgArI0p7UkeYgXWuqpmh,172342
6bK9BH9Ts8Gj5JFvnQkzak,https://p.scdn.co/mp3-preview/6f2b280fc131080c6a54ec3c97bde76a48804a9e?cid=7596a347c632409f9829d4c3cb9fa3c7,dancehall,0.741,0.824,10,-4.143,0,0.0352,0.614,0.0,0.158,0.725,100.216,https://api.spotify.com/v1/audio-analysis/6bK9BH9Ts8Gj5JFvnQkzak,211666
0Uk6L9mu6FYrMvNiXFbTIV,https://p.scdn.co/mp3-preview/9cf0b69eead3ee06c785ff5693da06427d52f64d?cid=7596a347c632409f9829d4c3cb9fa3c7,dancehall,0.569,0.805,5,-4.619,0,0.257,0.0108,0.0,0.0953,0.75,178.079,https://api.spotify.com/v1/audio-analysis/0Uk6L9mu6FYrMvNiXFbTIV,202534
6kqwVKpmHcuJcepuD4TvCx,https://p.scdn.co/mp3-preview/0372624ac97ce4b5a8e6e03e26ceea07622f0153?cid=7596a347c632409f9829d4c3cb9fa3c7,dancehall,0.454,0.873,6,-4.654,0,0.341,0.264,2.52e-06,0.103,0.571,171.999,https://api.spotify.com/v1/audio-analysis/6kqwVKpmHcuJcepuD4TvCx,203173
2cOW3H0XgrutklJNz6Aua0,https://p.scdn.co/mp3-preview/e67b0bbe4d38cbd5a3d6898025efbcc22effef59?cid=7596a347c632409f9829d4c3cb9fa3c7,dancehall,0.709,0.795,7,-4.765,0,0.0713,0.000503,1.08e-05,0.222,0.597,120.01,https://api.spotify.com/v1/audio-analysis/2cOW3H0XgrutklJNz6Aua0,229787
6BgiXEqCgytUfTuPwqoKju,https://p.scdn.co/mp3-preview/0f9008442dde7f016e2ac639c3fa3604f70dae65?cid=7596a347c632409f9829d4c3cb9fa3c7,dancehall,0.742,0.883,7,-2.862,1,0.118,0.0468,0.0,0.206,0.464,102.044,https://api.spotify.com/v1/audio-analysis/6BgiXEqCgytUfTuPwqoKju,221176
2Z9JrV9BZoJmztBImhWwAc,https://p.scdn.co/mp3-preview/0f9008442dde7f016e2ac639c3fa3604f70dae65?cid=7596a347c632409f9829d4c3cb9fa3c7,dancehall,0.742,0.883,7,-2.862,1,0.118,0.0468,0.0,0.206,0.464,102.044,https://api.spotify.com/v1/audio-analysis/2Z9JrV9BZoJmztBImhWwAc,221176
2bGCmHRzqgxVB61Ajqo8WK,https://p.scdn.co/mp3-preview/10e85a45539c89e5c47bb3eeeb1a53ac9304655d?cid=7596a347c632409f9829d4c3cb9fa3c7,dancehall,0.943,0.64,0,-3.845,0,0.0697,0.105,0.0,0.0688,0.826,124.998,https://api.spotify.com/v1/audio-analysis/2bGCmHRzqgxVB61Ajqo8WK,218720
4JDNcgNjTLV11xc3XfUxOM,https://p.scdn.co/mp3-preview/0f9008442dde7f016e2ac639c3fa3604f70dae65?cid=7596a347c632409f9829d4c3cb9fa3c7,dancehall,0.742,0.883,7,-2.862,1,0.118,0.0468,0.0,0.206,0.464,102.044,https://api.spotify.com/v1/audio-analysis/4JDNcgNjTLV11xc3XfUxOM,221176
7KnqtnB0H02j67xSnyyjri,https://p.scdn.co/mp3-preview/0f9008442dde7f016e2ac639c3fa3604f70dae65?cid=7596a347c632409f9829d4c3cb9fa3c7,dancehall,0.742,0.883,7,-2.862,1,0.118,0.0468,0.0,0.206,0.464,102.044,https://api.spotify.com/v1/audio-analysis/7KnqtnB0H02j67xSnyyjri,221176
4cTpuH4ZMcTFCkE67Hsx2u,https://p.scdn.co/mp3-preview/e1bc10adf36d223f89031efc9a4ca217260d9109?cid=7596a347c632409f9829d4c3cb9fa3c7,dancehall,0.795,0.825,2,-3.476,1,0.191,0.00601,2.94e-06,0.169,0.609,97.988,https://api.spotify.com/v1/audio-analysis/4cTpuH4ZMcTFCkE67Hsx2u,199945
7ixiCZEHWHc8FxaQXQh2P4,https://p.scdn.co/mp3-preview/35fd7de863da4ede3e174267b8a973ddb7d07564?cid=7596a347c632409f9829d4c3cb9fa3c7,dancehall,0.722,0.605,5,-6.07,1,0.153,0.825,0.0178,0.248,0.709,165.998,https://api.spotify.com/v1/audio-analysis/7ixiCZEHWHc8FxaQXQh2P4,196507
3FskQrDXcY24ur2fCvz35O,https://p.scdn.co/mp3-preview/0884f1a4695aed7c10084a3c9f591473de2982df?cid=7596a347c632409f9829d4c3cb9fa3c7,dancehall,0.503,0.592,5,-5.923,0,0.444,0.0181,0.00014,0.169,0.344,201.85,https://api.spotify.com/v1/audio-analysis/3FskQrDXcY24ur2fCvz35O,231618
1wADwLSkYhrSmy4vdy6BRn,https://p.scdn.co/mp3-preview/a6dce7d9d6260cac0063439462113886ff32ec07?cid=7596a347c632409f9829d4c3cb9fa3c7,dancehall,0.711,0.725,3,-8.315,0,0.0941,0.424,0.129,0.11,0.53,105.016,https://api.spotify.com/v1/audio-analysis/1wADwLSkYhrSmy4vdy6BRn,183057
7sd72KZS8D59g5NmhxyHpJ,https://p.scdn.co/mp3-preview/56bb7eadedba8f61ea6ef264b3c85955a8de5e0e?cid=7596a347c632409f9829d4c3cb9fa3c7,dancehall,0.906,0.638,10,-7.917,0,0.256,0.0342,1.7e-05,0.0725,0.789,99.959,https://api.spotify.com/v1/audio-analysis/7sd72KZS8D59g5NmhxyHpJ,191502
1HGyhNaRUFEDBiVLbvtbL6,https://p.scdn.co/mp3-preview/33357a17ac918722e7516a27f00b65bcd6b97a3e?cid=7596a347c632409f9829d4c3cb9fa3c7,dancehall,0.883,0.733,11,-9.153,0,0.128,0.161,0.00026,0.334,0.947,95.103,https://api.spotify.com/v1/audio-analysis/1HGyhNaRUFEDBiVLbvtbL6,245000
1PoJXULCvl03b1fiZmMxmd,https://p.scdn.co/mp3-preview/3f592123246db4dba64cd20d0794807c0ba779fa?cid=7596a347c632409f9829d4c3cb9fa3c7,dancehall,0.816,0.781,1,-4.237,0,0.0425,0.692,0.00928,0.0835,0.937,99.95,https://api.spotify.com/v1/audio-analysis/1PoJXULCvl03b1fiZmMxmd,185899
7voSun33hCNkIrjxaj3g47,https://p.scdn.co/mp3-preview/57db47fa717c638215dd5d269b83a2cb8f93b52b?cid=7596a347c632409f9829d4c3cb9fa3c7,dancehall,0.966,0.509,7,-7.559,0,0.123,0.496,0.0,0.0799,0.646,108.013,https://api.spotify.com/v1/audio-analysis/7voSun33hCNkIrjxaj3g47,186953
