id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
01Mpj13vURSO3cCLprPt5T,https://p.scdn.co/mp3-preview/528f641ac6a1f5313205d30945867082738e395b?cid=7596a347c632409f9829d4c3cb9fa3c7,death-metal,0.294,0.995,1,-4.383,0,0.168,0.000489,0.331,0.128,0.0379,88.777,https://api.spotify.com/v1/audio-analysis/01Mpj13vURSO3cCLprPt5T,254400
6J4VOoKhRZFNeWkVH0WTzH,https://p.scdn.co/mp3-preview/5ac795ed61a317269924649e04db2146fdaf943a?cid=7596a347c632409f9829d4c3cb9fa3c7,death-metal,0.45,0.892,8,-5.099,1,0.0466,2.8e-06,0.883,0.0878,0.49,120.048,https://api.spotify.com/v1/audio-analysis/6J4VOoKhRZFNeWkVH0WTzH,72493
0diSnstejl46AiNC2ISoeW,https://p.scdn.co/mp3-preview/80a9c6e96cef3628e7ba6abe474ae211ea039df9?cid=7596a347c632409f9829d4c3cb9fa3c7,death-metal,0.512,0.778,2,-7.925,1,0.0485,0.00013,0.838,0.0829,0.0368,103.103,https://api.spotify.com/v1/audio-analysis/0diSnstejl46AiNC2ISoeW,92267
60fUDmIWuKhngaeBIVhqIV,https://p.scdn.co/mp3-preview/56cc7b9501a30d95d3cf7b4a27f657cdeb345e12?cid=7596a347c632409f9829d4c3cb9fa3c7,death-metal,0.513,0.88,7,-4.69,0,0.0309,9.59e-05,0.00614,0.0824,0.495,92.358,https://api.spotify.com/v1/audio-analysis/60fUDmIWuKhngaeBIVhqIV,269533
3U9gogDStAfWxSm91PJuxb,https://p.scdn.co/mp3-preview/5f7f3f04d680eebb48ce0d158144db3691bdfacc?cid=7596a347c632409f9829d4c3cb9fa3c7,death-metal,0.31,0.991,5,-3.769,0,0.316,0.000132,0.085,0.0969,0.0395,140.071,https://api.spotify.com/v1/audio-analysis/3U9gogDStAfWxSm91PJuxb,298533
6sm4qIkuAMAq3rKcRCzLw6,https://p.scdn.co/mp3-preview/c0c8fb1873eb95def76d3a2133d378e15f3f3d6d?cid=7596a347c632409f9829d4c3cb9fa3c7,death-metal,0.209,0.991,1,-1.876,1,0.356,0.000407,0.000501,0.307,0.0659,199.865,https://api.spotify.com/v1/audio-analysis/6sm4qIkuAMAq3rKcRCzLw6,216000
5t1OFHuWDlmusIYUZSNADT,https://p.scdn.co/mp3-preview/b977fc5ae7dcef8c7e69a4b9d8453a06f22a9cc4?cid=7596a347c632409f9829d4c3cb9fa3c7,death-metal,0.206,0.556,4,-9.347,0,0.0309,0.191,0.18,0.191,0.0386,86.927,https://api.spotify.com/v1/audio-analysis/5t1OFHuWDlmusIYUZSNADT,108935
61dTqhd46yMkSWmC5LAh5F,https://p.scdn.co/mp3-preview/b77cdf697a9db8a16030851ae53a91696e6d0637?cid=7596a347c632409f9829d4c3cb9fa3c7,death-metal,0.332,0.994,1,-4.336,1,0.137,0.000119,0.322,0.142,0.0829,106.086,https://api.spotify.com/v1/audio-analysis/61dTqhd46yMkSWmC5LAh5F,291440
1BqzzWlA868p8J5VIbp50A,https://p.scdn.co/mp3-preview/235e570e797994842331aa160c611757cb817acf?cid=7596a347c632409f9829d4c3cb9fa3c7,death-metal,0.372,0.978,4,-4.833,0,0.157,0.000624,2.22e-05,0.134,0.214,76.359,https://api.spotify.com/v1/audio-analysis/1BqzzWlA868p8J5VIbp50A,247747
1dr9fQuYZ6NtGuVqdMOTw1,https://p.scdn.co/mp3-preview/6a81b8d49dc16abc82cd08f8feea9030597576bf?cid=7596a347c632409f9829d4c3cb9fa3c7,death-metal,0.661,0.692,10,-5.557,1,0.075,0.00046,0.896,0.162,0.0595,126.845,https://api.spotify.com/v1/audio-analysis/1dr9fQuYZ6NtGuVqdMOTw1,142520
6egRwYsMJ8DVJQAKOjHWou,https://p.scdn.co/mp3-preview/d5b43e8cc4642b4ba90734ca345cfe7621959bba?cid=7596a347c632409f9829d4c3cb9fa3c7,death-metal,0.402,0.99,8,-2.934,0,0.126,1.85e-05,0.549,0.0749,0.481,82.341,https://api.spotify.com/v1/audio-analysis/6egRwYsMJ8DVJQAKOjHWou,113040
