id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
2n6qz4opcJlHsEpI8030YM,https://p.scdn.co/mp3-preview/5f01e2da21cf8a409e88f8523daae02e9ddeefa7?cid=7596a347c632409f9829d4c3cb9fa3c7,deep-house,0.814,0.675,10,-6.761,0,0.042,0.00577,0.0818,0.0956,0.776,125.0,https://api.spotify.com/v1/audio-analysis/2n6qz4opcJlHsEpI8030YM,174138
1inklSEeS65ew4r7KxvuRr,https://p.scdn.co/mp3-preview/dfde7ca2845259a5954bfc0a2f494a4c48574ffe?cid=7596a347c632409f9829d4c3cb9fa3c7,deep-house,0.609,0.801,1,-8.483,0,0.0694,0.0246,0.00255,0.37,0.202,122.958,https://api.spotify.com/v1/audio-analysis/1inklSEeS65ew4r7KxvuRr,190217
64Y443b1IafZsnzEtVW8Zu,https://p.scdn.co/mp3-preview/dfde7ca2845259a5954bfc0a2f494a4c48574ffe?cid=7596a347c632409f9829d4c3cb9fa3c7,deep-house,0.609,0.801,1,-8.483,0,0.0694,0.0246,0.00255,0.37,0.202,122.958,https://api.spotify.com/v1/audio-analysis/64Y443b1IafZsnzEtVW8Zu,190217
4aWEy3oBGJ4Xb2vmNgONGw,https://p.scdn.co/mp3-preview/dfde7ca2845259a5954bfc0a2f494a4c48574ffe?cid=7596a347c632409f9829d4c3cb9fa3c7,deep-house,0.609,0.801,1,-8.483,0,0.0694,0.0246,0.00255,0.37,0.202,122.958,https://api.spotify.com/v1/audio-analysis/4aWEy3oBGJ4Xb2vmNgONGw,190217
7N3i3e9NvDHOXRD5dUNxyi,https://p.scdn.co/mp3-preview/dfde7ca2845259a5954bfc0a2f494a4c48574ffe?cid=7596a347c632409f9829d4c3cb9fa3c7,deep-house,0.609,0.801,1,-8.483,0,0.0694,0.0246,0.00255,0.37,0.202,122.958,https://api.spotify.com/v1/audio-analysis/7N3i3e9NvDHOXRD5dUNxyi,190217
01X5naA1pn0S43SqIdQGtb,https://p.scdn.co/mp3-preview/dfde7ca2845259a5954bfc0a2f494a4c48574ffe?cid=7596a347c632409f9829d4c3cb9fa3c7,deep-house,0.609,0.801,1,-8.483,0,0.0694,0.0246,0.00255,0.37,0.202,122.958,https://api.spotify.com/v1/audio-analysis/01X5naA1pn0S43SqIdQGtb,190217
4GBPKhbGQsJc7X4WJ9ISd3,https://p.scdn.co/mp3-preview/0546b0399a726684dc263bc4764deaceb18367ca?cid=7596a347c632409f9829d4c3cb9fa3c7,deep-house,0.569,0.714,1,-4.82,1,0.0597,0.0192,1.48e-06,0.077,0.237,125.017,https://api.spotify.com/v1/audio-analysis/4GBPKhbGQsJc7X4WJ9ISd3,217133
47YPsGoiezKOKhT9LYm2rM,https://p.scdn.co/mp3-preview/dfde7ca2845259a5954bfc0a2f494a4c48574ffe?cid=7596a347c632409f9829d4c3cb9fa3c7,deep-house,0.609,0.801,1,-8.483,0,0.0694,0.0246,0.00255,0.37,0.202,122.958,https://api.spotify.com/v1/audio-analysis/47YPsGoiezKOKhT9LYm2rM,190217
4aMFyhFsYhxYwQ0tdEv9IW,https://p.scdn.co/mp3-preview/dfde7ca2845259a5954bfc0a2f494a4c48574ffe?cid=7596a347c632409f9829d4c3cb9fa3c7,deep-house,0.609,0.801,1,-8.483,0,0.0694,0.0246,0.00255,0.37,0.202,122.958,https://api.spotify.com/v1/audio-analysis/4aMFyhFsYhxYwQ0tdEv9IW,190217
6cijdKbKHFpG9dH6zHKPC8,https://p.scdn.co/mp3-preview/b387eb4553afa52a2be7aaee1cecfa53c3cd053d?cid=7596a347c632409f9829d4c3cb9fa3c7,deep-house,0.635,0.813,5,-5.098,0,0.0578,0.0187,0.0,0.163,0.641,123.065,https://api.spotify.com/v1/audio-analysis/6cijdKbKHFpG9dH6zHKPC8,219043
