id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
5NKHUvpRs7zr0yOQjx8Exr,https://p.scdn.co/mp3-preview/d36eb9bd3dc4c4efdac43dc1ec058fa3a38b9007?cid=7596a347c632409f9829d4c3cb9fa3c7,detroit-techno,0.802,0.637,11,-13.008,0,0.0624,0.000231,0.831,0.587,0.336,125.284,https://api.spotify.com/v1/audio-analysis/5NKHUvpRs7zr0yOQjx8Exr,294533
4ncFRft2xEs4kanULQjaOz,https://p.scdn.co/mp3-preview/b3ba3a51e39027f186cf22251a78543e32048a4c?cid=7596a347c632409f9829d4c3cb9fa3c7,detroit-techno,0.621,0.485,11,-13.429,0,0.219,0.108,0.13,0.156,0.14,183.391,https://api.spotify.com/v1/audio-analysis/4ncFRft2xEs4kanULQjaOz,343000
2EJtek4uqMsnYYd36JiBSQ,https://p.scdn.co/mp3-preview/8f41d3c1e401dc2fc57d9720d93cae24266275f2?cid=7596a347c632409f9829d4c3cb9fa3c7,detroit-techno,0.608,0.664,1,-12.857,0,0.0425,0.133,0.925,0.13,0.0555,119.581,https://api.spotify.com/v1/audio-analysis/2EJtek4uqMsnYYd36JiBSQ,171360
2PmT3D5xmvVzZCf11L2ifX,https://p.scdn.co/mp3-preview/986ca073fd777f241ddc505878915e997de787ea?cid=7596a347c632409f9829d4c3cb9fa3c7,detroit-techno,0.686,0.634,2,-10.287,0,0.056,0.192,0.858,0.152,0.0783,119.933,https://api.spotify.com/v1/audio-analysis/2PmT3D5xmvVzZCf11L2ifX,485307
3829oHimRwuUHePcD2Jj7S,https://p.scdn.co/mp3-preview/af6da61db19a0c4f39b2aca237dc282900bc6dff?cid=7596a347c632409f9829d4c3cb9fa3c7,detroit-techno,0.763,0.81,5,-8.943,0,0.0545,0.264,0.000563,0.0823,0.496,128.24,https://api.spotify.com/v1/audio-analysis/3829oHimRwuUHePcD2Jj7S,518946
5vOSahSFyo87bRpf3yoBNg,https://p.scdn.co/mp3-preview/ee05dcdc5040b7b2f925e2a73d8b2cb3bb389923?cid=7596a347c632409f9829d4c3cb9fa3c7,detroit-techno,0.797,0.343,11,-15.334,1,0.0495,0.0692,0.362,0.479,0.536,119.988,https://api.spotify.com/v1/audio-analysis/5vOSahSFyo87bRpf3yoBNg,556280
4L60ULqvJpqFReaNwmq8F0,https://p.scdn.co/mp3-preview/9cce2bbf8f484ccfea1e3434be7aa5bd4c018b6b?cid=7596a347c632409f9829d4c3cb9fa3c7,detroit-techno,0.735,0.641,6,-11.343,1,0.0959,0.00135,0.89,0.228,0.481,113.402,https://api.spotify.com/v1/audio-analysis/4L60ULqvJpqFReaNwmq8F0,264360
5vcCF1Q328JhaZj4MS6XqO,https://p.scdn.co/mp3-preview/974d371d50b16b35810eaa806f0d4af1aaa3a9a9?cid=7596a347c632409f9829d4c3cb9fa3c7,detroit-techno,0.649,0.616,6,-8.965,0,0.0626,0.00218,0.747,0.116,0.495,132.829,https://api.spotify.com/v1/audio-analysis/5vcCF1Q328JhaZj4MS6XqO,376680
2MmFt6kAITcjtNSd9dR64Y,https://p.scdn.co/mp3-preview/5e00332d4d9c2346fd6e7b791c993a709faccc5c?cid=7596a347c632409f9829d4c3cb9fa3c7,detroit-techno,0.768,0.66,1,-5.989,0,0.0744,0.0584,0.0218,0.886,0.702,123.62,https://api.spotify.com/v1/audio-analysis/2MmFt6kAITcjtNSd9dR64Y,222295
5k1S9YYZUlxD8R57KFjh8p,https://p.scdn.co/mp3-preview/6701f17d20409c521d8ec4e5dead8190895232c2?cid=7596a347c632409f9829d4c3cb9fa3c7,detroit-techno,0.724,0.491,6,-14.257,0,0.0389,0.15,0.9,0.12,0.488,122.963,https://api.spotify.com/v1/audio-analysis/5k1S9YYZUlxD8R57KFjh8p,461680
3p7Ydiltj799Rx3JfjARxF,https://p.scdn.co/mp3-preview/5c497b5adcc2f3eed49182e13d3f7f7eabc7cf60?cid=7596a347c632409f9829d4c3cb9fa3c7,detroit-techno,0.765,0.753,7,-9.061,1,0.147,0.509,0.588,0.221,0.493,120.486,https://api.spotify.com/v1/audio-analysis/3p7Ydiltj799Rx3JfjARxF,361067
7N3FfUFMud1rjI6Vgw71mm,https://p.scdn.co/mp3-preview/def3057534c6745b8a160cabd1faf52ae863ba8f?cid=7596a347c632409f9829d4c3cb9fa3c7,detroit-techno,0.714,0.878,2,-6.209,1,0.065,0.153,0.811,0.0871,0.509,128.103,https://api.spotify.com/v1/audio-analysis/7N3FfUFMud1rjI6Vgw71mm,362947
6rAnjfvnJs5tNzE8kjZJWI,https://p.scdn.co/mp3-preview/027220bee7c0eba6b413d5ab21f943eccfaa4a2a?cid=7596a347c632409f9829d4c3cb9fa3c7,detroit-techno,0.891,0.468,10,-10.374,0,0.144,0.00119,6.62e-05,0.363,0.656,122.004,https://api.spotify.com/v1/audio-analysis/6rAnjfvnJs5tNzE8kjZJWI,363389
77u4D7eaO0T6zVby7kybyP,https://p.scdn.co/mp3-preview/995f2b450729a4fd56207156059973abdfdf5ee0?cid=7596a347c632409f9829d4c3cb9fa3c7,detroit-techno,0.805,0.602,9,-10.572,0,0.0606,0.0197,0.803,0.26,0.869,125.126,https://api.spotify.com/v1/audio-analysis/77u4D7eaO0T6zVby7kybyP,413315
06qKv0Ur7npCPhyf5puka9,https://p.scdn.co/mp3-preview/610c006a18e3b049f88dea3dfa0be28f47a2768d?cid=7596a347c632409f9829d4c3cb9fa3c7,detroit-techno,0.521,0.599,8,-7.461,1,0.0307,0.0229,0.351,0.104,0.0973,133.48,https://api.spotify.com/v1/audio-analysis/06qKv0Ur7npCPhyf5puka9,114533
1j1tTelvaHbmRsxsApzVM6,https://p.scdn.co/mp3-preview/f4cc34945b601231ec399c932136ea06f3331136?cid=7596a347c632409f9829d4c3cb9fa3c7,detroit-techno,0.825,0.204,9,-18.566,1,0.0468,0.337,0.717,0.12,0.71,113.973,https://api.spotify.com/v1/audio-analysis/1j1tTelvaHbmRsxsApzVM6,346547
