id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
2grjqo0Frpf2okIBiifQKs,https://p.scdn.co/mp3-preview/c59aa2e613a0ce0d7f0ec2d05dc169bb78e91eab?cid=7596a347c632409f9829d4c3cb9fa3c7,disco,0.697,0.832,9,-7.264,1,0.0298,0.168,0.00131,0.269,0.979,125.926,https://api.spotify.com/v1/audio-analysis/2grjqo0Frpf2okIBiifQKs,215093
5ubvP9oKmxLUVq506fgLhk,https://p.scdn.co/mp3-preview/1d6f03e466d6e8e18f5cdaae2ae8db53a2ebdf0d?cid=7596a347c632409f9829d4c3cb9fa3c7,disco,0.702,0.773,10,-9.256,0,0.0343,0.0288,0.00871,0.147,0.953,103.564,https://api.spotify.com/v1/audio-analysis/5ubvP9oKmxLUVq506fgLhk,285373
3koCCeSaVUyrRo3N2gHrd8,https://p.scdn.co/mp3-preview/3978fb262db853ff57c57db92a91f16bfd4e54dd?cid=7596a347c632409f9829d4c3cb9fa3c7,disco,0.869,0.648,11,-8.698,0,0.0633,0.121,2.17e-05,0.126,0.9,125.035,https://api.spotify.com/v1/audio-analysis/3koCCeSaVUyrRo3N2gHrd8,339320
2cX2coZS1PYBfPs8wgbdWE,https://p.scdn.co/mp3-preview/556f369563419d6aeeddde5d4bd082fdeeb604e5?cid=7596a347c632409f9829d4c3cb9fa3c7,disco,0.601,0.703,7,-6.24,1,0.0379,0.175,8.4e-05,0.571,0.673,106.164,https://api.spotify.com/v1/audio-analysis/2cX2coZS1PYBfPs8wgbdWE,196213
1JQ6Xm1JrvHfvAqhl5pwaA,https://p.scdn.co/mp3-preview/fbe79d83ce566659a8c7f35427296c8fe4785e9a?cid=7596a347c632409f9829d4c3cb9fa3c7,disco,0.589,0.384,10,-15.075,0,0.0332,0.112,2.8e-05,0.0596,0.354,132.909,https://api.spotify.com/v1/audio-analysis/1JQ6Xm1JrvHfvAqhl5pwaA,256427
6b6IMqP565TbtFFZg9iFf3,https://p.scdn.co/mp3-preview/72316f4ed3dd1886a76bf9bcdd0ceae11949d894?cid=7596a347c632409f9829d4c3cb9fa3c7,disco,0.667,0.599,0,-8.894,1,0.0291,0.245,0.0,0.107,0.971,127.935,https://api.spotify.com/v1/audio-analysis/6b6IMqP565TbtFFZg9iFf3,160280
2dCmGcEOQrMQhMMS8Vj7Ca,https://p.scdn.co/mp3-preview/bb19b14cc57833f21d0aac180b185f16e607a55b?cid=7596a347c632409f9829d4c3cb9fa3c7,disco,0.838,0.794,9,-8.245,0,0.0531,0.22,0.0,0.0575,0.962,132.446,https://api.spotify.com/v1/audio-analysis/2dCmGcEOQrMQhMMS8Vj7Ca,205467
49X0LAl6faAusYq02PRAY6,https://p.scdn.co/mp3-preview/52a4ff2a19d99436c6485fbcc9b0f2ba0aa6b067?cid=7596a347c632409f9829d4c3cb9fa3c7,disco,0.72,0.808,6,-5.627,1,0.0379,0.00793,0.0293,0.0634,0.869,126.041,https://api.spotify.com/v1/audio-analysis/49X0LAl6faAusYq02PRAY6,307154
5uuJruktM9fMdN9Va0DUMl,https://p.scdn.co/mp3-preview/0e4f736b6cd99aca6088603a304d20d280e8aa36?cid=7596a347c632409f9829d4c3cb9fa3c7,disco,0.814,0.672,9,-12.068,1,0.0619,0.0435,0.0,0.061,0.933,109.394,https://api.spotify.com/v1/audio-analysis/5uuJruktM9fMdN9Va0DUMl,300000
4UDmDIqJIbrW0hMBQMFOsM,https://p.scdn.co/mp3-preview/021ec9773d22d7523ec05dccdfa8c571d0aab776?cid=7596a347c632409f9829d4c3cb9fa3c7,disco,0.707,0.535,10,-19.793,0,0.0436,0.113,0.00615,0.0884,0.641,103.644,https://api.spotify.com/v1/audio-analysis/4UDmDIqJIbrW0hMBQMFOsM,92867
6ztstiyZL6FXzh4aG46ZPD,https://p.scdn.co/mp3-preview/97d9b3034c221b2140d047492dd9ad19b9b7e89f?cid=7596a347c632409f9829d4c3cb9fa3c7,disco,0.802,0.756,2,-10.791,0,0.0349,0.0843,0.00765,0.0521,0.963,131.715,https://api.spotify.com/v1/audio-analysis/6ztstiyZL6FXzh4aG46ZPD,288293
7MF7QAodbGzNYav5ZfIhAY,https://p.scdn.co/mp3-preview/2bf914d630a83fbcfd7b00b2bd06feab2f1129c4?cid=7596a347c632409f9829d4c3cb9fa3c7,disco,0.595,0.379,10,-12.058,0,0.0454,0.271,2.81e-05,0.1,0.448,92.006,https://api.spotify.com/v1/audio-analysis/7MF7QAodbGzNYav5ZfIhAY,279333
2M2WJ7gBlcKNxdhyfPp9zY,https://p.scdn.co/mp3-preview/c1c2dd3555e0025e7dbeafe4dafb1d6ce4dd58ac?cid=7596a347c632409f9829d4c3cb9fa3c7,disco,0.784,0.713,0,-6.865,1,0.0339,0.447,0.14,0.0904,0.97,115.443,https://api.spotify.com/v1/audio-analysis/2M2WJ7gBlcKNxdhyfPp9zY,220560
1OppEieGNdItZbE14gLBEv,https://p.scdn.co/mp3-preview/94ca5b7e7a24741544e21c8629750a9abe12f4f7?cid=7596a347c632409f9829d4c3cb9fa3c7,disco,0.63,0.711,10,-9.34,1,0.0472,0.299,0.0,0.0813,0.659,96.912,https://api.spotify.com/v1/audio-analysis/1OppEieGNdItZbE14gLBEv,167933
28285KFbyCq8sJofn58qlD,https://p.scdn.co/mp3-preview/ba443449ebe78712fcb8f07c353f4971e00664bd?cid=7596a347c632409f9829d4c3cb9fa3c7,disco,0.743,0.572,0,-9.627,1,0.0493,0.186,1.44e-05,0.163,0.675,122.658,https://api.spotify.com/v1/audio-analysis/28285KFbyCq8sJofn58qlD,178400
5IKLwqBQG6KU6MP2zP80Nu,https://p.scdn.co/mp3-preview/f9966d3ce6598f21722b53d1ccc552a12631fbdc?cid=7596a347c632409f9829d4c3cb9fa3c7,disco,0.784,0.893,7,-5.153,0,0.0923,0.3,1.57e-05,0.272,0.819,118.738,https://api.spotify.com/v1/audio-analysis/5IKLwqBQG6KU6MP2zP80Nu,216733
