id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
0a2cA9H6KuOsoHLCnjl6YL,https://p.scdn.co/mp3-preview/aefd5a495d064135a8e73481c70c02bdf09c822a?cid=7596a347c632409f9829d4c3cb9fa3c7,drum-and-bass,0.485,0.969,8,-0.517,0,0.0561,0.0485,0.664,0.192,0.448,173.941,https://api.spotify.com/v1/audio-analysis/0a2cA9H6KuOsoHLCnjl6YL,204500
7569Hbv0FUS7vjkdGvdgeZ,https://p.scdn.co/mp3-preview/24ef1ade4074c8560d790d9ce0a207be6819fe52?cid=7596a347c632409f9829d4c3cb9fa3c7,drum-and-bass,0.527,0.819,9,-3.374,0,0.0422,0.00298,0.000152,0.0606,0.143,140.02,https://api.spotify.com/v1/audio-analysis/7569Hbv0FUS7vjkdGvdgeZ,268707
2LCCxYQ5dw1dz3Pu6APEUH,https://p.scdn.co/mp3-preview/8ae694dfb22e17eff5a1a218e70a1167b4af53df?cid=7596a347c632409f9829d4c3cb9fa3c7,drum-and-bass,0.484,0.941,9,-4.339,0,0.0625,4.53e-05,0.00298,0.64,0.319,143.948,https://api.spotify.com/v1/audio-analysis/2LCCxYQ5dw1dz3Pu6APEUH,257360
7LjwELd4B83FF2QuZA057f,https://p.scdn.co/mp3-preview/41f26dd0f08efdacb7062648b474c99d520c6c5e?cid=7596a347c632409f9829d4c3cb9fa3c7,drum-and-bass,0.463,0.895,8,-4.444,0,0.0773,0.17,0.000329,0.149,0.221,144.978,https://api.spotify.com/v1/audio-analysis/7LjwELd4B83FF2QuZA057f,195311
3ziKJoRHiJsaoTaeBYCJBA,https://p.scdn.co/mp3-preview/38cb72f5dced6355919806f7fb931d6e2068239a?cid=7596a347c632409f9829d4c3cb9fa3c7,drum-and-bass,0.33,0.853,1,-4.687,1,0.19,0.000267,0.00278,0.272,0.201,120.135,https://api.spotify.com/v1/audio-analysis/3ziKJoRHiJsaoTaeBYCJBA,251613
5UvLQncwvEGiRLn0xEZw45,https://p.scdn.co/mp3-preview/b97d063fe90ecc7c6e4df2ea3a30d7a08916e68e?cid=7596a347c632409f9829d4c3cb9fa3c7,drum-and-bass,0.582,0.791,0,-3.643,0,0.0427,0.0296,0.105,0.118,0.0422,174.01,https://api.spotify.com/v1/audio-analysis/5UvLQncwvEGiRLn0xEZw45,242750
4Y2glvLjQGOb4dXnwm1hQf,https://p.scdn.co/mp3-preview/52aead99b8f810f779b880dcb6e5cf583cca9b39?cid=7596a347c632409f9829d4c3cb9fa3c7,drum-and-bass,0.42,0.969,1,-3.139,1,0.0581,2.84e-05,0.00861,0.379,0.182,174.038,https://api.spotify.com/v1/audio-analysis/4Y2glvLjQGOb4dXnwm1hQf,252787
5dzHlLBWdxdQySpvZLHcu9,https://p.scdn.co/mp3-preview/bbd133f9e2fc5a5eaa0c75ad265f94b1b2450f7a?cid=7596a347c632409f9829d4c3cb9fa3c7,drum-and-bass,0.516,0.908,8,-3.312,1,0.0372,0.000502,1.62e-05,0.198,0.23,87.508,https://api.spotify.com/v1/audio-analysis/5dzHlLBWdxdQySpvZLHcu9,189667
3HPPcZ9oK7yGmy5vn7OMLC,https://p.scdn.co/mp3-preview/ef1d3cdd628ca7fbed1c2276378b44f7f685c720?cid=7596a347c632409f9829d4c3cb9fa3c7,drum-and-bass,0.486,0.878,0,-3.068,1,0.151,1.52e-05,0.533,0.124,0.205,180.008,https://api.spotify.com/v1/audio-analysis/3HPPcZ9oK7yGmy5vn7OMLC,197333
4FgSQPcTde9ctbsrSJC8j5,https://p.scdn.co/mp3-preview/8327cf04c6aeae74994615caa7b4043af641eab0?cid=7596a347c632409f9829d4c3cb9fa3c7,drum-and-bass,0.643,0.796,5,-4.962,1,0.095,0.00576,0.0521,0.288,0.649,144.963,https://api.spotify.com/v1/audio-analysis/4FgSQPcTde9ctbsrSJC8j5,325787
