id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
1SFA5zEVOsLhEg7ynbvQFT,https://p.scdn.co/mp3-preview/069369eaa1075368692d474436f6a3b84988912d?cid=7596a347c632409f9829d4c3cb9fa3c7,dub,0.478,0.769,5,-5.092,1,0.0448,0.168,0.0,0.156,0.157,155.998,https://api.spotify.com/v1/audio-analysis/1SFA5zEVOsLhEg7ynbvQFT,224615
3WBRfkOozHEsG0hbrBzwlm,https://p.scdn.co/mp3-preview/53686d8575316767b85c0c081ece989dc78ab775?cid=7596a347c632409f9829d4c3cb9fa3c7,dub,0.55,0.648,7,-6.542,1,0.0309,0.0191,0.0,0.0999,0.323,156.957,https://api.spotify.com/v1/audio-analysis/3WBRfkOozHEsG0hbrBzwlm,202821
5dAtKXyrQoQW054LZqJ5dP,https://p.scdn.co/mp3-preview/4ba68c004339d216fda840c63e75d208795f94a7?cid=7596a347c632409f9829d4c3cb9fa3c7,dub,0.428,0.877,5,-4.722,0,0.0835,0.00153,0.00372,0.0943,0.113,75.518,https://api.spotify.com/v1/audio-analysis/5dAtKXyrQoQW054LZqJ5dP,221000
5zviMoAeuerK1Rd58qXASv,https://p.scdn.co/mp3-preview/5c6f04beec8f92c0d237a4372ffd5c7fd73f1ee3?cid=7596a347c632409f9829d4c3cb9fa3c7,dub,0.352,0.666,1,-4.909,1,0.0512,0.117,1.81e-06,0.0934,0.227,169.965,https://api.spotify.com/v1/audio-analysis/5zviMoAeuerK1Rd58qXASv,244235
2CgOd0Lj5MuvOqzqdaAXtS,https://p.scdn.co/mp3-preview/a4c385481f961e6a27f1a811e882cfee1df334d8?cid=7596a347c632409f9829d4c3cb9fa3c7,dub,0.276,0.796,0,-4.499,1,0.0579,0.00293,0.0,0.184,0.26,199.526,https://api.spotify.com/v1/audio-analysis/2CgOd0Lj5MuvOqzqdaAXtS,218965
1E0CZWim9mfwrCkXvieES8,https://p.scdn.co/mp3-preview/36556d764a141586906b92dff0808129105507ac?cid=7596a347c632409f9829d4c3cb9fa3c7,dub,0.379,0.898,11,-2.19,0,0.219,0.0238,0.0265,0.374,0.129,150.223,https://api.spotify.com/v1/audio-analysis/1E0CZWim9mfwrCkXvieES8,238400
6pooRNiLyYpxZeIA5kJ5EX,https://p.scdn.co/mp3-preview/7df04d4b66d895606381c70930f56b34fb9a2f2b?cid=7596a347c632409f9829d4c3cb9fa3c7,dub,0.643,0.594,2,-5.453,1,0.0318,0.0128,0.0,0.118,0.442,144.033,https://api.spotify.com/v1/audio-analysis/6pooRNiLyYpxZeIA5kJ5EX,216668
1g7j5AxiNKTGjryhFIlAsA,https://p.scdn.co/mp3-preview/33cfc4c4bac3243208f82d936cdfa20e1c54a9dd?cid=7596a347c632409f9829d4c3cb9fa3c7,dub,0.521,0.892,3,-4.029,1,0.0433,0.0539,0.0,0.117,0.369,96.991,https://api.spotify.com/v1/audio-analysis/1g7j5AxiNKTGjryhFIlAsA,191124
786ymAh5BmHoIpvjyrvjXk,https://p.scdn.co/mp3-preview/ccfbfeda5f6b59a62e67a439308a76a3dae79593?cid=7596a347c632409f9829d4c3cb9fa3c7,dub,0.444,0.35,9,-7.194,1,0.0483,0.453,0.109,0.0824,0.0973,95.979,https://api.spotify.com/v1/audio-analysis/786ymAh5BmHoIpvjyrvjXk,328507
3LxG9HkMMFP0MZuiw3O2rF,https://p.scdn.co/mp3-preview/3d708cfa328b3a819adce85947d7058bb056b7d2?cid=7596a347c632409f9829d4c3cb9fa3c7,dub,0.643,0.603,2,-5.416,1,0.0311,0.012,0.0,0.118,0.42,144.01,https://api.spotify.com/v1/audio-analysis/3LxG9HkMMFP0MZuiw3O2rF,216668
1sAyfWbmgrT7HganHgLSYQ,https://p.scdn.co/mp3-preview/63127296bd6b29d5de8b2776fa11d848bb84f922?cid=7596a347c632409f9829d4c3cb9fa3c7,dub,0.36,0.574,9,-6.557,0,0.0434,0.203,0.0117,0.105,0.103,132.097,https://api.spotify.com/v1/audio-analysis/1sAyfWbmgrT7HganHgLSYQ,207273
2USfvfEEmJwxKzMilhqh5n,https://p.scdn.co/mp3-preview/ee81fe40cf18dec4862f28bc380b13a85f70c3c7?cid=7596a347c632409f9829d4c3cb9fa3c7,dub,0.636,0.44,10,-10.561,0,0.0926,0.416,0.0182,0.199,0.0926,121.936,https://api.spotify.com/v1/audio-analysis/2USfvfEEmJwxKzMilhqh5n,187992
70YPzqSEwJvAIQ6nMs1cjY,https://p.scdn.co/mp3-preview/ae5971b1c71743e251467e75a53a269ef49f1fcd?cid=7596a347c632409f9829d4c3cb9fa3c7,dub,0.404,0.806,2,-4.75,1,0.0496,0.198,0.0,0.114,0.112,148.036,https://api.spotify.com/v1/audio-analysis/70YPzqSEwJvAIQ6nMs1cjY,220730
7Bx0oBgnEfVR2bCs6Aul0X,https://p.scdn.co/mp3-preview/197ee70142e7e43df684cc0ca1fe2de11295903a?cid=7596a347c632409f9829d4c3cb9fa3c7,dub,0.534,0.839,2,-2.951,1,0.053,0.0698,0.0,0.264,0.576,155.002,https://api.spotify.com/v1/audio-analysis/7Bx0oBgnEfVR2bCs6Aul0X,167274
6AoG52kxfptY0QBQnjuQOe,https://p.scdn.co/mp3-preview/e7372713845602eb6f87143f63699c2799a1580a?cid=7596a347c632409f9829d4c3cb9fa3c7,dub,0.451,0.915,2,-3.325,0,0.0727,0.000368,2.12e-06,0.383,0.457,145.069,https://api.spotify.com/v1/audio-analysis/6AoG52kxfptY0QBQnjuQOe,240000
39glqzRVRAy4vq3PqeTGb8,https://p.scdn.co/mp3-preview/6e6cc0f930de4d657d58ad761548d3ae6edba501?cid=7596a347c632409f9829d4c3cb9fa3c7,dub,0.452,0.465,4,-10.006,0,0.0344,0.0589,0.000524,0.095,0.0832,149.586,https://api.spotify.com/v1/audio-analysis/39glqzRVRAy4vq3PqeTGb8,256043
7xnElMPFCmSlMJ0AY2hnxc,https://p.scdn.co/mp3-preview/94b9fa1d0b0878753cb99c2c33e38d284add728b?cid=7596a347c632409f9829d4c3cb9fa3c7,dub,0.682,0.543,1,-8.66,1,0.0688,0.261,0.0,0.108,0.112,127.526,https://api.spotify.com/v1/audio-analysis/7xnElMPFCmSlMJ0AY2hnxc,267228
