id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
55tevo6vHJEn12nzuSdJ6R,https://p.scdn.co/mp3-preview/3adb654df8e1bd8b87b1af57c573dabc5b95c7ed?cid=7596a347c632409f9829d4c3cb9fa3c7,dubstep,0.498,0.82,7,-4.035,0,0.0672,0.0629,0.000365,0.568,0.292,148.042,https://api.spotify.com/v1/audio-analysis/55tevo6vHJEn12nzuSdJ6R,204000
5OXjuTTp0OTMI8ydiPJM10,https://p.scdn.co/mp3-preview/1ebb4e7eab5e387cf74d533c2828a4973a854d76?cid=7596a347c632409f9829d4c3cb9fa3c7,dubstep,0.629,0.957,8,-2.432,0,0.0732,0.0414,9.3e-06,0.116,0.556,89.976,https://api.spotify.com/v1/audio-analysis/5OXjuTTp0OTMI8ydiPJM10,200000
5LuQvkBG365ue36BMujtSz,https://p.scdn.co/mp3-preview/f8bd576b853023f4cbc6139c634458eeec79e1a2?cid=7596a347c632409f9829d4c3cb9fa3c7,dubstep,0.458,0.67,10,-4.993,1,0.0397,0.025,3.78e-06,0.358,0.107,160.05,https://api.spotify.com/v1/audio-analysis/5LuQvkBG365ue36BMujtSz,243028
4fb0iBhHbQeiJHOfLr6R75,https://p.scdn.co/mp3-preview/f77a278022891f54b4571aa8b3c998e55d25aa97?cid=7596a347c632409f9829d4c3cb9fa3c7,dubstep,0.45,0.756,1,-6.307,0,0.0389,0.108,0.0205,0.0762,0.268,135.102,https://api.spotify.com/v1/audio-analysis/4fb0iBhHbQeiJHOfLr6R75,284444
5GmhrrcziQz36B3R4AyJYE,https://p.scdn.co/mp3-preview/1938f8708d98f563e95ffcb577ce20a9c82c423c?cid=7596a347c632409f9829d4c3cb9fa3c7,dubstep,0.443,0.727,0,-5.171,0,0.0984,0.0987,9.35e-06,0.118,0.424,74.827,https://api.spotify.com/v1/audio-analysis/5GmhrrcziQz36B3R4AyJYE,210884
0qH4xYxCrvqO86YyLbkTrB,https://p.scdn.co/mp3-preview/4ccc0323b74c1ef70e90e1b3368080f04665f9a2?cid=7596a347c632409f9829d4c3cb9fa3c7,dubstep,0.408,0.783,2,-5.081,1,0.0589,0.101,3.45e-06,0.181,0.344,175.956,https://api.spotify.com/v1/audio-analysis/0qH4xYxCrvqO86YyLbkTrB,210000
4jEgIGTiWCziKA6ExSttMX,https://p.scdn.co/mp3-preview/2bc2b79fc79a0ebd7d9549791220a4beb353e45f?cid=7596a347c632409f9829d4c3cb9fa3c7,dubstep,0.61,0.836,7,-6.428,0,0.089,0.123,0.0,0.164,0.329,110.032,https://api.spotify.com/v1/audio-analysis/4jEgIGTiWCziKA6ExSttMX,270545
10oeU2lOBAo89kQd4NYkIA,https://p.scdn.co/mp3-preview/ea379e5fb97c08301e46efce0b874d1f2426ce41?cid=7596a347c632409f9829d4c3cb9fa3c7,dubstep,0.505,0.868,7,-4.099,1,0.205,0.000376,0.0427,0.308,0.124,74.097,https://api.spotify.com/v1/audio-analysis/10oeU2lOBAo89kQd4NYkIA,146808
3zYcdTFPsQrh4az4YY1wmg,https://p.scdn.co/mp3-preview/7baf22738a1cf876f0d3e455457f227fa9d88d00?cid=7596a347c632409f9829d4c3cb9fa3c7,dubstep,0.339,0.802,7,-5.358,0,0.162,0.0403,0.0,0.284,0.423,200.05,https://api.spotify.com/v1/audio-analysis/3zYcdTFPsQrh4az4YY1wmg,166800
1if3mNkkrlhuNUA6lgiMUA,https://p.scdn.co/mp3-preview/1f801a304e0a908a2ca2d2650ab13a34e8001a51?cid=7596a347c632409f9829d4c3cb9fa3c7,dubstep,0.762,0.94,10,1.148,0,0.357,0.0693,0.0198,0.615,0.619,149.978,https://api.spotify.com/v1/audio-analysis/1if3mNkkrlhuNUA6lgiMUA,130400
3TSk2ns9rVF8kiYOSuNx3r,https://p.scdn.co/mp3-preview/d5c660257cc20b2be21f772755a3335cb54160ff?cid=7596a347c632409f9829d4c3cb9fa3c7,dubstep,0.395,0.755,5,-5.546,1,0.0362,0.00129,0.000229,0.243,0.0588,150.091,https://api.spotify.com/v1/audio-analysis/3TSk2ns9rVF8kiYOSuNx3r,294341
3M2l5Rh3qLjHzgVEWbyAbZ,https://p.scdn.co/mp3-preview/530bf8a7dc8e599809146e6ee2ec4ec558b85bc7?cid=7596a347c632409f9829d4c3cb9fa3c7,dubstep,0.53,0.708,2,-5.592,1,0.435,0.146,1.36e-05,0.116,0.647,173.381,https://api.spotify.com/v1/audio-analysis/3M2l5Rh3qLjHzgVEWbyAbZ,221147
4iQnJ1nbzIqRirVI1Q2ig8,https://p.scdn.co/mp3-preview/5250fe227e1a3f01694dc20d23882a47bd4783f0?cid=7596a347c632409f9829d4c3cb9fa3c7,dubstep,0.345,0.471,4,-8.184,1,0.0579,0.681,3.09e-05,0.155,0.312,184.112,https://api.spotify.com/v1/audio-analysis/4iQnJ1nbzIqRirVI1Q2ig8,213125
1GUZhfnTke0lEKRTjAgoUu,https://p.scdn.co/mp3-preview/9cf3272d371b5a3371b5ed0b2833287cd56c3ed0?cid=7596a347c632409f9829d4c3cb9fa3c7,dubstep,0.604,0.833,7,-3.022,1,0.0851,0.00576,0.0471,0.0749,0.0981,72.54,https://api.spotify.com/v1/audio-analysis/1GUZhfnTke0lEKRTjAgoUu,217190
2wG7MgpfXMCzQcTPCt78Tb,https://p.scdn.co/mp3-preview/4951d7e90e33852801b0a6eb3fa9ca7413873e5e?cid=7596a347c632409f9829d4c3cb9fa3c7,dubstep,0.43,0.811,3,-2.712,1,0.0621,0.0315,0.0,0.315,0.238,159.988,https://api.spotify.com/v1/audio-analysis/2wG7MgpfXMCzQcTPCt78Tb,231750
4VzDr8H5SCS1P14tyguB1a,https://p.scdn.co/mp3-preview/375fccb3f6f314ac7be4541ec9bff82df0fb1e19?cid=7596a347c632409f9829d4c3cb9fa3c7,dubstep,0.665,0.913,1,-2.301,1,0.0461,0.000148,0.412,0.384,0.439,100.004,https://api.spotify.com/v1/audio-analysis/4VzDr8H5SCS1P14tyguB1a,249600
4AoUdMZGoPZZQxVFnoVQEl,https://p.scdn.co/mp3-preview/c442a48c47b43d55ce2a12de866cfc3f6e35d616?cid=7596a347c632409f9829d4c3cb9fa3c7,dubstep,0.414,0.765,6,-3.578,1,0.0479,0.00264,0.0,0.438,0.0398,130.105,https://api.spotify.com/v1/audio-analysis/4AoUdMZGoPZZQxVFnoVQEl,169846
3TmTEN2zy0cyYMjiviWbMK,https://p.scdn.co/mp3-preview/79c176f85a579f6518dc3069618b108cbfc62ce6?cid=7596a347c632409f9829d4c3cb9fa3c7,dubstep,0.56,0.746,2,-2.566,0,0.0486,0.0112,0.0776,0.0999,0.0387,113.966,https://api.spotify.com/v1/audio-analysis/3TmTEN2zy0cyYMjiviWbMK,246316
68Gszh9enogLwJUbTcjjWe,https://p.scdn.co/mp3-preview/7eaf791e8f35edc44b17403eeb8a6d09b68bb435?cid=7596a347c632409f9829d4c3cb9fa3c7,dubstep,0.623,0.985,1,-0.319,1,0.111,0.018,0.0973,0.354,0.561,150.01,https://api.spotify.com/v1/audio-analysis/68Gszh9enogLwJUbTcjjWe,188000
