id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
7H7NyZ3G075GqPx2evsfeb,https://p.scdn.co/mp3-preview/91a369dc9320bf9c26ddd9269e1d189f4d849b71?cid=7596a347c632409f9829d4c3cb9fa3c7,edm,0.538,0.557,11,-8.678,1,0.0914,0.262,0.914,0.102,0.506,131.03,https://api.spotify.com/v1/audio-analysis/7H7NyZ3G075GqPx2evsfeb,231724
2R4AlwtrrkMaRKojcTIzmL,https://p.scdn.co/mp3-preview/69cd479727282456c1a3c841e8823d6be4951e58?cid=7596a347c632409f9829d4c3cb9fa3c7,edm,0.551,0.529,5,-10.469,0,0.0517,0.296,0.0093,0.178,0.521,75.515,https://api.spotify.com/v1/audio-analysis/2R4AlwtrrkMaRKojcTIzmL,182307
6jgkEbmQ2F2onEqsEhiliL,https://p.scdn.co/mp3-preview/0397d46ab38e214a3d702d055d7b667fc36fb9e1?cid=7596a347c632409f9829d4c3cb9fa3c7,edm,0.501,0.765,6,-7.063,0,0.0281,0.00294,0.49,0.184,0.46,91.771,https://api.spotify.com/v1/audio-analysis/6jgkEbmQ2F2onEqsEhiliL,190846
1GfBLbAhZUWdseuDqhocmn,https://p.scdn.co/mp3-preview/9683fe58d8ae400c3ea7375d70d5ec8640e885f5?cid=7596a347c632409f9829d4c3cb9fa3c7,edm,0.81,0.836,1,-7.721,0,0.0645,0.0515,0.229,0.0598,0.0585,139.979,https://api.spotify.com/v1/audio-analysis/1GfBLbAhZUWdseuDqhocmn,146571
2fhOljbX79loRcdl47SFye,https://p.scdn.co/mp3-preview/8f78bbe1bb1716c5664f91877b6d20c9cc5d5dba?cid=7596a347c632409f9829d4c3cb9fa3c7,edm,0.662,0.478,9,-8.631,1,0.0451,0.252,0.833,0.216,0.43,139.98,https://api.spotify.com/v1/audio-analysis/2fhOljbX79loRcdl47SFye,422613
3HlK8txWAdtKMrbsqX40pl,https://p.scdn.co/mp3-preview/0fe51e8a5f8d4b744558e833214b31d44571b985?cid=7596a347c632409f9829d4c3cb9fa3c7,edm,0.565,0.832,8,-5.751,0,0.108,0.0638,0.0288,0.386,0.847,143.303,https://api.spotify.com/v1/audio-analysis/3HlK8txWAdtKMrbsqX40pl,173889
4LpUpiYoZ2M3Z1kmhn4EQo,https://p.scdn.co/mp3-preview/9107ae161c009ecfe2e0f7caf48f090244fea509?cid=7596a347c632409f9829d4c3cb9fa3c7,edm,0.709,0.496,1,-10.528,0,0.0417,0.581,0.191,0.151,0.469,78.477,https://api.spotify.com/v1/audio-analysis/4LpUpiYoZ2M3Z1kmhn4EQo,181587
7iDa6hUg2VgEL1o1HjmfBn,https://p.scdn.co/mp3-preview/aee116139fe2bf65933ea9d4d99c7aa096c7fca1?cid=7596a347c632409f9829d4c3cb9fa3c7,edm,0.643,0.783,10,-6.458,1,0.0856,0.047,0.0,0.083,0.579,154.084,https://api.spotify.com/v1/audio-analysis/7iDa6hUg2VgEL1o1HjmfBn,163870
4DvhkX2ic4zWkQeWMwQ2qf,https://p.scdn.co/mp3-preview/f4165a0d2af0a34c3e84b80729a1e9a5864f22ed?cid=7596a347c632409f9829d4c3cb9fa3c7,edm,0.435,0.837,3,-8.126,1,0.449,0.00676,0.0,0.117,0.778,124.913,https://api.spotify.com/v1/audio-analysis/4DvhkX2ic4zWkQeWMwQ2qf,216893
6Knv6wdA0luoMUuuoYi2i1,https://p.scdn.co/mp3-preview/e68ac8582789819b9d251d3427aaf211686346b4?cid=7596a347c632409f9829d4c3cb9fa3c7,edm,0.688,0.702,7,-4.792,0,0.0499,0.0215,0.0,0.128,0.74,94.006,https://api.spotify.com/v1/audio-analysis/6Knv6wdA0luoMUuuoYi2i1,192191
