id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
3ZCTVFBt2Brf31RLEnCkWJ,https://p.scdn.co/mp3-preview/4943261c0a9f97c2ad615576c6509303f740b80e?cid=7596a347c632409f9829d4c3cb9fa3c7,electro,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,https://api.spotify.com/v1/audio-analysis/3ZCTVFBt2Brf31RLEnCkWJ,245426
04sN26COy28wTXYj3dMoiZ,https://p.scdn.co/mp3-preview/12f032afc03a4611ae4f0676b6d0a86aa1e824a2?cid=7596a347c632409f9829d4c3cb9fa3c7,electro,0.614,0.318,7,-12.695,1,0.0478,0.896,0.00239,0.0795,0.112,119.959,https://api.spotify.com/v1/audio-analysis/04sN26COy28wTXYj3dMoiZ,180933
2Fxmhks0bxGSBdJ92vM42m,https://p.scdn.co/mp3-preview/6b5d9e79ddc58844381393cc57ec026a534ea37d?cid=7596a347c632409f9829d4c3cb9fa3c7,electro,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,https://api.spotify.com/v1/audio-analysis/2Fxmhks0bxGSBdJ92vM42m,194088
2qxmye6gAegTMjLKEBoR3d,https://p.scdn.co/mp3-preview/a5a6a6d6bba1a4303bc1fbc32ee75773b11b145d?cid=7596a347c632409f9829d4c3cb9fa3c7,electro,0.652,0.557,1,-5.714,0,0.0318,0.74,0.0,0.124,0.483,150.073,https://api.spotify.com/v1/audio-analysis/2qxmye6gAegTMjLKEBoR3d,169354
41zXlQxzTi6cGAjpOXyLYH,https://p.scdn.co/mp3-preview/44f3162d3dda8a7ad49c7e2b48de20099fd4a7c3?cid=7596a347c632409f9829d4c3cb9fa3c7,electro,0.483,0.412,7,-8.461,1,0.0402,0.737,0.0,0.116,0.247,170.163,https://api.spotify.com/v1/audio-analysis/41zXlQxzTi6cGAjpOXyLYH,203569
1QxcWlk8PivolUaWcpAoNq,https://p.scdn.co/mp3-preview/f0aee83f5aafe2964a728f6186b63ca87a114b8a?cid=7596a347c632409f9829d4c3cb9fa3c7,electro,0.392,0.802,1,-4.014,0,0.0418,0.076,0.00908,0.0925,0.101,152.734,https://api.spotify.com/v1/audio-analysis/1QxcWlk8PivolUaWcpAoNq,213373
2ZBpReRAVnBhGJKwaiatOI,https://p.scdn.co/mp3-preview/da873b34d6563c87066cef6d7e0c13291cdf7ecc?cid=7596a347c632409f9829d4c3cb9fa3c7,electro,0.704,0.225,6,-14.454,0,0.0994,0.901,0.657,0.106,0.243,120.006,https://api.spotify.com/v1/audio-analysis/2ZBpReRAVnBhGJKwaiatOI,245426
37IcHQn0NE2AkvSlHv9kHn,https://p.scdn.co/mp3-preview/da873b34d6563c87066cef6d7e0c13291cdf7ecc?cid=7596a347c632409f9829d4c3cb9fa3c7,electro,0.704,0.225,6,-14.454,0,0.0994,0.901,0.657,0.106,0.243,120.006,https://api.spotify.com/v1/audio-analysis/37IcHQn0NE2AkvSlHv9kHn,245426
4lqRh0okd0eTqBtiDKduu1,https://p.scdn.co/mp3-preview/da873b34d6563c87066cef6d7e0c13291cdf7ecc?cid=7596a347c632409f9829d4c3cb9fa3c7,electro,0.704,0.225,6,-14.454,0,0.0994,0.901,0.657,0.106,0.243,120.006,https://api.spotify.com/v1/audio-analysis/4lqRh0okd0eTqBtiDKduu1,245426
4IhKLu7Vk3j2TLmnFPl6To,https://p.scdn.co/mp3-preview/bdca96f8387c6ed3cb3ea514e279ff6b3b1c1ab9?cid=7596a347c632409f9829d4c3cb9fa3c7,electro,0.723,0.504,8,-5.572,1,0.0392,0.388,7.4e-05,0.087,0.551,133.975,https://api.spotify.com/v1/audio-analysis/4IhKLu7Vk3j2TLmnFPl6To,218893
4j87g4xfgqJBOAjpjX8b9L,https://p.scdn.co/mp3-preview/1700ebeca81d23cef9e12befccf3eebc71ce2171?cid=7596a347c632409f9829d4c3cb9fa3c7,electro,0.889,0.34,11,-7.773,0,0.0697,0.218,0.13,0.055,0.716,94.009,https://api.spotify.com/v1/audio-analysis/4j87g4xfgqJBOAjpjX8b9L,174321
78OzQWvS0IdYdxdQmUfqGz,https://p.scdn.co/mp3-preview/2d1bc08355b69ccfdb06f068187466c3e26aa26f?cid=7596a347c632409f9829d4c3cb9fa3c7,electro,0.358,0.372,4,-7.664,0,0.0464,0.81,0.0539,0.0877,0.16,144.833,https://api.spotify.com/v1/audio-analysis/78OzQWvS0IdYdxdQmUfqGz,200387
2GMb3T2Fw9ch11SaWqkFS1,https://p.scdn.co/mp3-preview/91db119261c491c515f6721c4fb8832ba18f1588?cid=7596a347c632409f9829d4c3cb9fa3c7,electro,0.887,0.388,8,-14.505,1,0.349,0.739,0.143,0.106,0.205,120.035,https://api.spotify.com/v1/audio-analysis/2GMb3T2Fw9ch11SaWqkFS1,193143
5dz0jfCaErhysZ4DkGo2aY,https://p.scdn.co/mp3-preview/b1f2dafe130f4c4979d29e17bd9779a194037a0d?cid=7596a347c632409f9829d4c3cb9fa3c7,electro,0.683,0.534,4,-10.348,1,0.189,0.519,0.247,0.148,0.284,150.469,https://api.spotify.com/v1/audio-analysis/5dz0jfCaErhysZ4DkGo2aY,180567
15AghCGN8IcdqeGWBVyFOD,https://p.scdn.co/mp3-preview/91db119261c491c515f6721c4fb8832ba18f1588?cid=7596a347c632409f9829d4c3cb9fa3c7,electro,0.887,0.388,8,-14.505,1,0.349,0.739,0.143,0.106,0.205,120.035,https://api.spotify.com/v1/audio-analysis/15AghCGN8IcdqeGWBVyFOD,193143
4AcMtN45AgbSTqBNykomyk,https://p.scdn.co/mp3-preview/710c215e68c25a13120dea414bc52fa42d86577c?cid=7596a347c632409f9829d4c3cb9fa3c7,electro,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,https://api.spotify.com/v1/audio-analysis/4AcMtN45AgbSTqBNykomyk,194088
0rX9O98g2QIOUWIIGu4xMi,https://p.scdn.co/mp3-preview/f6810d078bdbe2ad4be16ab793f27f552f2931e8?cid=7596a347c632409f9829d4c3cb9fa3c7,electro,0.768,0.499,8,-8.015,0,0.0745,0.381,0.000139,0.0979,0.734,92.574,https://api.spotify.com/v1/audio-analysis/0rX9O98g2QIOUWIIGu4xMi,167045
3YzEUwZgEEA3EFFbazmSEd,https://p.scdn.co/mp3-preview/710c215e68c25a13120dea414bc52fa42d86577c?cid=7596a347c632409f9829d4c3cb9fa3c7,electro,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,https://api.spotify.com/v1/audio-analysis/3YzEUwZgEEA3EFFbazmSEd,194088
7eQnXqq3OBM9Zxf4s4AjtH,https://p.scdn.co/mp3-preview/1700ebeca81d23cef9e12befccf3eebc71ce2171?cid=7596a347c632409f9829d4c3cb9fa3c7,electro,0.889,0.34,11,-7.773,0,0.0697,0.218,0.13,0.055,0.716,94.009,https://api.spotify.com/v1/audio-analysis/7eQnXqq3OBM9Zxf4s4AjtH,174321
0FGU0hjzEsK7JDzpVL2QYM,https://p.scdn.co/mp3-preview/274ec6863056dbd46766cbf705c834446c234a0d?cid=7596a347c632409f9829d4c3cb9fa3c7,electro,0.625,0.284,9,-14.007,0,0.0819,0.934,0.00031,0.23,0.197,129.631,https://api.spotify.com/v1/audio-analysis/0FGU0hjzEsK7JDzpVL2QYM,245897
3Crq4kbHWSIJ8EpmRZHbxB,https://p.scdn.co/mp3-preview/710c215e68c25a13120dea414bc52fa42d86577c?cid=7596a347c632409f9829d4c3cb9fa3c7,electro,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,https://api.spotify.com/v1/audio-analysis/3Crq4kbHWSIJ8EpmRZHbxB,194088
42MOE8kybtvrKFUBaMonda,https://p.scdn.co/mp3-preview/b1f2dafe130f4c4979d29e17bd9779a194037a0d?cid=7596a347c632409f9829d4c3cb9fa3c7,electro,0.683,0.534,4,-10.348,1,0.189,0.519,0.247,0.148,0.284,150.469,https://api.spotify.com/v1/audio-analysis/42MOE8kybtvrKFUBaMonda,180567
7jaAZJ2DGTvOkw0lawqAOV,https://p.scdn.co/mp3-preview/53caec7a6650b80d7c82c512737c4c8df9a566b1?cid=7596a347c632409f9829d4c3cb9fa3c7,electro,0.612,0.318,7,-12.695,1,0.0478,0.898,0.00239,0.0795,0.112,119.968,https://api.spotify.com/v1/audio-analysis/7jaAZJ2DGTvOkw0lawqAOV,180933
5rr3UE7U1qimKw1NqLejdH,https://p.scdn.co/mp3-preview/1cbabea3e0d64d5409dbf4bfc1faa7e92f6169e1?cid=7596a347c632409f9829d4c3cb9fa3c7,electro,0.895,0.389,7,-11.036,0,0.11,0.222,0.0346,0.105,0.549,110.023,https://api.spotify.com/v1/audio-analysis/5rr3UE7U1qimKw1NqLejdH,196731
1t7D1XOWjpIwD3Atp4yTgz,https://p.scdn.co/mp3-preview/eaa4d7394de1d251b4d6c3bba336d5c9b5db453b?cid=7596a347c632409f9829d4c3cb9fa3c7,electro,0.765,0.373,8,-9.915,1,0.0713,0.329,0.541,0.112,0.59,85.015,https://api.spotify.com/v1/audio-analysis/1t7D1XOWjpIwD3Atp4yTgz,195777
5TytiUM3yagb7RsXXyXVV4,https://p.scdn.co/mp3-preview/1700ebeca81d23cef9e12befccf3eebc71ce2171?cid=7596a347c632409f9829d4c3cb9fa3c7,electro,0.889,0.34,11,-7.773,0,0.0697,0.218,0.13,0.055,0.716,94.009,https://api.spotify.com/v1/audio-analysis/5TytiUM3yagb7RsXXyXVV4,174321
2YDEFJVEVBNFySzKH3uA5q,https://p.scdn.co/mp3-preview/b1f2dafe130f4c4979d29e17bd9779a194037a0d?cid=7596a347c632409f9829d4c3cb9fa3c7,electro,0.683,0.534,4,-10.348,1,0.189,0.519,0.247,0.148,0.284,150.469,https://api.spotify.com/v1/audio-analysis/2YDEFJVEVBNFySzKH3uA5q,180567
32BeYxKPrig1LefHsC0Xuo,https://p.scdn.co/mp3-preview/452b367980adb1d35a87d62316e5f0ec971f1e1d?cid=7596a347c632409f9829d4c3cb9fa3c7,electro,0.334,0.599,0,-5.742,1,0.0365,0.0468,0.000392,0.205,0.127,161.74,https://api.spotify.com/v1/audio-analysis/32BeYxKPrig1LefHsC0Xuo,151444
6OzUIp8KjuwxJnCWkXp1uL,https://p.scdn.co/mp3-preview/5aca50d39239c3af0af2b3eaabbefbdca920b7fc?cid=7596a347c632409f9829d4c3cb9fa3c7,electro,0.736,0.727,5,-4.642,0,0.0571,0.0584,1.91e-06,0.0976,0.644,94.048,https://api.spotify.com/v1/audio-analysis/6OzUIp8KjuwxJnCWkXp1uL,229065
7eB1V5LvAdxCc7brfGhRRo,https://p.scdn.co/mp3-preview/619a7fe6c8aff6f528d4facab9ffaf709e90f8ba?cid=7596a347c632409f9829d4c3cb9fa3c7,electro,0.441,0.599,0,-8.985,1,0.225,0.333,0.00198,0.103,0.35,165.212,https://api.spotify.com/v1/audio-analysis/7eB1V5LvAdxCc7brfGhRRo,177523
