id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
3S7A85bAWOd6ltk6r2ANOI,https://p.scdn.co/mp3-preview/d84d57918dd66c8dcda25bff1c3399d8b547a409?cid=7596a347c632409f9829d4c3cb9fa3c7,electronic,0.503,0.783,0,-4.761,0,0.0385,0.0221,0.00223,0.14,0.213,125.122,https://api.spotify.com/v1/audio-analysis/3S7A85bAWOd6ltk6r2ANOI,180480
5x4vgABKiGp4Vg7ZyFRxhn,https://p.scdn.co/mp3-preview/70494f83ef587ece7e88cf6645763d3c22d55627?cid=7596a347c632409f9829d4c3cb9fa3c7,electronic,0.688,0.725,2,-7.806,1,0.044,0.0195,7.63e-06,0.0726,0.225,104.006,https://api.spotify.com/v1/audio-analysis/5x4vgABKiGp4Vg7ZyFRxhn,163373
4COR2ZPEyUn0lsbAouRWxA,https://p.scdn.co/mp3-preview/fdf4857a1609b4f11e1d576dcf7dd2e24d11b2d9?cid=7596a347c632409f9829d4c3cb9fa3c7,electronic,0.284,0.722,7,-8.284,1,0.0559,0.00461,0.873,0.163,0.0383,116.292,https://api.spotify.com/v1/audio-analysis/4COR2ZPEyUn0lsbAouRWxA,506763
6osaMSJh9NguagEDQcZaKx,https://p.scdn.co/mp3-preview/21415dff57a3c5b25bad8b81ffcb7953194bace7?cid=7596a347c632409f9829d4c3cb9fa3c7,electronic,0.694,0.758,11,-2.986,1,0.218,0.278,1.34e-06,0.102,0.371,192.091,https://api.spotify.com/v1/audio-analysis/6osaMSJh9NguagEDQcZaKx,185195
6IPNp9PfaEqrzotY47TIWy,https://p.scdn.co/mp3-preview/dd6a5e0fa46a7c529fe6d73a7969660aab78cb5f?cid=7596a347c632409f9829d4c3cb9fa3c7,electronic,0.8,0.837,6,-2.807,0,0.0491,0.00406,0.00313,0.0904,0.702,100.015,https://api.spotify.com/v1/audio-analysis/6IPNp9PfaEqrzotY47TIWy,225600
2cmRpmO04TLaKPzmAzySYZ,https://p.scdn.co/mp3-preview/af84564b3becf04e9a9c1660e5dd1da2310b5146?cid=7596a347c632409f9829d4c3cb9fa3c7,electronic,0.739,0.611,11,-9.829,1,0.0622,0.00557,0.725,0.04,0.794,98.004,https://api.spotify.com/v1/audio-analysis/2cmRpmO04TLaKPzmAzySYZ,536471
67Hna13dNDkZvBpTXRIaOJ,https://p.scdn.co/mp3-preview/ee7e776d42071d535c04e33263e017f408a3abf9?cid=7596a347c632409f9829d4c3cb9fa3c7,electronic,0.615,0.419,11,-8.8,0,0.0395,0.0173,0.497,0.135,0.216,76.997,https://api.spotify.com/v1/audio-analysis/67Hna13dNDkZvBpTXRIaOJ,330773
3XHrTm6WE2BOHafLwTT3GR,https://p.scdn.co/mp3-preview/3cedd257ef9600d5034c379599bf7632a6a3673b?cid=7596a347c632409f9829d4c3cb9fa3c7,electronic,0.544,0.383,3,-10.143,0,0.0334,0.67,0.00204,0.125,0.367,145.025,https://api.spotify.com/v1/audio-analysis/3XHrTm6WE2BOHafLwTT3GR,302827
2UKgx2oba7CltHLACr3xdT,https://p.scdn.co/mp3-preview/4043e2381349621ff2253d8217abc3506a8daefa?cid=7596a347c632409f9829d4c3cb9fa3c7,electronic,0.577,0.647,2,-7.647,1,0.0569,0.00165,0.806,0.154,0.236,160.987,https://api.spotify.com/v1/audio-analysis/2UKgx2oba7CltHLACr3xdT,70771
6ZT3coOj97F6CVvruPtnox,https://p.scdn.co/mp3-preview/173ea30efea100242a899fc7d0ae5b9efa680b08?cid=7596a347c632409f9829d4c3cb9fa3c7,electronic,0.487,0.68,7,-8.497,0,0.0408,0.000599,0.0339,0.144,0.0752,94.46,https://api.spotify.com/v1/audio-analysis/6ZT3coOj97F6CVvruPtnox,324807
