id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
5TXDeTFVRVY7Cvt0Dw4vWW,https://p.scdn.co/mp3-preview/345903bac5ccda9095a71189e3c131c2eba78682?cid=7596a347c632409f9829d4c3cb9fa3c7,emo,0.746,0.251,11,-16.169,0,0.259,0.782,0.00203,0.106,0.18,139.999,https://api.spotify.com/v1/audio-analysis/5TXDeTFVRVY7Cvt0Dw4vWW,120027
6Ox1rvlwEpB49drasQm6RF,https://p.scdn.co/mp3-preview/b8a2fd54d1e3ac6ea8fc36c46237fb02a5c2eb15?cid=7596a347c632409f9829d4c3cb9fa3c7,emo,0.538,0.471,4,-9.84,0,0.0955,0.0946,0.0185,0.116,0.307,93.07,https://api.spotify.com/v1/audio-analysis/6Ox1rvlwEpB49drasQm6RF,142000
7m9OqQk4RVRkw9JJdeAw96,https://p.scdn.co/mp3-preview/a79efb1356b5fc06a1ad8856997c329c462d6a6d?cid=7596a347c632409f9829d4c3cb9fa3c7,emo,0.872,0.391,0,-9.144,0,0.242,0.469,4.13e-06,0.297,0.437,134.021,https://api.spotify.com/v1/audio-analysis/7m9OqQk4RVRkw9JJdeAw96,119133
3GVkPk8mqxz0itaAriG1L7,https://p.scdn.co/mp3-preview/ed29d6db3e91c2764417b9af478d4809e126bd21?cid=7596a347c632409f9829d4c3cb9fa3c7,emo,0.734,0.57,7,-7.066,0,0.133,0.847,2.14e-05,0.112,0.689,129.953,https://api.spotify.com/v1/audio-analysis/3GVkPk8mqxz0itaAriG1L7,95467
2ZRo7axmMPeSVUvDbGkJah,https://p.scdn.co/mp3-preview/4ee7344fd7cf709d9062ef3cd026f6e2189efa29?cid=7596a347c632409f9829d4c3cb9fa3c7,emo,0.592,0.457,9,-6.081,0,0.0603,0.661,0.000331,0.146,0.225,146.04,https://api.spotify.com/v1/audio-analysis/2ZRo7axmMPeSVUvDbGkJah,110886
7AQim7LbvFVZJE3O8TYgf2,https://p.scdn.co/mp3-preview/f6aa3180db4d1dd72d22eb4896b466a55d3ab6d6?cid=7596a347c632409f9829d4c3cb9fa3c7,emo,0.797,0.533,0,-9.74,0,0.0412,0.0172,0.000152,0.103,0.329,131.036,https://api.spotify.com/v1/audio-analysis/7AQim7LbvFVZJE3O8TYgf2,146520
11k8KTbNeG9iabeNXMuwf0,https://p.scdn.co/mp3-preview/dd676586f78d76b8613d6bef3e95d9031b03c4ba?cid=7596a347c632409f9829d4c3cb9fa3c7,emo,0.51,0.739,2,-7.41,1,0.0415,0.00872,0.0,0.111,0.148,62.007,https://api.spotify.com/v1/audio-analysis/11k8KTbNeG9iabeNXMuwf0,85360
3ee8Jmje8o58CHK66QrVC2,https://p.scdn.co/mp3-preview/5a226f5408af50bb92ce3e0c772f683a0afbc542?cid=7596a347c632409f9829d4c3cb9fa3c7,emo,0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,https://api.spotify.com/v1/audio-analysis/3ee8Jmje8o58CHK66QrVC2,166606
0JP9xo3adEtGSdUEISiszL,https://p.scdn.co/mp3-preview/f0335e896f76994fba891fc20e64760dd1971ac4?cid=7596a347c632409f9829d4c3cb9fa3c7,emo,0.921,0.537,9,-5.723,0,0.0804,0.556,0.00404,0.102,0.711,128.009,https://api.spotify.com/v1/audio-analysis/0JP9xo3adEtGSdUEISiszL,135090
6SpLc7EXZIPpy0sVko0aoU,https://p.scdn.co/mp3-preview/beed4b32fe47b6dde51a2b4d1ce418a247907f86?cid=7596a347c632409f9829d4c3cb9fa3c7,emo,0.517,0.906,1,-3.677,1,0.0735,0.00272,9.26e-06,0.113,0.731,172.977,https://api.spotify.com/v1/audio-analysis/6SpLc7EXZIPpy0sVko0aoU,211520
2TfSHkHiFO4gRztVIkggkE,https://p.scdn.co/mp3-preview/f1ccd4eb3fea19bf6c4777b4d8b8751442ebeffb?cid=7596a347c632409f9829d4c3cb9fa3c7,emo,0.494,0.842,7,-4.784,1,0.0843,0.00579,0.0,0.122,0.574,162.011,https://api.spotify.com/v1/audio-analysis/2TfSHkHiFO4gRztVIkggkE,229093
7j31rVgGX9Q2blT92VBEA0,https://p.scdn.co/mp3-preview/c50820bd46907bccd2ffc712e519836df97e7e4d?cid=7596a347c632409f9829d4c3cb9fa3c7,emo,0.463,0.857,4,-3.063,1,0.0632,0.0506,0.0,0.184,0.856,111.647,https://api.spotify.com/v1/audio-analysis/7j31rVgGX9Q2blT92VBEA0,161920
7floNISpH8VF4z4459Qo18,https://p.scdn.co/mp3-preview/cbf041c94288e0a8c280d56bc0d37f65ae51836b?cid=7596a347c632409f9829d4c3cb9fa3c7,emo,0.763,0.726,1,-6.405,1,0.282,0.259,0.0,0.0976,0.349,139.059,https://api.spotify.com/v1/audio-analysis/7floNISpH8VF4z4459Qo18,126346
4TVsTKQVeC99tCjfRKLeob,https://p.scdn.co/mp3-preview/e4a71ede9379ea302a0059161b65d1dc6d7aceb6?cid=7596a347c632409f9829d4c3cb9fa3c7,emo,0.8,0.526,11,-8.909,1,0.0416,0.285,0.0,0.0717,0.729,149.991,https://api.spotify.com/v1/audio-analysis/4TVsTKQVeC99tCjfRKLeob,132227
4jvjzW7Hm0yK4LvvE0Paz9,https://p.scdn.co/mp3-preview/bbdc7ae6173ecb1e9cd588bbe92083c86ac5743d?cid=7596a347c632409f9829d4c3cb9fa3c7,emo,0.669,0.574,4,-6.442,0,0.0286,0.0175,0.00294,0.146,0.273,120.013,https://api.spotify.com/v1/audio-analysis/4jvjzW7Hm0yK4LvvE0Paz9,196400
