id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
3JvrhDOgAt6p7K8mDyZwRd,https://p.scdn.co/mp3-preview/2a3dc62fd2fe12a7b340f18c19b251508bf9c8fd?cid=7596a347c632409f9829d4c3cb9fa3c7,folk,0.484,0.731,1,-6.694,1,0.0379,0.431,0.0,0.151,0.51,101.654,https://api.spotify.com/v1/audio-analysis/3JvrhDOgAt6p7K8mDyZwRd,204280
2L9N0zZnd37dwF0clgxMGI,https://p.scdn.co/mp3-preview/cd45c0c820081ff6af53daba1852123675e2e13f?cid=7596a347c632409f9829d4c3cb9fa3c7,folk,0.516,0.322,9,-11.762,1,0.0292,0.473,0.00194,0.215,0.261,148.005,https://api.spotify.com/v1/audio-analysis/2L9N0zZnd37dwF0clgxMGI,182888
3d8y0t70g7hw2FOWl9Z4Fm,https://p.scdn.co/mp3-preview/a6bb5e3a523cc04890c2b0e2d6b7dbc3c01e32d6?cid=7596a347c632409f9829d4c3cb9fa3c7,folk,0.664,0.573,5,-6.519,1,0.0277,0.613,0.000363,0.0857,0.566,76.023,https://api.spotify.com/v1/audio-analysis/3d8y0t70g7hw2FOWl9Z4Fm,160097
0V5cvmTKsYmF5FmGGEAfmS,https://p.scdn.co/mp3-preview/b7eaddf72a9e833a32d9de93ac96b3b0a3159161?cid=7596a347c632409f9829d4c3cb9fa3c7,folk,0.303,0.187,2,-16.757,1,0.0356,0.989,0.489,0.101,0.213,132.731,https://api.spotify.com/v1/audio-analysis/0V5cvmTKsYmF5FmGGEAfmS,160853
3yrSvpt2l1xhsV9Em88Pul,https://p.scdn.co/mp3-preview/e47e4c967f0a9d98d1d6a1067659ea65638e6d7e?cid=7596a347c632409f9829d4c3cb9fa3c7,folk,0.491,0.583,7,-10.964,1,0.0376,0.185,0.0,0.406,0.908,150.566,https://api.spotify.com/v1/audio-analysis/3yrSvpt2l1xhsV9Em88Pul,183307
1Fid2jjqsHViMX6xNH70hE,https://p.scdn.co/mp3-preview/2bda49b2b0da51a0a5005c2a9dd9db526e72b9a5?cid=7596a347c632409f9829d4c3cb9fa3c7,folk,0.4,0.479,8,-7.989,0,0.0308,0.0529,2.14e-06,0.115,0.213,166.159,https://api.spotify.com/v1/audio-analysis/1Fid2jjqsHViMX6xNH70hE,229173
77khP2fIVhSW23NwxrRluh,https://p.scdn.co/mp3-preview/2f58f1c0a6cecf73b091096522d30ffc5d0fc651?cid=7596a347c632409f9829d4c3cb9fa3c7,folk,0.683,0.375,0,-13.056,1,0.0303,0.579,0.0,0.076,0.888,140.467,https://api.spotify.com/v1/audio-analysis/77khP2fIVhSW23NwxrRluh,135533
1KxwZYyzWNyZSRyErj2ojT,https://p.scdn.co/mp3-preview/5a950da964a6822cd53611793a1e481dbbbf36a1?cid=7596a347c632409f9829d4c3cb9fa3c7,folk,0.479,0.545,7,-7.346,1,0.0688,0.365,0.0,0.0963,0.243,74.897,https://api.spotify.com/v1/audio-analysis/1KxwZYyzWNyZSRyErj2ojT,252733
0W4Kpfp1w2xkY3PrV714B7,https://p.scdn.co/mp3-preview/c16785caa9a88c3749d9ed359f298e0fc76ee342?cid=7596a347c632409f9829d4c3cb9fa3c7,folk,0.685,0.466,0,-9.074,1,0.0304,0.794,2.06e-06,0.0915,0.353,79.936,https://api.spotify.com/v1/audio-analysis/0W4Kpfp1w2xkY3PrV714B7,163133
1HMQmOWrkieKYWlFsjUP3D,https://p.scdn.co/mp3-preview/8236af1d34e7405722a2c37d7df8974e1a9f2a88?cid=7596a347c632409f9829d4c3cb9fa3c7,folk,0.591,0.416,1,-9.794,1,0.0246,0.882,0.000641,0.112,0.415,96.003,https://api.spotify.com/v1/audio-analysis/1HMQmOWrkieKYWlFsjUP3D,210080
4k7x3QKrc3h3U0Viqk0uop,https://p.scdn.co/mp3-preview/e01d750714f6f02bfe4b8f86480f50b93fc42089?cid=7596a347c632409f9829d4c3cb9fa3c7,folk,0.329,0.277,10,-13.111,0,0.0302,0.971,0.024,0.0971,0.121,159.719,https://api.spotify.com/v1/audio-analysis/4k7x3QKrc3h3U0Viqk0uop,289560
0UV5zxRMz6AO4ZwUOZNIKI,https://p.scdn.co/mp3-preview/612e5a3e19fee66c1a240ef49dafd559565573cf?cid=7596a347c632409f9829d4c3cb9fa3c7,folk,0.454,0.82,2,-4.193,1,0.0567,0.132,0.000969,0.115,0.575,166.303,https://api.spotify.com/v1/audio-analysis/0UV5zxRMz6AO4ZwUOZNIKI,234800
6me7F0aaZjwDo6RJ5MrfBD,https://p.scdn.co/mp3-preview/9561d7aa1fb89e99b3421e5c1c5ee930acf39faf?cid=7596a347c632409f9829d4c3cb9fa3c7,folk,0.555,0.216,3,-11.661,1,0.0721,0.557,0.00416,0.109,0.504,79.109,https://api.spotify.com/v1/audio-analysis/6me7F0aaZjwDo6RJ5MrfBD,87000
3Vby4nGmtbDo7HDJamOWkT,https://p.scdn.co/mp3-preview/3342f50e4ea9d511e388a27f6533dd4846d1e242?cid=7596a347c632409f9829d4c3cb9fa3c7,folk,0.82,0.575,7,-9.144,1,0.0408,0.0936,0.000135,0.109,0.964,123.765,https://api.spotify.com/v1/audio-analysis/3Vby4nGmtbDo7HDJamOWkT,208947
4s6LhHAV5SEsOV0lC2tjvJ,https://p.scdn.co/mp3-preview/739e5efdb04972d05b155e87487663c43e6b997e?cid=7596a347c632409f9829d4c3cb9fa3c7,folk,0.552,0.608,1,-9.786,0,0.0345,0.352,0.0,0.0533,0.637,112.367,https://api.spotify.com/v1/audio-analysis/4s6LhHAV5SEsOV0lC2tjvJ,162373
3xtiXNDbSKxy20I7D6vFUg,https://p.scdn.co/mp3-preview/e1679a6b3e15590ddceabbe8827be2eaf7b68703?cid=7596a347c632409f9829d4c3cb9fa3c7,folk,0.347,0.758,8,-7.753,1,0.0706,0.031,0.000659,0.109,0.484,117.959,https://api.spotify.com/v1/audio-analysis/3xtiXNDbSKxy20I7D6vFUg,165674
2ToW7zhGCrVrLU4fiKj9U1,https://p.scdn.co/mp3-preview/5e52321c53008ef8d61e838ecb78802fd9fbee43?cid=7596a347c632409f9829d4c3cb9fa3c7,folk,0.536,0.775,8,-6.765,1,0.0394,0.228,0.000143,0.0947,0.485,151.393,https://api.spotify.com/v1/audio-analysis/2ToW7zhGCrVrLU4fiKj9U1,201413
3lh3iiiJeiBXHSZw6u0kh6,https://p.scdn.co/mp3-preview/d3530029b770fd31bade2a19a6c8450588d50302?cid=7596a347c632409f9829d4c3cb9fa3c7,folk,0.608,0.524,8,-10.266,1,0.0309,0.367,0.00254,0.115,0.797,86.204,https://api.spotify.com/v1/audio-analysis/3lh3iiiJeiBXHSZw6u0kh6,205613
2DnJjbjNTV9Nd5NOa1KGba,https://p.scdn.co/mp3-preview/d6fe2697654fbefaaf3a183d052f821e4cd1ae3c?cid=7596a347c632409f9829d4c3cb9fa3c7,folk,0.659,0.678,0,-8.18,1,0.0313,0.157,6.69e-06,0.0784,0.647,106.186,https://api.spotify.com/v1/audio-analysis/2DnJjbjNTV9Nd5NOa1KGba,258411
2ihCaVdNZmnHZWt0fvAM7B,https://p.scdn.co/mp3-preview/247151ffbd1105ad6ac76cd517862941bfa9a5d0?cid=7596a347c632409f9829d4c3cb9fa3c7,folk,0.457,0.757,1,-5.177,1,0.032,0.0206,0.0,0.146,0.417,102.961,https://api.spotify.com/v1/audio-analysis/2ihCaVdNZmnHZWt0fvAM7B,266600
5MMZJtHOiH1RmQSSe3DJdg,https://p.scdn.co/mp3-preview/2dafbe8136e711ed74b9f7f871caf0349e2d964d?cid=7596a347c632409f9829d4c3cb9fa3c7,folk,0.389,0.431,7,-8.061,1,0.0344,0.249,0.0,0.13,0.275,142.14,https://api.spotify.com/v1/audio-analysis/5MMZJtHOiH1RmQSSe3DJdg,211851
4B4vB3oB8csotplfoQcAd6,https://p.scdn.co/mp3-preview/b132377e080c7448ce29f5755a9f35960beeaa71?cid=7596a347c632409f9829d4c3cb9fa3c7,folk,0.52,0.496,5,-8.121,1,0.0271,0.0234,2.05e-05,0.0905,0.496,138.81,https://api.spotify.com/v1/audio-analysis/4B4vB3oB8csotplfoQcAd6,247002
2ixsaeFioXJmMgkkbd4uj1,https://p.scdn.co/mp3-preview/76fcaade04c0b32fd04ebbdc22026ab9b2b2b9df?cid=7596a347c632409f9829d4c3cb9fa3c7,folk,0.717,0.455,5,-8.303,1,0.0276,0.0846,0.0,0.11,0.389,127.812,https://api.spotify.com/v1/audio-analysis/2ixsaeFioXJmMgkkbd4uj1,200733
6uHvbKL0Yi37AuvNRmUfMw,https://p.scdn.co/mp3-preview/9ba120ef7ecee9eb83fcd5c60e086805d045cd2c?cid=7596a347c632409f9829d4c3cb9fa3c7,folk,0.364,0.308,4,-13.052,1,0.0402,0.895,0.0023,0.123,0.387,73.328,https://api.spotify.com/v1/audio-analysis/6uHvbKL0Yi37AuvNRmUfMw,191773
3Hvg5tRKsQlX25wYwgMF9p,https://p.scdn.co/mp3-preview/978146f26ca417110a2e69e1e339213f9a7c8d90?cid=7596a347c632409f9829d4c3cb9fa3c7,folk,0.67,0.609,7,-10.088,1,0.0333,0.749,6.74e-05,0.227,0.573,127.463,https://api.spotify.com/v1/audio-analysis/3Hvg5tRKsQlX25wYwgMF9p,109736
7uYQELhe7g6QLIzZDOlhbW,https://p.scdn.co/mp3-preview/a8bec3bf1dd6d857bb9eb3d216ffc82474bce596?cid=7596a347c632409f9829d4c3cb9fa3c7,folk,0.434,0.677,10,-7.535,1,0.119,0.384,0.0684,0.119,0.218,167.923,https://api.spotify.com/v1/audio-analysis/7uYQELhe7g6QLIzZDOlhbW,204209
1fDsrQ23eTAVFElUMaf38X,https://p.scdn.co/mp3-preview/5a0e847fe7c1482ba05cb8552f0c178e75fd4962?cid=7596a347c632409f9829d4c3cb9fa3c7,folk,0.531,0.481,4,-11.709,0,0.06,0.699,0.0,0.0842,0.491,138.45,https://api.spotify.com/v1/audio-analysis/1fDsrQ23eTAVFElUMaf38X,516893
3ekNuTF3UpOvIZCfiejpnC,https://p.scdn.co/mp3-preview/83b83596adb4b7aa8472676103b542614db1fbfb?cid=7596a347c632409f9829d4c3cb9fa3c7,folk,0.598,0.56,0,-11.679,1,0.0375,0.607,0.0432,0.196,0.221,115.01,https://api.spotify.com/v1/audio-analysis/3ekNuTF3UpOvIZCfiejpnC,279000
0i5QVxsK3IvEDbUjTA64Li,https://p.scdn.co/mp3-preview/45476d813057be2fddec814a0e6512e443584f5d?cid=7596a347c632409f9829d4c3cb9fa3c7,folk,0.541,0.616,0,-6.53,1,0.028,0.00114,1.09e-06,0.151,0.203,144.218,https://api.spotify.com/v1/audio-analysis/0i5QVxsK3IvEDbUjTA64Li,198600
5tVA6TkbaAH9QMITTQRrNv,https://p.scdn.co/mp3-preview/0a16cba61304d1952b5b744e7fbaf6afec55b69d?cid=7596a347c632409f9829d4c3cb9fa3c7,folk,0.623,0.449,5,-13.333,1,0.0253,0.212,0.0,0.0613,0.572,84.383,https://api.spotify.com/v1/audio-analysis/5tVA6TkbaAH9QMITTQRrNv,256000
3z7kvwJVRfA4HCOfm9ngog,https://p.scdn.co/mp3-preview/09df56cfe6c8db100b496e2e4f2dd88d9939f56a?cid=7596a347c632409f9829d4c3cb9fa3c7,folk,0.49,0.18,0,-9.764,1,0.0344,0.7,3.96e-05,0.0762,0.182,136.455,https://api.spotify.com/v1/audio-analysis/3z7kvwJVRfA4HCOfm9ngog,284000
2M9ro2krNb7nr7HSprkEgo,https://p.scdn.co/mp3-preview/f015e9d03919bb41825d3a398749ba071115bee7?cid=7596a347c632409f9829d4c3cb9fa3c7,folk,0.711,0.292,4,-15.523,0,0.037,0.313,0.0,0.131,0.194,103.951,https://api.spotify.com/v1/audio-analysis/2M9ro2krNb7nr7HSprkEgo,296800
3Kj2EWpIBnvETsYq4cq0IH,https://p.scdn.co/mp3-preview/2ac91a3dae249d2459f95734fe6f4c18f0baa5ae?cid=7596a347c632409f9829d4c3cb9fa3c7,folk,0.6,0.186,3,-15.926,1,0.0317,0.909,0.00102,0.104,0.468,110.044,https://api.spotify.com/v1/audio-analysis/3Kj2EWpIBnvETsYq4cq0IH,217467
3QcuZo6WLcFkqqLmDs0d95,https://p.scdn.co/mp3-preview/5459653412cb5912f4f2915df8da828dc6175f13?cid=7596a347c632409f9829d4c3cb9fa3c7,folk,0.48,0.626,5,-8.406,1,0.0294,0.266,5.7e-05,0.0857,0.542,75.63,https://api.spotify.com/v1/audio-analysis/3QcuZo6WLcFkqqLmDs0d95,199907
3B3eOgLJSqPEA0RfboIQVM,https://p.scdn.co/mp3-preview/9f389e9af732a6f3707239e8bcad847c778c640e?cid=7596a347c632409f9829d4c3cb9fa3c7,folk,0.592,0.263,4,-14.029,0,0.0568,0.845,5.68e-06,0.127,0.109,76.366,https://api.spotify.com/v1/audio-analysis/3B3eOgLJSqPEA0RfboIQVM,238520
1oht5GevPN9t1T3kG1m1GO,https://p.scdn.co/mp3-preview/9bef85cbff6fdac0077a8afecdd57b0a352d7ba5?cid=7596a347c632409f9829d4c3cb9fa3c7,folk,0.597,0.271,5,-17.293,1,0.0394,0.766,0.0119,0.0933,0.338,76.271,https://api.spotify.com/v1/audio-analysis/1oht5GevPN9t1T3kG1m1GO,203613
2MQhTbX792AT6YyzwLz9dt,https://p.scdn.co/mp3-preview/f063a06bf4278a88f08fb59c3af975000cdd8280?cid=7596a347c632409f9829d4c3cb9fa3c7,folk,0.394,0.654,3,-8.243,1,0.0346,0.0404,6.96e-05,0.112,0.264,135.188,https://api.spotify.com/v1/audio-analysis/2MQhTbX792AT6YyzwLz9dt,239881
4x1dWc1GgAfC04GcTlllax,https://p.scdn.co/mp3-preview/1221f381a8a4f846f024337470aef7414d7ffbb8?cid=7596a347c632409f9829d4c3cb9fa3c7,folk,0.446,0.247,11,-13.036,0,0.0287,0.905,0.233,0.111,0.245,138.328,https://api.spotify.com/v1/audio-analysis/4x1dWc1GgAfC04GcTlllax,106250
3dmqIB2Qxe2XZobw9gXxJ6,https://p.scdn.co/mp3-preview/e06fedc1fac2af070cfc7566f7a1e2b5ef60908a?cid=7596a347c632409f9829d4c3cb9fa3c7,folk,0.464,0.655,7,-9.058,0,0.0608,0.0272,1.34e-06,0.328,0.531,169.515,https://api.spotify.com/v1/audio-analysis/3dmqIB2Qxe2XZobw9gXxJ6,273600
4N5s8lPTsjI9EGP7K4SXzB,https://p.scdn.co/mp3-preview/001dff47036419ea4f26a0cf0f60f1a329275cf5?cid=7596a347c632409f9829d4c3cb9fa3c7,folk,0.685,0.738,8,-4.413,1,0.0595,0.0695,0.0,0.128,0.8,112.972,https://api.spotify.com/v1/audio-analysis/4N5s8lPTsjI9EGP7K4SXzB,167614
5PntSbMHC1ud6Vvl8x56qd,https://p.scdn.co/mp3-preview/31da4742f031b9ee4ec8ad34a5cf6777eb237627?cid=7596a347c632409f9829d4c3cb9fa3c7,folk,0.654,0.611,2,-10.45,1,0.119,0.0337,0.000178,0.405,0.786,85.387,https://api.spotify.com/v1/audio-analysis/5PntSbMHC1ud6Vvl8x56qd,235000
0GegHVxeozw3rdjte45Bfx,https://p.scdn.co/mp3-preview/a6053946173c8aadf05c6cf3380d8d0bcfe71157?cid=7596a347c632409f9829d4c3cb9fa3c7,folk,0.628,0.5,6,-9.66,0,0.0268,0.44,0.0,0.244,0.68,124.932,https://api.spotify.com/v1/audio-analysis/0GegHVxeozw3rdjte45Bfx,147027
1YYhDizHx7PnDhAhko6cDS,https://p.scdn.co/mp3-preview/a2c2c0dce0e2d0a869f11d6345f47b0fa792ce86?cid=7596a347c632409f9829d4c3cb9fa3c7,folk,0.462,0.395,9,-9.376,1,0.0264,0.758,0.0,0.121,0.625,82.259,https://api.spotify.com/v1/audio-analysis/1YYhDizHx7PnDhAhko6cDS,190160
6vxHp3CDNo0afgKGp2yi1E,https://p.scdn.co/mp3-preview/a54001442ae7e7294895c1b65b0b895dd873e33c?cid=7596a347c632409f9829d4c3cb9fa3c7,folk,0.626,0.816,9,-10.593,1,0.131,0.237,1.8e-06,0.104,0.798,105.307,https://api.spotify.com/v1/audio-analysis/6vxHp3CDNo0afgKGp2yi1E,164813
1EAgPzRbK9YmdOESSMUm6P,https://p.scdn.co/mp3-preview/0f3e78078fd4533e9d218839a780d56e4a77ca4f?cid=7596a347c632409f9829d4c3cb9fa3c7,folk,0.606,0.826,0,-6.04,1,0.0307,0.0256,1.56e-05,0.117,0.322,121.04,https://api.spotify.com/v1/audio-analysis/1EAgPzRbK9YmdOESSMUm6P,210173
62AuGbAkt8Ox2IrFFb8GKV,https://p.scdn.co/mp3-preview/8e7e29d06813a815dfed16987550ffa2825f22d4?cid=7596a347c632409f9829d4c3cb9fa3c7,folk,0.529,0.127,11,-16.066,1,0.0274,0.611,0.000109,0.237,0.578,63.05,https://api.spotify.com/v1/audio-analysis/62AuGbAkt8Ox2IrFFb8GKV,203573
2R3I5DiDf8bLz2QjrPmUpk,https://p.scdn.co/mp3-preview/07729a4583e8e027bbd6148da1595321810d905b?cid=7596a347c632409f9829d4c3cb9fa3c7,folk,0.571,0.399,4,-11.92,1,0.0364,0.766,0.0146,0.0926,0.612,141.932,https://api.spotify.com/v1/audio-analysis/2R3I5DiDf8bLz2QjrPmUpk,129464
47otoIkhx3fkdivEXL5OB6,https://p.scdn.co/mp3-preview/fcc8c31e4721ddcc70c1249e52a71ad2d28cbe14?cid=7596a347c632409f9829d4c3cb9fa3c7,folk,0.67,0.275,0,-12.755,1,0.0385,0.671,0.0,0.199,0.806,152.649,https://api.spotify.com/v1/audio-analysis/47otoIkhx3fkdivEXL5OB6,130027
1fXiYSWmkKJfRKMegCkI11,https://p.scdn.co/mp3-preview/0092709134bf7d55296bb3be30a1d367762f9554?cid=7596a347c632409f9829d4c3cb9fa3c7,folk,0.478,0.758,1,-5.4,1,0.0331,0.00974,0.00717,0.312,0.452,131.109,https://api.spotify.com/v1/audio-analysis/1fXiYSWmkKJfRKMegCkI11,276720
3MwHZDGwAR8RjZZBriBqmx,https://p.scdn.co/mp3-preview/4d0877cfb23d92baf279d018ab757da5a8a4b149?cid=7596a347c632409f9829d4c3cb9fa3c7,folk,0.443,0.419,7,-7.975,1,0.0321,0.633,0.00183,0.404,0.0719,132.204,https://api.spotify.com/v1/audio-analysis/3MwHZDGwAR8RjZZBriBqmx,256520
0qxYx4F3vm1AOnfux6dDxP,https://p.scdn.co/mp3-preview/b3d4ee602e4a15135acfac2eba669ff463dc59c8?cid=7596a347c632409f9829d4c3cb9fa3c7,folk,0.776,0.763,5,-8.124,1,0.0534,0.182,0.00647,0.077,0.82,128.433,https://api.spotify.com/v1/audio-analysis/0qxYx4F3vm1AOnfux6dDxP,280000
2Xb6wJYGi0QXwURw5WWvI5,https://p.scdn.co/mp3-preview/070645355324c2cc89957cb8c3f72c1f8fd95ddf?cid=7596a347c632409f9829d4c3cb9fa3c7,folk,0.783,0.322,0,-15.091,1,0.0343,0.213,0.00243,0.114,0.77,128.226,https://api.spotify.com/v1/audio-analysis/2Xb6wJYGi0QXwURw5WWvI5,267773
42UaitnwvuKqNcD5Oa2HlD,https://p.scdn.co/mp3-preview/5d5a2c79a40735cba87574a7f03075942856d057?cid=7596a347c632409f9829d4c3cb9fa3c7,folk,0.733,0.324,5,-8.122,1,0.033,0.479,0.0,0.067,0.388,141.8,https://api.spotify.com/v1/audio-analysis/42UaitnwvuKqNcD5Oa2HlD,199391
1SV1fxF65n9NhRHp3KlBuu,https://p.scdn.co/mp3-preview/d3650986433f8e51b4d45979710882d2871e3068?cid=7596a347c632409f9829d4c3cb9fa3c7,folk,0.774,0.511,11,-8.914,1,0.0319,0.322,0.0,0.0672,0.771,94.736,https://api.spotify.com/v1/audio-analysis/1SV1fxF65n9NhRHp3KlBuu,227653
3WGsYiBXmaT8XyY4Fmry2v,https://p.scdn.co/mp3-preview/6a1229113c568b57c6de3b9c50ddd2d811e33481?cid=7596a347c632409f9829d4c3cb9fa3c7,folk,0.762,0.387,10,-8.643,0,0.0277,0.239,0.00756,0.13,0.274,109.959,https://api.spotify.com/v1/audio-analysis/3WGsYiBXmaT8XyY4Fmry2v,239147
1bp2IO61zbQrbWNmKKxg3f,https://p.scdn.co/mp3-preview/e278e1a961e9b7d96878e81201f72eab79e7d80b?cid=7596a347c632409f9829d4c3cb9fa3c7,folk,0.596,0.448,5,-9.616,1,0.0396,0.365,5.3e-06,0.206,0.796,83.293,https://api.spotify.com/v1/audio-analysis/1bp2IO61zbQrbWNmKKxg3f,264504
