id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
4tDUIRZU50xaP0uRAGklqy,https://p.scdn.co/mp3-preview/eb53cf432690d5dc36e0023ad9c8fb9f7fed0b94?cid=7596a347c632409f9829d4c3cb9fa3c7,forro,0.762,0.94,11,-1.789,0,0.0448,0.212,0.00287,0.0699,0.762,98.065,https://api.spotify.com/v1/audio-analysis/4tDUIRZU50xaP0uRAGklqy,142734
4JCNKUDiJi9GOKjfur6R9S,https://p.scdn.co/mp3-preview/0ef239f59a043c702683b1257bc600fd52d836ba?cid=7596a347c632409f9829d4c3cb9fa3c7,forro,0.656,0.713,11,-4.741,1,0.0341,0.271,0.0,0.12,0.88,96.009,https://api.spotify.com/v1/audio-analysis/4JCNKUDiJi9GOKjfur6R9S,136305
6qPCDdlx08sKOnlLKZW6h0,https://p.scdn.co/mp3-preview/9b3406fb8d0de1fc2ae8d0f54324bd9e4b3836b3?cid=7596a347c632409f9829d4c3cb9fa3c7,forro,0.485,0.91,9,-0.487,0,0.0573,0.545,0.0,0.154,0.716,75.846,https://api.spotify.com/v1/audio-analysis/6qPCDdlx08sKOnlLKZW6h0,139627
1Rby7OMxoNWSlYW41yLwvP,https://p.scdn.co/mp3-preview/1c636d7e36be7c3337e8710a8d620ba15271afba?cid=7596a347c632409f9829d4c3cb9fa3c7,forro,0.657,0.873,6,-6.956,0,0.104,0.434,0.0,0.122,0.798,150.951,https://api.spotify.com/v1/audio-analysis/1Rby7OMxoNWSlYW41yLwvP,170553
2qmG7dokbGpDGD0T5wORWt,https://p.scdn.co/mp3-preview/88b31b92e4da61747a1e7608d79d331eea0b9037?cid=7596a347c632409f9829d4c3cb9fa3c7,forro,0.764,0.796,6,-4.611,0,0.033,0.193,0.0,0.0853,0.924,140.072,https://api.spotify.com/v1/audio-analysis/2qmG7dokbGpDGD0T5wORWt,166436
74Le949TrZk4zwDjtWzH23,https://p.scdn.co/mp3-preview/1069b6ff33d96735ab7b7f1308055a5672e52726?cid=7596a347c632409f9829d4c3cb9fa3c7,forro,0.728,0.707,7,-4.289,1,0.0328,0.332,0.0,0.462,0.657,126.973,https://api.spotify.com/v1/audio-analysis/74Le949TrZk4zwDjtWzH23,164029
57rCopayc4wJL7jQZaRvtn,https://p.scdn.co/mp3-preview/0cb33f40a31b04021e3a635176d1175ae1b85752?cid=7596a347c632409f9829d4c3cb9fa3c7,forro,0.701,0.89,6,-3.031,1,0.0314,0.516,5.48e-06,0.0656,0.978,104.039,https://api.spotify.com/v1/audio-analysis/57rCopayc4wJL7jQZaRvtn,166931
2kBbHpJTc7MWs8F3XhClBD,https://p.scdn.co/mp3-preview/c086106e7e4b80819897c9564b6754b2d2ad07c1?cid=7596a347c632409f9829d4c3cb9fa3c7,forro,0.857,0.772,9,-2.418,1,0.0345,0.245,0.0,0.118,0.886,128.0,https://api.spotify.com/v1/audio-analysis/2kBbHpJTc7MWs8F3XhClBD,202412
25rz3D4oroFC0GXm3xFXnG,https://p.scdn.co/mp3-preview/9662d118f30edcbc4ce88fa44f9e3c2fc043ac47?cid=7596a347c632409f9829d4c3cb9fa3c7,forro,0.839,0.771,7,-4.673,1,0.114,0.591,0.0,0.0582,0.809,125.96,https://api.spotify.com/v1/audio-analysis/25rz3D4oroFC0GXm3xFXnG,202563
4NWqFtTU1wnvlsU7XjeIGM,https://p.scdn.co/mp3-preview/f6e84474a10cd676a8c684ff999f3463aff8d12f?cid=7596a347c632409f9829d4c3cb9fa3c7,forro,0.685,0.953,7,-1.945,1,0.0399,0.313,0.0177,0.0952,0.73,93.033,https://api.spotify.com/v1/audio-analysis/4NWqFtTU1wnvlsU7XjeIGM,112518
0efaXmYra0ajRvgp1iyDH3,https://p.scdn.co/mp3-preview/344493b54c5f0799bbc93a529d7fa29fec6372ed?cid=7596a347c632409f9829d4c3cb9fa3c7,forro,0.701,0.961,8,-1.605,0,0.0486,0.297,0.0,0.184,0.936,160.006,https://api.spotify.com/v1/audio-analysis/0efaXmYra0ajRvgp1iyDH3,146150
