id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
2qOm7ukLyHUXWyR4ZWLwxA,https://p.scdn.co/mp3-preview/12a2160594c42ee772bbdc6c1584a4162245336f?cid=7596a347c632409f9829d4c3cb9fa3c7,funk,0.798,0.744,7,-5.328,0,0.136,0.33,0.000106,0.292,0.794,82.356,https://api.spotify.com/v1/audio-analysis/2qOm7ukLyHUXWyR4ZWLwxA,260000
7tqhbajSfrz2F7E1Z75ASX,https://p.scdn.co/mp3-preview/e0f5ec35068042e92e0a14a1540bb5b1eeb3e949?cid=7596a347c632409f9829d4c3cb9fa3c7,funk,0.663,0.6,7,-10.87,1,0.032,0.43,0.0,0.184,0.8,129.991,https://api.spotify.com/v1/audio-analysis/7tqhbajSfrz2F7E1Z75ASX,151667
1DIXPcTDzTj8ZMHt3PDt8p,https://p.scdn.co/mp3-preview/4a12219c6b235ec71c26b8173c603e54d86f5d30?cid=7596a347c632409f9829d4c3cb9fa3c7,funk,0.647,0.514,8,-10.05,1,0.0593,0.0655,0.0,0.398,0.386,79.975,https://api.spotify.com/v1/audio-analysis/1DIXPcTDzTj8ZMHt3PDt8p,240693
5cZqsjVs6MevCnAkasbEOX,https://p.scdn.co/mp3-preview/420d37c8099cd84892d30cac546325cb5c7f5d29?cid=7596a347c632409f9829d4c3cb9fa3c7,funk,0.432,0.884,8,-6.659,1,0.13,0.0127,0.000527,0.166,0.624,108.948,https://api.spotify.com/v1/audio-analysis/5cZqsjVs6MevCnAkasbEOX,166707
0Z2J91b2iTGLVTZC4fKgxf,https://p.scdn.co/mp3-preview/ba1d44cf4d924a77058a31b9857be991aca3c252?cid=7596a347c632409f9829d4c3cb9fa3c7,funk,0.916,0.844,7,-3.967,1,0.236,0.0394,0.0,0.0778,0.586,95.19,https://api.spotify.com/v1/audio-analysis/0Z2J91b2iTGLVTZC4fKgxf,312627
503OTo2dSqe7qk76rgsbep,https://p.scdn.co/mp3-preview/c05957e27eb7eb6a1d776c03bdbdf73e515c3b73?cid=7596a347c632409f9829d4c3cb9fa3c7,funk,0.816,0.775,11,-3.323,1,0.234,0.16,0.00031,0.0543,0.527,93.431,https://api.spotify.com/v1/audio-analysis/503OTo2dSqe7qk76rgsbep,270587
745H5CctFr12Mo7cqa1BMH,https://p.scdn.co/mp3-preview/f80e6c548f50e96f0a6bd66cc4ed7b571503bf50?cid=7596a347c632409f9829d4c3cb9fa3c7,funk,0.572,0.418,0,-10.738,1,0.0349,0.635,0.0,0.0961,0.694,104.566,https://api.spotify.com/v1/audio-analysis/745H5CctFr12Mo7cqa1BMH,165000
7iXF2W9vKmDoGAhlHdpyIa,https://p.scdn.co/mp3-preview/2b5a7c8fcc69914a760bda3e75d4fcad060187d6?cid=7596a347c632409f9829d4c3cb9fa3c7,funk,0.924,0.74,8,-1.299,1,0.0774,0.0827,0.0,0.163,0.621,133.974,https://api.spotify.com/v1/audio-analysis/7iXF2W9vKmDoGAhlHdpyIa,222293
3o7TMr6RmIusYH7Kkg7ujR,https://p.scdn.co/mp3-preview/f7e4fd50e1825465ff1956b71d79ae80b20f8eec?cid=7596a347c632409f9829d4c3cb9fa3c7,funk,0.687,0.677,2,-4.172,1,0.0508,0.000643,0.000137,0.0564,0.545,75.052,https://api.spotify.com/v1/audio-analysis/3o7TMr6RmIusYH7Kkg7ujR,199773
4LwU4Vp6od3Sb08CsP99GC,https://p.scdn.co/mp3-preview/fe8c4b9c585b2fa05c35957c7212306992c5920a?cid=7596a347c632409f9829d4c3cb9fa3c7,funk,0.922,0.909,10,-2.429,0,0.27,0.0281,0.0,0.0856,0.309,95.295,https://api.spotify.com/v1/audio-analysis/4LwU4Vp6od3Sb08CsP99GC,161507
