id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
58ge6dfP91o9oXMzq3XkIS,https://p.scdn.co/mp3-preview/9ccb54cbd50063afac9eb33547db04eeddad3f4e?cid=7596a347c632409f9829d4c3cb9fa3c7,garage,0.52,0.852,0,-5.866,1,0.0543,0.00237,5.79e-05,0.0733,0.234,140.267,https://api.spotify.com/v1/audio-analysis/58ge6dfP91o9oXMzq3XkIS,253587
5XeFesFbtLpXzIVDNQP22n,https://p.scdn.co/mp3-preview/ba9a198ddcba9b768b384fd8d019110a4d9f4250?cid=7596a347c632409f9829d4c3cb9fa3c7,garage,0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528,https://api.spotify.com/v1/audio-analysis/5XeFesFbtLpXzIVDNQP22n,183956
11iIikXxC6NP0Ma8vMD27x,https://p.scdn.co/mp3-preview/0e559acb220dc43b1db84bc153cc006e20a5eda2?cid=7596a347c632409f9829d4c3cb9fa3c7,garage,0.467,0.757,3,-5.093,1,0.033,0.0807,0.908,0.0876,0.433,82.282,https://api.spotify.com/v1/audio-analysis/11iIikXxC6NP0Ma8vMD27x,155933
086myS9r57YsLbJpU0TgK9,https://p.scdn.co/mp3-preview/755002f36a294e3e29220e9dcd4e8ac8ebde3439?cid=7596a347c632409f9829d4c3cb9fa3c7,garage,0.691,0.631,2,-6.478,1,0.0368,0.0483,1.13e-05,0.104,0.8,92.004,https://api.spotify.com/v1/audio-analysis/086myS9r57YsLbJpU0TgK9,161124
5FVd6KXrgO9B3JPmC8OPst,https://p.scdn.co/mp3-preview/f4f6a71498864f4eb68628f55988099798963877?cid=7596a347c632409f9829d4c3cb9fa3c7,garage,0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03,https://api.spotify.com/v1/audio-analysis/5FVd6KXrgO9B3JPmC8OPst,272394
3jfZ9M23l0L7RxzYMTgBTv,https://p.scdn.co/mp3-preview/88b663114eaf3b8392ac3e84c37efa7518edc633?cid=7596a347c632409f9829d4c3cb9fa3c7,garage,0.682,0.9,9,-5.028,1,0.0874,0.0884,0.063,0.0685,0.937,100.721,https://api.spotify.com/v1/audio-analysis/3jfZ9M23l0L7RxzYMTgBTv,179499
2AT8iROs4FQueDv2c8q2KE,https://p.scdn.co/mp3-preview/7f3b2fef0dec1392a97d0bd4276b03d63a305e4c?cid=7596a347c632409f9829d4c3cb9fa3c7,garage,0.288,0.758,6,-5.692,0,0.0371,0.00616,0.0,0.303,0.619,97.094,https://api.spotify.com/v1/audio-analysis/2AT8iROs4FQueDv2c8q2KE,201726
7DcJ6fEBb7BaKuYKTwiDxK,https://p.scdn.co/mp3-preview/4bd3f8224aa33d4ab347be954cade611ec24ab1b?cid=7596a347c632409f9829d4c3cb9fa3c7,garage,0.546,0.465,5,-8.167,1,0.0287,0.153,0.00259,0.321,0.415,73.369,https://api.spotify.com/v1/audio-analysis/7DcJ6fEBb7BaKuYKTwiDxK,177493
7e8utCy2JlSB8dRHKi49xM,https://p.scdn.co/mp3-preview/83b699f7f9d8808079245967ad2e7f71c176ba2b?cid=7596a347c632409f9829d4c3cb9fa3c7,garage,0.646,0.813,6,-5.29,0,0.0288,0.00178,2.26e-05,0.144,0.821,112.115,https://api.spotify.com/v1/audio-analysis/7e8utCy2JlSB8dRHKi49xM,173493
0NdTUS4UiNYCNn5FgVqKQY,https://p.scdn.co/mp3-preview/6cad0ab9f8e702e382ab47a46a33ae73f7bae437?cid=7596a347c632409f9829d4c3cb9fa3c7,garage,0.728,0.638,5,-6.455,0,0.0336,0.249,0.0,0.116,0.872,130.014,https://api.spotify.com/v1/audio-analysis/0NdTUS4UiNYCNn5FgVqKQY,193030
4GuZMzKXJSoWhwHUqRa0fm,https://p.scdn.co/mp3-preview/911a269ed6034553a8a427de5fba723e81083f11?cid=7596a347c632409f9829d4c3cb9fa3c7,garage,0.423,0.332,6,-10.761,1,0.0288,0.474,0.0,0.0993,0.5,93.958,https://api.spotify.com/v1/audio-analysis/4GuZMzKXJSoWhwHUqRa0fm,127973
0R3TWpoxAhT3HDXM7tpRzS,https://p.scdn.co/mp3-preview/ad88c0ef62aa650f1b53d7adb5d5bf15bbebff91?cid=7596a347c632409f9829d4c3cb9fa3c7,garage,0.665,0.351,2,-9.424,1,0.0276,0.516,0.819,0.109,0.451,87.057,https://api.spotify.com/v1/audio-analysis/0R3TWpoxAhT3HDXM7tpRzS,126120
7nzsY8vlnKdvGOEE0rjAXZ,https://p.scdn.co/mp3-preview/46c3bc8e2a07713025fd736a70f500aa6ff93b63?cid=7596a347c632409f9829d4c3cb9fa3c7,garage,0.579,0.558,2,-6.986,1,0.0895,0.0202,1.26e-06,0.212,0.506,179.949,https://api.spotify.com/v1/audio-analysis/7nzsY8vlnKdvGOEE0rjAXZ,207357
2LGdO5MtFdyphi2EihANZG,https://p.scdn.co/mp3-preview/6d9453bf8d2d5067ceabf99c8e6d82500848c043?cid=7596a347c632409f9829d4c3cb9fa3c7,garage,0.665,0.542,11,-8.323,0,0.033,0.123,0.00291,0.342,0.587,97.975,https://api.spotify.com/v1/audio-analysis/2LGdO5MtFdyphi2EihANZG,257563
0R6sz2EUOMSM3qaZHEpG63,https://p.scdn.co/mp3-preview/a58aa40872f11c9cd75c87c1e867ad0a95e07051?cid=7596a347c632409f9829d4c3cb9fa3c7,garage,0.514,0.693,6,-5.562,0,0.0263,0.0551,0.824,0.195,0.771,89.984,https://api.spotify.com/v1/audio-analysis/0R6sz2EUOMSM3qaZHEpG63,68000
3GahMRXI3rL2JVeSLZBRnF,https://p.scdn.co/mp3-preview/1cf3c1f590d9710982707ef00ea1ef0b4d01b3c4?cid=7596a347c632409f9829d4c3cb9fa3c7,garage,0.535,0.209,6,-16.402,1,0.0257,0.668,0.14,0.129,0.515,137.889,https://api.spotify.com/v1/audio-analysis/3GahMRXI3rL2JVeSLZBRnF,136033
3koAwrM1RO0TGMeQJ3qt9J,https://p.scdn.co/mp3-preview/c50a84092459ee6cae78f713bbf039390bcf1474?cid=7596a347c632409f9829d4c3cb9fa3c7,garage,0.624,0.596,4,-9.804,1,0.0314,0.475,0.203,0.119,0.896,120.969,https://api.spotify.com/v1/audio-analysis/3koAwrM1RO0TGMeQJ3qt9J,89509
7ISL3LO8AWP3fKIXunvqTa,https://p.scdn.co/mp3-preview/fade753a4386170c70710e4df80404d8612a9b00?cid=7596a347c632409f9829d4c3cb9fa3c7,garage,0.264,0.78,0,-2.741,1,0.0517,0.0452,0.0222,0.376,0.456,155.376,https://api.spotify.com/v1/audio-analysis/7ISL3LO8AWP3fKIXunvqTa,280467
41o2ydrj7Xm9Yt5odIBqq4,https://p.scdn.co/mp3-preview/b16774b102bcaaaf2979b8ed5152495bdda6af6e?cid=7596a347c632409f9829d4c3cb9fa3c7,garage,0.67,0.419,6,-10.523,0,0.0751,0.75,0.135,0.0976,0.513,77.919,https://api.spotify.com/v1/audio-analysis/41o2ydrj7Xm9Yt5odIBqq4,141587
3ItzRpwvKtkDSNdRSjXu7Z,https://p.scdn.co/mp3-preview/e3b73f7a13b674fe3cb5a2110579723fab9fc143?cid=7596a347c632409f9829d4c3cb9fa3c7,garage,0.512,0.817,7,-3.154,1,0.142,0.0505,0.0,0.0775,0.552,154.607,https://api.spotify.com/v1/audio-analysis/3ItzRpwvKtkDSNdRSjXu7Z,215173
2KvbRojbZGMsWr1Nuj5n2f,https://p.scdn.co/mp3-preview/8c7f689b166c9636c71b95a11b58729d16d89fe1?cid=7596a347c632409f9829d4c3cb9fa3c7,garage,0.587,0.565,7,-9.249,1,0.0265,0.731,0.341,0.169,0.508,92.604,https://api.spotify.com/v1/audio-analysis/2KvbRojbZGMsWr1Nuj5n2f,147093
0hDQV9X1Da5JrwhK8gu86p,https://p.scdn.co/mp3-preview/64077fbcfb0db89aee4f7cf46c432de577ab3a37?cid=7596a347c632409f9829d4c3cb9fa3c7,garage,0.502,0.941,7,-5.194,1,0.0716,0.000346,0.319,0.553,0.124,119.783,https://api.spotify.com/v1/audio-analysis/0hDQV9X1Da5JrwhK8gu86p,219987
6xxXrNJnnsQNLdgNk8S4y8,https://p.scdn.co/mp3-preview/ff2b5a33cc14a767391fc585f29160915d25cc89?cid=7596a347c632409f9829d4c3cb9fa3c7,garage,0.451,0.929,5,-5.021,1,0.0549,0.00109,0.00785,0.442,0.378,135.767,https://api.spotify.com/v1/audio-analysis/6xxXrNJnnsQNLdgNk8S4y8,199760
54YY9VsZn8sbwXht0VAKZB,https://p.scdn.co/mp3-preview/08b54654c221e0578fb08cb911e487d8becdd290?cid=7596a347c632409f9829d4c3cb9fa3c7,garage,0.617,0.576,0,-8.009,1,0.0286,0.00661,0.0,0.153,0.825,113.965,https://api.spotify.com/v1/audio-analysis/54YY9VsZn8sbwXht0VAKZB,171400
0ZRrJTPXDToRJ2iLo9oLrW,https://p.scdn.co/mp3-preview/34a006dd40227cdb10e39be82d9372a8d0b3e662?cid=7596a347c632409f9829d4c3cb9fa3c7,garage,0.348,0.875,11,-4.758,0,0.199,0.0341,0.0,0.117,0.407,169.152,https://api.spotify.com/v1/audio-analysis/0ZRrJTPXDToRJ2iLo9oLrW,202133
7kyiHjkFdmHcYcIJtFAdaF,https://p.scdn.co/mp3-preview/a21f25fa516932af2c2c92990f1a1e3dc1fe721b?cid=7596a347c632409f9829d4c3cb9fa3c7,garage,0.445,0.591,7,-9.004,0,0.0316,0.319,0.766,0.107,0.0774,137.864,https://api.spotify.com/v1/audio-analysis/7kyiHjkFdmHcYcIJtFAdaF,216038
4OkPamOn5GofkOQu64Z4eR,https://p.scdn.co/mp3-preview/dbae0bbfc39c3552ccb0fddf075ebb56ce20a932?cid=7596a347c632409f9829d4c3cb9fa3c7,garage,0.637,0.973,9,-3.386,1,0.112,0.000413,2.23e-05,0.104,0.8,150.223,https://api.spotify.com/v1/audio-analysis/4OkPamOn5GofkOQu64Z4eR,160640
6uuBSo3wXnosEWVXRzZDTf,https://p.scdn.co/mp3-preview/784b1d35750867bd0a5eb9f7a13172322f255330?cid=7596a347c632409f9829d4c3cb9fa3c7,garage,0.557,0.672,2,-10.802,1,0.104,0.478,0.803,0.223,0.324,75.108,https://api.spotify.com/v1/audio-analysis/6uuBSo3wXnosEWVXRzZDTf,180800
0iA3xXSkSCiJywKyo1UKjQ,https://p.scdn.co/mp3-preview/af6188a98c21764e63349cb7d4d43867c46d08c8?cid=7596a347c632409f9829d4c3cb9fa3c7,garage,0.623,0.709,1,-9.818,0,0.0636,0.102,0.0,0.0967,0.948,122.394,https://api.spotify.com/v1/audio-analysis/0iA3xXSkSCiJywKyo1UKjQ,165381
