id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
6vECYJHxYmm3Ydt3fF01pE,https://p.scdn.co/mp3-preview/ad0a39d121c1714bbef21277713757c2e3d4229a?cid=7596a347c632409f9829d4c3cb9fa3c7,german,0.885,0.581,11,-8.813,1,0.0378,0.427,0.000204,0.0759,0.728,114.016,https://api.spotify.com/v1/audio-analysis/6vECYJHxYmm3Ydt3fF01pE,313684
58XWGx7KNNkKneHdprcprX,https://p.scdn.co/mp3-preview/e40d711e9bcbe27e88ab209cf237356136aae2f8?cid=7596a347c632409f9829d4c3cb9fa3c7,german,0.482,0.617,4,-12.931,0,0.0458,0.00543,0.000146,0.284,0.718,125.697,https://api.spotify.com/v1/audio-analysis/58XWGx7KNNkKneHdprcprX,252493
50Td3qilgs8BLtv8mHyT1t,https://p.scdn.co/mp3-preview/9b11c97c0c04502096c023e57bb3fec13441f3e8?cid=7596a347c632409f9829d4c3cb9fa3c7,german,0.599,0.465,4,-4.95,1,0.0314,0.643,1.57e-06,0.149,0.0678,113.82,https://api.spotify.com/v1/audio-analysis/50Td3qilgs8BLtv8mHyT1t,230880
0oA9wBGDY4uyILLg4GymWP,https://p.scdn.co/mp3-preview/68354dc4934ade91f6b2b3f879bfa83741d96b64?cid=7596a347c632409f9829d4c3cb9fa3c7,german,0.68,0.428,6,-8.107,0,0.135,0.376,0.000344,0.355,0.334,98.222,https://api.spotify.com/v1/audio-analysis/0oA9wBGDY4uyILLg4GymWP,269333
5YJtMNWKe55yr49cyJgxva,https://p.scdn.co/mp3-preview/1d94a00a6335890821de30d8440225a007055653?cid=7596a347c632409f9829d4c3cb9fa3c7,german,0.633,0.976,8,-5.362,1,0.0519,0.00281,1.29e-05,0.382,0.493,142.027,https://api.spotify.com/v1/audio-analysis/5YJtMNWKe55yr49cyJgxva,197124
26fZwf1ImE4aUJ4XaqOkUg,https://p.scdn.co/mp3-preview/5e098a47ac9ad4c2fdccbecf9e456e5e9c685e6b?cid=7596a347c632409f9829d4c3cb9fa3c7,german,0.505,0.631,9,-10.433,0,0.038,0.0203,2.21e-05,0.141,0.835,118.178,https://api.spotify.com/v1/audio-analysis/26fZwf1ImE4aUJ4XaqOkUg,237467
4w3R0GZ2rScJMKlgPJzHRq,https://p.scdn.co/mp3-preview/38bf5a69d94f4e613fbef3d04213b4f499d55536?cid=7596a347c632409f9829d4c3cb9fa3c7,german,0.51,0.917,4,-4.806,0,0.0854,0.0054,0.000133,0.396,0.313,75.098,https://api.spotify.com/v1/audio-analysis/4w3R0GZ2rScJMKlgPJzHRq,272440
3ovjw5HZZv43SxTwApooCM,https://p.scdn.co/mp3-preview/0afcaf9c6c72c69e56e348062d974115e23cf5ad?cid=7596a347c632409f9829d4c3cb9fa3c7,german,0.452,0.524,0,-10.108,1,0.0351,0.315,0.0,0.103,0.246,151.505,https://api.spotify.com/v1/audio-analysis/3ovjw5HZZv43SxTwApooCM,312360
6pWgRkpqVfxnj3WuIcJ7WP,https://p.scdn.co/mp3-preview/bdc676ca7eae19f7b501f9654c589dbfb3972a9d?cid=7596a347c632409f9829d4c3cb9fa3c7,german,0.18,0.226,9,-16.457,0,0.042,0.951,0.982,0.0998,0.048,94.079,https://api.spotify.com/v1/audio-analysis/6pWgRkpqVfxnj3WuIcJ7WP,126960
6uEvFCaOqXyEidoO8BZbyh,https://p.scdn.co/mp3-preview/0702d59762780bdc4e90a98541dc90f437304877?cid=7596a347c632409f9829d4c3cb9fa3c7,german,0.64,0.922,9,-6.283,0,0.0385,0.00369,0.055,0.332,0.716,125.105,https://api.spotify.com/v1/audio-analysis/6uEvFCaOqXyEidoO8BZbyh,234227
4ZhPLoMzZwewHLLjV1J15c,https://p.scdn.co/mp3-preview/48d9b3a0065b3a8b3c734e791730e5adce316c44?cid=7596a347c632409f9829d4c3cb9fa3c7,german,0.575,0.555,4,-7.495,1,0.0453,0.103,1.3e-06,0.111,0.504,95.361,https://api.spotify.com/v1/audio-analysis/4ZhPLoMzZwewHLLjV1J15c,232467
5YaskwnGDZFDRipaqzbwQx,https://p.scdn.co/mp3-preview/e2f6c4d2fe4fb7ed4a200810ddeed8a9a8dad48b?cid=7596a347c632409f9829d4c3cb9fa3c7,german,0.669,0.784,7,-5.603,1,0.112,0.194,6.28e-06,0.115,0.517,125.993,https://api.spotify.com/v1/audio-analysis/5YaskwnGDZFDRipaqzbwQx,150053
0aIW3ekrhK1eh3BYCh11op,https://p.scdn.co/mp3-preview/2b1fce573e1e0a3b75dbc063ae41de348f4bcef2?cid=7596a347c632409f9829d4c3cb9fa3c7,german,0.543,0.333,7,-9.355,0,0.0272,0.824,3.87e-06,0.168,0.261,109.789,https://api.spotify.com/v1/audio-analysis/0aIW3ekrhK1eh3BYCh11op,198573
0xWgMkTVfwKmdL1JOohYtR,https://p.scdn.co/mp3-preview/3645d9f12a4ae0613515437f9537980af24dea9e?cid=7596a347c632409f9829d4c3cb9fa3c7,german,0.57,0.672,8,-5.888,0,0.0716,0.172,1.04e-06,0.0768,0.461,120.018,https://api.spotify.com/v1/audio-analysis/0xWgMkTVfwKmdL1JOohYtR,208222
5mpLcXEsk3jjzLFGuNKk5I,https://p.scdn.co/mp3-preview/db5d4a23889aadaa76657c8e6df7800b0abd0397?cid=7596a347c632409f9829d4c3cb9fa3c7,german,0.839,0.84,11,-8.721,1,0.0474,0.389,0.0319,0.114,0.904,117.98,https://api.spotify.com/v1/audio-analysis/5mpLcXEsk3jjzLFGuNKk5I,262000
1pGxSl5VmzBtejKSmuAKKU,https://p.scdn.co/mp3-preview/89f9e126e94c3704c7a11987adc18790c59006ac?cid=7596a347c632409f9829d4c3cb9fa3c7,german,0.761,0.41,2,-10.149,1,0.201,0.0207,1.14e-06,0.135,0.28,77.498,https://api.spotify.com/v1/audio-analysis/1pGxSl5VmzBtejKSmuAKKU,150594
6ZFbXIJkuI1dVNWvzJzown,https://p.scdn.co/mp3-preview/869e1c6f479c49a3e7be6d096eeb173bede13801?cid=7596a347c632409f9829d4c3cb9fa3c7,german,0.286,0.0968,7,-16.806,1,0.0323,0.178,0.696,0.0861,0.0395,62.881,https://api.spotify.com/v1/audio-analysis/6ZFbXIJkuI1dVNWvzJzown,275556
2wPl0DdkuSWvvxiUIumqGA,https://p.scdn.co/mp3-preview/fd439b460d341db6c304e92edd78265e8aa66796?cid=7596a347c632409f9829d4c3cb9fa3c7,german,0.0978,0.223,7,-15.884,0,0.0344,0.53,0.965,0.107,0.04,88.799,https://api.spotify.com/v1/audio-analysis/2wPl0DdkuSWvvxiUIumqGA,247400
