id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
3xx0jE52PbtvwXgNaBUdch,https://p.scdn.co/mp3-preview/310fc81e7f2425df19da4d8c89629288e3223933?cid=7596a347c632409f9829d4c3cb9fa3c7,gospel,0.647,0.482,5,-8.591,1,0.0262,0.29,0.0,0.232,0.437,142.648,https://api.spotify.com/v1/audio-analysis/3xx0jE52PbtvwXgNaBUdch,219080
5FIp4LrsffxiHLhmmpCbCx,https://p.scdn.co/mp3-preview/0ff11707b697681427b51005e85c856da4d43c4b?cid=7596a347c632409f9829d4c3cb9fa3c7,gospel,0.536,0.65,2,-5.603,1,0.0337,0.282,1.16e-06,0.0876,0.288,147.93,https://api.spotify.com/v1/audio-analysis/5FIp4LrsffxiHLhmmpCbCx,301987
1S4fpfX2u0hzFD9vb6FEB6,https://p.scdn.co/mp3-preview/18b6ac6ec93464dda88f05d4c9decf3355d221e4?cid=7596a347c632409f9829d4c3cb9fa3c7,gospel,0.523,0.501,1,-9.276,1,0.0366,0.459,0.0,0.0818,0.391,158.179,https://api.spotify.com/v1/audio-analysis/1S4fpfX2u0hzFD9vb6FEB6,201267
6QUEB3DDAD7oJhbIZF2v4Y,https://p.scdn.co/mp3-preview/bee1c777ce19d94d24aec5d0398d09a44311e6d1?cid=7596a347c632409f9829d4c3cb9fa3c7,gospel,0.615,0.347,9,-9.596,1,0.0259,0.182,0.0,0.125,0.273,78.994,https://api.spotify.com/v1/audio-analysis/6QUEB3DDAD7oJhbIZF2v4Y,219507
6vXOAkNQQ1KLmnC7vGYA0c,https://p.scdn.co/mp3-preview/63a669428d527e9be528c2a2053902d8837093a0?cid=7596a347c632409f9829d4c3cb9fa3c7,gospel,0.49,0.383,8,-6.072,1,0.0316,0.657,0.0,0.172,0.212,126.272,https://api.spotify.com/v1/audio-analysis/6vXOAkNQQ1KLmnC7vGYA0c,297693
5MkOctZG8LI9uHzpY7ncWj,https://p.scdn.co/mp3-preview/f25538b39e2f8756441ea51cd8f93e8110c08cec?cid=7596a347c632409f9829d4c3cb9fa3c7,gospel,0.657,0.415,5,-9.915,1,0.025,0.175,5.65e-06,0.132,0.347,96.03,https://api.spotify.com/v1/audio-analysis/5MkOctZG8LI9uHzpY7ncWj,186347
0UQDSP8cz6WmLJckO5jqUQ,https://p.scdn.co/mp3-preview/1523d597ed58719e46b8985f6134c02ed18d1513?cid=7596a347c632409f9829d4c3cb9fa3c7,gospel,0.745,0.753,1,-2.408,1,0.164,0.223,0.0,0.705,0.589,144.057,https://api.spotify.com/v1/audio-analysis/0UQDSP8cz6WmLJckO5jqUQ,307973
4KM77RUl2IKdXGhtOBbKIS,https://p.scdn.co/mp3-preview/81ee1832d81aa64131bc836079237b14db3054b9?cid=7596a347c632409f9829d4c3cb9fa3c7,gospel,0.667,0.25,11,-18.533,1,0.217,0.757,0.0,0.25,0.412,144.145,https://api.spotify.com/v1/audio-analysis/4KM77RUl2IKdXGhtOBbKIS,155902
5Vr9WTLcbpKRkQGvVen13W,https://p.scdn.co/mp3-preview/4dc30682dde54901ee19aab535348d319cb398ee?cid=7596a347c632409f9829d4c3cb9fa3c7,gospel,0.629,0.624,9,-4.975,0,0.0745,0.12,0.0,0.203,0.73,140.042,https://api.spotify.com/v1/audio-analysis/5Vr9WTLcbpKRkQGvVen13W,209062
4rQSLX4qMiUWL81hEQOuPY,https://p.scdn.co/mp3-preview/36e0c7b6d0ecddc07461be74ce65887fdf01c58d?cid=7596a347c632409f9829d4c3cb9fa3c7,gospel,0.701,0.68,2,-8.492,1,0.0264,0.303,1.51e-05,0.159,0.704,90.607,https://api.spotify.com/v1/audio-analysis/4rQSLX4qMiUWL81hEQOuPY,212587
3QdBvvYJ9k1CES1e9aYvaA,https://p.scdn.co/mp3-preview/69022ea80cd7c1099b5ce6f4ef2f46d0e9295c89?cid=7596a347c632409f9829d4c3cb9fa3c7,gospel,0.338,0.559,0,-7.053,1,0.118,0.252,0.0,0.38,0.276,168.489,https://api.spotify.com/v1/audio-analysis/3QdBvvYJ9k1CES1e9aYvaA,415133
0tlJgLE8ddOq2L2k6YBc2y,https://p.scdn.co/mp3-preview/8a164fd6b7be1808b5571adc5d9bcc380f27550f?cid=7596a347c632409f9829d4c3cb9fa3c7,gospel,0.275,0.643,7,-6.231,1,0.0379,0.0623,0.0,0.103,0.172,157.167,https://api.spotify.com/v1/audio-analysis/0tlJgLE8ddOq2L2k6YBc2y,338194
09ZvDOJkKi76sig28txpQn,https://p.scdn.co/mp3-preview/43f563185074ce1094190d653a5336f0ae31239b?cid=7596a347c632409f9829d4c3cb9fa3c7,gospel,0.264,0.762,10,-4.355,1,0.0771,0.313,0.0,0.737,0.515,150.535,https://api.spotify.com/v1/audio-analysis/09ZvDOJkKi76sig28txpQn,426734
7JKEA8xYDoFp4q0QBW2PGg,https://p.scdn.co/mp3-preview/faefb23c26d9ed3377bfe9f8fcb7cf1339acbe6d?cid=7596a347c632409f9829d4c3cb9fa3c7,gospel,0.779,0.834,7,-2.773,1,0.162,0.0343,0.0,0.0886,0.8,100.46,https://api.spotify.com/v1/audio-analysis/7JKEA8xYDoFp4q0QBW2PGg,198347
0Dlm41iXvTsIVsEOce3yX6,https://p.scdn.co/mp3-preview/0547722785ea1db2349423852e896ead65270373?cid=7596a347c632409f9829d4c3cb9fa3c7,gospel,0.293,0.46,7,-6.992,1,0.0335,0.14,0.0,0.0779,0.191,97.635,https://api.spotify.com/v1/audio-analysis/0Dlm41iXvTsIVsEOce3yX6,480547
2tgk4RT1YiWKiuWMmDLhf3,https://p.scdn.co/mp3-preview/09f5eaf80477aa222d1e75d7875f5c72758f232c?cid=7596a347c632409f9829d4c3cb9fa3c7,gospel,0.625,0.864,1,-5.314,1,0.0671,0.272,0.0,0.245,0.792,80.023,https://api.spotify.com/v1/audio-analysis/2tgk4RT1YiWKiuWMmDLhf3,196831
208coS3K4leplVIBvrY6Pu,https://p.scdn.co/mp3-preview/20c76adbdf0ef749399c1f8d7b51f5d5f979425f?cid=7596a347c632409f9829d4c3cb9fa3c7,gospel,0.66,0.946,1,-5.013,0,0.0894,0.0818,0.0,0.0767,0.745,94.784,https://api.spotify.com/v1/audio-analysis/208coS3K4leplVIBvrY6Pu,261613
4OK1XrubP6GJs4f6czk8Jg,https://p.scdn.co/mp3-preview/eed703d8d66a549f0a643c23a4bd6469061c803c?cid=7596a347c632409f9829d4c3cb9fa3c7,gospel,0.241,0.445,8,-10.443,1,0.0386,0.694,0.0,0.0842,0.205,78.448,https://api.spotify.com/v1/audio-analysis/4OK1XrubP6GJs4f6czk8Jg,306533
44q2DhInsQYJ8X1q2H1RNj,https://p.scdn.co/mp3-preview/85d7f2f1c2f181a3e09a420b5dbc2711d3ddfcb4?cid=7596a347c632409f9829d4c3cb9fa3c7,gospel,0.339,0.273,5,-9.945,0,0.0309,0.729,0.0,0.152,0.304,96.804,https://api.spotify.com/v1/audio-analysis/44q2DhInsQYJ8X1q2H1RNj,251467
2Yfkjb3z3pN9DfS1yE0b3Y,https://p.scdn.co/mp3-preview/95c5bc92afc85c8510596ab3c3a04453e9911959?cid=7596a347c632409f9829d4c3cb9fa3c7,gospel,0.739,0.668,1,-5.464,1,0.246,0.184,0.0,0.0869,0.742,97.097,https://api.spotify.com/v1/audio-analysis/2Yfkjb3z3pN9DfS1yE0b3Y,251715
6fG46PUotZMTgcAzAtFLOk,https://p.scdn.co/mp3-preview/b56ed05b7fdcb546e44f023c9405ffaaf4d6d011?cid=7596a347c632409f9829d4c3cb9fa3c7,gospel,0.461,0.413,6,-6.914,1,0.0327,0.197,2.25e-06,0.312,0.351,115.568,https://api.spotify.com/v1/audio-analysis/6fG46PUotZMTgcAzAtFLOk,287573
1A3Hqv4qJd1RBJMq4au7GS,https://p.scdn.co/mp3-preview/30f75a64496f52af775f9ec39c818197a1a6a6b0?cid=7596a347c632409f9829d4c3cb9fa3c7,gospel,0.496,0.28,3,-11.162,1,0.0434,0.511,0.0,0.098,0.297,83.97,https://api.spotify.com/v1/audio-analysis/1A3Hqv4qJd1RBJMq4au7GS,207800
2cut7Izp9DLQ26dP8HQ1fE,https://p.scdn.co/mp3-preview/6f6b66a200dbd9461ec76d5a5f76d990ad581a08?cid=7596a347c632409f9829d4c3cb9fa3c7,gospel,0.362,0.685,9,-6.53,1,0.0535,0.0155,0.0,0.569,0.161,113.023,https://api.spotify.com/v1/audio-analysis/2cut7Izp9DLQ26dP8HQ1fE,498427
6EstomtQJkk4F0pS6qX5NS,https://p.scdn.co/mp3-preview/61a383a74576c1809235560fc2e3cb537c0c2425?cid=7596a347c632409f9829d4c3cb9fa3c7,gospel,0.466,0.878,1,-4.78,1,0.266,0.602,0.0,0.549,0.66,107.23,https://api.spotify.com/v1/audio-analysis/6EstomtQJkk4F0pS6qX5NS,299480
1tdsJZWIzCQLhp3ZKrYWhi,https://p.scdn.co/mp3-preview/eb477818b1dddf03aec216b9c5040cf5e74e5ffb?cid=7596a347c632409f9829d4c3cb9fa3c7,gospel,0.447,0.328,10,-10.999,1,0.0342,0.735,0.0,0.0589,0.123,125.257,https://api.spotify.com/v1/audio-analysis/1tdsJZWIzCQLhp3ZKrYWhi,326827
58b4jrSFpBMXdNFZFGPbrj,https://p.scdn.co/mp3-preview/e0010ff04ba88330606833b88964d257f16d9dcf?cid=7596a347c632409f9829d4c3cb9fa3c7,gospel,0.568,0.588,1,-8.191,1,0.035,0.464,0.0,0.043,0.418,102.899,https://api.spotify.com/v1/audio-analysis/58b4jrSFpBMXdNFZFGPbrj,335000
5OyIPpir5HJZaAEvqI8DR6,https://p.scdn.co/mp3-preview/42e64b7993fc1d6b4e52aa26ea168f13348757b8?cid=7596a347c632409f9829d4c3cb9fa3c7,gospel,0.36,0.153,10,-13.252,1,0.0336,0.75,0.0,0.697,0.276,103.131,https://api.spotify.com/v1/audio-analysis/5OyIPpir5HJZaAEvqI8DR6,208000
2kSt5gqwUhufhV3mDP38JK,https://p.scdn.co/mp3-preview/5cf8deac429f6a1249d5eed937a33b0c6bee5d40?cid=7596a347c632409f9829d4c3cb9fa3c7,gospel,0.264,0.671,7,-5.069,1,0.0407,0.0494,0.0,0.319,0.181,157.953,https://api.spotify.com/v1/audio-analysis/2kSt5gqwUhufhV3mDP38JK,502333
7DiPgo2fNrAwI9es1ffAys,https://p.scdn.co/mp3-preview/8d3b7750e6ba35a68ee400a1a2f1f311c4e0136f?cid=7596a347c632409f9829d4c3cb9fa3c7,gospel,0.304,0.617,7,-6.052,1,0.0324,0.0247,0.0,0.109,0.238,157.269,https://api.spotify.com/v1/audio-analysis/7DiPgo2fNrAwI9es1ffAys,338219
5TlSqF8DhwDLaUMFmV3APE,https://p.scdn.co/mp3-preview/d4e89a9f85a1b1fde10d3f1aab152b57394a9fb8?cid=7596a347c632409f9829d4c3cb9fa3c7,gospel,0.609,0.875,5,-5.867,0,0.0951,0.109,0.0,0.7,0.725,84.004,https://api.spotify.com/v1/audio-analysis/5TlSqF8DhwDLaUMFmV3APE,340133
28q2Y3ZTMLEUmzAt2XNhrw,https://p.scdn.co/mp3-preview/cd1602b939c0c166d0afbef562272b4bddff0860?cid=7596a347c632409f9829d4c3cb9fa3c7,gospel,0.544,0.595,8,-7.846,1,0.0721,0.35,0.0,0.198,0.418,121.84,https://api.spotify.com/v1/audio-analysis/28q2Y3ZTMLEUmzAt2XNhrw,246467
25rVj3vBLwE6Fo8C8NFSwb,https://p.scdn.co/mp3-preview/681c02e16b02d9d665d78baa7a6ee9cbf3d9e217?cid=7596a347c632409f9829d4c3cb9fa3c7,gospel,0.26,0.484,7,-6.121,1,0.0399,0.526,0.0,0.103,0.143,197.685,https://api.spotify.com/v1/audio-analysis/25rVj3vBLwE6Fo8C8NFSwb,318560
3SjAiqAQ6sMmsJBeVw0nMf,https://p.scdn.co/mp3-preview/179c67071e5593850fc713884f702bc0f55427e6?cid=7596a347c632409f9829d4c3cb9fa3c7,gospel,0.424,0.484,11,-10.853,1,0.097,0.346,0.0,0.588,0.523,92.514,https://api.spotify.com/v1/audio-analysis/3SjAiqAQ6sMmsJBeVw0nMf,210133
7kN3bGZtBKwWwYKSkE3RER,https://p.scdn.co/mp3-preview/111598948affc352b870aea2fbe767279b86929b?cid=7596a347c632409f9829d4c3cb9fa3c7,gospel,0.632,0.717,0,-8.307,1,0.039,0.138,0.00149,0.0685,0.77,153.942,https://api.spotify.com/v1/audio-analysis/7kN3bGZtBKwWwYKSkE3RER,318840
0ruqgF5YjYjQPr0uwQsvYQ,https://p.scdn.co/mp3-preview/12c8ad1a5d0fb0d0dd4641103f78c28c4477294a?cid=7596a347c632409f9829d4c3cb9fa3c7,gospel,0.4,0.596,8,-6.377,1,0.0407,0.127,0.0,0.384,0.264,99.717,https://api.spotify.com/v1/audio-analysis/0ruqgF5YjYjQPr0uwQsvYQ,406440
0nSrUpDjFouhaQB7dOi0h7,https://p.scdn.co/mp3-preview/cd5e5a62dce6184e1444c0211e4823db3e9994e4?cid=7596a347c632409f9829d4c3cb9fa3c7,gospel,0.557,0.746,8,-6.783,1,0.0306,0.0144,0.0,0.252,0.327,103.492,https://api.spotify.com/v1/audio-analysis/0nSrUpDjFouhaQB7dOi0h7,441547
0fukHGuIvc2NQEFCkI2owi,https://p.scdn.co/mp3-preview/d3fd200d12db1dcefba1f26fa288b27d1f07a0b6?cid=7596a347c632409f9829d4c3cb9fa3c7,gospel,0.394,0.641,7,-7.373,1,0.0318,0.00863,0.0,0.086,0.371,157.588,https://api.spotify.com/v1/audio-analysis/0fukHGuIvc2NQEFCkI2owi,228600
0FJbyybRjxOyalg9M9q6IJ,https://p.scdn.co/mp3-preview/98386016f0b68e01da631b4829bd20c8b9236a2d?cid=7596a347c632409f9829d4c3cb9fa3c7,gospel,0.794,0.671,5,-6.896,1,0.0332,0.644,0.0,0.343,0.978,105.683,https://api.spotify.com/v1/audio-analysis/0FJbyybRjxOyalg9M9q6IJ,142067
31lfvDUMzQ3siXemj9G5xV,https://p.scdn.co/mp3-preview/3eeb45432723f24c48e2ebf761a37e1fc6e4a32e?cid=7596a347c632409f9829d4c3cb9fa3c7,gospel,0.614,0.53,9,-8.129,1,0.0254,0.0986,1.9e-06,0.09,0.58,108.051,https://api.spotify.com/v1/audio-analysis/31lfvDUMzQ3siXemj9G5xV,179307
0njT9NV9xsV4hLkgZ8yOUD,https://p.scdn.co/mp3-preview/3583cefc48dcbc5e4371d7a9fd35012d105c1b38?cid=7596a347c632409f9829d4c3cb9fa3c7,gospel,0.613,0.665,1,-6.438,1,0.089,0.233,0.00025,0.0618,0.595,143.856,https://api.spotify.com/v1/audio-analysis/0njT9NV9xsV4hLkgZ8yOUD,369160
4cNbCWPJjLHP5ijow5LbVg,https://p.scdn.co/mp3-preview/1e4adc375a4e7d39a4ceb3bb609edfe0afa87347?cid=7596a347c632409f9829d4c3cb9fa3c7,gospel,0.414,0.402,10,-8.911,0,0.0427,0.7,0.0,0.363,0.171,105.368,https://api.spotify.com/v1/audio-analysis/4cNbCWPJjLHP5ijow5LbVg,340040
0drumuKkSeMz3CH5kGfOEl,https://p.scdn.co/mp3-preview/a0c3211cbd62c79f44d534d7810d776046f1e71c?cid=7596a347c632409f9829d4c3cb9fa3c7,gospel,0.722,0.457,5,-6.737,0,0.069,0.379,0.0,0.096,0.551,141.933,https://api.spotify.com/v1/audio-analysis/0drumuKkSeMz3CH5kGfOEl,180987
0ZD5LFsk2PMHicGH8MWRN8,https://p.scdn.co/mp3-preview/f65fd98a67837cf58f991c40a666a9cc18ed3cae?cid=7596a347c632409f9829d4c3cb9fa3c7,gospel,0.325,0.974,8,-5.035,1,0.127,0.00445,1.55e-06,0.617,0.662,186.632,https://api.spotify.com/v1/audio-analysis/0ZD5LFsk2PMHicGH8MWRN8,342467
1B5NWdLAt8GC4WKTPUCrLM,https://p.scdn.co/mp3-preview/a67780688df6052df90239fca9bf372985545833?cid=7596a347c632409f9829d4c3cb9fa3c7,gospel,0.407,0.613,10,-8.616,1,0.195,0.344,0.0,0.458,0.228,102.519,https://api.spotify.com/v1/audio-analysis/1B5NWdLAt8GC4WKTPUCrLM,514307
0bGyh9iwb37ElctPNsxdwX,https://p.scdn.co/mp3-preview/4e8ba483fd6ba931baf52dd8400298b122412d80?cid=7596a347c632409f9829d4c3cb9fa3c7,gospel,0.53,0.541,5,-9.475,1,0.273,0.318,0.0,0.528,0.532,100.616,https://api.spotify.com/v1/audio-analysis/0bGyh9iwb37ElctPNsxdwX,368440
5W3R46f5WOS6TH3J491Qqa,https://p.scdn.co/mp3-preview/7b14d4267aca6513d9128f618d85bf695670294d?cid=7596a347c632409f9829d4c3cb9fa3c7,gospel,0.4,0.292,1,-7.609,1,0.0318,0.634,0.0,0.104,0.305,124.357,https://api.spotify.com/v1/audio-analysis/5W3R46f5WOS6TH3J491Qqa,342668
06eWYNpTerINx5SzGRzkQh,https://p.scdn.co/mp3-preview/bc5a2d83dfcd5145770f4e3b3361c2e242f167aa?cid=7596a347c632409f9829d4c3cb9fa3c7,gospel,0.355,0.553,0,-5.434,1,0.0334,0.423,2.37e-06,0.662,0.195,99.656,https://api.spotify.com/v1/audio-analysis/06eWYNpTerINx5SzGRzkQh,276965
1fliYVsI2P36gcr4alaIMY,https://p.scdn.co/mp3-preview/e17c0700f3f20c2d1463f15d4619444f17e0153d?cid=7596a347c632409f9829d4c3cb9fa3c7,gospel,0.44,0.259,10,-8.81,1,0.0344,0.927,0.0,0.103,0.453,116.573,https://api.spotify.com/v1/audio-analysis/1fliYVsI2P36gcr4alaIMY,230720
01nMDSZjjFHE5HRebpB6JX,https://p.scdn.co/mp3-preview/e155dd1160fcd68a85f81512e77d5a0c24b4e789?cid=7596a347c632409f9829d4c3cb9fa3c7,gospel,0.35,0.823,3,-4.527,0,0.0715,0.0012,0.00282,0.112,0.144,136.005,https://api.spotify.com/v1/audio-analysis/01nMDSZjjFHE5HRebpB6JX,384871
6fIb3jUa5xwGlptVwh5GmK,https://p.scdn.co/mp3-preview/239096b7b3b95a5e203f0c9e349bfc21bc20c651?cid=7596a347c632409f9829d4c3cb9fa3c7,gospel,0.319,0.703,1,-4.67,0,0.0407,0.167,0.0,0.258,0.196,135.774,https://api.spotify.com/v1/audio-analysis/6fIb3jUa5xwGlptVwh5GmK,297379
4TnZCEZk2hUveruagew9Ij,https://p.scdn.co/mp3-preview/4ddfc73faa6f49dd4be5a1631d1cd2231fc46924?cid=7596a347c632409f9829d4c3cb9fa3c7,gospel,0.382,0.553,3,-8.072,0,0.0331,0.0144,5.73e-05,0.109,0.0703,135.961,https://api.spotify.com/v1/audio-analysis/4TnZCEZk2hUveruagew9Ij,437928
3qCu8oX4HiHwcnKOYmOg5P,https://p.scdn.co/mp3-preview/fd92a84beab4ce0782756c6b1603883ea59473a0?cid=7596a347c632409f9829d4c3cb9fa3c7,gospel,0.323,0.723,8,-5.42,1,0.0397,0.0611,1.89e-06,0.0955,0.206,157.949,https://api.spotify.com/v1/audio-analysis/3qCu8oX4HiHwcnKOYmOg5P,383184
4Z4YT23rnoCXz0a3hASNii,https://p.scdn.co/mp3-preview/8f24be661f00374e2017cdefffda12bcd603d36a?cid=7596a347c632409f9829d4c3cb9fa3c7,gospel,0.301,0.521,8,-7.312,0,0.0305,0.0293,0.000427,0.156,0.124,139.099,https://api.spotify.com/v1/audio-analysis/4Z4YT23rnoCXz0a3hASNii,469027
6S8AUk9nVonK6mGktxQEyT,https://p.scdn.co/mp3-preview/5b20a08b8ca42f76338f4fa3022341a54fa579a1?cid=7596a347c632409f9829d4c3cb9fa3c7,gospel,0.228,0.523,6,-13.144,0,0.0374,0.0273,5.37e-06,0.186,0.317,153.416,https://api.spotify.com/v1/audio-analysis/6S8AUk9nVonK6mGktxQEyT,326883
0BZ2L6Ty0bEQddeUInGU6b,https://p.scdn.co/mp3-preview/c20ade2353993d9eb19c6cf688aa1d35a7e097a0?cid=7596a347c632409f9829d4c3cb9fa3c7,gospel,0.352,0.388,6,-5.523,1,0.0285,0.751,1.74e-06,0.0996,0.25,64.956,https://api.spotify.com/v1/audio-analysis/0BZ2L6Ty0bEQddeUInGU6b,351708
