id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
2vjoV2tKJMfhLCPjPa9dWt,https://p.scdn.co/mp3-preview/b9dd9854a8ebd436eefadd680e988f1e7b244e09?cid=7596a347c632409f9829d4c3cb9fa3c7,grindcore,0.244,0.986,6,-4.149,1,0.1,3.78e-05,0.831,0.133,0.177,117.005,https://api.spotify.com/v1/audio-analysis/2vjoV2tKJMfhLCPjPa9dWt,268080
28kizMSvL3DcCGINWSOUjq,https://p.scdn.co/mp3-preview/a5ee5d7f9b6527b46d3bbbddacf077d911b41d41?cid=7596a347c632409f9829d4c3cb9fa3c7,grindcore,0.345,0.975,1,-3.573,0,0.251,6.69e-05,0.691,0.312,0.164,115.231,https://api.spotify.com/v1/audio-analysis/28kizMSvL3DcCGINWSOUjq,233693
2ChIRDmcpyP9F7kit0O73V,https://p.scdn.co/mp3-preview/68f4cdd9010181ef233842914f1a68f6c7b9740b?cid=7596a347c632409f9829d4c3cb9fa3c7,grindcore,0.248,0.98,8,-3.718,1,0.153,6.21e-06,0.388,0.0763,0.109,146.028,https://api.spotify.com/v1/audio-analysis/2ChIRDmcpyP9F7kit0O73V,222966
5XnbiEvRWlZh4TJUa2U5wb,https://p.scdn.co/mp3-preview/5a8fb45c46ce57f4864a8b501f2e6b64227c7a4d?cid=7596a347c632409f9829d4c3cb9fa3c7,grindcore,0.328,0.966,3,-3.948,1,0.129,2.72e-05,0.461,0.275,0.32,111.892,https://api.spotify.com/v1/audio-analysis/5XnbiEvRWlZh4TJUa2U5wb,175682
64syMK7oo9VPihJBj1IBGH,https://p.scdn.co/mp3-preview/a7ceff025b412a268f7cfdf53d852a01c0d78846?cid=7596a347c632409f9829d4c3cb9fa3c7,grindcore,0.184,0.954,4,-7.719,1,0.103,1.22e-05,0.804,0.0932,0.222,83.346,https://api.spotify.com/v1/audio-analysis/64syMK7oo9VPihJBj1IBGH,158200
5FUCZUiW0cE1t9iCWbQPWE,https://p.scdn.co/mp3-preview/ed8709cc683c15218052bb27e8fa821c7b9e1184?cid=7596a347c632409f9829d4c3cb9fa3c7,grindcore,0.261,0.977,5,-5.878,0,0.0886,0.000152,0.00165,0.0769,0.316,95.847,https://api.spotify.com/v1/audio-analysis/5FUCZUiW0cE1t9iCWbQPWE,80787
799oyNdfrUgicei5MEi1nC,https://p.scdn.co/mp3-preview/c881f975803952cba7c91721cb961c638045d00d?cid=7596a347c632409f9829d4c3cb9fa3c7,grindcore,0.431,0.971,9,-4.074,0,0.131,1.44e-06,0.889,0.104,0.156,140.045,https://api.spotify.com/v1/audio-analysis/799oyNdfrUgicei5MEi1nC,262102
2vn3vXUF1oyv7CRI7Xye4T,https://p.scdn.co/mp3-preview/b31d3103cee5d1c06cf9f68656e9be9489d46072?cid=7596a347c632409f9829d4c3cb9fa3c7,grindcore,0.353,0.98,4,-3.795,0,0.204,1.07e-05,0.868,0.286,0.0607,125.031,https://api.spotify.com/v1/audio-analysis/2vn3vXUF1oyv7CRI7Xye4T,227398
76rl8bu092FOT8xrT5fJVU,https://p.scdn.co/mp3-preview/d65c80d64c1c251ef9a466f6d5dc1eaeceb12698?cid=7596a347c632409f9829d4c3cb9fa3c7,grindcore,0.439,0.604,0,-12.649,1,0.128,0.00204,0.00254,0.511,0.416,125.229,https://api.spotify.com/v1/audio-analysis/76rl8bu092FOT8xrT5fJVU,159267
6mtAtUpgaeKAogV9fFOY5q,https://p.scdn.co/mp3-preview/ee0a660e85c059850cebbc58d3479ec3393f8712?cid=7596a347c632409f9829d4c3cb9fa3c7,grindcore,0.323,0.987,0,-3.444,1,0.242,5.71e-05,0.387,0.259,0.148,128.293,https://api.spotify.com/v1/audio-analysis/6mtAtUpgaeKAogV9fFOY5q,198307
7EMTXHBfxLa6MzRSn7o0R7,https://p.scdn.co/mp3-preview/5a7fa1ada1d677963c376be34a862c669ff4ec91?cid=7596a347c632409f9829d4c3cb9fa3c7,grindcore,0.216,0.611,10,-5.435,1,0.0685,1.36e-05,0.88,0.0896,0.117,100.029,https://api.spotify.com/v1/audio-analysis/7EMTXHBfxLa6MzRSn7o0R7,376888
2MnWhYK74sGo4Z7zXT9RfR,https://p.scdn.co/mp3-preview/bcb6e2808d21ee20769d73c49c5e54e5f239729d?cid=7596a347c632409f9829d4c3cb9fa3c7,grindcore,0.226,0.985,10,-3.463,1,0.155,2.69e-05,0.771,0.389,0.135,142.564,https://api.spotify.com/v1/audio-analysis/2MnWhYK74sGo4Z7zXT9RfR,286493
0JgzQQ1rNUVE5GCIqCnlxE,https://p.scdn.co/mp3-preview/33e0bd6b1afb3ca1219921f800bf51143f8d8d36?cid=7596a347c632409f9829d4c3cb9fa3c7,grindcore,0.0,0.944,9,-3.875,1,0.0,2.26e-06,0.762,0.143,0.0,0.0,https://api.spotify.com/v1/audio-analysis/0JgzQQ1rNUVE5GCIqCnlxE,70880
3dfO5e6kvudYYQwWiLbBoo,https://p.scdn.co/mp3-preview/9f7afb8592f3ef2b4b2e75fe3191e7bbd085d61c?cid=7596a347c632409f9829d4c3cb9fa3c7,grindcore,0.219,0.94,2,-14.888,1,0.0569,1.06e-05,0.939,0.348,0.164,105.437,https://api.spotify.com/v1/audio-analysis/3dfO5e6kvudYYQwWiLbBoo,181400
5Nodfi0wQT9QANl0KlAo7B,https://p.scdn.co/mp3-preview/48c3591f3d67b102ad3d6630dc9fd004ed1f676c?cid=7596a347c632409f9829d4c3cb9fa3c7,grindcore,0.348,0.923,4,-3.543,1,0.0623,3.26e-05,0.0862,0.183,0.391,106.152,https://api.spotify.com/v1/audio-analysis/5Nodfi0wQT9QANl0KlAo7B,208600
7DEjDauyIpn7JPODqRbZo5,https://p.scdn.co/mp3-preview/7aa9c517c383732ac6341ab6c0e5acdcbe0eceab?cid=7596a347c632409f9829d4c3cb9fa3c7,grindcore,0.3,0.938,8,-5.062,0,0.0791,2.25e-05,0.65,0.0875,0.0723,112.154,https://api.spotify.com/v1/audio-analysis/7DEjDauyIpn7JPODqRbZo5,554780
79DHdvI3WjP9DGmJL0upxi,https://p.scdn.co/mp3-preview/99f0db331246bf384ee982a6bd644222f327bc16?cid=7596a347c632409f9829d4c3cb9fa3c7,grindcore,0.397,0.972,7,-5.198,1,0.103,3.51e-06,0.811,0.0517,0.193,89.443,https://api.spotify.com/v1/audio-analysis/79DHdvI3WjP9DGmJL0upxi,176573
5iVgRNeNZI1XKdbJMhRiCK,https://p.scdn.co/mp3-preview/503336760536e707b14df288b84b59e8a6d1899d?cid=7596a347c632409f9829d4c3cb9fa3c7,grindcore,0.278,0.946,1,-4.901,1,0.143,1.9e-05,0.141,0.698,0.199,107.922,https://api.spotify.com/v1/audio-analysis/5iVgRNeNZI1XKdbJMhRiCK,87787
