id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
0JHREzo9WzIP4vyybhSKPa,https://p.scdn.co/mp3-preview/039ef8329cf72b0f20869a6e8ac4929aa1c10985?cid=7596a347c632409f9829d4c3cb9fa3c7,groove,0.448,0.871,7,-4.911,1,0.0349,0.00182,1.72e-05,0.0832,0.404,156.049,https://api.spotify.com/v1/audio-analysis/0JHREzo9WzIP4vyybhSKPa,274615
2gsxeJnGbJQkBddBDr0UTV,https://p.scdn.co/mp3-preview/3782090b5a5d6ec0f9b8ab8a6ab38fef3cc23cf5?cid=7596a347c632409f9829d4c3cb9fa3c7,groove,0.416,0.988,0,-3.466,1,0.113,0.000839,0.0,0.137,0.47,174.995,https://api.spotify.com/v1/audio-analysis/2gsxeJnGbJQkBddBDr0UTV,214543
1yc53HK08sDab7PDFgnLWk,https://p.scdn.co/mp3-preview/f8e28afd37e8cdb4eb720268c54817dfe6e42935?cid=7596a347c632409f9829d4c3cb9fa3c7,groove,0.366,0.956,10,-3.725,0,0.108,0.000293,0.00447,0.449,0.159,104.016,https://api.spotify.com/v1/audio-analysis/1yc53HK08sDab7PDFgnLWk,230127
4vJr55lngvhSM8WIh9CjQc,https://p.scdn.co/mp3-preview/27b2e8d511ff144068d2ee36f8227918346eeec3?cid=7596a347c632409f9829d4c3cb9fa3c7,groove,0.274,0.726,9,-11.541,1,0.0449,0.000212,0.0113,0.0993,0.426,146.449,https://api.spotify.com/v1/audio-analysis/4vJr55lngvhSM8WIh9CjQc,422933
3EO0js63QHQQPqJt1TgBLQ,https://p.scdn.co/mp3-preview/cde978d43a7ea93c3e0878c183682436d2c1d782?cid=7596a347c632409f9829d4c3cb9fa3c7,groove,0.521,0.985,4,-4.165,1,0.141,9.68e-05,0.0,0.209,0.151,75.013,https://api.spotify.com/v1/audio-analysis/3EO0js63QHQQPqJt1TgBLQ,246209
02W7gkxX3cgmddUQeUMwJe,https://p.scdn.co/mp3-preview/3575e3375d7272d6a9d58c2409f984800ab358bd?cid=7596a347c632409f9829d4c3cb9fa3c7,groove,0.374,0.824,1,-4.07,0,0.0397,0.00927,0.0,0.11,0.12,161.976,https://api.spotify.com/v1/audio-analysis/02W7gkxX3cgmddUQeUMwJe,278813
3tS1VMpxp9bLn46Cyh09el,https://p.scdn.co/mp3-preview/6792b641cd929d56ff0391530225b2861719f25e?cid=7596a347c632409f9829d4c3cb9fa3c7,groove,0.585,0.881,5,-4.719,0,0.0366,2.27e-05,0.000939,0.376,0.425,107.028,https://api.spotify.com/v1/audio-analysis/3tS1VMpxp9bLn46Cyh09el,196040
6hbAVcAB0mQVXMPubZnwuL,https://p.scdn.co/mp3-preview/d978c80ddaa83a588f225760834e6d3af1c08d09?cid=7596a347c632409f9829d4c3cb9fa3c7,groove,0.499,0.914,11,-4.748,0,0.0566,0.00106,0.0,0.13,0.345,80.049,https://api.spotify.com/v1/audio-analysis/6hbAVcAB0mQVXMPubZnwuL,223200
7vrLphPq4yjaX7jiDdd2Nc,https://p.scdn.co/mp3-preview/78b4b9cefc3dfebda232e52836a182edb0f416e7?cid=7596a347c632409f9829d4c3cb9fa3c7,groove,0.623,0.983,11,-3.548,0,0.151,9.62e-05,0.0617,0.261,0.271,134.975,https://api.spotify.com/v1/audio-analysis/7vrLphPq4yjaX7jiDdd2Nc,162293
2SgQsZIWs0UC01ibNOBu7q,https://p.scdn.co/mp3-preview/b970c9c89542853ab2c0de5821be9c262df53757?cid=7596a347c632409f9829d4c3cb9fa3c7,groove,0.469,0.958,4,-3.382,0,0.0849,0.00182,0.00118,0.107,0.261,76.959,https://api.spotify.com/v1/audio-analysis/2SgQsZIWs0UC01ibNOBu7q,247388
6O7pihLJgeqxUnG7u9oYL2,https://p.scdn.co/mp3-preview/7f306172d0486dfd1b5006761683ca5a7e9340e3?cid=7596a347c632409f9829d4c3cb9fa3c7,groove,0.557,0.978,0,-3.965,1,0.0493,0.000393,4.42e-06,0.287,0.499,149.887,https://api.spotify.com/v1/audio-analysis/6O7pihLJgeqxUnG7u9oYL2,154907
2M5WTwqnkyz7bW6P1CiD6q,https://p.scdn.co/mp3-preview/d08557ed2f1750e4c3dad7d498830770df9733f3?cid=7596a347c632409f9829d4c3cb9fa3c7,groove,0.419,0.878,7,-6.352,1,0.0553,0.000594,0.559,0.139,0.666,147.385,https://api.spotify.com/v1/audio-analysis/2M5WTwqnkyz7bW6P1CiD6q,264800
1YLxrvfvFivQj7eh3Y5yxA,https://p.scdn.co/mp3-preview/4d33c36d535dbe9cff53eca97e1d14c1d3cf2f5f?cid=7596a347c632409f9829d4c3cb9fa3c7,groove,0.555,0.938,11,-4.901,0,0.0533,0.000173,2.69e-06,0.139,0.401,96.504,https://api.spotify.com/v1/audio-analysis/1YLxrvfvFivQj7eh3Y5yxA,209703
3OrTQrydMdfQeQJtPXBNSx,https://p.scdn.co/mp3-preview/0f76c54a3f762ebacd142cc019f8bedb44d25a8d?cid=7596a347c632409f9829d4c3cb9fa3c7,groove,0.305,0.991,1,-2.927,0,0.488,0.000619,0.0,0.11,0.187,76.374,https://api.spotify.com/v1/audio-analysis/3OrTQrydMdfQeQJtPXBNSx,241227
