id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
5ghIJDpPoe3CfHMGu71E6T,https://p.scdn.co/mp3-preview/72efbab455857a3596ccdef0e726262987c88a99?cid=7596a347c632409f9829d4c3cb9fa3c7,grunge,0.502,0.912,1,-4.556,1,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,https://api.spotify.com/v1/audio-analysis/5ghIJDpPoe3CfHMGu71E6T,301920
4P5KoWXOxwuobLmHXLMobV,https://p.scdn.co/mp3-preview/584bf7079e50a26ff2b0206def88121b972eb263?cid=7596a347c632409f9829d4c3cb9fa3c7,grunge,0.5,0.824,4,-5.846,0,0.0388,0.00016,0.00161,0.0916,0.539,120.125,https://api.spotify.com/v1/audio-analysis/4P5KoWXOxwuobLmHXLMobV,218920
6ZOBP3NvffbU4SZcrnt1k6,https://p.scdn.co/mp3-preview/cd4a3ac371a781d1fee94c6ee00e231f033ae935?cid=7596a347c632409f9829d4c3cb9fa3c7,grunge,0.545,0.865,11,-5.708,0,0.0286,0.00664,1.1e-05,0.168,0.543,99.009,https://api.spotify.com/v1/audio-analysis/6ZOBP3NvffbU4SZcrnt1k6,233933
11LmqTE2naFULdEP94AUBa,https://p.scdn.co/mp3-preview/00dd4b97d840f717a7ed55fc717e0917acbb0eff?cid=7596a347c632409f9829d4c3cb9fa3c7,grunge,0.256,0.641,1,-10.283,1,0.0552,0.199,0.0329,0.0853,0.382,203.006,https://api.spotify.com/v1/audio-analysis/11LmqTE2naFULdEP94AUBa,281160
1nFtiJxYdhtFfFtfXBv06s,https://p.scdn.co/mp3-preview/2d4f7548d3525d120fc698c487153b46566a3eff?cid=7596a347c632409f9829d4c3cb9fa3c7,grunge,0.427,0.201,8,-13.044,1,0.0317,0.745,0.263,0.109,0.0668,105.218,https://api.spotify.com/v1/audio-analysis/1nFtiJxYdhtFfFtfXBv06s,232147
4eAwB5pnKFTmsgc3zWoYO0,https://p.scdn.co/mp3-preview/be44a4b9b531d450989dea088218491f9b11f140?cid=7596a347c632409f9829d4c3cb9fa3c7,grunge,0.611,0.95,8,-3.509,1,0.0518,0.00141,1.59e-06,0.0543,0.607,132.078,https://api.spotify.com/v1/audio-analysis/4eAwB5pnKFTmsgc3zWoYO0,193893
2EoOZnxNgtmZaD8uUmz2nD,https://p.scdn.co/mp3-preview/aedd402a004f83422742ca69215399cca8501fb6?cid=7596a347c632409f9829d4c3cb9fa3c7,grunge,0.35,0.828,6,-5.373,1,0.041,0.000217,0.000161,0.0774,0.147,105.435,https://api.spotify.com/v1/audio-analysis/2EoOZnxNgtmZaD8uUmz2nD,318587
6QewNVIDKdSl8Y3ycuHIei,https://p.scdn.co/mp3-preview/0e3cdb40333d85791c63c8db6cc95a648e1aca4a?cid=7596a347c632409f9829d4c3cb9fa3c7,grunge,0.394,0.944,10,-6.506,0,0.0761,0.00178,4.54e-06,0.298,0.265,105.338,https://api.spotify.com/v1/audio-analysis/6QewNVIDKdSl8Y3ycuHIei,292581
0faXHILILebCGnJBPU6KJJ,https://p.scdn.co/mp3-preview/6e0c50e8a75c2334d8fc991b6686552c0c59a434?cid=7596a347c632409f9829d4c3cb9fa3c7,grunge,0.392,0.964,10,-4.441,0,0.0644,7.13e-05,0.0387,0.106,0.269,167.024,https://api.spotify.com/v1/audio-analysis/0faXHILILebCGnJBPU6KJJ,200547
0lP4HYLmvowOKdsQ7CVkuq,https://p.scdn.co/mp3-preview/798ada7c82fd7a78f7a07df51e3555ee52713313?cid=7596a347c632409f9829d4c3cb9fa3c7,grunge,0.179,0.912,4,-3.881,0,0.0791,0.0014,0.000294,0.582,0.289,182.99,https://api.spotify.com/v1/audio-analysis/0lP4HYLmvowOKdsQ7CVkuq,231533
6txWz9UapYHVxEd7dDIHXT,https://p.scdn.co/mp3-preview/660ae8cab299e9811e622d84bb992a773dc6418c?cid=7596a347c632409f9829d4c3cb9fa3c7,grunge,0.389,0.476,9,-9.342,1,0.0316,0.619,5.09e-05,0.255,0.566,148.117,https://api.spotify.com/v1/audio-analysis/6txWz9UapYHVxEd7dDIHXT,217107
6GtX0jaNL8IjVQfrDBx81z,https://p.scdn.co/mp3-preview/4695553a70b959e8be16985bca88838b078e4ee4?cid=7596a347c632409f9829d4c3cb9fa3c7,grunge,0.404,0.72,10,-9.18,0,0.0623,5.59e-05,0.836,0.0466,0.475,121.864,https://api.spotify.com/v1/audio-analysis/6GtX0jaNL8IjVQfrDBx81z,258467
2YodwKJnbPyNKe8XXSE9V7,https://p.scdn.co/mp3-preview/7ca4e4864b3ac5ec4c96422a8be4c04af31a9cf5?cid=7596a347c632409f9829d4c3cb9fa3c7,grunge,0.678,0.656,7,-6.41,1,0.0381,0.00174,0.0,0.0631,0.485,123.207,https://api.spotify.com/v1/audio-analysis/2YodwKJnbPyNKe8XXSE9V7,257053
7CpbhqKUedOIrcvc94p60Y,https://p.scdn.co/mp3-preview/f419b9c1c395fe2f311f65c279497b6fdfa03ec8?cid=7596a347c632409f9829d4c3cb9fa3c7,grunge,0.656,0.932,4,-3.405,0,0.0708,0.00347,0.00147,0.144,0.544,130.936,https://api.spotify.com/v1/audio-analysis/7CpbhqKUedOIrcvc94p60Y,201960
2yXyz4NLTZx9CLdXfLTp5E,https://p.scdn.co/mp3-preview/82c6beaeb6a2ebf10fb9224e72adfe3997bdc4ef?cid=7596a347c632409f9829d4c3cb9fa3c7,grunge,0.533,0.955,8,-3.708,1,0.0653,0.000165,1.36e-05,0.38,0.55,107.984,https://api.spotify.com/v1/audio-analysis/2yXyz4NLTZx9CLdXfLTp5E,216733
30HCB1FoE77IfGRyNv4eFq,https://p.scdn.co/mp3-preview/732e2c13f6fa16fc715fd56ed72115d932237991?cid=7596a347c632409f9829d4c3cb9fa3c7,grunge,0.436,0.876,10,-4.902,0,0.0647,3.33e-05,0.000104,0.205,0.512,157.044,https://api.spotify.com/v1/audio-analysis/30HCB1FoE77IfGRyNv4eFq,255080
40LQiUUUKXVGyNs09lHVjW,https://p.scdn.co/mp3-preview/94ca2b95d5418346a4374ab4c255f87051ae3f5d?cid=7596a347c632409f9829d4c3cb9fa3c7,grunge,0.476,0.736,2,-5.38,1,0.0343,0.0217,1.08e-06,0.203,0.251,129.084,https://api.spotify.com/v1/audio-analysis/40LQiUUUKXVGyNs09lHVjW,261853
5vYA1mW9g2Coh1HUFUSmlb,https://p.scdn.co/mp3-preview/7c3d9e3312b1d2f163c3634710da10976ad37e7a?cid=7596a347c632409f9829d4c3cb9fa3c7,grunge,0.521,0.673,8,-8.685,1,0.0284,0.00573,0.0,0.12,0.543,108.031,https://api.spotify.com/v1/audio-analysis/5vYA1mW9g2Coh1HUFUSmlb,225947
3pxCXv0NACYfYnLjFcQW5D,https://p.scdn.co/mp3-preview/c256db8f4dadef3f3ddad6e54e4b6669d5a0a0ea?cid=7596a347c632409f9829d4c3cb9fa3c7,grunge,0.512,0.864,7,-4.146,1,0.0338,0.000821,0.0,0.0982,0.527,138.018,https://api.spotify.com/v1/audio-analysis/3pxCXv0NACYfYnLjFcQW5D,222827
1L94M3KIu7QluZe63g64rv,https://p.scdn.co/mp3-preview/c26a02b4aafe1261ed159a51307d7a0620a78917?cid=7596a347c632409f9829d4c3cb9fa3c7,grunge,0.284,0.875,11,-6.069,0,0.0422,0.00752,0.000461,0.402,0.595,75.009,https://api.spotify.com/v1/audio-analysis/1L94M3KIu7QluZe63g64rv,340907
2KVwlelhxKUy8LVV6JypH3,https://p.scdn.co/mp3-preview/1afdd288fa7e351c1b1cede252e6d02ba481b217?cid=7596a347c632409f9829d4c3cb9fa3c7,grunge,0.42,0.672,6,-7.902,1,0.027,0.0067,0.0,0.108,0.476,168.019,https://api.spotify.com/v1/audio-analysis/2KVwlelhxKUy8LVV6JypH3,238667
37EJtTS7jT5WUyXGZzrwnI,https://p.scdn.co/mp3-preview/6ed1e32e1d88c52567c8932441a3a0c46d8245fc?cid=7596a347c632409f9829d4c3cb9fa3c7,grunge,0.491,0.942,7,-5.333,1,0.132,0.156,0.0,0.367,0.387,100.446,https://api.spotify.com/v1/audio-analysis/37EJtTS7jT5WUyXGZzrwnI,191507
3NLrRZoMF0Lx6zTlYqeIo4,https://p.scdn.co/mp3-preview/28e56166e4fd8b3a6782fe5c7f9d22e6551b9fa7?cid=7596a347c632409f9829d4c3cb9fa3c7,grunge,0.557,0.533,10,-6.817,0,0.0252,0.0492,0.0,0.205,0.233,143.994,https://api.spotify.com/v1/audio-analysis/3NLrRZoMF0Lx6zTlYqeIo4,238733
15VRO9CQwMpbqUYA7e6Hwg,https://p.scdn.co/mp3-preview/15be23ef2479c436f73e549e2c1633d2cd4057a4?cid=7596a347c632409f9829d4c3cb9fa3c7,grunge,0.483,0.753,1,-8.937,0,0.0832,0.425,0.000142,0.257,0.42,115.102,https://api.spotify.com/v1/audio-analysis/15VRO9CQwMpbqUYA7e6Hwg,261093
55yvzYuvJYG2RUEnMK78tr,https://p.scdn.co/mp3-preview/e0fe6b2f06831d9d8235f0fe06b10b9595f05f6c?cid=7596a347c632409f9829d4c3cb9fa3c7,grunge,0.409,0.932,11,-4.538,0,0.0339,1.87e-05,1.6e-06,0.31,0.591,131.761,https://api.spotify.com/v1/audio-analysis/55yvzYuvJYG2RUEnMK78tr,166640
1Ic9pKxGSJGM0LKeqf6lGe,https://p.scdn.co/mp3-preview/399fff7559251c1ae37ed9f150d24a61cc430ca4?cid=7596a347c632409f9829d4c3cb9fa3c7,grunge,0.446,0.632,1,-12.197,1,0.034,0.0793,0.000266,0.0881,0.359,113.176,https://api.spotify.com/v1/audio-analysis/1Ic9pKxGSJGM0LKeqf6lGe,233173
5ynxx6zC4dgzsMHLYQ04Dc,https://p.scdn.co/mp3-preview/982e5a740ea8380096c156eee46af18217373a87?cid=7596a347c632409f9829d4c3cb9fa3c7,grunge,0.55,0.952,8,-4.664,1,0.0924,0.000193,0.000666,0.0614,0.391,127.804,https://api.spotify.com/v1/audio-analysis/5ynxx6zC4dgzsMHLYQ04Dc,207213
44NRdYQw7P0GWuiunRv3hr,https://p.scdn.co/mp3-preview/9df5699640400f772180ed2a42f7c36ed832f507?cid=7596a347c632409f9829d4c3cb9fa3c7,grunge,0.217,0.92,8,-4.479,1,0.0628,2.86e-05,0.0,0.102,0.376,167.169,https://api.spotify.com/v1/audio-analysis/44NRdYQw7P0GWuiunRv3hr,246040
0815caqt2Lytro5EIzMufT,https://p.scdn.co/mp3-preview/2fd850a5c2c22f2be6be20bcc67f600d165f7956?cid=7596a347c632409f9829d4c3cb9fa3c7,grunge,0.459,0.427,7,-7.734,1,0.0267,0.114,0.0,0.168,0.354,139.902,https://api.spotify.com/v1/audio-analysis/0815caqt2Lytro5EIzMufT,195493
3WbphvawbMZ8FyqDxYGdSQ,https://p.scdn.co/mp3-preview/112726017211223e2850d59b015ad428358f0353?cid=7596a347c632409f9829d4c3cb9fa3c7,grunge,0.53,0.768,7,-5.611,1,0.0284,0.00385,0.0,0.103,0.374,148.095,https://api.spotify.com/v1/audio-analysis/3WbphvawbMZ8FyqDxYGdSQ,260333
16DhvbuyvJob4Q9GHNYu2n,https://p.scdn.co/mp3-preview/620dadd23b40e1bef63a6188cc3fb4096f35605d?cid=7596a347c632409f9829d4c3cb9fa3c7,grunge,0.58,0.748,4,-5.433,1,0.0323,0.00935,0.0,0.753,0.584,109.781,https://api.spotify.com/v1/audio-analysis/16DhvbuyvJob4Q9GHNYu2n,216760
0z1b34WikhOH9ZxU8QDWcv,https://p.scdn.co/mp3-preview/2c26cb784de031921cdcf9d073068029f38fe0e5?cid=7596a347c632409f9829d4c3cb9fa3c7,grunge,0.701,0.539,2,-8.968,1,0.0277,0.000655,0.005,0.0589,0.752,107.531,https://api.spotify.com/v1/audio-analysis/0z1b34WikhOH9ZxU8QDWcv,312627
77YKoNCjP5hWqiXMRG2839,https://p.scdn.co/mp3-preview/44d3f6f3f3083e96bcb73e57b82e9abf4ba77943?cid=7596a347c632409f9829d4c3cb9fa3c7,grunge,0.543,0.423,6,-8.797,1,0.0282,0.295,0.0862,0.152,0.355,150.132,https://api.spotify.com/v1/audio-analysis/77YKoNCjP5hWqiXMRG2839,306040
4lThLwW1s3uLE6wbMpJwtT,https://p.scdn.co/mp3-preview/209b0db795ccdc02521cfd7cc6c64ede29cf7c69?cid=7596a347c632409f9829d4c3cb9fa3c7,grunge,0.555,0.844,3,-6.567,0,0.0553,0.00818,0.0,0.0895,0.464,105.193,https://api.spotify.com/v1/audio-analysis/4lThLwW1s3uLE6wbMpJwtT,216800
4t5SoDtgI0wykJSqhvFKSa,https://p.scdn.co/mp3-preview/21402a6efbf8f6f4efaa6107d1ca79449aedde8c?cid=7596a347c632409f9829d4c3cb9fa3c7,grunge,0.58,0.982,4,-3.428,0,0.0731,0.00696,4.57e-06,0.165,0.511,98.19,https://api.spotify.com/v1/audio-analysis/4t5SoDtgI0wykJSqhvFKSa,252307
5omWAB5iNMHvbAfBSzkdu8,https://p.scdn.co/mp3-preview/a91b6fd57b0696cfe0d896223716342e1eac84e0?cid=7596a347c632409f9829d4c3cb9fa3c7,grunge,0.488,0.842,6,-5.926,1,0.0469,0.0116,0.00127,0.146,0.41,90.003,https://api.spotify.com/v1/audio-analysis/5omWAB5iNMHvbAfBSzkdu8,187347
