id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
0wqeaDeaKq14IuQESPqBEJ,https://p.scdn.co/mp3-preview/0a79fba9b2232974ed173e866e6a5ec2f4c3a6ca?cid=7596a347c632409f9829d4c3cb9fa3c7,guitar,0.478,0.212,0,-13.124,1,0.0516,0.938,0.0,0.587,0.431,74.643,https://api.spotify.com/v1/audio-analysis/0wqeaDeaKq14IuQESPqBEJ,346493
1PINN6x0Riouab3wPSglpp,https://p.scdn.co/mp3-preview/ce2242cbe9ba803f940a74e7b87bd59ecec5194e?cid=7596a347c632409f9829d4c3cb9fa3c7,guitar,0.294,0.00785,4,-29.64,0,0.0667,0.994,0.956,0.0929,0.173,70.958,https://api.spotify.com/v1/audio-analysis/1PINN6x0Riouab3wPSglpp,158520
0vB4Vd6PtkJSEnWsmqATnZ,https://p.scdn.co/mp3-preview/525f0720d2da90172817bfd0eb44e3688ba9857d?cid=7596a347c632409f9829d4c3cb9fa3c7,guitar,0.553,0.614,1,-5.098,1,0.0306,0.764,0.0,0.0811,0.345,136.628,https://api.spotify.com/v1/audio-analysis/0vB4Vd6PtkJSEnWsmqATnZ,242679
0k6P9cdEA9K3k0ASde2Kof,https://p.scdn.co/mp3-preview/48005716dc0e2e11cca10dd3f1334d63d8e55e5e?cid=7596a347c632409f9829d4c3cb9fa3c7,guitar,0.253,0.098,11,-19.878,0,0.0437,0.93,0.862,0.122,0.062,84.865,https://api.spotify.com/v1/audio-analysis/0k6P9cdEA9K3k0ASde2Kof,640267
21Fs9UuXGoESVVESdWTxZ5,https://p.scdn.co/mp3-preview/73d2d35b621e053361da51ef2faf5107a7a8de44?cid=7596a347c632409f9829d4c3cb9fa3c7,guitar,0.464,0.0216,4,-25.896,1,0.0466,0.987,0.863,0.0974,0.235,101.965,https://api.spotify.com/v1/audio-analysis/21Fs9UuXGoESVVESdWTxZ5,212040
4S77OLbigZvNbiePlvjbDf,https://p.scdn.co/mp3-preview/15269c992ff6b5588c55f2f0592ef04edb4fbfb6?cid=7596a347c632409f9829d4c3cb9fa3c7,guitar,0.494,0.267,9,-9.898,1,0.066,0.878,0.0,0.14,0.481,182.03,https://api.spotify.com/v1/audio-analysis/4S77OLbigZvNbiePlvjbDf,180480
3Oj3qgVvYddVbPrNBDEWO3,https://p.scdn.co/mp3-preview/11c83714d5132ba0ddfc34b2792109fcfda0895f?cid=7596a347c632409f9829d4c3cb9fa3c7,guitar,0.599,0.0455,7,-21.333,1,0.0595,0.97,0.946,0.112,0.146,112.894,https://api.spotify.com/v1/audio-analysis/3Oj3qgVvYddVbPrNBDEWO3,142645
37Unx14mB8QnCx0bDjtCM8,https://p.scdn.co/mp3-preview/f56cf64babff4e254dbab631be36e4fdfdd5946e?cid=7596a347c632409f9829d4c3cb9fa3c7,guitar,0.631,0.489,11,-6.966,1,0.101,0.58,0.821,0.12,0.418,203.953,https://api.spotify.com/v1/audio-analysis/37Unx14mB8QnCx0bDjtCM8,116792
7EaZOfcQgKj53K2FPKWpIk,https://p.scdn.co/mp3-preview/dda1ba262960112e6b9e55e868e8295d707d95d8?cid=7596a347c632409f9829d4c3cb9fa3c7,guitar,0.498,0.0749,4,-22.481,0,0.0473,0.982,0.925,0.111,0.263,106.329,https://api.spotify.com/v1/audio-analysis/7EaZOfcQgKj53K2FPKWpIk,189250
2kF9Ijd7I2Kk2P4bYqUmzG,https://p.scdn.co/mp3-preview/2cdeec5b038ec3d0e61711f0023b11efe847b98b?cid=7596a347c632409f9829d4c3cb9fa3c7,guitar,0.652,0.356,5,-13.733,0,0.0419,0.546,0.000103,0.132,0.56,148.822,https://api.spotify.com/v1/audio-analysis/2kF9Ijd7I2Kk2P4bYqUmzG,242347
4ZKXTmQ9vGQG4QJEZjhm8u,https://p.scdn.co/mp3-preview/1d7e5c547c3fe715f8186931bc840dc2c80f472f?cid=7596a347c632409f9829d4c3cb9fa3c7,guitar,0.655,0.0471,6,-17.201,1,0.166,0.994,0.931,0.11,0.146,98.505,https://api.spotify.com/v1/audio-analysis/4ZKXTmQ9vGQG4QJEZjhm8u,134931
4fryIGUnJQ1XPg2QyasFQ4,https://p.scdn.co/mp3-preview/fd7852dd4fa25e2a6a7b82704d0982d8a60c73e6?cid=7596a347c632409f9829d4c3cb9fa3c7,guitar,0.532,0.247,2,-15.507,1,0.0339,0.73,0.0,0.18,0.67,87.995,https://api.spotify.com/v1/audio-analysis/4fryIGUnJQ1XPg2QyasFQ4,123387
5FBf12F4ry9TXoZAvISu6F,https://p.scdn.co/mp3-preview/33b62ee38840ceb91f0e83e6a85c1a4f666c3146?cid=7596a347c632409f9829d4c3cb9fa3c7,guitar,0.483,0.364,9,-10.78,0,0.0265,0.564,0.299,0.0542,0.349,98.445,https://api.spotify.com/v1/audio-analysis/5FBf12F4ry9TXoZAvISu6F,349907
4jXvLe7ERO8yIYETDZGU0m,https://p.scdn.co/mp3-preview/ec9ecf8f373b766feb07d2bdd94f93a238c8f1c8?cid=7596a347c632409f9829d4c3cb9fa3c7,guitar,0.511,0.11,2,-20.248,1,0.0769,0.987,0.947,0.11,0.13,95.946,https://api.spotify.com/v1/audio-analysis/4jXvLe7ERO8yIYETDZGU0m,191869
2xb1HCvRkwY0vof2Z6VMe9,https://p.scdn.co/mp3-preview/968bf4e82dd21a57e80f3b1d423791ee969c822c?cid=7596a347c632409f9829d4c3cb9fa3c7,guitar,0.716,0.179,7,-17.765,1,0.041,0.483,3.03e-05,0.116,0.539,115.881,https://api.spotify.com/v1/audio-analysis/2xb1HCvRkwY0vof2Z6VMe9,250667
5eWTNSMTX5BxuYYuOU4vYq,https://p.scdn.co/mp3-preview/65890dd9e767b24d6fd54950a9ceaf760825a6f9?cid=7596a347c632409f9829d4c3cb9fa3c7,guitar,0.715,0.384,10,-16.362,1,0.0458,0.588,0.00753,0.285,0.818,82.367,https://api.spotify.com/v1/audio-analysis/5eWTNSMTX5BxuYYuOU4vYq,269653
5TmKvbzD7zEbZLNfhAHTar,https://p.scdn.co/mp3-preview/6c28d97ab6c0a3cc96ac788ba449a493480277db?cid=7596a347c632409f9829d4c3cb9fa3c7,guitar,0.733,0.147,9,-16.465,0,0.0393,0.902,0.883,0.114,0.0432,122.003,https://api.spotify.com/v1/audio-analysis/5TmKvbzD7zEbZLNfhAHTar,159389
2QWMlZTBznsuJKMUIKoz95,https://p.scdn.co/mp3-preview/f9104a51b9f169d2c0d5fd8324be8fb6e8f12de1?cid=7596a347c632409f9829d4c3cb9fa3c7,guitar,0.713,0.0832,4,-23.894,0,0.0598,0.926,0.885,0.108,0.884,112.688,https://api.spotify.com/v1/audio-analysis/2QWMlZTBznsuJKMUIKoz95,101360
5PG0KLm66uabwKFWSGNe5U,https://p.scdn.co/mp3-preview/921038e45aad3efc829508df03a67feee2029947?cid=7596a347c632409f9829d4c3cb9fa3c7,guitar,0.643,0.371,2,-11.007,1,0.0658,0.814,5.65e-05,0.551,0.675,89.944,https://api.spotify.com/v1/audio-analysis/5PG0KLm66uabwKFWSGNe5U,178678
2M3laSC4qeLl9tWxDEzF4T,https://p.scdn.co/mp3-preview/43f622baad85a8d7db9d806b1787211efcf77463?cid=7596a347c632409f9829d4c3cb9fa3c7,guitar,0.53,0.114,7,-18.069,1,0.0475,0.991,0.902,0.137,0.369,92.249,https://api.spotify.com/v1/audio-analysis/2M3laSC4qeLl9tWxDEzF4T,282200
6vzJpiB46qngBEYfoHnvKE,https://p.scdn.co/mp3-preview/3956fada855ae9568c00f9cd84078b147ace24d6?cid=7596a347c632409f9829d4c3cb9fa3c7,guitar,0.548,0.0984,4,-19.549,1,0.0417,0.969,0.936,0.101,0.241,114.096,https://api.spotify.com/v1/audio-analysis/6vzJpiB46qngBEYfoHnvKE,118500
