id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
3G1SVODcssMmS5YM5G3tun,https://p.scdn.co/mp3-preview/0c2a9dbefe4673c65390ba2d95f5fbb27b405349?cid=7596a347c632409f9829d4c3cb9fa3c7,happy,0.429,0.988,4,-5.241,0,0.14,0.00747,0.0486,0.169,0.312,175.019,https://api.spotify.com/v1/audio-analysis/3G1SVODcssMmS5YM5G3tun,363429
6iBL6TOzsO75Yz0cG1MO0o,https://p.scdn.co/mp3-preview/823b1b369f33c951bd68e93931155deb1407f49c?cid=7596a347c632409f9829d4c3cb9fa3c7,happy,0.569,0.996,5,-0.45,1,0.224,0.198,0.0114,0.707,0.461,100.02,https://api.spotify.com/v1/audio-analysis/6iBL6TOzsO75Yz0cG1MO0o,201452
56nLHj9HJr3xpbLarnr0l4,https://p.scdn.co/mp3-preview/29ab893af4ab1afeb86851eb41a49db65d013c82?cid=7596a347c632409f9829d4c3cb9fa3c7,happy,0.485,0.979,2,-0.943,1,0.116,0.00792,0.00171,0.387,0.432,175.074,https://api.spotify.com/v1/audio-analysis/56nLHj9HJr3xpbLarnr0l4,260530
5xnLp83K91G0Qi9zPtOSnG,https://p.scdn.co/mp3-preview/461fc1e5b77a6ef0e6ef70b29ecdb7f2e1b76af1?cid=7596a347c632409f9829d4c3cb9fa3c7,happy,0.592,0.991,1,-1.827,1,0.144,0.0123,3.8e-06,0.361,0.523,175.047,https://api.spotify.com/v1/audio-analysis/5xnLp83K91G0Qi9zPtOSnG,225542
0L0DM33NAe6PjQ1BB4cEjJ,https://p.scdn.co/mp3-preview/cfb0fd37caf723765bb9884412697628e13a389f?cid=7596a347c632409f9829d4c3cb9fa3c7,happy,0.531,0.896,1,-3.297,0,0.107,0.0316,0.00723,0.0297,0.34,169.955,https://api.spotify.com/v1/audio-analysis/0L0DM33NAe6PjQ1BB4cEjJ,271059
2d9EgBM9F09IkEG8t9T6L8,https://p.scdn.co/mp3-preview/087e113957d64651130642e5e288d1af04a1ff02?cid=7596a347c632409f9829d4c3cb9fa3c7,happy,0.487,0.99,0,-2.282,1,0.094,0.000595,0.843,0.331,0.161,160.046,https://api.spotify.com/v1/audio-analysis/2d9EgBM9F09IkEG8t9T6L8,160212
51czegKF9UbmUZkp8etKj2,https://p.scdn.co/mp3-preview/0c8a5c9ee08ec14f79561a9bc5739958052d0214?cid=7596a347c632409f9829d4c3cb9fa3c7,happy,0.511,0.987,1,-3.182,1,0.171,0.00453,0.00214,0.142,0.521,174.996,https://api.spotify.com/v1/audio-analysis/51czegKF9UbmUZkp8etKj2,329143
6RvTtRyn7zVayLUWAJxd5Z,https://p.scdn.co/mp3-preview/611304286e533e38b24b035023c4223b181a5aa4?cid=7596a347c632409f9829d4c3cb9fa3c7,happy,0.496,0.76,4,-4.281,1,0.393,0.000799,0.00285,0.368,0.422,174.944,https://api.spotify.com/v1/audio-analysis/6RvTtRyn7zVayLUWAJxd5Z,185831
4tV6ku4jEYw9L5gZuNpCbP,https://p.scdn.co/mp3-preview/3d5b67c52fd80b99d8121881138aae82a43f5829?cid=7596a347c632409f9829d4c3cb9fa3c7,happy,0.532,0.878,7,-3.933,0,0.215,0.0102,0.201,0.169,0.385,169.962,https://api.spotify.com/v1/audio-analysis/4tV6ku4jEYw9L5gZuNpCbP,176052
4OqkZC8lvPnVayma2QvRBW,https://p.scdn.co/mp3-preview/0b42ca6d5315f9a97ad5ccf5e0bc1dfd7534859c?cid=7596a347c632409f9829d4c3cb9fa3c7,happy,0.53,0.993,9,-1.926,1,0.419,0.000142,0.222,0.0712,0.201,97.53,https://api.spotify.com/v1/audio-analysis/4OqkZC8lvPnVayma2QvRBW,162462
75DfDhHUdm8cXvVurWljMa,https://p.scdn.co/mp3-preview/d992dbdc68274e7846b804e3125559dd34bc91b2?cid=7596a347c632409f9829d4c3cb9fa3c7,happy,0.383,0.968,2,-2.786,1,0.0558,0.00409,0.167,0.342,0.528,175.023,https://api.spotify.com/v1/audio-analysis/75DfDhHUdm8cXvVurWljMa,193800
1vmq8S1PiKFOER5GrA1mLP,https://p.scdn.co/mp3-preview/7315dd0639a7a2c0c88142453f79dbf413358907?cid=7596a347c632409f9829d4c3cb9fa3c7,happy,0.553,0.954,6,-5.114,0,0.0346,0.000165,0.401,0.151,0.388,150.029,https://api.spotify.com/v1/audio-analysis/1vmq8S1PiKFOER5GrA1mLP,236800
1hle6BL2dCurJdd5Xoywlb,https://p.scdn.co/mp3-preview/101ba4bac2a7e97f0907578a54f74092d83f17f5?cid=7596a347c632409f9829d4c3cb9fa3c7,happy,0.63,0.891,6,-3.278,0,0.0738,0.0693,0.0146,0.0654,0.505,174.973,https://api.spotify.com/v1/audio-analysis/1hle6BL2dCurJdd5Xoywlb,179666
