id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
3VqHuw0wFlIHcIPWkhIbdQ,https://p.scdn.co/mp3-preview/01f98a5fdae7fe95ca719c13f022ec8fa437a3fa?cid=7596a347c632409f9829d4c3cb9fa3c7,hard-rock,0.566,0.834,6,-8.412,0,0.0298,0.00277,0.008,0.0625,0.621,123.296,https://api.spotify.com/v1/audio-analysis/3VqHuw0wFlIHcIPWkhIbdQ,331560
57bgtoPSgt236HzfBOd8kj,https://p.scdn.co/mp3-preview/7bc3741d0e79a8e8280bf49bd4e2eae4c5d67a23?cid=7596a347c632409f9829d4c3cb9fa3c7,hard-rock,0.502,0.89,4,-5.175,1,0.0364,0.000147,0.0117,0.217,0.259,133.52,https://api.spotify.com/v1/audio-analysis/57bgtoPSgt236HzfBOd8kj,292880
7snQQk1zcKl8gZ92AnueZW,https://p.scdn.co/mp3-preview/e93312278ea1ae01b26b79f2ec1ed3945dbb7406?cid=7596a347c632409f9829d4c3cb9fa3c7,hard-rock,0.446,0.952,6,-5.321,1,0.0523,0.0901,0.0857,0.112,0.624,125.303,https://api.spotify.com/v1/audio-analysis/7snQQk1zcKl8gZ92AnueZW,356067
4bHsxqR3GMrXTxEPLuK5ue,https://p.scdn.co/mp3-preview/56de5c089bf1cb42031520c6facf617b2c8e9f12?cid=7596a347c632409f9829d4c3cb9fa3c7,hard-rock,0.5,0.748,4,-9.072,1,0.0363,0.127,0.0,0.447,0.514,118.852,https://api.spotify.com/v1/audio-analysis/4bHsxqR3GMrXTxEPLuK5ue,250987
1xsYj84j7hUDDnTTerGWlH,https://p.scdn.co/mp3-preview/30aaa428d3dc88b6e8e99e3d99e47f28cf471b92?cid=7596a347c632409f9829d4c3cb9fa3c7,hard-rock,0.392,0.476,1,-7.583,1,0.0249,0.397,0.000163,0.309,0.234,78.031,https://api.spotify.com/v1/audio-analysis/1xsYj84j7hUDDnTTerGWlH,267597
08mG3Y1vljYA6bvDt4Wqkj,https://p.scdn.co/mp3-preview/47f38cd0986156c579d13e128fa34c23c8545f15?cid=7596a347c632409f9829d4c3cb9fa3c7,hard-rock,0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386,https://api.spotify.com/v1/audio-analysis/08mG3Y1vljYA6bvDt4Wqkj,255493
0G21yYKMZoHa30cYVi1iA8,https://p.scdn.co/mp3-preview/78536852d0eb30d6b226440d386f94fff5336f5e?cid=7596a347c632409f9829d4c3cb9fa3c7,hard-rock,0.453,0.987,8,-4.485,1,0.0889,0.0195,0.283,0.268,0.316,123.544,https://api.spotify.com/v1/audio-analysis/0G21yYKMZoHa30cYVi1iA8,273480
54bm2e3tk8cliUz3VSdCPZ,https://p.scdn.co/mp3-preview/fb0ddd8a6b08d22b17393704572119cc8703f5d8?cid=7596a347c632409f9829d4c3cb9fa3c7,hard-rock,0.539,0.828,4,-9.108,0,0.035,0.00067,0.421,0.154,0.562,105.25,https://api.spotify.com/v1/audio-analysis/54bm2e3tk8cliUz3VSdCPZ,515387
2HZLXBOnaSRhXStMLrq9fD,https://p.scdn.co/mp3-preview/ec4842badfe3c78c81f2a26433a9cbcbd1278d57?cid=7596a347c632409f9829d4c3cb9fa3c7,hard-rock,0.466,0.9,11,-4.469,1,0.0447,0.000235,0.00104,0.103,0.561,130.02,https://api.spotify.com/v1/audio-analysis/2HZLXBOnaSRhXStMLrq9fD,244804
2zYzyRzz6pRmhPzyfMEC8s,https://p.scdn.co/mp3-preview/708e115333585fb09da58f3a4f2cc81df82dc424?cid=7596a347c632409f9829d4c3cb9fa3c7,hard-rock,0.574,0.913,6,-4.793,0,0.133,0.061,0.00158,0.156,0.423,115.728,https://api.spotify.com/v1/audio-analysis/2zYzyRzz6pRmhPzyfMEC8s,208400
2SiXAy7TuUkycRVbbWDEpo,https://p.scdn.co/mp3-preview/b48431262c8f561de82df0f5be121e227b5ea508?cid=7596a347c632409f9829d4c3cb9fa3c7,hard-rock,0.532,0.767,7,-5.509,1,0.0574,0.00287,0.000513,0.39,0.755,127.361,https://api.spotify.com/v1/audio-analysis/2SiXAy7TuUkycRVbbWDEpo,210173
7ACxUo21jtTHzy7ZEV56vU,https://p.scdn.co/mp3-preview/6216245ac563132b14d8574172163513306787a1?cid=7596a347c632409f9829d4c3cb9fa3c7,hard-rock,0.454,0.913,9,-4.008,1,0.107,0.408,0.000271,0.248,0.521,137.688,https://api.spotify.com/v1/audio-analysis/7ACxUo21jtTHzy7ZEV56vU,293183
6imjJij6aCM0IbbODUzJQn,https://p.scdn.co/mp3-preview/c28d8777108b9705470def0e95da25f47e4cba1f?cid=7596a347c632409f9829d4c3cb9fa3c7,hard-rock,0.465,0.977,7,-3.839,0,0.175,0.00111,0.00298,0.201,0.233,89.535,https://api.spotify.com/v1/audio-analysis/6imjJij6aCM0IbbODUzJQn,284027
6Nm8h73ycDG2saCnZV8poF,https://p.scdn.co/mp3-preview/00256d7ff17e09d507e4f93e42323ff8bb878b00?cid=7596a347c632409f9829d4c3cb9fa3c7,hard-rock,0.591,0.963,0,-6.489,0,0.0531,8.74e-05,0.000107,0.0781,0.609,125.03,https://api.spotify.com/v1/audio-analysis/6Nm8h73ycDG2saCnZV8poF,222827
1Y373MqadDRtclJNdnUXVc,https://p.scdn.co/mp3-preview/3579b18c6bdc9e5aec9e25a1314ff6ff6e56a824?cid=7596a347c632409f9829d4c3cb9fa3c7,hard-rock,0.412,0.658,4,-12.051,0,0.0708,4.52e-05,0.000774,0.176,0.454,163.071,https://api.spotify.com/v1/audio-analysis/1Y373MqadDRtclJNdnUXVc,168406
78lgmZwycJ3nzsdgmPPGNx,https://p.scdn.co/mp3-preview/3af933bd6e5559e983030f2de1f7576f3da1a48c?cid=7596a347c632409f9829d4c3cb9fa3c7,hard-rock,0.564,0.932,11,-10.068,1,0.0554,0.013,0.169,0.349,0.619,112.937,https://api.spotify.com/v1/audio-analysis/78lgmZwycJ3nzsdgmPPGNx,146250
