id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
7KwZNVEaqikRSBSpyhXK2j,https://p.scdn.co/mp3-preview/b6c5f0335a7a071162a68b13fe27f91a7daf532c?cid=7596a347c632409f9829d4c3cb9fa3c7,hardcore,0.901,0.697,9,-3.439,1,0.28,0.145,0.0,0.287,0.67,93.941,https://api.spotify.com/v1/audio-analysis/7KwZNVEaqikRSBSpyhXK2j,229827
2g8HN35AnVGIk7B8yMucww,https://p.scdn.co/mp3-preview/fc58230638e49e7097d971c77440f8b0f67ba0a7?cid=7596a347c632409f9829d4c3cb9fa3c7,hardcore,0.78,0.575,9,-7.247,0,0.273,0.43,0.0,0.143,0.773,84.492,https://api.spotify.com/v1/audio-analysis/2g8HN35AnVGIk7B8yMucww,252747
1vcxF91pWs9uNwDROuiCPB,https://p.scdn.co/mp3-preview/9f6e747bff85a38967cbe393340bde3bc200d460?cid=7596a347c632409f9829d4c3cb9fa3c7,hardcore,0.554,0.932,5,-3.424,0,0.0485,0.00154,0.000142,0.425,0.478,112.49,https://api.spotify.com/v1/audio-analysis/1vcxF91pWs9uNwDROuiCPB,242280
119c93MHjrDLJTApCVGpvx,https://p.scdn.co/mp3-preview/5c3f970da3789e431a1a1006dfb58e8b080254f0?cid=7596a347c632409f9829d4c3cb9fa3c7,hardcore,0.479,0.549,11,-10.551,0,0.373,0.57,0.0235,0.127,0.576,180.985,https://api.spotify.com/v1/audio-analysis/119c93MHjrDLJTApCVGpvx,252187
7CpXFEjLntpr4GdOhTtFEv,https://p.scdn.co/mp3-preview/8e2c40ed70d47c52840e84e416ea2bab8fbff2cf?cid=7596a347c632409f9829d4c3cb9fa3c7,hardcore,0.756,0.916,1,-2.692,1,0.207,0.0351,0.0,0.241,0.458,149.961,https://api.spotify.com/v1/audio-analysis/7CpXFEjLntpr4GdOhTtFEv,169693
5ByAIlEEnxYdvpnezg7HTX,https://p.scdn.co/mp3-preview/4ddb203ac90fd7871fb6f77f2a36649104c3647c?cid=7596a347c632409f9829d4c3cb9fa3c7,hardcore,0.889,0.818,9,-4.639,1,0.253,0.47,0.0,0.179,0.782,96.063,https://api.spotify.com/v1/audio-analysis/5ByAIlEEnxYdvpnezg7HTX,302760
4INDiWSKvqSKDEu7mh8HFz,https://p.scdn.co/mp3-preview/537e795affce255e7bb93393a5657511c6a145c0?cid=7596a347c632409f9829d4c3cb9fa3c7,hardcore,0.845,0.884,6,-4.506,0,0.0759,0.0128,2.1e-06,0.203,0.904,104.536,https://api.spotify.com/v1/audio-analysis/4INDiWSKvqSKDEu7mh8HFz,257400
33ZXjLCpiINn8eQIDYEPTD,https://p.scdn.co/mp3-preview/aeeb854684cc75f75fcbaa16e9fd3e1464772a4a?cid=7596a347c632409f9829d4c3cb9fa3c7,hardcore,0.763,0.786,10,-6.472,0,0.229,0.0146,0.0114,0.0817,0.504,93.857,https://api.spotify.com/v1/audio-analysis/33ZXjLCpiINn8eQIDYEPTD,325507
4OSbctVD37ycS0H3rwRm72,https://p.scdn.co/mp3-preview/01ae6a0a5a3605ab28127e631fde2ff9cef5786c?cid=7596a347c632409f9829d4c3cb9fa3c7,hardcore,0.2,0.977,3,-3.494,0,0.159,0.00165,1.1e-05,0.259,0.39,195.711,https://api.spotify.com/v1/audio-analysis/4OSbctVD37ycS0H3rwRm72,199387
1oTHteQbmJw15rPxPVXUTv,https://p.scdn.co/mp3-preview/2165c2dc4a35a7448933822537f92fd05646ff8b?cid=7596a347c632409f9829d4c3cb9fa3c7,hardcore,0.897,0.611,11,-10.489,1,0.211,0.0291,0.186,0.0894,0.769,102.304,https://api.spotify.com/v1/audio-analysis/1oTHteQbmJw15rPxPVXUTv,208267
