id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
7mLWNwcvwRdEviz6SfYp8A,https://p.scdn.co/mp3-preview/def258e6951ef4e073aec19efbe7a68e52770930?cid=7596a347c632409f9829d4c3cb9fa3c7,hardstyle,0.588,0.496,9,-5.947,1,0.0417,0.00166,0.936,0.186,0.582,128.001,https://api.spotify.com/v1/audio-analysis/7mLWNwcvwRdEviz6SfYp8A,146274
05EG9LwFCVjkoYEWzsrHHO,https://p.scdn.co/mp3-preview/70b11fde510fd0e80b938b56f9e30d77f33c4c90?cid=7596a347c632409f9829d4c3cb9fa3c7,hardstyle,0.294,0.707,2,-5.418,1,0.0389,0.0408,0.106,0.0705,0.0395,149.94,https://api.spotify.com/v1/audio-analysis/05EG9LwFCVjkoYEWzsrHHO,189679
2uO6LTp2vi4VlgEH9Gaj3R,https://p.scdn.co/mp3-preview/9502d3845bc0ed91fe9df962f87c860363656eeb?cid=7596a347c632409f9829d4c3cb9fa3c7,hardstyle,0.287,0.716,1,-6.263,1,0.237,0.444,0.0,0.329,0.669,170.104,https://api.spotify.com/v1/audio-analysis/2uO6LTp2vi4VlgEH9Gaj3R,174785
6EXi0RWDxqvxDEHFbqR7XB,https://p.scdn.co/mp3-preview/0609a3ecc1d2016bba52ac25f897063e766f8d30?cid=7596a347c632409f9829d4c3cb9fa3c7,hardstyle,0.3,0.966,7,-3.671,1,0.102,0.00106,0.333,0.574,0.17,89.72,https://api.spotify.com/v1/audio-analysis/6EXi0RWDxqvxDEHFbqR7XB,139948
4tZULb84s9ELGycuPWGa2k,https://p.scdn.co/mp3-preview/1a2fbc13883130f739be8c76b3f92246af5ea1b9?cid=7596a347c632409f9829d4c3cb9fa3c7,hardstyle,0.429,0.866,5,-5.78,0,0.0444,7.42e-05,0.0404,0.131,0.445,164.918,https://api.spotify.com/v1/audio-analysis/4tZULb84s9ELGycuPWGa2k,150364
3VmezKvkt5Tl8ZrmQaFIV4,https://p.scdn.co/mp3-preview/8c46d990140c7cba826e4a92931e9bce37bf57e1?cid=7596a347c632409f9829d4c3cb9fa3c7,hardstyle,0.428,0.931,10,-4.51,0,0.0495,0.0103,0.000191,0.341,0.332,164.957,https://api.spotify.com/v1/audio-analysis/3VmezKvkt5Tl8ZrmQaFIV4,126943
2UEXRIn2kKNQ89cLTGElhI,https://p.scdn.co/mp3-preview/9f2d6b9219a982c757719fd79d35b09a7562ceb3?cid=7596a347c632409f9829d4c3cb9fa3c7,hardstyle,0.557,0.939,6,-5.699,1,0.154,0.00345,0.406,0.735,0.569,145.023,https://api.spotify.com/v1/audio-analysis/2UEXRIn2kKNQ89cLTGElhI,97655
3bN0ClUvRz8289XE7tNW0k,https://p.scdn.co/mp3-preview/19a8bd325adeef20e4a4d950f0b3eec49bc5d7ce?cid=7596a347c632409f9829d4c3cb9fa3c7,hardstyle,0.435,0.9,1,-3.635,1,0.23,0.000275,0.578,0.347,0.793,181.53,https://api.spotify.com/v1/audio-analysis/3bN0ClUvRz8289XE7tNW0k,164339
6jkEAxBnX2PVchKYH9Y46D,https://p.scdn.co/mp3-preview/15cdda7b208908a1b22eff94f27d7f69cbd40ad9?cid=7596a347c632409f9829d4c3cb9fa3c7,hardstyle,0.642,0.949,10,-3.055,1,0.0373,0.0194,0.227,0.414,0.692,101.959,https://api.spotify.com/v1/audio-analysis/6jkEAxBnX2PVchKYH9Y46D,112971
2dJn4AWaudLNKgvWPOnb0H,https://p.scdn.co/mp3-preview/f11c4d6e3d3f9f339061ec428541468dd82e0825?cid=7596a347c632409f9829d4c3cb9fa3c7,hardstyle,0.376,0.772,0,-8.121,0,0.0654,0.0207,2.17e-06,0.272,0.707,69.259,https://api.spotify.com/v1/audio-analysis/2dJn4AWaudLNKgvWPOnb0H,148804
