id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
2dbOYFfS7r7NAzquRvji9A,https://p.scdn.co/mp3-preview/4474573687e6783195b5ab45dbace0b217bef951?cid=7596a347c632409f9829d4c3cb9fa3c7,heavy-metal,0.544,0.739,9,-7.383,1,0.0517,0.00392,0.000143,0.168,0.328,118.287,https://api.spotify.com/v1/audio-analysis/2dbOYFfS7r7NAzquRvji9A,342600
1npDycvcBm6bTnaajiTv3X,https://p.scdn.co/mp3-preview/ea40e2cc241f07458e6e62b9358f4debf9fae824?cid=7596a347c632409f9829d4c3cb9fa3c7,heavy-metal,0.492,0.955,11,-6.289,1,0.0775,4.34e-05,8.7e-05,0.395,0.386,144.974,https://api.spotify.com/v1/audio-analysis/1npDycvcBm6bTnaajiTv3X,206667
3V417nSM4Ilh0Tt5CqustV,https://p.scdn.co/mp3-preview/3b9f8c6122023fce939ed146b2f4913c2e8b8ae3?cid=7596a347c632409f9829d4c3cb9fa3c7,heavy-metal,0.469,0.743,1,-5.57,0,0.0272,0.00222,0.000111,0.276,0.481,86.953,https://api.spotify.com/v1/audio-analysis/3V417nSM4Ilh0Tt5CqustV,272292
4kpWVGdFjBSoCkIcHVlTqn,https://p.scdn.co/mp3-preview/e9ae36b6047a527f8b61844aed6f5039a1ee75c8?cid=7596a347c632409f9829d4c3cb9fa3c7,heavy-metal,0.548,0.878,11,-5.758,0,0.0449,7.29e-05,0.0395,0.424,0.137,135.052,https://api.spotify.com/v1/audio-analysis/4kpWVGdFjBSoCkIcHVlTqn,222373
5AC6aY9RpZDmOIpDy75n3U,https://p.scdn.co/mp3-preview/1c4860d1008f506e7b73b03d83e0d2edfb41a7ec?cid=7596a347c632409f9829d4c3cb9fa3c7,heavy-metal,0.443,0.972,10,-5.367,0,0.0715,1.77e-05,0.318,0.334,0.408,91.074,https://api.spotify.com/v1/audio-analysis/5AC6aY9RpZDmOIpDy75n3U,207965
6FUXgvzbMrMCzAuYGIiGIl,https://p.scdn.co/mp3-preview/8266126f8c3bb27acb613614303f87fb3d9e2a94?cid=7596a347c632409f9829d4c3cb9fa3c7,heavy-metal,0.468,0.803,4,-6.653,0,0.0894,0.00241,0.0,0.453,0.409,87.38,https://api.spotify.com/v1/audio-analysis/6FUXgvzbMrMCzAuYGIiGIl,223467
2cyJkqB2OYHwWWvKGtrJ0r,https://p.scdn.co/mp3-preview/440727af1943b27d5b091e57ca9fa9cf0afb82be?cid=7596a347c632409f9829d4c3cb9fa3c7,heavy-metal,0.466,0.912,1,-5.141,0,0.0466,7.75e-05,0.00294,0.284,0.661,136.035,https://api.spotify.com/v1/audio-analysis/2cyJkqB2OYHwWWvKGtrJ0r,206563
53h1ZSLWi8hVWF9DWKNXVh,https://p.scdn.co/mp3-preview/7298ae1b4ad96a802e81aa2735bdb16fcef20a00?cid=7596a347c632409f9829d4c3cb9fa3c7,heavy-metal,0.552,0.864,8,-6.523,0,0.0375,0.000931,0.0199,0.0856,0.898,140.986,https://api.spotify.com/v1/audio-analysis/53h1ZSLWi8hVWF9DWKNXVh,194838
2TZtQt10Ajm3wB4MoqluZj,https://p.scdn.co/mp3-preview/4d6679f28407d551964cf9acfe608813b5b3990c?cid=7596a347c632409f9829d4c3cb9fa3c7,heavy-metal,0.469,0.977,4,-5.458,1,0.0558,1.25e-05,0.691,0.045,0.727,127.971,https://api.spotify.com/v1/audio-analysis/2TZtQt10Ajm3wB4MoqluZj,187016
0zLv81RNFByXTZ3wu91y1R,https://p.scdn.co/mp3-preview/293ccb48bdd5182c761a443bd855d086d1b92c75?cid=7596a347c632409f9829d4c3cb9fa3c7,heavy-metal,0.497,0.649,11,-10.205,0,0.0334,0.0145,3.78e-06,0.0477,0.567,115.357,https://api.spotify.com/v1/audio-analysis/0zLv81RNFByXTZ3wu91y1R,363120
7iOSeHfKU2EhSKcX7TbjKG,https://p.scdn.co/mp3-preview/41736f8779ae8c45949d9d84f6421bac16f763c4?cid=7596a347c632409f9829d4c3cb9fa3c7,heavy-metal,0.491,0.95,2,-6.719,1,0.059,3.24e-05,1.75e-05,0.0698,0.497,146.007,https://api.spotify.com/v1/audio-analysis/7iOSeHfKU2EhSKcX7TbjKG,304596
3iKSyNDGzJ3FcjXoDKqehS,https://p.scdn.co/mp3-preview/47fc70572af9df11994109faceee034e0a722891?cid=7596a347c632409f9829d4c3cb9fa3c7,heavy-metal,0.502,0.9,4,-5.655,0,0.0482,0.000104,0.00212,0.161,0.552,120.066,https://api.spotify.com/v1/audio-analysis/3iKSyNDGzJ3FcjXoDKqehS,235296
1KuNk1ZZPTZKwjjo1Vdw9G,https://p.scdn.co/mp3-preview/e8336b6f9e8caa309541797519416fce5a9ae29c?cid=7596a347c632409f9829d4c3cb9fa3c7,heavy-metal,0.541,0.912,0,-5.491,1,0.0455,9.26e-05,0.00518,0.168,0.139,120.05,https://api.spotify.com/v1/audio-analysis/1KuNk1ZZPTZKwjjo1Vdw9G,192000
1OnHeldjfrF6Zx3FnS1zQ5,https://p.scdn.co/mp3-preview/a5694bbcef33e6f740e330f6f5743e9334cd0c9e?cid=7596a347c632409f9829d4c3cb9fa3c7,heavy-metal,0.506,0.911,1,-5.341,1,0.0397,1.94e-05,0.0288,0.335,0.276,112.489,https://api.spotify.com/v1/audio-analysis/1OnHeldjfrF6Zx3FnS1zQ5,210332
1kKzLv3w7I5NXzEtWkSzi4,https://p.scdn.co/mp3-preview/0af2e767d40127215b7a8819eab03e4db92d3d72?cid=7596a347c632409f9829d4c3cb9fa3c7,heavy-metal,0.462,0.935,6,-5.215,0,0.0417,1.44e-05,0.0415,0.111,0.721,139.961,https://api.spotify.com/v1/audio-analysis/1kKzLv3w7I5NXzEtWkSzi4,214134
0Hg6cD0VepM1bnjl0lObQ3,https://p.scdn.co/mp3-preview/0b1ca5489d23a9bcad544378c913fa21b9767d03?cid=7596a347c632409f9829d4c3cb9fa3c7,heavy-metal,0.476,0.713,7,-7.024,1,0.0667,0.000838,0.000206,0.0802,0.564,183.032,https://api.spotify.com/v1/audio-analysis/0Hg6cD0VepM1bnjl0lObQ3,246991
313f3J4lGMA0irUrWaUXUh,https://p.scdn.co/mp3-preview/c5e08f12b26c960b8b87e496749d3f3f345916e3?cid=7596a347c632409f9829d4c3cb9fa3c7,heavy-metal,0.483,0.904,7,-6.054,1,0.0574,0.000434,0.0,0.249,0.393,146.006,https://api.spotify.com/v1/audio-analysis/313f3J4lGMA0irUrWaUXUh,253790
