id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
1bDbXMyjaUIooNwFE9wn0N,https://p.scdn.co/mp3-preview/d30e1dd7a7e0d3e3078b4e1e1b644b05a6f2fe18?cid=7596a347c632409f9829d4c3cb9fa3c7,hip-hop,0.561,0.52,11,-9.342,0,0.244,0.0503,1.86e-06,0.355,0.424,153.15,https://api.spotify.com/v1/audio-analysis/1bDbXMyjaUIooNwFE9wn0N,239360
68Dni7IE4VyPkTOH9mRWHr,https://p.scdn.co/mp3-preview/1b083705f6285dbe81929bd35df2e5cbd1613a98?cid=7596a347c632409f9829d4c3cb9fa3c7,hip-hop,0.69,0.521,10,-8.492,0,0.339,0.324,0.0,0.0534,0.494,100.028,https://api.spotify.com/v1/audio-analysis/68Dni7IE4VyPkTOH9mRWHr,292799
3F5CgOj3wFlRv51JsHbxhe,https://p.scdn.co/mp3-preview/10c8482fb9a4b5a80ed2986e2072f3269cd16694?cid=7596a347c632409f9829d4c3cb9fa3c7,hip-hop,0.529,0.673,0,-4.711,1,0.175,0.000307,2.41e-06,0.093,0.366,165.921,https://api.spotify.com/v1/audio-analysis/3F5CgOj3wFlRv51JsHbxhe,218365
4nrPB8O7Y7wsOCJdgXkthe,https://p.scdn.co/mp3-preview/caf944f469cabff96bab1c68735bdc0ee397a4ea?cid=7596a347c632409f9829d4c3cb9fa3c7,hip-hop,0.778,0.632,2,-5.6,0,0.0493,0.274,0.0,0.0915,0.498,122.104,https://api.spotify.com/v1/audio-analysis/4nrPB8O7Y7wsOCJdgXkthe,218289
59nOXPmaKlBfGMDeOVGrIK,https://p.scdn.co/mp3-preview/f37b59806ccfe55ce6d1ab826e6809b466a1fe75?cid=7596a347c632409f9829d4c3cb9fa3c7,hip-hop,0.463,0.642,1,-4.474,1,0.34,0.314,0.0,0.0686,0.339,83.389,https://api.spotify.com/v1/audio-analysis/59nOXPmaKlBfGMDeOVGrIK,189893
4tqcoej1zPvwePZCzuAjJd,https://p.scdn.co/mp3-preview/d4c676ae59b8f0ce034eb0085e0d9c8c9c424946?cid=7596a347c632409f9829d4c3cb9fa3c7,hip-hop,0.495,0.722,6,-8.108,0,0.357,0.0697,0.0,0.113,0.539,175.627,https://api.spotify.com/v1/audio-analysis/4tqcoej1zPvwePZCzuAjJd,239267
3xKsf9qdS1CyvXSMEid6g8,https://p.scdn.co/mp3-preview/8192c6366dea52fb321ed28b04c4bab80951b177?cid=7596a347c632409f9829d4c3cb9fa3c7,hip-hop,0.545,0.545,9,-7.362,1,0.107,0.667,5.48e-05,0.417,0.549,159.94,https://api.spotify.com/v1/audio-analysis/3xKsf9qdS1CyvXSMEid6g8,184516
3azJifCSqg9fRij2yKIbWz,https://p.scdn.co/mp3-preview/bdee8da1c97016f7600a14d98d9033e515957f3a?cid=7596a347c632409f9829d4c3cb9fa3c7,hip-hop,0.645,0.534,6,-10.8,0,0.0479,0.157,0.0,0.0863,0.463,105.02,https://api.spotify.com/v1/audio-analysis/3azJifCSqg9fRij2yKIbWz,226467
2KLwPaRDOB87XOYAT2fgxh,https://p.scdn.co/mp3-preview/9af00268bee5004c9c9a5bfe5d68d6b14d4cedf6?cid=7596a347c632409f9829d4c3cb9fa3c7,hip-hop,0.749,0.63,4,-6.652,0,0.116,0.0623,0.0,0.353,0.445,122.03,https://api.spotify.com/v1/audio-analysis/2KLwPaRDOB87XOYAT2fgxh,242027
4AFsRbaLKRWo3dDtjDFA2V,https://p.scdn.co/mp3-preview/8354aee4b3d8cbfde7f500c729c52d97b3331b50?cid=7596a347c632409f9829d4c3cb9fa3c7,hip-hop,0.545,0.442,5,-12.111,1,0.0352,0.0104,0.0271,0.0664,0.242,118.073,https://api.spotify.com/v1/audio-analysis/4AFsRbaLKRWo3dDtjDFA2V,379227
4sx6NRwL6Ol3V6m9exwGlQ,https://p.scdn.co/mp3-preview/dbf9db77f512e225713111e6ff361324f0aa0a60?cid=7596a347c632409f9829d4c3cb9fa3c7,hip-hop,0.662,0.398,11,-6.691,0,0.0275,0.716,0.0,0.111,0.468,107.001,https://api.spotify.com/v1/audio-analysis/4sx6NRwL6Ol3V6m9exwGlQ,145850
2HbKqm4o0w5wEeEFXm2sD4,https://p.scdn.co/mp3-preview/f77a38bc41d3298cd083897d56bfaf56bf014535?cid=7596a347c632409f9829d4c3cb9fa3c7,hip-hop,0.716,0.531,7,-7.355,1,0.122,0.0703,0.0,0.224,0.344,71.994,https://api.spotify.com/v1/audio-analysis/2HbKqm4o0w5wEeEFXm2sD4,386907
2BcMwX1MPV6ZHP4tUT9uq6,https://p.scdn.co/mp3-preview/7b8b7778ddabe1e69b5c186d1ef20e419b0e602f?cid=7596a347c632409f9829d4c3cb9fa3c7,hip-hop,0.849,0.424,5,-9.579,0,0.324,0.0635,0.0,0.0834,0.153,145.887,https://api.spotify.com/v1/audio-analysis/2BcMwX1MPV6ZHP4tUT9uq6,242966
7KA4W4McWYRpgf0fWsJZWB,https://p.scdn.co/mp3-preview/9653c1ab768f882a52acad7a00460017fbc5f49f?cid=7596a347c632409f9829d4c3cb9fa3c7,hip-hop,0.558,0.559,6,-9.222,1,0.0959,0.371,7.49e-06,0.109,0.62,78.558,https://api.spotify.com/v1/audio-analysis/7KA4W4McWYRpgf0fWsJZWB,180387
6pcywuOeGGWeOQzdUyti6k,https://p.scdn.co/mp3-preview/ee112caf0f7574959384b63f2510fe1e06c5d4c3?cid=7596a347c632409f9829d4c3cb9fa3c7,hip-hop,0.847,0.733,10,-6.439,0,0.16,0.00574,1.04e-05,0.151,0.202,130.029,https://api.spotify.com/v1/audio-analysis/6pcywuOeGGWeOQzdUyti6k,193591
34tz0eDhGuFErIuW3q4mPX,https://p.scdn.co/mp3-preview/7e261045466d6e1155faa3ed256d2fa4e27f4763?cid=7596a347c632409f9829d4c3cb9fa3c7,hip-hop,0.841,0.358,9,-8.368,1,0.591,0.0201,0.0,0.39,0.329,158.014,https://api.spotify.com/v1/audio-analysis/34tz0eDhGuFErIuW3q4mPX,261544
