id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
1q0wCfrE9eGFMzS2g8aVnx,https://p.scdn.co/mp3-preview/078bab5371802c7691514a3b0817fa101b46a34f?cid=7596a347c632409f9829d4c3cb9fa3c7,honky-tonk,0.351,0.21,8,-14.838,1,0.0334,0.76,0.000138,0.29,0.394,144.25,https://api.spotify.com/v1/audio-analysis/1q0wCfrE9eGFMzS2g8aVnx,195760
2LyRC7gfWFJd6JI5i8fTJe,https://p.scdn.co/mp3-preview/d6db3d739d9ccbc2011ce14aa491ee2c204155dd?cid=7596a347c632409f9829d4c3cb9fa3c7,honky-tonk,0.428,0.701,9,-7.73,1,0.0658,0.247,0.0,0.154,0.918,170.419,https://api.spotify.com/v1/audio-analysis/2LyRC7gfWFJd6JI5i8fTJe,127400
0RbaD2rw0HmpfflXFH9DKu,https://p.scdn.co/mp3-preview/39015f1dbf93fabe80f2973dff533428793c47a6?cid=7596a347c632409f9829d4c3cb9fa3c7,honky-tonk,0.644,0.468,2,-11.824,1,0.0953,0.517,0.0,0.162,0.959,159.498,https://api.spotify.com/v1/audio-analysis/0RbaD2rw0HmpfflXFH9DKu,150520
4BcrWCZPXuoGU0SnAsJW1s,https://p.scdn.co/mp3-preview/26bb13d7e2d22d5736a19bcb65196d1f21b138bb?cid=7596a347c632409f9829d4c3cb9fa3c7,honky-tonk,0.333,0.232,8,-14.605,1,0.0366,0.785,0.000548,0.252,0.398,144.788,https://api.spotify.com/v1/audio-analysis/4BcrWCZPXuoGU0SnAsJW1s,197400
6qMgx8ys4MNNxypaIvbG0i,https://p.scdn.co/mp3-preview/f89fe2be0ce41c8e333daa5ae12e498248d498b4?cid=7596a347c632409f9829d4c3cb9fa3c7,honky-tonk,0.43,0.173,8,-18.597,1,0.0321,0.594,0.000111,0.224,0.365,72.103,https://api.spotify.com/v1/audio-analysis/6qMgx8ys4MNNxypaIvbG0i,195333
5gbm0aNo7eXNuOEkQi5m9B,https://p.scdn.co/mp3-preview/5c93dd98b701d75771c1304e2debc10ba500e4e3?cid=7596a347c632409f9829d4c3cb9fa3c7,honky-tonk,0.504,0.298,7,-10.719,1,0.0345,0.725,0.0,0.0693,0.884,164.084,https://api.spotify.com/v1/audio-analysis/5gbm0aNo7eXNuOEkQi5m9B,174867
7o68KX6XyCS9lydBTH6TCP,https://p.scdn.co/mp3-preview/c00fd5fd0708f71748593144f33821c792dc1d13?cid=7596a347c632409f9829d4c3cb9fa3c7,honky-tonk,0.583,0.8,10,-9.689,1,0.0909,0.706,0.0,0.122,0.958,74.056,https://api.spotify.com/v1/audio-analysis/7o68KX6XyCS9lydBTH6TCP,165453
0deAIqyKFFw55JDMGWTcdA,https://p.scdn.co/mp3-preview/b8074e6c06276d991addb4121d1a93629e939c65?cid=7596a347c632409f9829d4c3cb9fa3c7,honky-tonk,0.777,0.36,7,-9.966,1,0.0401,0.805,0.0,0.0756,0.887,140.962,https://api.spotify.com/v1/audio-analysis/0deAIqyKFFw55JDMGWTcdA,176893
4dim8F8t01qimHOmr6S3Gd,https://p.scdn.co/mp3-preview/f093e5677bfc2036c0faaf05bc5f552e2fa58e8a?cid=7596a347c632409f9829d4c3cb9fa3c7,honky-tonk,0.62,0.406,0,-10.421,1,0.0281,0.722,6.73e-06,0.114,0.695,101.489,https://api.spotify.com/v1/audio-analysis/4dim8F8t01qimHOmr6S3Gd,146840
4wDpjRQOvOHXE9AtNWpdVQ,https://p.scdn.co/mp3-preview/477514bf2357563acce090e7030b379a48c636a8?cid=7596a347c632409f9829d4c3cb9fa3c7,honky-tonk,0.441,0.262,4,-13.435,1,0.0301,0.672,0.0,0.133,0.317,138.327,https://api.spotify.com/v1/audio-analysis/4wDpjRQOvOHXE9AtNWpdVQ,195133
