id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
6gBFPUFcJLzWGx4lenP6h2,https://p.scdn.co/mp3-preview/1690a1a7bfdc56a5cade4e6a986d7dece74f3534?cid=7596a347c632409f9829d4c3cb9fa3c7,house,0.841,0.728,7,-3.37,1,0.0484,0.0847,0.0,0.149,0.43,130.049,https://api.spotify.com/v1/audio-analysis/6gBFPUFcJLzWGx4lenP6h2,243837
2xLMifQCjDGFmkHkpNLD9h,https://p.scdn.co/mp3-preview/026539aa8fe9f4213618cae5d772975ccb7d9d24?cid=7596a347c632409f9829d4c3cb9fa3c7,house,0.834,0.73,8,-3.714,1,0.222,0.00513,0.0,0.124,0.446,155.008,https://api.spotify.com/v1/audio-analysis/2xLMifQCjDGFmkHkpNLD9h,312820
3eekarcy7kvN4yt5ZFzltW,https://p.scdn.co/mp3-preview/aa7824b1e33391eeb5845bedb3b452d4bb7d505a?cid=7596a347c632409f9829d4c3cb9fa3c7,house,0.598,0.427,7,-8.764,0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,https://api.spotify.com/v1/audio-analysis/3eekarcy7kvN4yt5ZFzltW,175721
11kDth1aKUEUMq9r1pqyds,https://p.scdn.co/mp3-preview/114699850c0629678ad3b3df2f667568f36d8116?cid=7596a347c632409f9829d4c3cb9fa3c7,house,0.712,0.481,4,-5.415,0,0.0487,0.173,0.0,0.241,0.062,140.0,https://api.spotify.com/v1/audio-analysis/11kDth1aKUEUMq9r1pqyds,196138
2cYqizR4lgvp4Qu6IQ3qGN,https://p.scdn.co/mp3-preview/156f27ddb790384013cd9f60d0bd31f2f79a2772?cid=7596a347c632409f9829d4c3cb9fa3c7,house,0.763,0.628,11,-5.85,1,0.05,0.0531,0.0,0.114,0.193,140.958,https://api.spotify.com/v1/audio-analysis/2cYqizR4lgvp4Qu6IQ3qGN,190557
27a1mYSG5tYg7dmEjWBcmL,https://p.scdn.co/mp3-preview/7989153913e5ad60679a21c2e2bb12e38a3a1c64?cid=7596a347c632409f9829d4c3cb9fa3c7,house,0.702,0.708,10,-5.366,0,0.0547,0.201,0.0,0.118,0.713,147.98,https://api.spotify.com/v1/audio-analysis/27a1mYSG5tYg7dmEjWBcmL,198408
39JofJHEtg8I4fSyo7Imft,https://p.scdn.co/mp3-preview/6b2e8f4205ce6e5b466f9120afc09f88fe1a886a?cid=7596a347c632409f9829d4c3cb9fa3c7,house,0.736,0.906,0,-7.589,1,0.048,0.164,0.585,0.106,0.698,137.001,https://api.spotify.com/v1/audio-analysis/39JofJHEtg8I4fSyo7Imft,226627
4MXhiYIRDMGAuvZc5IFTwC,https://p.scdn.co/mp3-preview/131053f9ab4f918d7a191002d324b72b2c59eb80?cid=7596a347c632409f9829d4c3cb9fa3c7,house,0.7,0.46,4,-8.111,0,0.0661,0.142,4.81e-05,0.111,0.286,151.901,https://api.spotify.com/v1/audio-analysis/4MXhiYIRDMGAuvZc5IFTwC,142969
7lAK3oHbfEnvUQWosrMMpR,https://p.scdn.co/mp3-preview/71f0d22b4dc258a9f36c6c046916b3c969e179c0?cid=7596a347c632409f9829d4c3cb9fa3c7,house,0.785,0.554,0,-6.571,1,0.0409,0.283,3.4e-06,0.116,0.144,128.047,https://api.spotify.com/v1/audio-analysis/7lAK3oHbfEnvUQWosrMMpR,150043
1wHZx0LgzFHyeIZkUydNXq,https://p.scdn.co/mp3-preview/7f8823d8634aa6f462fd9fb385f7c065489122d5?cid=7596a347c632409f9829d4c3cb9fa3c7,house,0.713,0.526,1,-5.046,1,0.032,0.00767,0.000148,0.124,0.131,131.05,https://api.spotify.com/v1/audio-analysis/1wHZx0LgzFHyeIZkUydNXq,262693
