id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
4riVJ8dOg2QpIp3rdFh8kq,https://p.scdn.co/mp3-preview/d8ed44ca2a14bdfefa463b141245ffd2cc70757e?cid=7596a347c632409f9829d4c3cb9fa3c7,idm,0.766,0.572,10,-10.182,0,0.0433,0.0202,0.0146,0.0554,0.231,119.952,https://api.spotify.com/v1/audio-analysis/4riVJ8dOg2QpIp3rdFh8kq,258000
16n69ec1c4meNCHtqzvwm5,https://p.scdn.co/mp3-preview/7671bd03eb3bf8473ac2d049a8458af7b45702ed?cid=7596a347c632409f9829d4c3cb9fa3c7,idm,0.446,0.953,1,-7.07,1,0.112,0.00392,0.971,0.448,0.0579,94.787,https://api.spotify.com/v1/audio-analysis/16n69ec1c4meNCHtqzvwm5,86493
0SDh7AAKlUSzzzXfuB1aVw,https://p.scdn.co/mp3-preview/e5ac58bda02b9a3b564e6c3af4153422ed6f26df?cid=7596a347c632409f9829d4c3cb9fa3c7,idm,0.126,0.204,6,-21.014,0,0.0381,0.811,0.834,0.091,0.0393,79.158,https://api.spotify.com/v1/audio-analysis/0SDh7AAKlUSzzzXfuB1aVw,133206
1pIeEWK9jvhDPJtpeXaLwB,https://p.scdn.co/mp3-preview/a1c8a32810fbf6d2fd301a1f3f69ea1e6f8334f1?cid=7596a347c632409f9829d4c3cb9fa3c7,idm,0.565,0.621,11,-7.03,0,0.039,0.288,0.174,0.0887,0.354,169.936,https://api.spotify.com/v1/audio-analysis/1pIeEWK9jvhDPJtpeXaLwB,227773
0vp09QgBhShrQOL2w7P8k4,https://p.scdn.co/mp3-preview/0e1798c2ca72046763ca80c5a94e916905d2c427?cid=7596a347c632409f9829d4c3cb9fa3c7,idm,0.456,0.461,2,-11.337,1,0.0593,0.0978,0.815,0.102,0.119,155.008,https://api.spotify.com/v1/audio-analysis/0vp09QgBhShrQOL2w7P8k4,290202
0z7IeekUiNaQvmGQhsfJdl,https://p.scdn.co/mp3-preview/94034ed9ae3c9cb72065741196fddcf3f1e016c5?cid=7596a347c632409f9829d4c3cb9fa3c7,idm,0.601,0.0971,11,-20.043,0,0.0373,0.984,0.91,0.0931,0.15,107.003,https://api.spotify.com/v1/audio-analysis/0z7IeekUiNaQvmGQhsfJdl,179439
3pAlKMwng8S0zlKL71glZD,https://p.scdn.co/mp3-preview/192ebcf35ef0db74cb7c4cdd595d7575820c07a2?cid=7596a347c632409f9829d4c3cb9fa3c7,idm,0.486,0.611,7,-8.896,1,0.0407,0.0485,0.893,0.109,0.0457,100.986,https://api.spotify.com/v1/audio-analysis/3pAlKMwng8S0zlKL71glZD,281981
6mwHS78L18Da6HRO4HNo0i,https://p.scdn.co/mp3-preview/85c8d0dd74adcb9e2334e498792395749b1627ce?cid=7596a347c632409f9829d4c3cb9fa3c7,idm,0.587,0.267,0,-14.936,0,0.0326,0.513,0.0363,0.075,0.0388,115.201,https://api.spotify.com/v1/audio-analysis/6mwHS78L18Da6HRO4HNo0i,236719
1RG8KpP1eIQjisnshgiFQN,https://p.scdn.co/mp3-preview/536438502176cbe380106b353571ad4617e1632e?cid=7596a347c632409f9829d4c3cb9fa3c7,idm,0.245,0.145,0,-32.661,1,0.0351,0.966,0.806,0.102,0.116,144.065,https://api.spotify.com/v1/audio-analysis/1RG8KpP1eIQjisnshgiFQN,195434
21kzMROplBP8MhBCmfYcSm,https://p.scdn.co/mp3-preview/68fe4d92e0cce83b6bd3246d5afa95caabb37d1b?cid=7596a347c632409f9829d4c3cb9fa3c7,idm,0.543,0.876,1,-4.678,1,0.0526,0.0607,0.211,0.222,0.706,169.991,https://api.spotify.com/v1/audio-analysis/21kzMROplBP8MhBCmfYcSm,264000
73WM7gutSe4Gw2rxS59N6S,https://p.scdn.co/mp3-preview/093d1d732779ee859b0e8de6d47a31799e152904?cid=7596a347c632409f9829d4c3cb9fa3c7,idm,0.328,0.62,5,-9.787,1,0.0322,4.23e-06,0.209,0.754,0.257,80.062,https://api.spotify.com/v1/audio-analysis/73WM7gutSe4Gw2rxS59N6S,71867
3cmnCQ0h8Ae90Xbn85VmZY,https://p.scdn.co/mp3-preview/b1438a66c2589c524a4003e73cbda1ebce09b82c?cid=7596a347c632409f9829d4c3cb9fa3c7,idm,0.406,0.331,1,-18.495,1,0.0294,0.933,0.952,0.386,0.122,103.711,https://api.spotify.com/v1/audio-analysis/3cmnCQ0h8Ae90Xbn85VmZY,115813
