id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
7pZeacKYnK4unCplCmI2qb,https://p.scdn.co/mp3-preview/6abdf750b58a8a9a85500e15b5ba4a90ceb9df7a?cid=7596a347c632409f9829d4c3cb9fa3c7,indian,0.799,0.696,1,-6.621,1,0.134,0.211,2.46e-06,0.133,0.414,115.067,https://api.spotify.com/v1/audio-analysis/7pZeacKYnK4unCplCmI2qb,188870
5OkYfk72CNL8XLqa3gp9q7,https://p.scdn.co/mp3-preview/9c2518415de2fec02508b207043b36e52fb6aa62?cid=7596a347c632409f9829d4c3cb9fa3c7,indian,0.406,0.524,5,-11.071,1,0.255,0.469,3.95e-06,0.117,0.412,56.046,https://api.spotify.com/v1/audio-analysis/5OkYfk72CNL8XLqa3gp9q7,282560
6VBhH7CyP56BXjp8VsDFPZ,https://p.scdn.co/mp3-preview/0925799a5b6e7bebad8cf9a19b033008d9954e9e?cid=7596a347c632409f9829d4c3cb9fa3c7,indian,0.577,0.574,0,-6.525,1,0.0278,0.572,0.0,0.1,0.436,94.009,https://api.spotify.com/v1/audio-analysis/6VBhH7CyP56BXjp8VsDFPZ,268165
1p1b9LdLJ0REuFJX9mYtFX,https://p.scdn.co/mp3-preview/6076102f36923734fc5a1bc058f34c5e31db234d?cid=7596a347c632409f9829d4c3cb9fa3c7,indian,0.528,0.595,0,-10.35,0,0.281,0.337,0.0,0.389,0.36,130.396,https://api.spotify.com/v1/audio-analysis/1p1b9LdLJ0REuFJX9mYtFX,152547
43dYSDSCkWhKqZ5V5pKU87,https://p.scdn.co/mp3-preview/a81e0df704feafcd68acab0fd70be0d0600c6799?cid=7596a347c632409f9829d4c3cb9fa3c7,indian,0.751,0.701,9,-5.782,1,0.252,0.124,0.0,0.0528,0.891,174.003,https://api.spotify.com/v1/audio-analysis/43dYSDSCkWhKqZ5V5pKU87,198922
15NQ3x1f2GUhqs8oBXhTqp,https://p.scdn.co/mp3-preview/cb3c0d92e431ca3a3cba09997368125501a2de12?cid=7596a347c632409f9829d4c3cb9fa3c7,indian,0.523,0.654,6,-9.531,0,0.216,0.815,8.34e-06,0.211,0.544,79.192,https://api.spotify.com/v1/audio-analysis/15NQ3x1f2GUhqs8oBXhTqp,244053
4UMIv5jd9gK98a39BQRD9X,https://p.scdn.co/mp3-preview/0925799a5b6e7bebad8cf9a19b033008d9954e9e?cid=7596a347c632409f9829d4c3cb9fa3c7,indian,0.577,0.574,0,-6.525,1,0.0278,0.572,0.0,0.1,0.436,94.009,https://api.spotify.com/v1/audio-analysis/4UMIv5jd9gK98a39BQRD9X,268165
4w5m4X0OZ2IslxNOgtntTN,https://p.scdn.co/mp3-preview/15358e22abd6959fa9d47d821c741b0d892ad166?cid=7596a347c632409f9829d4c3cb9fa3c7,indian,0.608,0.699,6,-8.267,1,0.114,0.139,0.0,0.242,0.784,146.941,https://api.spotify.com/v1/audio-analysis/4w5m4X0OZ2IslxNOgtntTN,182680
2ZD4aIEepqZsdxPxLSuUhm,https://p.scdn.co/mp3-preview/78b9ca1dfe40a049f0b2b21d62c5e78783d3383b?cid=7596a347c632409f9829d4c3cb9fa3c7,indian,0.679,0.748,9,-5.487,0,0.054,0.111,0.0,0.183,0.406,118.945,https://api.spotify.com/v1/audio-analysis/2ZD4aIEepqZsdxPxLSuUhm,265108
6snYsavG9vq3C7RGN98dst,https://p.scdn.co/mp3-preview/f69e95fbed8938c1b7e8caf277ed82673a792a9d?cid=7596a347c632409f9829d4c3cb9fa3c7,indian,0.626,0.615,1,-6.142,1,0.346,0.265,0.0,0.0812,0.611,52.145,https://api.spotify.com/v1/audio-analysis/6snYsavG9vq3C7RGN98dst,166841
4bD9z9qa4qg9BhryvYWB7c,https://p.scdn.co/mp3-preview/a7efe0ec7a846f08c0fb06da0f373d6d1040a2c6?cid=7596a347c632409f9829d4c3cb9fa3c7,indian,0.59,0.555,2,-6.861,1,0.0271,0.481,0.0,0.192,0.191,84.027,https://api.spotify.com/v1/audio-analysis/4bD9z9qa4qg9BhryvYWB7c,223460
3rgTS3933lMWoPiN6CW4qY,https://p.scdn.co/mp3-preview/2de6f0f4d4d7b82265060a724d61fd56f52c6345?cid=7596a347c632409f9829d4c3cb9fa3c7,indian,0.744,0.866,9,-4.834,1,0.106,0.0107,0.0537,0.528,0.302,128.027,https://api.spotify.com/v1/audio-analysis/3rgTS3933lMWoPiN6CW4qY,184687
2vcdlFDuB7tjdYTCf0u6AL,https://p.scdn.co/mp3-preview/3a6313fba9e32beacf396986dab15972596cf57c?cid=7596a347c632409f9829d4c3cb9fa3c7,indian,0.74,0.632,3,-6.153,0,0.164,0.586,0.0,0.114,0.844,96.005,https://api.spotify.com/v1/audio-analysis/2vcdlFDuB7tjdYTCf0u6AL,205851
01doyoDfqqviVm1t8rA7I9,https://p.scdn.co/mp3-preview/3a6313fba9e32beacf396986dab15972596cf57c?cid=7596a347c632409f9829d4c3cb9fa3c7,indian,0.74,0.632,3,-6.153,0,0.164,0.586,0.0,0.114,0.844,96.005,https://api.spotify.com/v1/audio-analysis/01doyoDfqqviVm1t8rA7I9,205851
32g7LU6ZCtLVXxiPFLIj5W,https://p.scdn.co/mp3-preview/97eb5050eafc3d32d57e26582d85268f32d38f3b?cid=7596a347c632409f9829d4c3cb9fa3c7,indian,0.365,0.0911,11,-22.882,0,0.0293,0.879,0.909,0.0897,0.0387,84.598,https://api.spotify.com/v1/audio-analysis/32g7LU6ZCtLVXxiPFLIj5W,164734
6ZLgnkQNj1CJldLocXd5Ul,https://p.scdn.co/mp3-preview/7c6305c8e6936965e703ad4ff1f5a84963ba5c4c?cid=7596a347c632409f9829d4c3cb9fa3c7,indian,0.759,0.698,2,-8.571,1,0.0651,0.737,7.15e-06,0.13,0.482,106.013,https://api.spotify.com/v1/audio-analysis/6ZLgnkQNj1CJldLocXd5Ul,255173
1QQ1Dx8dcLgWvUaY5fk84y,https://p.scdn.co/mp3-preview/ea3c029f00b3af06c1e378df543d861990c56300?cid=7596a347c632409f9829d4c3cb9fa3c7,indian,0.682,0.836,2,-3.259,1,0.354,0.141,0.0383,0.0891,0.224,82.53,https://api.spotify.com/v1/audio-analysis/1QQ1Dx8dcLgWvUaY5fk84y,201016
3cJhvKu04O5akhOHpZmMvP,https://p.scdn.co/mp3-preview/7d135883830348b1a98792a8340d0c664c163a11?cid=7596a347c632409f9829d4c3cb9fa3c7,indian,0.649,0.753,8,-5.496,0,0.109,0.373,0.0,0.6,0.434,79.975,https://api.spotify.com/v1/audio-analysis/3cJhvKu04O5akhOHpZmMvP,151234
4wmZtoif8SGm7PDqgKrEXr,https://p.scdn.co/mp3-preview/6178f5f437e09ef5483af0463242051948d4ad17?cid=7596a347c632409f9829d4c3cb9fa3c7,indian,0.813,0.557,10,-6.655,0,0.133,0.0547,0.0,0.128,0.764,83.012,https://api.spotify.com/v1/audio-analysis/4wmZtoif8SGm7PDqgKrEXr,104912
6vo7Y1iWyZvpjvFbf6BiZ5,https://p.scdn.co/mp3-preview/d2dd0888b0b321dadfa4e5bffd4ab58f0ee41f5f?cid=7596a347c632409f9829d4c3cb9fa3c7,indian,0.57,0.55,10,-8.343,1,0.035,0.524,3.73e-05,0.0921,0.435,117.999,https://api.spotify.com/v1/audio-analysis/6vo7Y1iWyZvpjvFbf6BiZ5,311186
72zHuDxFQTjbL51qJQSA7j,https://p.scdn.co/mp3-preview/fa6e5654f4d6d273c9f448f557673f2af1dac41f?cid=7596a347c632409f9829d4c3cb9fa3c7,indian,0.603,0.573,1,-5.843,1,0.0502,0.478,0.0,0.0971,0.236,82.941,https://api.spotify.com/v1/audio-analysis/72zHuDxFQTjbL51qJQSA7j,228855
024nqC9O76nvAuIWtQGdQy,https://p.scdn.co/mp3-preview/1ea518c3bff2d5bd1436abf37df454ca7fe165d1?cid=7596a347c632409f9829d4c3cb9fa3c7,indian,0.609,0.415,7,-11.986,1,0.0435,0.227,0.0672,0.136,0.442,127.972,https://api.spotify.com/v1/audio-analysis/024nqC9O76nvAuIWtQGdQy,483840
