id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
2DQ1ITjI0YoLFzuADN1ZBW,https://p.scdn.co/mp3-preview/393b6689ab83912cf73658f6be9c87553b10e7aa?cid=7596a347c632409f9829d4c3cb9fa3c7,indie-pop,0.838,0.771,1,-3.791,1,0.244,0.0117,0.0,0.0853,0.405,175.957,https://api.spotify.com/v1/audio-analysis/2DQ1ITjI0YoLFzuADN1ZBW,245387
11zf7m4vw9Ze7cer9Nyhk1,https://p.scdn.co/mp3-preview/163f125643cd26d4a9cea1c23a10527e8b085e5e?cid=7596a347c632409f9829d4c3cb9fa3c7,indie-pop,0.497,0.914,9,-4.308,1,0.0455,0.126,1.98e-05,0.274,0.385,148.893,https://api.spotify.com/v1/audio-analysis/11zf7m4vw9Ze7cer9Nyhk1,187896
1pNUmVxDiE8t6P1XxcZAv8,https://p.scdn.co/mp3-preview/914167397aa807e10a1d52caaa5e3adfc1f4bfda?cid=7596a347c632409f9829d4c3cb9fa3c7,indie-pop,0.639,0.816,6,-5.28,0,0.0485,0.000985,0.0604,0.141,0.802,138.008,https://api.spotify.com/v1/audio-analysis/1pNUmVxDiE8t6P1XxcZAv8,166520
6jmTHeoWvBaSrwWttr8Xvu,https://p.scdn.co/mp3-preview/fe2a4bcd246ef01d332a4ba0b900538d4d36994b?cid=7596a347c632409f9829d4c3cb9fa3c7,indie-pop,0.712,0.562,10,-6.008,1,0.129,0.125,0.0,0.136,0.142,140.0,https://api.spotify.com/v1/audio-analysis/6jmTHeoWvBaSrwWttr8Xvu,236480
2lO8mP1QvI7RizGcBYQ7Mx,https://p.scdn.co/mp3-preview/e86a1ce346d1772ad8c6d9580234dc8c87f0bcc8?cid=7596a347c632409f9829d4c3cb9fa3c7,indie-pop,0.649,0.428,8,-4.584,0,0.0313,0.766,0.00294,0.0816,0.514,77.057,https://api.spotify.com/v1/audio-analysis/2lO8mP1QvI7RizGcBYQ7Mx,127040
7qwt4xUIqQWCu1DJf96g2k,https://p.scdn.co/mp3-preview/210b038a5a005e035fde481885a648247133ca3c?cid=7596a347c632409f9829d4c3cb9fa3c7,indie-pop,0.839,0.473,10,-7.835,0,0.0607,0.641,0.000459,0.0939,0.0644,98.732,https://api.spotify.com/v1/audio-analysis/7qwt4xUIqQWCu1DJf96g2k,135016
5NXthnJecYXjt7sTEWETTY,https://p.scdn.co/mp3-preview/111753a6b57156092662bac1f064539e6e82bc26?cid=7596a347c632409f9829d4c3cb9fa3c7,indie-pop,0.71,0.543,5,-9.141,1,0.0527,0.478,8.66e-06,0.0988,0.481,83.965,https://api.spotify.com/v1/audio-analysis/5NXthnJecYXjt7sTEWETTY,138929
37adYGaYaAWTGhBaOzX4Fh,https://p.scdn.co/mp3-preview/9c33a66c04c495ea13c58b3a3a2ab089ef88304e?cid=7596a347c632409f9829d4c3cb9fa3c7,indie-pop,0.623,0.661,9,-7.0,1,0.1,0.0212,0.000229,0.267,0.63,151.97,https://api.spotify.com/v1/audio-analysis/37adYGaYaAWTGhBaOzX4Fh,229718
6MiVIH3fQlmz44jGx2DXn4,https://p.scdn.co/mp3-preview/50ada9dc42c929159d724b6d7058ab736b0ce82e?cid=7596a347c632409f9829d4c3cb9fa3c7,indie-pop,0.532,0.178,9,-9.754,0,0.0541,0.614,0.14,0.0985,0.103,149.879,https://api.spotify.com/v1/audio-analysis/6MiVIH3fQlmz44jGx2DXn4,181467
3rJDsZjIaCfJQSqRUvl0BM,https://p.scdn.co/mp3-preview/8cc3ba8a8c9d7e9dc639b7b344b1e277c3a4ebb8?cid=7596a347c632409f9829d4c3cb9fa3c7,indie-pop,0.218,0.263,11,-14.416,1,0.0376,0.947,0.00028,0.0919,0.307,170.724,https://api.spotify.com/v1/audio-analysis/3rJDsZjIaCfJQSqRUvl0BM,232373
14BH4qO7pgCmIe6mgLKOK3,https://p.scdn.co/mp3-preview/3d1f376dc5c137781902d0d5b438b1a890843368?cid=7596a347c632409f9829d4c3cb9fa3c7,indie-pop,0.468,0.936,2,-3.683,1,0.0455,0.00568,0.0,0.24,0.663,75.05,https://api.spotify.com/v1/audio-analysis/14BH4qO7pgCmIe6mgLKOK3,219800
66Ae3p10Em3KdTaM787Ptx,https://p.scdn.co/mp3-preview/5e15ee69a65339fb259bf8f16487646c76c3ff3e?cid=7596a347c632409f9829d4c3cb9fa3c7,indie-pop,0.707,0.474,1,-4.603,1,0.0672,0.578,0.0,0.11,0.538,109.991,https://api.spotify.com/v1/audio-analysis/66Ae3p10Em3KdTaM787Ptx,157636
34RmzDXMv0ELSQTK4pNvX3,https://p.scdn.co/mp3-preview/a41f6c4ec6732cb3a224f6de959ff730b77d3a9b?cid=7596a347c632409f9829d4c3cb9fa3c7,indie-pop,0.766,0.354,6,-9.486,1,0.0543,0.595,0.0,0.381,0.792,153.902,https://api.spotify.com/v1/audio-analysis/34RmzDXMv0ELSQTK4pNvX3,126464
7ITzf6TxMKnUwgXfNRfMxI,https://p.scdn.co/mp3-preview/e55facf73140af14b641fbf24dbd1b2765397112?cid=7596a347c632409f9829d4c3cb9fa3c7,indie-pop,0.623,0.788,8,-7.777,1,0.0415,0.000247,0.271,0.0978,0.955,121.974,https://api.spotify.com/v1/audio-analysis/7ITzf6TxMKnUwgXfNRfMxI,207010
7gn3NdQez9Pwbqak4gspz5,https://p.scdn.co/mp3-preview/43379cbd962db9ddad76ecbb2692ce2d6d7dd5bd?cid=7596a347c632409f9829d4c3cb9fa3c7,indie-pop,0.391,0.167,2,-19.024,1,0.0362,0.47,0.00097,0.11,0.0965,130.498,https://api.spotify.com/v1/audio-analysis/7gn3NdQez9Pwbqak4gspz5,164227
4HfLQJtVT1KiX1eVedDyTm,https://p.scdn.co/mp3-preview/c586246801e8c3f135358aa810df61c45c78c9a7?cid=7596a347c632409f9829d4c3cb9fa3c7,indie-pop,0.847,0.386,9,-10.668,0,0.0507,0.411,0.00176,0.108,0.178,104.001,https://api.spotify.com/v1/audio-analysis/4HfLQJtVT1KiX1eVedDyTm,188000
6Y9HP2CDrCISKcvAqY0fBo,https://p.scdn.co/mp3-preview/99d2513a95166fed62e4c4c8f53ec0ba9493be37?cid=7596a347c632409f9829d4c3cb9fa3c7,indie-pop,0.507,0.496,4,-9.082,1,0.0489,0.397,9.03e-05,0.364,0.299,189.077,https://api.spotify.com/v1/audio-analysis/6Y9HP2CDrCISKcvAqY0fBo,139360
3IwadYiQKN7O51JgIH9PBC,https://p.scdn.co/mp3-preview/dec40974bfd196b8b55da305b2e5842d9a9fc77d?cid=7596a347c632409f9829d4c3cb9fa3c7,indie-pop,0.651,0.696,7,-7.889,1,0.0314,0.0949,0.903,0.387,0.62,130.27,https://api.spotify.com/v1/audio-analysis/3IwadYiQKN7O51JgIH9PBC,166458
44Xyja7xYPlVC6v2CeweSi,https://p.scdn.co/mp3-preview/d616650f3330584ba230bc568a82c443c75fecf9?cid=7596a347c632409f9829d4c3cb9fa3c7,indie-pop,0.704,0.819,9,-2.974,1,0.0626,0.00176,0.0,0.094,0.914,139.921,https://api.spotify.com/v1/audio-analysis/44Xyja7xYPlVC6v2CeweSi,168280
1yYlpGuBiRRf33e1gY61bN,https://p.scdn.co/mp3-preview/650a5ba7cf5a26f4aca3e349be91a41ae5363182?cid=7596a347c632409f9829d4c3cb9fa3c7,indie-pop,0.48,0.311,9,-7.887,1,0.0258,0.313,1.52e-05,0.113,0.162,86.15,https://api.spotify.com/v1/audio-analysis/1yYlpGuBiRRf33e1gY61bN,391829
1NaDK3atogQEn9glK5fYuy,https://p.scdn.co/mp3-preview/96dcd7e240672900b08b3fe058097836db36fa8e?cid=7596a347c632409f9829d4c3cb9fa3c7,indie-pop,0.55,0.803,2,-3.608,1,0.0347,0.000561,0.000523,0.0266,0.877,130.015,https://api.spotify.com/v1/audio-analysis/1NaDK3atogQEn9glK5fYuy,164691
5L95vS64rG1YMIFm1hLjyZ,https://p.scdn.co/mp3-preview/26c0226758478f765de066a335df0a12df6dda1f?cid=7596a347c632409f9829d4c3cb9fa3c7,indie-pop,0.421,0.79,10,-6.227,1,0.0538,0.00205,0.000309,0.148,0.279,162.024,https://api.spotify.com/v1/audio-analysis/5L95vS64rG1YMIFm1hLjyZ,188867
2lujnKdLiRVjcueFs648AW,https://p.scdn.co/mp3-preview/cf1391bcf0439fbb3f039b0782fa146e607913a4?cid=7596a347c632409f9829d4c3cb9fa3c7,indie-pop,0.768,0.444,0,-8.584,1,0.0527,0.746,0.0,0.279,0.686,134.096,https://api.spotify.com/v1/audio-analysis/2lujnKdLiRVjcueFs648AW,162985
1WCjhRs2WBgyeGaybCX2Po,https://p.scdn.co/mp3-preview/f35bfa2bdcfaab9a500a34801b63c4a883ef47b8?cid=7596a347c632409f9829d4c3cb9fa3c7,indie-pop,0.448,0.338,10,-10.373,1,0.0296,0.871,0.0,0.117,0.351,149.552,https://api.spotify.com/v1/audio-analysis/1WCjhRs2WBgyeGaybCX2Po,236350
3FD23QWCO0aP7fzKXHCDE8,https://p.scdn.co/mp3-preview/f4b5ad6206b37fc45a7be8155558048c90a44cc0?cid=7596a347c632409f9829d4c3cb9fa3c7,indie-pop,0.282,0.302,2,-11.513,1,0.0344,0.0944,2.07e-06,0.0726,0.19,78.881,https://api.spotify.com/v1/audio-analysis/3FD23QWCO0aP7fzKXHCDE8,233979
2NfxtzCIrpCmJX5Z2KMdD5,https://p.scdn.co/mp3-preview/abdc0c3603893111829a4a6e63794d68b3b13f2d?cid=7596a347c632409f9829d4c3cb9fa3c7,indie-pop,0.445,0.708,3,-6.268,1,0.0293,0.032,0.0908,0.171,0.414,141.965,https://api.spotify.com/v1/audio-analysis/2NfxtzCIrpCmJX5Z2KMdD5,258653
1ztwML7G0PytrYEUE0XTa1,https://p.scdn.co/mp3-preview/91a4dd46c87c8731a24c4bc29802458d6e768d38?cid=7596a347c632409f9829d4c3cb9fa3c7,indie-pop,0.388,0.465,11,-9.294,1,0.0324,0.484,0.0,0.276,0.421,73.774,https://api.spotify.com/v1/audio-analysis/1ztwML7G0PytrYEUE0XTa1,178319
5SxZtc0xXmrXcXaoUIQskY,https://p.scdn.co/mp3-preview/abf450b55d112ebb20ad96534334ef5943a104b1?cid=7596a347c632409f9829d4c3cb9fa3c7,indie-pop,0.326,0.645,4,-4.374,1,0.0442,0.646,0.00521,0.224,0.183,188.488,https://api.spotify.com/v1/audio-analysis/5SxZtc0xXmrXcXaoUIQskY,209022
5MG69A9XyXDbBbeOxdR3Tl,https://p.scdn.co/mp3-preview/4c4bb57543659ebca6b37552636687dc53b1e3ae?cid=7596a347c632409f9829d4c3cb9fa3c7,indie-pop,0.796,0.727,1,-4.726,1,0.04,0.793,2.49e-05,0.0858,0.818,104.98,https://api.spotify.com/v1/audio-analysis/5MG69A9XyXDbBbeOxdR3Tl,123950
