id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
2aIB1CdRRG7YLBu9hNw9nR,https://p.scdn.co/mp3-preview/76da78f9906cf301da8f940ef8f7a378945fe9cb?cid=7596a347c632409f9829d4c3cb9fa3c7,industrial,0.621,0.834,10,-10.068,0,0.0557,0.000779,0.456,0.0611,0.937,143.973,https://api.spotify.com/v1/audio-analysis/2aIB1CdRRG7YLBu9hNw9nR,218827
3D0bXrSv7O73vOaGOG8J9c,https://p.scdn.co/mp3-preview/49c2b1609c0d453b9ef686184aec1ed70a5ec4fd?cid=7596a347c632409f9829d4c3cb9fa3c7,industrial,0.222,0.664,0,-5.242,0,0.0379,0.0039,0.65,0.239,0.101,186.044,https://api.spotify.com/v1/audio-analysis/3D0bXrSv7O73vOaGOG8J9c,293293
5bU4KX47KqtDKKaLM4QCzh,https://p.scdn.co/mp3-preview/1ec74bd57703ae366c1ce3384d7bf3751f64dd38?cid=7596a347c632409f9829d4c3cb9fa3c7,industrial,0.657,0.96,5,-3.524,0,0.07,0.00169,0.000997,0.109,0.567,126.02,https://api.spotify.com/v1/audio-analysis/5bU4KX47KqtDKKaLM4QCzh,186067
5abubE0dYFaEPDeM2sZ4TY,https://p.scdn.co/mp3-preview/c2b116a4832e8c61ceadc89638251775aac42f6e?cid=7596a347c632409f9829d4c3cb9fa3c7,industrial,0.645,0.791,7,-5.48,1,0.0927,0.0406,0.0,0.293,0.601,153.952,https://api.spotify.com/v1/audio-analysis/5abubE0dYFaEPDeM2sZ4TY,188573
1NbJFhkVdD47YZ2IojKkJi,https://p.scdn.co/mp3-preview/d43e6cf4c580b5e491f7e943e7587359924479d1?cid=7596a347c632409f9829d4c3cb9fa3c7,industrial,0.673,0.911,1,-6.725,1,0.0707,0.000367,0.628,0.101,0.54,101.467,https://api.spotify.com/v1/audio-analysis/1NbJFhkVdD47YZ2IojKkJi,268760
73JZKk0nb1WOUmh1Eo3Unc,https://p.scdn.co/mp3-preview/ef5e5604b56f709e2c31ff558eccac8af8f46b4b?cid=7596a347c632409f9829d4c3cb9fa3c7,industrial,0.491,0.966,3,-3.974,1,0.0463,9.12e-05,0.346,0.153,0.223,95.141,https://api.spotify.com/v1/audio-analysis/73JZKk0nb1WOUmh1Eo3Unc,188600
50OsF8Rbv8VQS0WAP0uB3i,https://p.scdn.co/mp3-preview/bf8ca30a099b912c8eee99c41a682ec0a3cdb984?cid=7596a347c632409f9829d4c3cb9fa3c7,industrial,0.577,0.884,10,-3.548,0,0.0903,0.00024,0.000262,0.287,0.686,91.026,https://api.spotify.com/v1/audio-analysis/50OsF8Rbv8VQS0WAP0uB3i,206405
6XyxCBp6x3jvtxXvMN5sAA,https://p.scdn.co/mp3-preview/5875a5080ab00d62484283534c7f6948fb956fca?cid=7596a347c632409f9829d4c3cb9fa3c7,industrial,0.863,0.717,4,-3.143,0,0.17,0.278,0.0826,0.0991,0.357,152.05,https://api.spotify.com/v1/audio-analysis/6XyxCBp6x3jvtxXvMN5sAA,157259
0cOyhnhy13lc5G5nr4EF0q,https://p.scdn.co/mp3-preview/5d6c2da29a55cb0898ac43e8fa3857a8eeb3573e?cid=7596a347c632409f9829d4c3cb9fa3c7,industrial,0.637,0.95,8,-4.4,1,0.109,0.00104,7.35e-06,0.288,0.511,142.018,https://api.spotify.com/v1/audio-analysis/0cOyhnhy13lc5G5nr4EF0q,200067
7AimHQrOUoUTYbVX87D3Zl,https://p.scdn.co/mp3-preview/c87648a8c352fb4c962832412492c81c260f014c?cid=7596a347c632409f9829d4c3cb9fa3c7,industrial,0.458,0.779,3,-8.312,0,0.0486,0.00184,4.28e-05,0.313,0.729,99.093,https://api.spotify.com/v1/audio-analysis/7AimHQrOUoUTYbVX87D3Zl,201920
