id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
1AN4ufCCVjezLyl6QBlFrq,https://p.scdn.co/mp3-preview/70be6ae22af674505d02525d359fbc71223b1b10?cid=7596a347c632409f9829d4c3cb9fa3c7,iranian,0.101,0.103,5,-20.407,1,0.0449,0.97,0.93,0.0922,0.0334,83.575,https://api.spotify.com/v1/audio-analysis/1AN4ufCCVjezLyl6QBlFrq,537611
26p4guqZWBNsBSLTifE1Dy,https://p.scdn.co/mp3-preview/46107d9be29d71e819dfd76c58d2d41bddee6318?cid=7596a347c632409f9829d4c3cb9fa3c7,iranian,0.221,0.1,4,-24.182,1,0.0462,0.97,0.74,0.361,0.0489,71.551,https://api.spotify.com/v1/audio-analysis/26p4guqZWBNsBSLTifE1Dy,447356
5h5CZG6DA94wk4lkf0a3bc,https://p.scdn.co/mp3-preview/dbd0031fc5f92926cf5565e9d8a9493ecdba709b?cid=7596a347c632409f9829d4c3cb9fa3c7,iranian,0.154,0.104,5,-20.406,1,0.0424,0.97,0.931,0.0922,0.0337,69.55,https://api.spotify.com/v1/audio-analysis/5h5CZG6DA94wk4lkf0a3bc,537611
6yz2HojEuzMLx1yJoMYVSH,https://p.scdn.co/mp3-preview/1914f98e9cf2a4db45bfd6103dfc8df792325c92?cid=7596a347c632409f9829d4c3cb9fa3c7,iranian,0.419,0.95,3,-4.41,0,0.0847,0.000853,0.679,0.112,0.105,95.065,https://api.spotify.com/v1/audio-analysis/6yz2HojEuzMLx1yJoMYVSH,315790
0QQtzbrF9uxXLTXC16eJin,https://p.scdn.co/mp3-preview/ee68fcc195d5814bc88e4cd321d709277187e4bb?cid=7596a347c632409f9829d4c3cb9fa3c7,iranian,0.131,0.215,0,-16.922,1,0.0392,0.946,0.51,0.083,0.0324,73.216,https://api.spotify.com/v1/audio-analysis/0QQtzbrF9uxXLTXC16eJin,1282000
2M4OCoJ5q4sYmItQ2YQcH8,https://p.scdn.co/mp3-preview/f07ec8c24f8bbe32a5f7e63a6b52d082d198a7ff?cid=7596a347c632409f9829d4c3cb9fa3c7,iranian,0.3,0.338,1,-8.869,0,0.032,0.00833,0.724,0.103,0.0595,140.112,https://api.spotify.com/v1/audio-analysis/2M4OCoJ5q4sYmItQ2YQcH8,471042
0wOcpPyQCirtTSWiLw8C7o,https://p.scdn.co/mp3-preview/0f1a363654734696f68f66ee3591f51704e488f9?cid=7596a347c632409f9829d4c3cb9fa3c7,iranian,0.0694,0.0564,10,-28.602,0,0.0437,0.956,0.906,0.108,0.0346,78.287,https://api.spotify.com/v1/audio-analysis/0wOcpPyQCirtTSWiLw8C7o,388574
5lr9xsWCwPDtCsIkTGrk2H,https://p.scdn.co/mp3-preview/89c8fc891fca25d07384fa103840b6d872b84b87?cid=7596a347c632409f9829d4c3cb9fa3c7,iranian,0.455,0.0562,1,-25.557,0,0.042,0.977,0.879,0.0983,0.115,130.036,https://api.spotify.com/v1/audio-analysis/5lr9xsWCwPDtCsIkTGrk2H,366620
1FdNzBq17NpGSQmOfdFwbN,https://p.scdn.co/mp3-preview/2c10963e05e6116be820c3738257983106366037?cid=7596a347c632409f9829d4c3cb9fa3c7,iranian,0.565,0.98,9,-3.272,0,0.169,0.000573,3.06e-05,0.1,0.223,110.027,https://api.spotify.com/v1/audio-analysis/1FdNzBq17NpGSQmOfdFwbN,261760
29fzrpYB0ietBxG7i3WdKk,https://p.scdn.co/mp3-preview/3316285e88db4bcb18cb8e76edab2e03c02c2089?cid=7596a347c632409f9829d4c3cb9fa3c7,iranian,0.0737,0.169,4,-24.116,1,0.0476,0.896,0.926,0.104,0.0385,77.429,https://api.spotify.com/v1/audio-analysis/29fzrpYB0ietBxG7i3WdKk,316291
2Mh5T3sZlicYlojeWBkfZW,https://p.scdn.co/mp3-preview/05e160f07fc27b7a88dcd4b30f5b341e5792c940?cid=7596a347c632409f9829d4c3cb9fa3c7,iranian,0.488,0.936,2,-5.448,0,0.068,1.78e-06,0.645,0.0965,0.57,110.014,https://api.spotify.com/v1/audio-analysis/2Mh5T3sZlicYlojeWBkfZW,208363
0PBMDG5UyDdAibdwjJCrk1,https://p.scdn.co/mp3-preview/56bce771c4cdb52be8ac3a122e0bcd98f4c7294f?cid=7596a347c632409f9829d4c3cb9fa3c7,iranian,0.21,0.0268,0,-23.427,1,0.038,0.993,0.937,0.0645,0.0351,69.637,https://api.spotify.com/v1/audio-analysis/0PBMDG5UyDdAibdwjJCrk1,591613
0RdkUcYvE4rpe8FiHH6i2h,https://p.scdn.co/mp3-preview/fc153e814884b3ebf0c0e137bb63e19298cd8d9b?cid=7596a347c632409f9829d4c3cb9fa3c7,iranian,0.181,0.198,10,-24.105,1,0.049,0.788,0.81,0.305,0.0387,91.455,https://api.spotify.com/v1/audio-analysis/0RdkUcYvE4rpe8FiHH6i2h,399158
2j3XrxnGKhPJVvSGDpoRFJ,https://p.scdn.co/mp3-preview/3e19fd33a7fccc08d2f0bb94327974b601d12a7d?cid=7596a347c632409f9829d4c3cb9fa3c7,iranian,0.434,0.983,6,-3.68,1,0.131,1.76e-05,0.699,0.0461,0.183,159.943,https://api.spotify.com/v1/audio-analysis/2j3XrxnGKhPJVvSGDpoRFJ,278753
4fJHpKk5xORT4CitGQjDuj,https://p.scdn.co/mp3-preview/0eb16d8d57e07697b0a7364a504aeaa5d47c3974?cid=7596a347c632409f9829d4c3cb9fa3c7,iranian,0.497,0.654,7,-6.033,1,0.132,0.00635,7.27e-05,0.116,0.413,160.469,https://api.spotify.com/v1/audio-analysis/4fJHpKk5xORT4CitGQjDuj,280839
1ta6SK0QatoB14G04gwO6w,https://p.scdn.co/mp3-preview/81a159b90e301e62e1284fe516c6c61ee569b143?cid=7596a347c632409f9829d4c3cb9fa3c7,iranian,0.445,0.724,7,-8.185,1,0.148,0.0281,0.771,0.253,0.0799,123.489,https://api.spotify.com/v1/audio-analysis/1ta6SK0QatoB14G04gwO6w,154093
4aJCpW8n5g7HfWOsktxLKm,https://p.scdn.co/mp3-preview/7919e094c04ae6d6330a70b08a9e5e22b5f89901?cid=7596a347c632409f9829d4c3cb9fa3c7,iranian,0.271,0.136,5,-31.641,1,0.0349,0.411,0.809,0.0729,0.0549,98.152,https://api.spotify.com/v1/audio-analysis/4aJCpW8n5g7HfWOsktxLKm,266803
0dNpWJAzZG0bQSflmkLdeN,https://p.scdn.co/mp3-preview/7825cd4784b07e66415a8332f195dfa7fd460a2b?cid=7596a347c632409f9829d4c3cb9fa3c7,iranian,0.0926,0.268,5,-23.26,1,0.0516,0.212,0.973,0.353,0.0684,75.425,https://api.spotify.com/v1/audio-analysis/0dNpWJAzZG0bQSflmkLdeN,564586
720FMxch1vs5Aexyjw4wvo,https://p.scdn.co/mp3-preview/c14c83bfcae6feff851bc90210255f3657a61785?cid=7596a347c632409f9829d4c3cb9fa3c7,iranian,0.161,0.88,4,-7.709,0,0.0654,0.691,0.000313,0.33,0.17,134.587,https://api.spotify.com/v1/audio-analysis/720FMxch1vs5Aexyjw4wvo,194120
5POfrBibipxre1nhLue0mA,https://p.scdn.co/mp3-preview/af9b7e40f6d80e973f8440b23236a52eb209dd11?cid=7596a347c632409f9829d4c3cb9fa3c7,iranian,0.171,0.0724,1,-23.865,1,0.0463,0.884,0.847,0.106,0.03,122.713,https://api.spotify.com/v1/audio-analysis/5POfrBibipxre1nhLue0mA,434793
