id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
5NQbUaeTEOGdD6hHcre0dZ,https://p.scdn.co/mp3-preview/4af3e59d245278374959df7d85f112e590a8a39a?cid=7596a347c632409f9829d4c3cb9fa3c7,j-dance,0.618,0.717,7,-5.738,1,0.318,0.00256,0.0,0.625,0.603,190.05,https://api.spotify.com/v1/audio-analysis/5NQbUaeTEOGdD6hHcre0dZ,196693
6MdqqkQ8sSC0WB4i8PyRuQ,https://p.scdn.co/mp3-preview/cd7cbeb12aa70d577878527bdc37551006e918b7?cid=7596a347c632409f9829d4c3cb9fa3c7,j-dance,0.867,0.646,1,-4.674,0,0.288,0.303,0.0,0.279,0.67,88.634,https://api.spotify.com/v1/audio-analysis/6MdqqkQ8sSC0WB4i8PyRuQ,304600
3ESSGgWzRf1xvP7G5hHMhB,https://p.scdn.co/mp3-preview/ec14f21baf9c29b70fefa28d437fa4a9acb1a677?cid=7596a347c632409f9829d4c3cb9fa3c7,j-dance,0.748,0.733,11,-4.421,0,0.072,0.0062,0.0,0.329,0.291,93.019,https://api.spotify.com/v1/audio-analysis/3ESSGgWzRf1xvP7G5hHMhB,312240
6uQKuonTU8VKBz5SHZuQXD,https://p.scdn.co/mp3-preview/a6a763612c14548e821a9d65237d0f7d2ee205eb?cid=7596a347c632409f9829d4c3cb9fa3c7,j-dance,0.799,0.623,0,-9.374,1,0.0812,0.0141,0.0,0.43,0.773,103.649,https://api.spotify.com/v1/audio-analysis/6uQKuonTU8VKBz5SHZuQXD,238800
62oqxoJQYPCyjZ2ChH7foI,https://p.scdn.co/mp3-preview/2c99972a8724cbad2610cebe711c4e19662f35c6?cid=7596a347c632409f9829d4c3cb9fa3c7,j-dance,0.629,0.692,6,-3.332,1,0.0678,0.173,0.0,0.0675,0.737,154.211,https://api.spotify.com/v1/audio-analysis/62oqxoJQYPCyjZ2ChH7foI,105195
1WoOzgvz6CgH4pX6a1RKGp,https://p.scdn.co/mp3-preview/f1a7dd7518ba29f16e31fd8745e9966d36aa0c23?cid=7596a347c632409f9829d4c3cb9fa3c7,j-dance,0.748,0.741,6,-3.103,1,0.0531,0.00419,0.0,0.147,0.537,128.077,https://api.spotify.com/v1/audio-analysis/1WoOzgvz6CgH4pX6a1RKGp,213053
0w3Q3VFdrYzo24QUIGnBNy,https://p.scdn.co/mp3-preview/84981fc4146a7472b05fca547b2647f490051cc4?cid=7596a347c632409f9829d4c3cb9fa3c7,j-dance,0.545,0.763,11,-5.528,0,0.407,0.00715,0.0,0.668,0.752,126.59,https://api.spotify.com/v1/audio-analysis/0w3Q3VFdrYzo24QUIGnBNy,186987
1iuljeYz6ZG3GTJOZZkoer,https://p.scdn.co/mp3-preview/9433ce77ba4ff6ecd69ac72cefda7fdaff2b7ca5?cid=7596a347c632409f9829d4c3cb9fa3c7,j-dance,0.746,0.764,0,-5.066,0,0.0423,0.00116,8.19e-06,0.0867,0.518,137.98,https://api.spotify.com/v1/audio-analysis/1iuljeYz6ZG3GTJOZZkoer,173893
0AcLrSfAEBQcUnHOTm5pXg,https://p.scdn.co/mp3-preview/ab273821259c902ce4e958e52791085ee35e8f29?cid=7596a347c632409f9829d4c3cb9fa3c7,j-dance,0.807,0.498,10,-9.91,0,0.0756,0.259,3.04e-05,0.0618,0.857,99.001,https://api.spotify.com/v1/audio-analysis/0AcLrSfAEBQcUnHOTm5pXg,277413
2rkVoKVEMuct8SmEIGKzBw,https://p.scdn.co/mp3-preview/09b5c359b4c5a71e66c9a108b6204ef8ea3791c0?cid=7596a347c632409f9829d4c3cb9fa3c7,j-dance,0.67,0.468,1,-6.725,0,0.0328,0.325,0.0,0.0516,0.486,140.069,https://api.spotify.com/v1/audio-analysis/2rkVoKVEMuct8SmEIGKzBw,299800
