id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
7rU6Iebxzlvqy5t857bKFq,https://p.scdn.co/mp3-preview/a51167c74446a905d634cb1c6a27f19a6a9993d9?cid=7596a347c632409f9829d4c3cb9fa3c7,j-idol,0.648,0.875,2,-5.141,0,0.034,0.0747,9.64e-05,0.196,0.857,102.517,https://api.spotify.com/v1/audio-analysis/7rU6Iebxzlvqy5t857bKFq,294493
16D5bGymrzpi9ZlnYXB5ql,https://p.scdn.co/mp3-preview/b30235887530d46f3df248419c31ef23dba4d037?cid=7596a347c632409f9829d4c3cb9fa3c7,j-idol,0.616,0.985,11,-1.596,1,0.0825,0.000282,0.000144,0.111,0.44,109.978,https://api.spotify.com/v1/audio-analysis/16D5bGymrzpi9ZlnYXB5ql,230613
2Rw6wkd0q3LXx5xsdjLs1P,https://p.scdn.co/mp3-preview/d360c4d4c5d03fdf42d7b8286c00d68f5d31cbe0?cid=7596a347c632409f9829d4c3cb9fa3c7,j-idol,0.393,0.905,5,-4.382,0,0.0801,0.000633,0.000137,0.339,0.273,174.986,https://api.spotify.com/v1/audio-analysis/2Rw6wkd0q3LXx5xsdjLs1P,237354
7zuuWZo0MyOdG3VHg1Mgml,https://p.scdn.co/mp3-preview/62af660567b59e3481953c731d7ad2ba32d949a0?cid=7596a347c632409f9829d4c3cb9fa3c7,j-idol,0.371,0.985,2,-1.759,1,0.142,7.67e-05,0.0611,0.103,0.275,185.009,https://api.spotify.com/v1/audio-analysis/7zuuWZo0MyOdG3VHg1Mgml,240442
4pUNH4rWiabtBxj2UiGCKN,https://p.scdn.co/mp3-preview/fe72d7b75fee26ff3ce25bc4b07c7c9037e323da?cid=7596a347c632409f9829d4c3cb9fa3c7,j-idol,0.441,0.969,1,-3.281,1,0.157,2.89e-05,0.731,0.841,0.397,142.046,https://api.spotify.com/v1/audio-analysis/4pUNH4rWiabtBxj2UiGCKN,247587
2HEM4wcGP2nFT1Z2i6jtvo,https://p.scdn.co/mp3-preview/dc7d29fb176f9252900eb46d1c942b0acd83cc59?cid=7596a347c632409f9829d4c3cb9fa3c7,j-idol,0.397,0.921,6,-3.372,1,0.0763,0.000241,0.00167,0.348,0.215,112.606,https://api.spotify.com/v1/audio-analysis/2HEM4wcGP2nFT1Z2i6jtvo,183026
43hAWgANUMvybp1zDBMrRf,https://p.scdn.co/mp3-preview/b9478516460d8097dfb721221acd4fd5a7435edc?cid=7596a347c632409f9829d4c3cb9fa3c7,j-idol,0.521,0.989,10,-0.755,0,0.157,0.00285,0.00116,0.346,0.432,158.036,https://api.spotify.com/v1/audio-analysis/43hAWgANUMvybp1zDBMrRf,235159
5qL6RJj9Nj20DGAajzGAYi,https://p.scdn.co/mp3-preview/9efb4182219dcfff74b1a6ea8342a2b18e26fc6c?cid=7596a347c632409f9829d4c3cb9fa3c7,j-idol,0.573,0.908,1,-2.952,0,0.0523,0.0401,6.02e-06,0.168,0.422,135.013,https://api.spotify.com/v1/audio-analysis/5qL6RJj9Nj20DGAajzGAYi,351354
2A4wfplwsIXUUD3UVirWDd,https://p.scdn.co/mp3-preview/a88ff8c2466f3b59f50e86f7afa351bcad9869c1?cid=7596a347c632409f9829d4c3cb9fa3c7,j-idol,0.381,0.982,7,-2.865,1,0.271,0.00071,0.172,0.36,0.23,179.924,https://api.spotify.com/v1/audio-analysis/2A4wfplwsIXUUD3UVirWDd,263173
1bTZoQX1G6GmADCY0xwBbO,https://p.scdn.co/mp3-preview/83eccd98355900da0a1b5f2213c4e3bf788c9e3f?cid=7596a347c632409f9829d4c3cb9fa3c7,j-idol,0.512,0.993,4,-2.176,0,0.251,0.0003,1.16e-05,0.2,0.471,166.012,https://api.spotify.com/v1/audio-analysis/1bTZoQX1G6GmADCY0xwBbO,189852
4S3aU06ISAWFb0hIdZ4WL8,https://p.scdn.co/mp3-preview/32ef6e04c21e15f40c1cc6ea83d72c858647062c?cid=7596a347c632409f9829d4c3cb9fa3c7,j-idol,0.482,0.953,7,-1.444,1,0.0577,0.0198,0.0,0.105,0.453,105.025,https://api.spotify.com/v1/audio-analysis/4S3aU06ISAWFb0hIdZ4WL8,230431
1c6C2wg7PRbPBRRUaEvheC,https://p.scdn.co/mp3-preview/6aa879f30af88bbfaf9578056549b0e231c360f4?cid=7596a347c632409f9829d4c3cb9fa3c7,j-idol,0.634,0.988,4,-0.201,1,0.043,0.0469,0.000684,0.495,0.91,128.022,https://api.spotify.com/v1/audio-analysis/1c6C2wg7PRbPBRRUaEvheC,242827
6IVM1YYZq6K6NG6qqC26o4,https://p.scdn.co/mp3-preview/f272721b7290459dfefdfb9dba7edef0a3547844?cid=7596a347c632409f9829d4c3cb9fa3c7,j-idol,0.404,0.988,0,-1.756,1,0.193,0.00139,0.00419,0.125,0.38,185.051,https://api.spotify.com/v1/audio-analysis/6IVM1YYZq6K6NG6qqC26o4,232339
0uOtodY9htazL9wojWhKhQ,https://p.scdn.co/mp3-preview/d380cf5ee37a2bfd67078084b17b48dab99ce528?cid=7596a347c632409f9829d4c3cb9fa3c7,j-idol,0.349,0.963,10,-3.316,0,0.163,0.000353,7.28e-05,0.156,0.111,180.004,https://api.spotify.com/v1/audio-analysis/0uOtodY9htazL9wojWhKhQ,218661
0XuctrPVJmwNifmEaoC5Bj,https://p.scdn.co/mp3-preview/eb180c8bca6168dcfd1a54652313b7e1a729f58e?cid=7596a347c632409f9829d4c3cb9fa3c7,j-idol,0.271,0.914,2,-4.083,1,0.231,0.000141,2.53e-05,0.278,0.467,159.746,https://api.spotify.com/v1/audio-analysis/0XuctrPVJmwNifmEaoC5Bj,159519
3vk4V4vwotEvP16U1cM0HQ,https://p.scdn.co/mp3-preview/cf7276850e866e64180298609b12bfc45630f8da?cid=7596a347c632409f9829d4c3cb9fa3c7,j-idol,0.513,0.864,2,-3.364,1,0.0493,0.0187,5.15e-06,0.136,0.115,143.297,https://api.spotify.com/v1/audio-analysis/3vk4V4vwotEvP16U1cM0HQ,261720
4YXlnwnK3yt5xLfF5Q8wKG,https://p.scdn.co/mp3-preview/abb5f0d96d9204a8ef5ad4ae8e5ac89908c8baae?cid=7596a347c632409f9829d4c3cb9fa3c7,j-idol,0.413,0.988,0,-1.729,1,0.205,0.00123,0.00569,0.0836,0.362,185.034,https://api.spotify.com/v1/audio-analysis/4YXlnwnK3yt5xLfF5Q8wKG,230457
3RoHAivw8gRyzlWDsvbFTB,https://p.scdn.co/mp3-preview/11a560e11b161c469540428afed54126928df1f3?cid=7596a347c632409f9829d4c3cb9fa3c7,j-idol,0.502,0.953,2,-1.419,1,0.063,0.00831,0.0,0.432,0.695,167.908,https://api.spotify.com/v1/audio-analysis/3RoHAivw8gRyzlWDsvbFTB,224627
7McCOOQG8GQtngK2Obh0Ts,https://p.scdn.co/mp3-preview/d901e4e3a132d7bdccd84064da9f8b68010e531a?cid=7596a347c632409f9829d4c3cb9fa3c7,j-idol,0.442,0.973,7,-2.01,1,0.156,0.0268,0.0,0.108,0.635,164.852,https://api.spotify.com/v1/audio-analysis/7McCOOQG8GQtngK2Obh0Ts,249747
4f5Glh6TkdXN2osSIpVBNI,https://p.scdn.co/mp3-preview/d9e9db9a512e6b22e0541b8ca8e65ae85582e362?cid=7596a347c632409f9829d4c3cb9fa3c7,j-idol,0.204,0.964,1,-2.561,0,0.138,2.15e-05,0.00307,0.0705,0.217,204.913,https://api.spotify.com/v1/audio-analysis/4f5Glh6TkdXN2osSIpVBNI,318027
4bY2oZGA5Br3pTE1Jd1IfY,https://p.scdn.co/mp3-preview/5dffb51e3ea7974513f188ecbedc3b37df6cbb39?cid=7596a347c632409f9829d4c3cb9fa3c7,j-idol,0.555,0.941,9,-3.294,0,0.0481,0.484,0.0,0.266,0.813,92.487,https://api.spotify.com/v1/audio-analysis/4bY2oZGA5Br3pTE1Jd1IfY,236293
5iUjWA0lGW4TXr6KJs6Y0r,https://p.scdn.co/mp3-preview/09d530133114344b6219d70c46c9e41baa37768c?cid=7596a347c632409f9829d4c3cb9fa3c7,j-idol,0.7,0.814,4,-4.84,1,0.054,0.18,0.0,0.105,0.809,118.902,https://api.spotify.com/v1/audio-analysis/5iUjWA0lGW4TXr6KJs6Y0r,327147
130dsYbbXp9jQnETiJ7axI,https://p.scdn.co/mp3-preview/ce56ca3df03d58687feb1ed756fb54d7d8c5f626?cid=7596a347c632409f9829d4c3cb9fa3c7,j-idol,0.504,0.951,7,-0.524,1,0.116,0.00213,0.0,0.311,0.375,89.987,https://api.spotify.com/v1/audio-analysis/130dsYbbXp9jQnETiJ7axI,221400
66Pv3a4E0VYKfGJDXsvhk1,https://p.scdn.co/mp3-preview/47859016853b95aa180e9d9720dad622c5d5875c?cid=7596a347c632409f9829d4c3cb9fa3c7,j-idol,0.524,0.988,7,-2.1,1,0.196,0.0219,0.318,0.355,0.375,132.013,https://api.spotify.com/v1/audio-analysis/66Pv3a4E0VYKfGJDXsvhk1,190626
1COZviCcvLHDNexmP2OeN8,https://p.scdn.co/mp3-preview/56555671fb0539e1c4621431dcd7088ad82bed3d?cid=7596a347c632409f9829d4c3cb9fa3c7,j-idol,0.691,0.954,1,-1.755,1,0.0341,0.223,0.004,0.138,0.808,130.037,https://api.spotify.com/v1/audio-analysis/1COZviCcvLHDNexmP2OeN8,218467
4QTqzaot78lDo2gkauEgq5,https://p.scdn.co/mp3-preview/c2e89075a244d31c79c4528cfbb8644f6a3dae1b?cid=7596a347c632409f9829d4c3cb9fa3c7,j-idol,0.588,0.867,11,-3.533,0,0.0331,3.94e-05,2.73e-05,0.0457,0.79,132.026,https://api.spotify.com/v1/audio-analysis/4QTqzaot78lDo2gkauEgq5,194827
24UeVxRQCinBJtTwWT1158,https://p.scdn.co/mp3-preview/a3a23aab5e25d16c9cce7bfdcac51f72db2b79ab?cid=7596a347c632409f9829d4c3cb9fa3c7,j-idol,0.564,0.982,1,-1.992,0,0.0455,0.0386,0.844,0.129,0.868,128.008,https://api.spotify.com/v1/audio-analysis/24UeVxRQCinBJtTwWT1158,184040
31A3fFQivbhGo9aJQQCdtP,https://p.scdn.co/mp3-preview/fe2549b4bd30da5ff6a7c7867584ff9580db67b1?cid=7596a347c632409f9829d4c3cb9fa3c7,j-idol,0.588,0.881,11,-2.57,1,0.0304,0.00476,6.79e-06,0.0752,0.887,135.786,https://api.spotify.com/v1/audio-analysis/31A3fFQivbhGo9aJQQCdtP,191507
6jQlyd5BxicSaSzIsOeMTs,https://p.scdn.co/mp3-preview/030dfe76380522db343661700c1d36f6e52aadff?cid=7596a347c632409f9829d4c3cb9fa3c7,j-idol,0.361,0.976,1,-3.136,1,0.18,0.000373,0.000624,0.457,0.289,166.085,https://api.spotify.com/v1/audio-analysis/6jQlyd5BxicSaSzIsOeMTs,151461
7vDoJnjILA0pDLUTukwHGe,https://p.scdn.co/mp3-preview/49e534fb1c475d7630312433e74b53143ebdaebd?cid=7596a347c632409f9829d4c3cb9fa3c7,j-idol,0.487,0.945,1,-2.895,1,0.108,9.05e-05,0.214,0.227,0.197,97.51,https://api.spotify.com/v1/audio-analysis/7vDoJnjILA0pDLUTukwHGe,185195
