id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
0o9zmvc5f3EFApU52PPIyW,https://p.scdn.co/mp3-preview/7c6c9b88084027045f379ee7d53c96cae205d61a?cid=7596a347c632409f9829d4c3cb9fa3c7,j-pop,0.6,0.76,6,-6.124,0,0.0452,0.166,4.09e-05,0.189,0.519,158.078,https://api.spotify.com/v1/audio-analysis/0o9zmvc5f3EFApU52PPIyW,185573
5a1iz510sv2W9Dt1MvFd5R,https://p.scdn.co/mp3-preview/f786019ed94391c1421f75255fd56938a8cda612?cid=7596a347c632409f9829d4c3cb9fa3c7,j-pop,0.339,0.214,4,-11.714,1,0.0375,0.908,7.47e-06,0.341,0.363,94.775,https://api.spotify.com/v1/audio-analysis/5a1iz510sv2W9Dt1MvFd5R,206640
6tjituizSxwSmBB5vtgHZE,https://p.scdn.co/mp3-preview/2526c63b30b5ba5034600a939a8ea0bea0dd20fb?cid=7596a347c632409f9829d4c3cb9fa3c7,j-pop,0.647,0.465,7,-8.308,1,0.0428,0.865,0.0,0.0882,0.699,151.251,https://api.spotify.com/v1/audio-analysis/6tjituizSxwSmBB5vtgHZE,119787
1zNXF2svmdlNxfS5XeNUgr,https://p.scdn.co/mp3-preview/022afd65f75cc0632ff263c6ce9cc29cb7278d29?cid=7596a347c632409f9829d4c3cb9fa3c7,j-pop,0.745,0.219,5,-11.216,1,0.0276,0.851,1.8e-05,0.0678,0.635,88.609,https://api.spotify.com/v1/audio-analysis/1zNXF2svmdlNxfS5XeNUgr,186251
3I09LQbHS3NSU46Ly3tPpR,https://p.scdn.co/mp3-preview/150d3f0d171fb80ddff98d0eb6231988f2149638?cid=7596a347c632409f9829d4c3cb9fa3c7,j-pop,0.535,0.548,1,-6.51,1,0.037,0.533,1.48e-06,0.123,0.477,115.144,https://api.spotify.com/v1/audio-analysis/3I09LQbHS3NSU46Ly3tPpR,237333
6m59VvDUi0UQsB2eZ9wVbH,https://p.scdn.co/mp3-preview/868bf36895267a9e7106e9c8cdc36b347005c58a?cid=7596a347c632409f9829d4c3cb9fa3c7,j-pop,0.84,0.56,6,-10.53,0,0.21,0.00195,0.00417,0.633,0.775,111.815,https://api.spotify.com/v1/audio-analysis/6m59VvDUi0UQsB2eZ9wVbH,261853
0lLdorYw7lVrJydTINhWdI,https://p.scdn.co/mp3-preview/f786019ed94391c1421f75255fd56938a8cda612?cid=7596a347c632409f9829d4c3cb9fa3c7,j-pop,0.339,0.214,4,-11.714,1,0.0375,0.908,7.47e-06,0.341,0.363,94.775,https://api.spotify.com/v1/audio-analysis/0lLdorYw7lVrJydTINhWdI,206640
5PuKlCjfEVIXl0ZBp5ZW9g,https://p.scdn.co/mp3-preview/2526c63b30b5ba5034600a939a8ea0bea0dd20fb?cid=7596a347c632409f9829d4c3cb9fa3c7,j-pop,0.647,0.465,7,-8.308,1,0.0428,0.865,0.0,0.0882,0.699,151.251,https://api.spotify.com/v1/audio-analysis/5PuKlCjfEVIXl0ZBp5ZW9g,119787
1HL3yEnYq8LEyFQ3QegA5V,https://p.scdn.co/mp3-preview/3325efcafed235bc62694f4f95a390b9c29a2e14?cid=7596a347c632409f9829d4c3cb9fa3c7,j-pop,0.541,0.677,4,-10.764,1,0.0373,0.122,0.0191,0.0938,0.555,101.1,https://api.spotify.com/v1/audio-analysis/1HL3yEnYq8LEyFQ3QegA5V,316467
4j1Bk0BEIGCF9hR7cSwl9d,https://p.scdn.co/mp3-preview/a718441a2ea799be1618ac156e500618dfc8d372?cid=7596a347c632409f9829d4c3cb9fa3c7,j-pop,0.59,0.699,11,-7.529,0,0.079,0.00389,4.69e-05,0.0577,0.63,188.268,https://api.spotify.com/v1/audio-analysis/4j1Bk0BEIGCF9hR7cSwl9d,276067
6jGnykaS6TkWp15utXSAeI,https://p.scdn.co/mp3-preview/5933ffea33d1d4debf4752c4ed0f78dd7b6f319a?cid=7596a347c632409f9829d4c3cb9fa3c7,j-pop,0.436,0.141,0,-13.271,1,0.0308,0.902,2.81e-06,0.126,0.146,76.64,https://api.spotify.com/v1/audio-analysis/6jGnykaS6TkWp15utXSAeI,198227
7AMGgAPFczs3wJgMqu6Eqi,https://p.scdn.co/mp3-preview/d9cb19c7721b37de29fccdaf0f204b2db0e786f0?cid=7596a347c632409f9829d4c3cb9fa3c7,j-pop,0.663,0.731,1,-7.335,1,0.0338,0.00892,0.0502,0.293,0.356,97.025,https://api.spotify.com/v1/audio-analysis/7AMGgAPFczs3wJgMqu6Eqi,225920
1rN9QoVxw5U7TJkyaUR8C1,https://p.scdn.co/mp3-preview/c782c95a1a424415a7b0fd1307190c5ce93c5a25?cid=7596a347c632409f9829d4c3cb9fa3c7,j-pop,0.508,0.889,7,-2.755,0,0.0862,0.0495,0.0,0.0984,0.332,135.014,https://api.spotify.com/v1/audio-analysis/1rN9QoVxw5U7TJkyaUR8C1,238360
2ajUl8lBLAXOXNpG4NEPMz,https://p.scdn.co/mp3-preview/077f36152244ec1798b81d83ee449d889924fe7a?cid=7596a347c632409f9829d4c3cb9fa3c7,j-pop,0.713,0.639,2,-5.529,0,0.0313,0.753,0.0,0.0878,0.737,125.959,https://api.spotify.com/v1/audio-analysis/2ajUl8lBLAXOXNpG4NEPMz,188067
3dPtXHP0oXQ4HCWHsOA9js,https://p.scdn.co/mp3-preview/8687aad45ee04fdd8fd34dc7eacb29d3dc5353c8?cid=7596a347c632409f9829d4c3cb9fa3c7,j-pop,0.67,0.874,8,-5.221,1,0.0305,0.00231,1.72e-05,0.3,0.789,130.041,https://api.spotify.com/v1/audio-analysis/3dPtXHP0oXQ4HCWHsOA9js,261013
4fIWvT19w9PR0VVBuPYpWA,https://p.scdn.co/mp3-preview/a93201123543e98bb45b919c7df7e3d50413edb5?cid=7596a347c632409f9829d4c3cb9fa3c7,j-pop,0.615,0.733,8,-4.808,1,0.0335,0.152,0.0,0.109,0.796,122.58,https://api.spotify.com/v1/audio-analysis/4fIWvT19w9PR0VVBuPYpWA,244587
6MCjmGYlw6mQVWRFVgBRvB,https://p.scdn.co/mp3-preview/092dacc6aab10975667e7515f7f6d9485c043a57?cid=7596a347c632409f9829d4c3cb9fa3c7,j-pop,0.663,0.871,8,-5.287,1,0.03,0.00299,1.8e-06,0.337,0.826,130.025,https://api.spotify.com/v1/audio-analysis/6MCjmGYlw6mQVWRFVgBRvB,258840
71EHOyEOhNx1SzTebRRyng,https://p.scdn.co/mp3-preview/ec3ffb1741961bcb37f90a904b51288c575d2562?cid=7596a347c632409f9829d4c3cb9fa3c7,j-pop,0.693,0.533,2,-10.954,0,0.0402,0.107,0.0,0.0695,0.568,127.661,https://api.spotify.com/v1/audio-analysis/71EHOyEOhNx1SzTebRRyng,291907
6XK6Zw6JkFsHXzAcMWNiIr,https://p.scdn.co/mp3-preview/67a3cde1783e4f6dd082c50a03cc9595afbbebde?cid=7596a347c632409f9829d4c3cb9fa3c7,j-pop,0.5,0.704,0,-8.797,1,0.0695,0.125,1.79e-05,0.138,0.722,119.463,https://api.spotify.com/v1/audio-analysis/6XK6Zw6JkFsHXzAcMWNiIr,263360
6yLzHmsyLqMBbDd116xdIH,https://p.scdn.co/mp3-preview/3a214d4787e90a72a0928ca7a9aae063fe5faf39?cid=7596a347c632409f9829d4c3cb9fa3c7,j-pop,0.575,0.405,7,-8.352,1,0.0311,0.809,4.82e-06,0.127,0.368,127.672,https://api.spotify.com/v1/audio-analysis/6yLzHmsyLqMBbDd116xdIH,226520
3Z6YFMYEBgUIv7BmepFdr2,https://p.scdn.co/mp3-preview/fb95e7b57d76678166713946880b807a471e7984?cid=7596a347c632409f9829d4c3cb9fa3c7,j-pop,0.572,0.721,5,-5.502,1,0.0261,0.577,0.000483,0.332,0.544,99.346,https://api.spotify.com/v1/audio-analysis/3Z6YFMYEBgUIv7BmepFdr2,177627
500Tkm3vJmVtdUwdCVxCTb,https://p.scdn.co/mp3-preview/1a7a29a63a225e134a3e6ba760acb0059cb0a9d8?cid=7596a347c632409f9829d4c3cb9fa3c7,j-pop,0.629,0.867,7,-7.307,1,0.0603,0.0865,0.0,0.126,0.876,151.695,https://api.spotify.com/v1/audio-analysis/500Tkm3vJmVtdUwdCVxCTb,279800
7zkLpY72g6lKQbiHDqri1S,https://p.scdn.co/mp3-preview/357bc098f9ebdbda2af6c6c64e555653b6488178?cid=7596a347c632409f9829d4c3cb9fa3c7,j-pop,0.526,0.299,8,-13.797,1,0.031,0.941,0.097,0.106,0.679,156.848,https://api.spotify.com/v1/audio-analysis/7zkLpY72g6lKQbiHDqri1S,200627
3lUOzabhWYyRImRszpJGOU,https://p.scdn.co/mp3-preview/b4a0ce7a23476c1712204a68ae7947c68003ad99?cid=7596a347c632409f9829d4c3cb9fa3c7,j-pop,0.528,0.855,0,-5.229,1,0.0953,7.38e-05,1.81e-06,0.281,0.549,146.987,https://api.spotify.com/v1/audio-analysis/3lUOzabhWYyRImRszpJGOU,200997
4wLZ4zPM9c4oe1VV8ejdWV,https://p.scdn.co/mp3-preview/9f2754b09c517f16f65d7502e3b287bd414dac01?cid=7596a347c632409f9829d4c3cb9fa3c7,j-pop,0.608,0.37,7,-9.207,1,0.0306,0.844,1.87e-05,0.112,0.349,127.631,https://api.spotify.com/v1/audio-analysis/4wLZ4zPM9c4oe1VV8ejdWV,225907
5IFCyWplye09HytIP80RCF,https://p.scdn.co/mp3-preview/39cba8147c1c6ca03c4d6af64d40007cf1a89bd6?cid=7596a347c632409f9829d4c3cb9fa3c7,j-pop,0.847,0.402,7,-9.952,1,0.0641,0.0118,0.0,0.283,0.752,99.693,https://api.spotify.com/v1/audio-analysis/5IFCyWplye09HytIP80RCF,259440
