id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
6k0X05danQOXSBTVek5DU1,https://p.scdn.co/mp3-preview/37eaf57a3a809b0838056d12f472a2aa3cee384a?cid=7596a347c632409f9829d4c3cb9fa3c7,j-rock,0.459,0.878,5,-1.399,0,0.0688,5.62e-05,0.000307,0.371,0.494,144.852,https://api.spotify.com/v1/audio-analysis/6k0X05danQOXSBTVek5DU1,220799
3KzgdYUlqV6TOG7JCmx2Wg,https://p.scdn.co/mp3-preview/bcbafc9d8800f1422e08f42270e28f84e9125006?cid=7596a347c632409f9829d4c3cb9fa3c7,j-rock,0.521,0.516,2,-7.456,0,0.0369,0.723,0.0,0.257,0.569,136.483,https://api.spotify.com/v1/audio-analysis/3KzgdYUlqV6TOG7JCmx2Wg,172480
5ZLzl6T8JwqMTMdoE0nCbU,https://p.scdn.co/mp3-preview/f3f6caa97a78320c7c0d55fb5e1fbf2dca23edf5?cid=7596a347c632409f9829d4c3cb9fa3c7,j-rock,0.642,0.628,7,-12.849,1,0.0358,0.334,8.29e-06,0.614,0.893,103.317,https://api.spotify.com/v1/audio-analysis/5ZLzl6T8JwqMTMdoE0nCbU,201867
7LbfuQVct78YoghmoPtsQ8,https://p.scdn.co/mp3-preview/0a9200754d1bce18d40465d8412850cc0d849166?cid=7596a347c632409f9829d4c3cb9fa3c7,j-rock,0.671,0.405,0,-10.052,1,0.0392,0.385,0.0,0.132,0.828,99.678,https://api.spotify.com/v1/audio-analysis/7LbfuQVct78YoghmoPtsQ8,265067
0KCSJzsQVxkloxoT7dyrqV,https://p.scdn.co/mp3-preview/745acff50acbf26c721b3b949117122cc595326c?cid=7596a347c632409f9829d4c3cb9fa3c7,j-rock,0.408,0.875,8,-1.536,1,0.0546,1.68e-05,0.000101,0.264,0.646,144.975,https://api.spotify.com/v1/audio-analysis/0KCSJzsQVxkloxoT7dyrqV,90266
4euYSSvpQZSAQ4gThyL2QD,https://p.scdn.co/mp3-preview/5112837b1d07a8c7adfb38ec957e2a563b5e0424?cid=7596a347c632409f9829d4c3cb9fa3c7,j-rock,0.453,0.607,3,-13.4,1,0.0345,0.337,0.0237,0.0998,0.724,91.468,https://api.spotify.com/v1/audio-analysis/4euYSSvpQZSAQ4gThyL2QD,221891
1OE5l6sedVcIFELMuxQOPI,https://p.scdn.co/mp3-preview/3ae036caf013bf082e12c13fb00eb146a0fa399a?cid=7596a347c632409f9829d4c3cb9fa3c7,j-rock,0.604,0.411,7,-14.258,1,0.034,0.427,5.74e-05,0.602,0.675,126.637,https://api.spotify.com/v1/audio-analysis/1OE5l6sedVcIFELMuxQOPI,249734
0mJQlCl9YgxW7kyeltNiVk,https://p.scdn.co/mp3-preview/d41f9574e9fa68c596cb67cc09b743ad7e3b3a1f?cid=7596a347c632409f9829d4c3cb9fa3c7,j-rock,0.612,0.696,11,-11.34,1,0.0353,0.0785,9.4e-06,0.14,0.849,159.829,https://api.spotify.com/v1/audio-analysis/0mJQlCl9YgxW7kyeltNiVk,350862
6iX1QW1gGIVNEItnqyvFfH,https://p.scdn.co/mp3-preview/ba13ed8a442a78aa19989609e7dfa84fc2c5f4ea?cid=7596a347c632409f9829d4c3cb9fa3c7,j-rock,0.491,0.47,4,-13.45,1,0.0264,0.747,0.747,0.128,0.846,93.964,https://api.spotify.com/v1/audio-analysis/6iX1QW1gGIVNEItnqyvFfH,311704
3euDGpS2R0NC2Xssqxohva,https://p.scdn.co/mp3-preview/a380eeb09d36f712b3d4931368b307a3a2d757a2?cid=7596a347c632409f9829d4c3cb9fa3c7,j-rock,0.537,0.559,4,-12.224,1,0.0315,0.314,0.000795,0.116,0.918,167.758,https://api.spotify.com/v1/audio-analysis/3euDGpS2R0NC2Xssqxohva,259702
3KhwEuqLNjHfsKaBDo1yVh,https://p.scdn.co/mp3-preview/0b617a10c94865344fcd285d6d9dc32900df03b3?cid=7596a347c632409f9829d4c3cb9fa3c7,j-rock,0.473,0.936,2,-4.877,1,0.0704,0.00916,0.0422,0.31,0.416,144.014,https://api.spotify.com/v1/audio-analysis/3KhwEuqLNjHfsKaBDo1yVh,280467
1I6l01BaBgBCVkfQCpIlR6,https://p.scdn.co/mp3-preview/83fd2bf555026733e9def7c57f208bb0dae44d77?cid=7596a347c632409f9829d4c3cb9fa3c7,j-rock,0.644,0.623,11,-13.862,0,0.059,0.389,0.0202,0.0617,0.676,126.553,https://api.spotify.com/v1/audio-analysis/1I6l01BaBgBCVkfQCpIlR6,306974
3E5ndyOfO6vFDEIE42HA8o,https://p.scdn.co/mp3-preview/5b4394f7e80961097c78ba20f209c9ef5a6a2364?cid=7596a347c632409f9829d4c3cb9fa3c7,j-rock,0.549,0.529,3,-12.291,0,0.108,0.76,0.0,0.206,0.464,82.755,https://api.spotify.com/v1/audio-analysis/3E5ndyOfO6vFDEIE42HA8o,184333
2tVQhBSJ1SQtb4gX0taaiR,https://p.scdn.co/mp3-preview/c74f1b013609e8142c853bcbe1a66b8ac7503697?cid=7596a347c632409f9829d4c3cb9fa3c7,j-rock,0.345,0.745,2,-11.021,1,0.0327,0.365,0.735,0.19,0.879,105.058,https://api.spotify.com/v1/audio-analysis/2tVQhBSJ1SQtb4gX0taaiR,450600
26uHwSHlaK5mskSMhbRod3,https://p.scdn.co/mp3-preview/92664e72820900e3c8a0f5c488d5be7702f46cf2?cid=7596a347c632409f9829d4c3cb9fa3c7,j-rock,0.571,0.281,5,-10.56,1,0.0475,0.74,0.0,0.163,0.294,142.263,https://api.spotify.com/v1/audio-analysis/26uHwSHlaK5mskSMhbRod3,233667
5XeUMqS6mpTEspPgd5TLtg,https://p.scdn.co/mp3-preview/9cf66b2c35896dd4b0639125e4a4c8e649d0aaf5?cid=7596a347c632409f9829d4c3cb9fa3c7,j-rock,0.526,0.774,5,-1.692,1,0.0459,0.715,0.0,0.437,0.715,131.715,https://api.spotify.com/v1/audio-analysis/5XeUMqS6mpTEspPgd5TLtg,150706
5CGpPUcUahMuLzkNK9ZgPP,https://p.scdn.co/mp3-preview/4347a479092d1d5e4f72b27e65050009a59b8c4e?cid=7596a347c632409f9829d4c3cb9fa3c7,j-rock,0.24,0.615,2,-14.117,1,0.0677,0.171,0.0125,0.0801,0.768,166.657,https://api.spotify.com/v1/audio-analysis/5CGpPUcUahMuLzkNK9ZgPP,334000
4H1aZMAqnzICsnFVDf6Lxc,https://p.scdn.co/mp3-preview/abde340f2f05320fe29e4daf1a2b2e5d17089c46?cid=7596a347c632409f9829d4c3cb9fa3c7,j-rock,0.848,0.463,7,-9.009,1,0.0854,0.378,0.0,0.103,0.948,133.0,https://api.spotify.com/v1/audio-analysis/4H1aZMAqnzICsnFVDf6Lxc,218240
0eTHlx53lUn95HVsJtR6Qx,https://p.scdn.co/mp3-preview/5a27966b7a7dd4a9a361ebcfdbc94019ce6565e8?cid=7596a347c632409f9829d4c3cb9fa3c7,j-rock,0.566,0.669,9,-10.081,1,0.0694,0.7,0.0654,0.588,0.92,149.702,https://api.spotify.com/v1/audio-analysis/0eTHlx53lUn95HVsJtR6Qx,239107
1QesQ27kCWYTYuXJi8SApS,https://p.scdn.co/mp3-preview/a77ad6a7948ed13322b3e964b921c5ab051a13a3?cid=7596a347c632409f9829d4c3cb9fa3c7,j-rock,0.254,0.928,9,-5.885,0,0.318,0.487,1.33e-05,0.112,0.327,189.451,https://api.spotify.com/v1/audio-analysis/1QesQ27kCWYTYuXJi8SApS,206400
5eo3Oql60QR7NL2zcEsbe8,https://p.scdn.co/mp3-preview/83da5187829e469a6f1e7e3ed069f3f0f4b01fd8?cid=7596a347c632409f9829d4c3cb9fa3c7,j-rock,0.468,0.527,5,-10.781,1,0.0407,0.314,0.0,0.234,0.749,94.852,https://api.spotify.com/v1/audio-analysis/5eo3Oql60QR7NL2zcEsbe8,257600
6xAa0kGkTLU22ZyoHOCHgi,https://p.scdn.co/mp3-preview/96f299b92f3546dd36ce1961285d530134b4a722?cid=7596a347c632409f9829d4c3cb9fa3c7,j-rock,0.824,0.377,2,-9.222,1,0.0436,0.107,0.604,0.11,0.779,116.342,https://api.spotify.com/v1/audio-analysis/6xAa0kGkTLU22ZyoHOCHgi,252760
