id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
1ko2lVN0vKGUl9zrU0qSlT,https://p.scdn.co/mp3-preview/b5af7999df29bda638f33e9f348890d681c466bd?cid=7596a347c632409f9829d4c3cb9fa3c7,jazz,0.749,0.497,10,-12.609,0,0.105,0.41,0.0499,0.0504,0.585,95.818,https://api.spotify.com/v1/audio-analysis/1ko2lVN0vKGUl9zrU0qSlT,438493
4Hhv2vrOTy89HFRcjU3QOx,https://p.scdn.co/mp3-preview/eeb6fb02848b78849ae9f73fa5d8f1abe31fcc27?cid=7596a347c632409f9829d4c3cb9fa3c7,jazz,0.274,0.348,5,-8.631,1,0.0293,0.547,0.0133,0.334,0.328,87.43,https://api.spotify.com/v1/audio-analysis/4Hhv2vrOTy89HFRcjU3QOx,179693
3bMfUUpzUzqWp9II00yRhE,https://p.scdn.co/mp3-preview/70369549a0b65ff16d9a38c0ea988b99a4c1884e?cid=7596a347c632409f9829d4c3cb9fa3c7,jazz,0.367,0.122,9,-21.34,0,0.0319,0.984,4.37e-05,0.172,0.104,75.265,https://api.spotify.com/v1/audio-analysis/3bMfUUpzUzqWp9II00yRhE,163093
29U7stRjqHU6rMiS8BfaI9,https://p.scdn.co/mp3-preview/e7604e05c0dd222f180437152ee7a2dc08b6534f?cid=7596a347c632409f9829d4c3cb9fa3c7,jazz,0.271,0.165,5,-20.652,1,0.0351,0.729,1.6e-06,0.118,0.203,77.082,https://api.spotify.com/v1/audio-analysis/29U7stRjqHU6rMiS8BfaI9,139227
4YhY2qHdBmSX33uj8ms0oq,https://p.scdn.co/mp3-preview/91aa7c29dd2636f862cbe97047cfbb59fd29d083?cid=7596a347c632409f9829d4c3cb9fa3c7,jazz,0.583,0.191,5,-15.938,1,0.0404,0.908,0.00824,0.126,0.342,123.303,https://api.spotify.com/v1/audio-analysis/4YhY2qHdBmSX33uj8ms0oq,309387
4ukUoXLuFzMixyZyabSGc4,https://p.scdn.co/mp3-preview/e15c9f6357a0bf54a18930f95dc6048ee74426d1?cid=7596a347c632409f9829d4c3cb9fa3c7,jazz,0.508,0.287,1,-12.472,1,0.0523,0.764,0.0,0.153,0.644,154.759,https://api.spotify.com/v1/audio-analysis/4ukUoXLuFzMixyZyabSGc4,175987
1kPBT8S2wJFNAyBMnGVZgL,https://p.scdn.co/mp3-preview/f1f48ab578d350b5ed7ebcdf47cbd7318cdd44f7?cid=7596a347c632409f9829d4c3cb9fa3c7,jazz,0.477,0.433,11,-6.473,0,0.0247,0.689,0.000195,0.151,0.611,82.52,https://api.spotify.com/v1/audio-analysis/1kPBT8S2wJFNAyBMnGVZgL,156653
4TTV7EcfroSLWzXRY6gLv6,https://p.scdn.co/mp3-preview/fc4de8132105ad26253ea2509546c27ba1ace84d?cid=7596a347c632409f9829d4c3cb9fa3c7,jazz,0.609,0.435,11,-7.861,0,0.285,0.522,0.0,0.118,0.552,131.995,https://api.spotify.com/v1/audio-analysis/4TTV7EcfroSLWzXRY6gLv6,236738
030mot3ZKR3oskfMsqDB2R,https://p.scdn.co/mp3-preview/9381dbb0c6d4a97c2f87deb9cf5fdb404daa3132?cid=7596a347c632409f9829d4c3cb9fa3c7,jazz,0.156,0.184,6,-14.82,1,0.0393,0.97,0.00458,0.26,0.107,180.887,https://api.spotify.com/v1/audio-analysis/030mot3ZKR3oskfMsqDB2R,162333
0zGLlXbHlrAyBN1x6sY0rb,https://p.scdn.co/mp3-preview/a55f7c6ceb150e3371b6b5b191cc19c23acffebc?cid=7596a347c632409f9829d4c3cb9fa3c7,jazz,0.421,0.285,2,-9.43,0,0.0293,0.829,1.55e-06,0.233,0.402,85.861,https://api.spotify.com/v1/audio-analysis/0zGLlXbHlrAyBN1x6sY0rb,196133
