id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
65FftemJ1DbbZ45DUfHJXE,https://p.scdn.co/mp3-preview/d6a09f1041dfb86bb15c5082f82787bda6ae8657?cid=7596a347c632409f9829d4c3cb9fa3c7,k-pop,0.804,0.771,9,-4.067,0,0.0433,0.357,3.07e-06,0.108,0.739,126.956,https://api.spotify.com/v1/audio-analysis/65FftemJ1DbbZ45DUfHJXE,212253
3r8RuvgbX9s7ammBn07D3W,https://p.scdn.co/mp3-preview/eb2f900650461c19ca4c5cb968a956479fae5c89?cid=7596a347c632409f9829d4c3cb9fa3c7,k-pop,0.814,0.641,6,-5.957,0,0.111,0.027,0.0,0.0993,0.183,133.854,https://api.spotify.com/v1/audio-analysis/3r8RuvgbX9s7ammBn07D3W,185507
0a4MMyCrzT0En247IhqZbD,https://p.scdn.co/mp3-preview/3ea1291a2d8e2f830bb2a975fad52314f0afce49?cid=7596a347c632409f9829d4c3cb9fa3c7,k-pop,0.593,0.935,4,-3.43,0,0.225,0.268,0.0,0.286,0.783,99.976,https://api.spotify.com/v1/audio-analysis/0a4MMyCrzT0En247IhqZbD,179027
5NcLyVjUgG0yfwHgr5t81w,https://p.scdn.co/mp3-preview/8121699ef4011ac0154d9c3b85b3ad3a075c1b0c?cid=7596a347c632409f9829d4c3cb9fa3c7,k-pop,0.749,0.781,1,-3.265,1,0.0578,0.392,2.12e-06,0.086,0.606,125.09,https://api.spotify.com/v1/audio-analysis/5NcLyVjUgG0yfwHgr5t81w,180320
2pIUpMhHL6L9Z5lnKxJJr9,https://p.scdn.co/mp3-preview/41f1cfd9d9ec378998f06edcca129af8b4f136b6?cid=7596a347c632409f9829d4c3cb9fa3c7,k-pop,0.811,0.648,10,-3.684,0,0.0368,0.236,0.0,0.0761,0.695,104.988,https://api.spotify.com/v1/audio-analysis/2pIUpMhHL6L9Z5lnKxJJr9,180067
0rhI6gvOeCKA502RdJAbfs,https://p.scdn.co/mp3-preview/0c8e2d710ad4ccd9d469ec5fdfd5aadddac913ed?cid=7596a347c632409f9829d4c3cb9fa3c7,k-pop,0.712,0.893,10,-3.995,0,0.0851,0.00788,0.0,0.169,0.828,125.022,https://api.spotify.com/v1/audio-analysis/0rhI6gvOeCKA502RdJAbfs,186571
2DwUdMJ5uxv20EhAildreg,https://p.scdn.co/mp3-preview/0867c4a33a1271cdd05146e874f6d5ede4c19035?cid=7596a347c632409f9829d4c3cb9fa3c7,k-pop,0.847,0.638,0,-3.764,1,0.0575,0.0596,0.0,0.0894,0.661,156.935,https://api.spotify.com/v1/audio-analysis/2DwUdMJ5uxv20EhAildreg,235562
1RDvyOk4WtPCtoqciJwVn8,https://p.scdn.co/mp3-preview/19419d25c400d694b26420699c5b1b94f1628955?cid=7596a347c632409f9829d4c3cb9fa3c7,k-pop,0.71,0.879,0,-4.218,1,0.0422,0.158,0.00142,0.439,0.341,114.993,https://api.spotify.com/v1/audio-analysis/1RDvyOk4WtPCtoqciJwVn8,201391
69xohKu8C1fsflYAiSNbwM,https://p.scdn.co/mp3-preview/740c53f438d3cb63de5d099e7253cfff9a9feabb?cid=7596a347c632409f9829d4c3cb9fa3c7,k-pop,0.724,0.818,8,-3.747,1,0.168,0.0201,0.0,0.0358,0.696,77.004,https://api.spotify.com/v1/audio-analysis/69xohKu8C1fsflYAiSNbwM,204940
0f0SbtoKGe41cX5LzlnX6X,https://p.scdn.co/mp3-preview/72d98184fcf9595289f257dd033682c67364459b?cid=7596a347c632409f9829d4c3cb9fa3c7,k-pop,0.9,0.725,5,-6.213,0,0.135,0.179,0.00101,0.0791,0.791,100.015,https://api.spotify.com/v1/audio-analysis/0f0SbtoKGe41cX5LzlnX6X,157262
