id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
7toIqSTfa9Phsmu2hKwTyx,https://p.scdn.co/mp3-preview/cb0da2ae53eba1fe1996b328403c93071558cd0c?cid=7596a347c632409f9829d4c3cb9fa3c7,kids,0.777,0.111,4,-14.423,1,0.335,0.414,0.0,0.459,0.556,139.888,https://api.spotify.com/v1/audio-analysis/7toIqSTfa9Phsmu2hKwTyx,103493
5dplq6kgm3l0BGtBI5YzoU,https://p.scdn.co/mp3-preview/26156e56dfc5ccc12af2a514110b858ce75b1f55?cid=7596a347c632409f9829d4c3cb9fa3c7,kids,0.72,0.822,7,-9.809,1,0.133,0.096,0.455,0.36,0.88,131.736,https://api.spotify.com/v1/audio-analysis/5dplq6kgm3l0BGtBI5YzoU,86335
7GizF53H6JpwNWIEsZRuWC,https://p.scdn.co/mp3-preview/a7f8aa7d38d2c07491e8a7e1478c0a178526ae2d?cid=7596a347c632409f9829d4c3cb9fa3c7,kids,0.823,0.576,6,-7.225,1,0.0907,0.0292,0.000109,0.0465,0.943,131.97,https://api.spotify.com/v1/audio-analysis/7GizF53H6JpwNWIEsZRuWC,117137
1R77CxppnheFfIGNgQ9NF8,https://p.scdn.co/mp3-preview/3f65929da6096ae5676c47102dd362ac2921c3d0?cid=7596a347c632409f9829d4c3cb9fa3c7,kids,0.8,0.887,9,-3.419,0,0.293,0.276,5.48e-06,0.345,0.487,135.034,https://api.spotify.com/v1/audio-analysis/1R77CxppnheFfIGNgQ9NF8,76889
33Are2qiGVcR2pS4EwWLY3,https://p.scdn.co/mp3-preview/18260d102bccd6fb5eaefff6edb6b4b37a828824?cid=7596a347c632409f9829d4c3cb9fa3c7,kids,0.837,0.603,4,-4.819,1,0.163,0.141,0.0,0.146,0.932,98.884,https://api.spotify.com/v1/audio-analysis/33Are2qiGVcR2pS4EwWLY3,150240
6gwhF3t8taMbjpklXAgwMN,https://p.scdn.co/mp3-preview/baadeff168db99ac2d59ebf71a5a786e42a668e2?cid=7596a347c632409f9829d4c3cb9fa3c7,kids,0.901,0.76,11,-12.316,0,0.84,0.298,0.0,0.966,0.638,134.021,https://api.spotify.com/v1/audio-analysis/6gwhF3t8taMbjpklXAgwMN,138841
3aCnWGT8DmlbpAV75McnZR,https://p.scdn.co/mp3-preview/43480ff71532203cd29e55c2887eb198d12fe328?cid=7596a347c632409f9829d4c3cb9fa3c7,kids,0.88,0.379,7,-11.647,1,0.0493,0.819,0.0,0.0869,0.682,135.28,https://api.spotify.com/v1/audio-analysis/3aCnWGT8DmlbpAV75McnZR,145547
6MDIYpxszXLSjzXSttR83O,https://p.scdn.co/mp3-preview/1d81cd1a81b18fc17e1cdc1341d4434474739583?cid=7596a347c632409f9829d4c3cb9fa3c7,kids,0.852,0.858,5,-5.185,0,0.153,0.0642,7.33e-06,0.12,0.737,130.977,https://api.spotify.com/v1/audio-analysis/6MDIYpxszXLSjzXSttR83O,68253
2dIpzVC9RzJIYca6fGcPTT,https://p.scdn.co/mp3-preview/9ca81b747a0ed2dbf17186997278651e7ad5b9cb?cid=7596a347c632409f9829d4c3cb9fa3c7,kids,0.847,0.801,3,-4.073,1,0.105,0.278,0.0,0.326,0.709,109.965,https://api.spotify.com/v1/audio-analysis/2dIpzVC9RzJIYca6fGcPTT,140547
5Sho3kEbYXopoXPhPACqo7,https://p.scdn.co/mp3-preview/fcdfba0c13a5900cce8d785ba7db6836bd7a4e41?cid=7596a347c632409f9829d4c3cb9fa3c7,kids,0.856,0.905,11,-6.82,0,0.146,0.041,0.00385,0.315,0.805,131.003,https://api.spotify.com/v1/audio-analysis/5Sho3kEbYXopoXPhPACqo7,222080
7LGN2GZWO52C2rfP3LZRVX,https://p.scdn.co/mp3-preview/e182cdff60c9b138d9c8d0b4ce3e4d6f3d45229f?cid=7596a347c632409f9829d4c3cb9fa3c7,kids,0.803,0.845,8,-5.384,1,0.073,0.0394,0.0,0.0659,0.865,104.036,https://api.spotify.com/v1/audio-analysis/7LGN2GZWO52C2rfP3LZRVX,198841
6wvGym7k86suc2vzDvlV7s,https://p.scdn.co/mp3-preview/2697bd1a0425b1748aa3bcb16d5ab2241a4d0d87?cid=7596a347c632409f9829d4c3cb9fa3c7,kids,0.912,0.336,0,-10.208,1,0.0774,0.314,1.35e-05,0.0902,0.944,87.255,https://api.spotify.com/v1/audio-analysis/6wvGym7k86suc2vzDvlV7s,74475
2wszvTynYUgtdswbsEc8b2,https://p.scdn.co/mp3-preview/28b99b1941bf680bf419f74d999a62a7b070e0aa?cid=7596a347c632409f9829d4c3cb9fa3c7,kids,0.681,0.699,1,-5.687,1,0.0848,0.0954,0.0,0.339,0.92,133.934,https://api.spotify.com/v1/audio-analysis/2wszvTynYUgtdswbsEc8b2,213542
6ypvDexHoPYmCX1sQkR0Zw,https://p.scdn.co/mp3-preview/bf54b63ccce8ba5cd1270d527746323de4233ede?cid=7596a347c632409f9829d4c3cb9fa3c7,kids,0.786,0.67,6,-4.907,0,0.132,0.0327,0.0,0.525,0.526,121.058,https://api.spotify.com/v1/audio-analysis/6ypvDexHoPYmCX1sQkR0Zw,208264
7MlHAwgcmu22zmYFM2b5U2,https://p.scdn.co/mp3-preview/9a1d15626ee7fb4e84fbdad17f21fd64161ae2b9?cid=7596a347c632409f9829d4c3cb9fa3c7,kids,0.612,0.876,5,-4.799,1,0.0745,0.308,1.74e-06,0.325,0.694,133.003,https://api.spotify.com/v1/audio-analysis/7MlHAwgcmu22zmYFM2b5U2,174640
5ddiqtnKYhGULuJATEAJsM,https://p.scdn.co/mp3-preview/3fc4910addd665aa684f6474a702554e794ad6d9?cid=7596a347c632409f9829d4c3cb9fa3c7,kids,0.851,0.473,0,-7.552,1,0.0361,0.753,0.0,0.076,0.836,115.988,https://api.spotify.com/v1/audio-analysis/5ddiqtnKYhGULuJATEAJsM,106707
01T4buqkBxrcmDItr4bip2,https://p.scdn.co/mp3-preview/8744da476b2f762600c8208091a7430296c1a875?cid=7596a347c632409f9829d4c3cb9fa3c7,kids,0.711,0.63,0,-6.591,1,0.238,0.451,9.2e-06,0.129,0.851,119.027,https://api.spotify.com/v1/audio-analysis/01T4buqkBxrcmDItr4bip2,42467
4bhX85fxOd0E2UtOJcg7TN,https://p.scdn.co/mp3-preview/d6bd4150f5990ab916b376d5e1dee72201fb939d?cid=7596a347c632409f9829d4c3cb9fa3c7,kids,0.841,0.302,2,-13.288,0,0.261,0.756,3.58e-05,0.0677,0.294,132.259,https://api.spotify.com/v1/audio-analysis/4bhX85fxOd0E2UtOJcg7TN,183745
3AMEMR4r2vDR4KiXZKbdtk,https://p.scdn.co/mp3-preview/fae056110b9881b59c549600f96001797c30639e?cid=7596a347c632409f9829d4c3cb9fa3c7,kids,0.814,0.909,1,-4.442,1,0.431,0.189,0.0,0.0597,0.866,105.928,https://api.spotify.com/v1/audio-analysis/3AMEMR4r2vDR4KiXZKbdtk,62250
7Ha8f5IRot8kj5nxbl3Zre,https://p.scdn.co/mp3-preview/fded3ef6dfeeaf263a48438043346b3d099e3fc0?cid=7596a347c632409f9829d4c3cb9fa3c7,kids,0.893,0.755,3,-5.637,1,0.418,0.223,0.0,0.339,0.882,131.36,https://api.spotify.com/v1/audio-analysis/7Ha8f5IRot8kj5nxbl3Zre,129114
5nIXAjxnjP3j7MJmoH666C,https://p.scdn.co/mp3-preview/d73480ad07b5d50d6ee5e00412468639dfdb09ff?cid=7596a347c632409f9829d4c3cb9fa3c7,kids,0.914,0.891,7,-6.171,1,0.303,0.165,0.0,0.0724,0.734,108.013,https://api.spotify.com/v1/audio-analysis/5nIXAjxnjP3j7MJmoH666C,237920
3DY7C6o4zd4VnjYDFQ8MzI,https://p.scdn.co/mp3-preview/a8ef280238977aba6fc0d903362717effd4fb186?cid=7596a347c632409f9829d4c3cb9fa3c7,kids,0.884,0.705,10,-6.04,0,0.125,0.00821,0.0,0.0363,0.694,113.94,https://api.spotify.com/v1/audio-analysis/3DY7C6o4zd4VnjYDFQ8MzI,96029
3AvbDb3lH6o1x1OR1Jxe7A,https://p.scdn.co/mp3-preview/61cca3e22099bcef9ebe8862b1a5165615294f71?cid=7596a347c632409f9829d4c3cb9fa3c7,kids,0.435,0.351,5,-6.153,1,0.0422,0.54,0.0,0.0912,0.511,72.984,https://api.spotify.com/v1/audio-analysis/3AvbDb3lH6o1x1OR1Jxe7A,198547
3vZlaIppIemKuC1rAyO1AR,https://p.scdn.co/mp3-preview/78867e0c97e2e31c50404daeb087318dfaca7393?cid=7596a347c632409f9829d4c3cb9fa3c7,kids,0.587,0.957,7,-4.098,1,0.0292,0.0991,0.0337,0.911,0.963,108.453,https://api.spotify.com/v1/audio-analysis/3vZlaIppIemKuC1rAyO1AR,147133
7aws23b78f5CcM4VV6ycpt,https://p.scdn.co/mp3-preview/6b1521674b0905112e056c6a6aa5ec25c4124b0d?cid=7596a347c632409f9829d4c3cb9fa3c7,kids,0.796,0.716,10,-4.882,0,0.0449,0.158,0.0,0.149,0.886,130.037,https://api.spotify.com/v1/audio-analysis/7aws23b78f5CcM4VV6ycpt,89900
40aF8upN1GeHQCcNFlDT9J,https://p.scdn.co/mp3-preview/d3c8fab9a09b3fa03d9906aed834b405c3ba5fcb?cid=7596a347c632409f9829d4c3cb9fa3c7,kids,0.878,0.794,11,-5.733,0,0.226,0.312,0.0,0.184,0.485,129.779,https://api.spotify.com/v1/audio-analysis/40aF8upN1GeHQCcNFlDT9J,150717
6PAfU8gvf3iwJbcqVu7yBa,https://p.scdn.co/mp3-preview/a1c06d66a9188734ded7372c8100737d37cfe68d?cid=7596a347c632409f9829d4c3cb9fa3c7,kids,0.846,0.539,5,-8.614,1,0.0637,0.782,0.0,0.0908,0.834,120.004,https://api.spotify.com/v1/audio-analysis/6PAfU8gvf3iwJbcqVu7yBa,67351
7aJullbEquStpAgjgjw3IF,https://p.scdn.co/mp3-preview/ac7af486ccf6c20a467ed3ac4d35f7e85cd2debb?cid=7596a347c632409f9829d4c3cb9fa3c7,kids,0.607,0.657,7,-6.418,1,0.0636,0.0723,0.083,0.0726,0.964,106.001,https://api.spotify.com/v1/audio-analysis/7aJullbEquStpAgjgjw3IF,162333
3AW2kdmgYF0WTltv9tyPw1,https://p.scdn.co/mp3-preview/7aa4daefb0b0fa5186cd70e2fc5c7add14a94a1d?cid=7596a347c632409f9829d4c3cb9fa3c7,kids,0.844,0.218,0,-14.666,1,0.0371,0.615,0.0,0.098,0.697,100.536,https://api.spotify.com/v1/audio-analysis/3AW2kdmgYF0WTltv9tyPw1,145720
2YAbKsOAlCpPw5usPRTsM5,https://p.scdn.co/mp3-preview/0678dc47137fd8092ed3ffb9cfaf0bb4322aa282?cid=7596a347c632409f9829d4c3cb9fa3c7,kids,0.771,0.571,1,-7.69,1,0.0778,0.00741,1.75e-06,0.0365,0.964,140.014,https://api.spotify.com/v1/audio-analysis/2YAbKsOAlCpPw5usPRTsM5,181398
2tZUOYK2y7WNhArsa3oxUn,https://p.scdn.co/mp3-preview/4d9363b93185bf5f3478743d563b609b835c1f6a?cid=7596a347c632409f9829d4c3cb9fa3c7,kids,0.795,0.511,7,-8.577,1,0.0415,0.298,0.0,0.149,0.113,119.908,https://api.spotify.com/v1/audio-analysis/2tZUOYK2y7WNhArsa3oxUn,164000
0JEJLbC7QFbQmOMbRy53qM,https://p.scdn.co/mp3-preview/d921aed81ddfc3ed372d47f2177fe36c7c106da7?cid=7596a347c632409f9829d4c3cb9fa3c7,kids,0.715,0.586,1,-6.819,1,0.145,0.21,0.0,0.253,0.432,163.944,https://api.spotify.com/v1/audio-analysis/0JEJLbC7QFbQmOMbRy53qM,133224
41IHlNY5BLJf3WSPbdlQDB,https://p.scdn.co/mp3-preview/18c2c9c4a3684b08fb2f75bc93a5ecd5d5307285?cid=7596a347c632409f9829d4c3cb9fa3c7,kids,0.733,0.336,1,-17.377,1,0.468,0.0596,0.000508,0.273,0.452,172.07,https://api.spotify.com/v1/audio-analysis/41IHlNY5BLJf3WSPbdlQDB,95581
7kC7z3rvsUEHjVI2AuQ60U,https://p.scdn.co/mp3-preview/4f81e9787399a7c8f7b38ec78c439ce26706b2f3?cid=7596a347c632409f9829d4c3cb9fa3c7,kids,0.913,0.871,11,-4.018,0,0.198,0.407,0.0,0.13,0.763,120.025,https://api.spotify.com/v1/audio-analysis/7kC7z3rvsUEHjVI2AuQ60U,182013
6bky0BZwgaEwmqbNB5BLbV,https://p.scdn.co/mp3-preview/27dc3c6160be7d13a08dc6ac6fbf76cede5a2d2c?cid=7596a347c632409f9829d4c3cb9fa3c7,kids,0.625,0.397,7,-7.908,0,0.0266,0.412,0.0,0.0999,0.324,83.992,https://api.spotify.com/v1/audio-analysis/6bky0BZwgaEwmqbNB5BLbV,180245
1tuTH35fXW1zlg4thEAWQh,https://p.scdn.co/mp3-preview/04e28b0298cd147c04ce5af6f4004c82d912b4be?cid=7596a347c632409f9829d4c3cb9fa3c7,kids,0.819,0.869,2,-3.855,1,0.0432,0.344,0.000123,0.0484,0.968,145.099,https://api.spotify.com/v1/audio-analysis/1tuTH35fXW1zlg4thEAWQh,37427
2B3EtzAgWYKIv5RYdCFPFb,https://p.scdn.co/mp3-preview/f9d4df18b69950597de0974e2755f1fbbb988f28?cid=7596a347c632409f9829d4c3cb9fa3c7,kids,0.896,0.468,8,-5.481,1,0.313,0.0905,0.0,0.11,0.392,147.097,https://api.spotify.com/v1/audio-analysis/2B3EtzAgWYKIv5RYdCFPFb,124160
1iaFtfjH4wsJlxFV8tTDbr,https://p.scdn.co/mp3-preview/699296ea11bb75ee09d57f15f87370266fdb3b21?cid=7596a347c632409f9829d4c3cb9fa3c7,kids,0.756,0.652,1,-8.52,1,0.783,0.829,0.0,0.928,0.439,127.811,https://api.spotify.com/v1/audio-analysis/1iaFtfjH4wsJlxFV8tTDbr,156481
4L0RJ6cJMEHKU6IThWg77v,https://p.scdn.co/mp3-preview/32ac904c5d84574bcf05b94b4426f571edf268d7?cid=7596a347c632409f9829d4c3cb9fa3c7,kids,0.92,0.883,2,-4.44,1,0.216,0.581,0.0,0.0329,0.724,124.931,https://api.spotify.com/v1/audio-analysis/4L0RJ6cJMEHKU6IThWg77v,75870
2ReTW3Hhwgt5ba3A5aBbKM,https://p.scdn.co/mp3-preview/23bb3c2cd0a66c75e4c84e49028bba50968d1a4e?cid=7596a347c632409f9829d4c3cb9fa3c7,kids,0.755,0.66,10,-6.014,0,0.0432,0.00176,0.0,0.111,0.221,144.004,https://api.spotify.com/v1/audio-analysis/2ReTW3Hhwgt5ba3A5aBbKM,162000
