id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
1IHWl5LamUGEuP4ozKQSXZ,https://p.scdn.co/mp3-preview/3ae287926eebd8ded3c95005573952b0d678d5fb?cid=7596a347c632409f9829d4c3cb9fa3c7,latin,0.65,0.715,5,-5.198,0,0.253,0.0993,0.000291,0.126,0.187,106.672,https://api.spotify.com/v1/audio-analysis/1IHWl5LamUGEuP4ozKQSXZ,243717
6Sq7ltF9Qa7SNFBsV5Cogx,https://p.scdn.co/mp3-preview/d67fcdd7c1439f03092b163f619a78e46751d26e?cid=7596a347c632409f9829d4c3cb9fa3c7,latin,0.911,0.712,1,-5.105,0,0.0817,0.0901,2.68e-05,0.0933,0.425,92.005,https://api.spotify.com/v1/audio-analysis/6Sq7ltF9Qa7SNFBsV5Cogx,178567
5Eax0qFko2dh7Rl2lYs3bx,https://p.scdn.co/mp3-preview/49ea2f7872ac41185aa37c29a0792c615d691ea1?cid=7596a347c632409f9829d4c3cb9fa3c7,latin,0.801,0.475,7,-8.797,0,0.0516,0.141,1.73e-05,0.0639,0.234,98.047,https://api.spotify.com/v1/audio-analysis/5Eax0qFko2dh7Rl2lYs3bx,213061
54ELExv56KCAB4UP9cOCzC,https://p.scdn.co/mp3-preview/75a8bf40a81caf63b9e33d8a40fa556b57a73660?cid=7596a347c632409f9829d4c3cb9fa3c7,latin,0.892,0.662,8,-3.894,1,0.162,0.169,1.24e-06,0.363,0.607,93.976,https://api.spotify.com/v1/audio-analysis/54ELExv56KCAB4UP9cOCzC,227013
5ww2BF9slyYgNOk37BlC4u,https://p.scdn.co/mp3-preview/b8d1b6ea3d0237b9a05d0f7cdd205d41e3836812?cid=7596a347c632409f9829d4c3cb9fa3c7,latin,0.835,0.679,7,-5.329,0,0.0364,0.583,1.98e-06,0.218,0.85,124.98,https://api.spotify.com/v1/audio-analysis/5ww2BF9slyYgNOk37BlC4u,162638
3k3NWokhRRkEPhCzPmV8TW,https://p.scdn.co/mp3-preview/a309bfa4c38e17d3ffc3cddef60c1b263a8314db?cid=7596a347c632409f9829d4c3cb9fa3c7,latin,0.647,0.686,3,-5.745,0,0.0413,0.08,1.34e-06,0.528,0.268,79.928,https://api.spotify.com/v1/audio-analysis/3k3NWokhRRkEPhCzPmV8TW,258299
6Xom58OOXk2SoU711L2IXO,https://p.scdn.co/mp3-preview/4eb7eae6fbc070d8e75d86b6c21db3d7ce394906?cid=7596a347c632409f9829d4c3cb9fa3c7,latin,0.804,0.674,5,-5.453,0,0.0333,0.294,1.18e-06,0.115,0.292,99.968,https://api.spotify.com/v1/audio-analysis/6Xom58OOXk2SoU711L2IXO,245940
31i56LZnwE6uSu3exoHjtB,https://p.scdn.co/mp3-preview/1279a788dc34b24b7fc65fd7c1ef1673de8a3447?cid=7596a347c632409f9829d4c3cb9fa3c7,latin,0.876,0.498,10,-7.511,1,0.0478,0.0706,0.0,0.143,0.428,122.016,https://api.spotify.com/v1/audio-analysis/31i56LZnwE6uSu3exoHjtB,173119
0fea68AdmYNygeTGI4RC18,https://p.scdn.co/mp3-preview/38883ed592ab2b458e8a9fdcb472c81a513fd451?cid=7596a347c632409f9829d4c3cb9fa3c7,latin,0.754,0.646,7,-5.795,1,0.317,0.152,1.85e-05,0.108,0.429,176.089,https://api.spotify.com/v1/audio-analysis/0fea68AdmYNygeTGI4RC18,242573
4tYFy8ALRjIZvnvSLw5lxN,https://p.scdn.co/mp3-preview/c3eb4e5acf4e10f80476a5d77fdec159225ded22?cid=7596a347c632409f9829d4c3cb9fa3c7,latin,0.829,0.799,9,-5.389,1,0.0897,0.0151,0.000543,0.242,0.471,97.013,https://api.spotify.com/v1/audio-analysis/4tYFy8ALRjIZvnvSLw5lxN,227629
